invariant	observed	expected	status	contract
CARD_TYPE_COUNT	173	173	PASS	exact joint IDs
CARD_OCCURRENCE_SUM	381	381	PASS	full prose deck
MNEMONIC_CARD_TYPES	11	11	PASS	V60 exact working deck
MNEMONIC_EVENT_OCCURRENCES	85	85	PASS	exact mnemonic only
FORMAL_PROMPT_CARD_TYPES	4	4	PASS	strict formal prompts
FORMAL_PROMPT_EVENT_OCCURRENCES	45	45	PASS	formal channel
CONTROL_UNION_CARD_TYPES	14	14	PASS	one mnemonic/formal overlap
CONTROL_UNION_EVENT_OCCURRENCES	119	119	PASS	V63 recognized events
UNKNOWN_MNEMONIC_CARD_TYPES	162	162	PASS	all tails explicit
UNKNOWN_MNEMONIC_EVENT_OCCURRENCES	296	296	PASS	all tails explicit
NO_CONTROL_CARD_TYPES	159	159	PASS	neither mnemonic nor formal prompt
NO_CONTROL_EVENT_OCCURRENCES	262	262	PASS	V63 EXEMPLAR_ONLY
PROSE_EVENT_COUNT	381	381	PASS	complete prose
FIELD_COUNT	135	135	PASS	complete fields
TERMINAL_FIELD_COUNT	90	90	PASS	close field-final and silent
OPEN_FIELD_COUNT	45	45	PASS	open fields
FIELD_PARSE_PROFILE	U14:A56:X65	U14:A56:X65	PASS	bounded parser
STATEMENT_COUNT	116	116	PASS	complete statements
STATEMENT_PARSE_PROFILE	U12:A49:X55	U12:A49:X55	PASS	bounded parser
RECORD_LOCAL_RESET_COUNT	11	11	PASS	four registers reset at every prose record
PHYSICAL_LINE_BOUNDARY_COUNT	46	46	PASS	V61 reflow
BOUNDARY_CLASS_PROFILE	C19:R8:P10:S8:U1	C19:R8:P10:S8:U1	PASS	line not sentence
CROSS_LINE_STATEMENT_COUNT	18	18	PASS	17 two-locus plus one three-locus
BACKWARD_WITH_FULL_TRANSITION_LOG	116	116	PASS	full V62 log
BACKWARD_FROM_POST_STATE_ONLY	47	47	PASS	post-state insufficiency
ASTRO_GROUP_COUNT	395	395	PASS	complete local Astro
ASTRO_LOCUS_COUNT	142	142	PASS	74+37+31
F68_F69_SAME_INDEX_FULL_FORM_MATCH	0	0	PASS	no direct join
F68_F69_ALL_PAIR_FULL_FORM_MATCH	0	0	PASS	no direct join
F68_F69_DIRECT_JOIN_COUNT	0	0	PASS	namespaces separate
UNIFIED_GROUP_COUNT	776	776	PASS	381+395
UNIT_COUNT	14	14	PASS	11 prose+3 Astro
COMPLETE_SOURCE_RECOVERY_WITHOUT_EXEMPLAR	0	0	PASS	no standalone semantic codec
DOMAIN_WINNER_SELECTED	0	0	PASS	coequal content fork
CONFIRMED_LEXEME_COUNT	0	0	PASS	scientific ceiling
ALLOWED_PAGE_COUNT	10	10	PASS	fixed ten-page scope
COMPILER_TRANSITION_COUNT	22	22	PASS	V67 deterministic transducer
