statement_id	record_unit_id	page	statement_ordinal_in_record	constituent_fields	event_count	event_serials	primary_template	licensed_primitive_sequence	parse_status	pre_state	post_state	iatromedical_statement_text	practical_statement_text	local_comparison	strongest_practical_contradiction	roundtrip_status	semantic_ceiling
H1-S001	H1	f10r	1	F001	10	1|2|3|4|5|6|7|8|9|10	COMPOSITE_SEQUENCE	ACTION_APPLY > PARAMETER_ASSIGN	AMBIGUOUS	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	OWNER=H1:O01;ACTIVE_ITEM/PREPARATION=H1:I001;TARGET/STATION=H1:T001;PREVIOUS_ITEM=H1:I002	Nimm die faserige untere Wurzel ; wasche sie in fließendem Wasser ; Daraus, aus demselben Ansatz ; Gleichmäßig bearbeiten ; zerstoße sie zu grobem Pulver ; gib Rotwein hinzu ; trinke es bei Magenschmerz ; Die aktive Portion verwenden ; Ein vorgeschriebenes Maß ; bewahre die übrige Wurzel trocken auf	Bild-Wurzelstock als Rohlos H1-R01 übernehmen, reinigen, schneiden und in Wasser mazerieren; aktive Prüfportion am Musterstreifen einsetzen, Sollmaß buchen und trockenen Rest lagern.	IATROMEDICAL	Prüfstreifen und Werkstattzweck besitzen keinen sichtbaren Eigentümer.	PASS_EXACT_OPAQUE_ID_SEQUENCE	SOURCE_EXPANSIONS_REQUIRE_MASTER_EXEMPLAR
H1-S002	H1	f10r	2	F002	4	11|12|13|14	COMPOSITE_SEQUENCE	LINK_ACTIVE > STATE_GATE	AMBIGUOUS	OWNER=H1:O01;ACTIVE_ITEM/PREPARATION=H1:I001;TARGET/STATION=H1:T001;PREVIOUS_ITEM=H1:I002	OWNER=H1:O01;ACTIVE_ITEM/PREPARATION=H1:I001;TARGET/STATION=H1:T001;PREVIOUS_ITEM=H1:I002	gebrauche die frisch bereitete Arznei ; wende sie warm an ; Mit der vorigen Zubereitung weiter ; Sobald die Zubereitung gebrauchsfertig ist	Gelagerte H1-Wurzelcharge aufnehmen, einen zweiten Auszug erwärmen, formal an den laufenden Stand verknüpfen und als arbeitsbereit freigeben.	TIE	Die verknüpften Chargen bleiben ohne lokale Prosa unbestimmt.	PASS_EXACT_OPAQUE_ID_SEQUENCE	SOURCE_EXPANSIONS_REQUIRE_MASTER_EXEMPLAR
H2-S001	H2	f10r	1	F003	9	15|16|17|18|19|20|21|22|23	COMPOSITE_SEQUENCE	STATE_GATE > LINK_ACTIVE > PARAMETER_ASSIGN	AMBIGUOUS	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	OWNER=H2:O01;ACTIVE_ITEM/PREPARATION=H2:I001;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	sie wächst auf feuchtem Wiesengrund ; Sobald die Zubereitung gebrauchsfertig ist ; Die bereitete Arbeitsflüssigkeit ; gib den ausgepressten Saft hinzu ; koche es sanft ; Diese aktive Portion ; Diese aktive Portion ; Ein vorgeschriebenes Maß ; Diese aktive Portion	Oberteile derselben Bildpflanze als H2-R01 sammeln, quetschen und pressen; Flüssigkeit als aktiven Ansatz führen, mit Wasser nachziehen und nach Sollmenge buchen.	TECHNICAL	Oberteile, Pressen und Wasser sind nicht kartengebunden.	PASS_EXACT_OPAQUE_ID_SEQUENCE	SOURCE_EXPANSIONS_REQUIRE_MASTER_EXEMPLAR
H2-S002	H2	f10r	2	F004	8	24|25|26|27|28|29|30|31	COMPOSITE_SEQUENCE	LINK_ACTIVE > LINK_ACTIVE > SELECT_PREVIOUS > LINK_ACTIVE > PARAMETER_ASSIGN	AMBIGUOUS	OWNER=H2:O01;ACTIVE_ITEM/PREPARATION=H2:I001;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	OWNER=H2:O01;ACTIVE_ITEM/PREPARATION=H2:I002;TARGET/STATION=UNSET;PREVIOUS_ITEM=H2:I001	vor der Blüte gesammelt ; Die bereitete Arbeitsflüssigkeit ; eine Handvoll ; Mit der vorigen Zubereitung weiter ; Aus dem vorigen Ansatz entnehmen ; Mit der vorigen Zubereitung weiter ; Ein vorgeschriebenes Maß ; Daraus, aus demselben Ansatz	Frühe Erntefraktion H2-R03 an den laufenden Ansatz binden, vorige Charge wieder aufnehmen, Sollmenge abteilen und als Vergleichsmazerat führen.	TECHNICAL	Die frühe Erntefraktion ist ein lokaler, nicht formaler Wert.	PASS_EXACT_OPAQUE_ID_SEQUENCE	SOURCE_EXPANSIONS_REQUIRE_MASTER_EXEMPLAR
H2-S003	H2	f10r	3	F005	7	32|33|34|35|36|37|38	COMPOSITE_SEQUENCE	LINK_ACTIVE > LINK_ACTIVE	AMBIGUOUS	OWNER=H2:O01;ACTIVE_ITEM/PREPARATION=H2:I002;TARGET/STATION=UNSET;PREVIOUS_ITEM=H2:I001	OWNER=H2:O01;ACTIVE_ITEM/PREPARATION=H2:I003;TARGET/STATION=UNSET;PREVIOUS_ITEM=H2:I002	wenn sich die Blüte geöffnet hat ; Die bereitete Arbeitsflüssigkeit ; Die bereitete Arbeitsflüssigkeit ; Diese aktive Portion ; bis ein bitterer Geschmack bleibt ; Diese aktive Portion ; bewahre diesen Anteil unter Öl	Späte Erntefraktion als parallelen Ansatz führen, beide Auszüge gleich seihen, Farbe und Bodensatz vergleichen und verschlossen lagern.	TIE	Kein exakter Trigger bezeichnet Vergleich, Farbe oder Lagerung.	PASS_EXACT_OPAQUE_ID_SEQUENCE	SOURCE_EXPANSIONS_REQUIRE_MASTER_EXEMPLAR
H3-S001	H3	f11r	1	F006	7	39|40|41|42|43|44|45	COMPOSITE_SEQUENCE	STATE_GATE	AMBIGUOUS	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	OWNER=H3:O01;ACTIVE_ITEM/PREPARATION=H3:I001;TARGET/STATION=H3:T002;PREVIOUS_ITEM=UNSET	sammle die Wurzel im Frühjahr ; vom schattigen Waldort ; bevor sich die Blütenkrone öffnet ; presse die gequetschte Wurzel durch ein Tuch ; seihe die Flüssigkeit ein zweites Mal ; Bis die Flüssigkeit klar abläuft ; lasse die geseihte Flüssigkeit offen abkühlen	Blüten-/Krautlos sammeln, sortieren, quetschen, in Wasser mazerieren und zweimal seihen; am KLAR?-Gate schließen und das Filtrat absetzen lassen.	TIE	Farbextraktfunktion und zweimaliges Seihen sind lokale Expansionen.	PASS_EXACT_OPAQUE_ID_SEQUENCE	SOURCE_EXPANSIONS_REQUIRE_MASTER_EXEMPLAR
H3-S002	H3	f11r	2	F007	1	46	EXEMPLAR_ONLY	NONE	UNPARSED	OWNER=H3:O01;ACTIVE_ITEM/PREPARATION=H3:I001;TARGET/STATION=H3:T002;PREVIOUS_ITEM=UNSET	OWNER=H3:O01;ACTIVE_ITEM/PREPARATION=H3:I001;TARGET/STATION=H3:T002;PREVIOUS_ITEM=H3:I002	behalte die Blütenkrone zurück	Einen Blütenkopf als Referenzfraktion H3-R02 zurücklegen und offen weiterführen.	TECHNICAL	Das einzige Ereignis ist EXEMPLAR_ONLY; selbst ‚zurücklegen‘ ist unbelegt.	PASS_EXACT_OPAQUE_ID_SEQUENCE	SOURCE_EXPANSIONS_REQUIRE_MASTER_EXEMPLAR
H3-S003	H3	f11r	3	F008	5	47|48|49|50|51	COMPOSITE_SEQUENCE	PARAMETER_ASSIGN	AMBIGUOUS	OWNER=H3:O01;ACTIVE_ITEM/PREPARATION=H3:I001;TARGET/STATION=H3:T002;PREVIOUS_ITEM=H3:I002	OWNER=H3:O01;ACTIVE_ITEM/PREPARATION=H3:I001;TARGET/STATION=H3:T003;PREVIOUS_ITEM=H3:I002	von diesem abgebildeten Simplex ; Diese aktive Portion ; binde es auf die geschwollene Stelle ; Diese aktive Portion ; Ein vorgeschriebenes Maß	Klarfiltrat aufnehmen, auf drei Probengläser verteilen, Farbe und Niederschlag notieren und das Sollmaß je Glas buchen.	IATROMEDICAL	Kein ACTION-Trigger trägt Dosieren oder Prüfen.	PASS_EXACT_OPAQUE_ID_SEQUENCE	SOURCE_EXPANSIONS_REQUIRE_MASTER_EXEMPLAR
H3-S004	H3	f11r	4	F009	4	52|53|54|55	COMPOSITE_SEQUENCE	STATE_GATE	AMBIGUOUS	OWNER=H3:O01;ACTIVE_ITEM/PREPARATION=H3:I001;TARGET/STATION=H3:T003;PREVIOUS_ITEM=H3:I002	OWNER=H3:O01;ACTIVE_ITEM/PREPARATION=H3:I003;TARGET/STATION=UNSET;PREVIOUS_ITEM=H3:I001	bereite aus den Blättern einen warmen Umschlag ; lege ihn warm auf ; Sobald die Zubereitung gebrauchsfertig ist ; Diese aktive Portion	Blattfraktion warm ausziehen, am BEREIT?-Gate freigeben und getrennt von der Referenzblüte verwahren.	IATROMEDICAL	Blattfraktion, Wärme und Lagerung sind nicht in den Kartenwerten enthalten.	PASS_EXACT_OPAQUE_ID_SEQUENCE	SOURCE_EXPANSIONS_REQUIRE_MASTER_EXEMPLAR
H4-S001	H4	f55v	1	F010	5	56|57|58|59|60	COMPOSITE_SEQUENCE	PARAMETER_ASSIGN > PARAMETER_ASSIGN	AMBIGUOUS	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	OWNER=H4:O01;ACTIVE_ITEM/PREPARATION=H4:I001;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	beginne den nächsten abgemessenen Posten ; Ein vorgeschriebenes Maß ; koche das breite Blatt sanft ; in Weißwein ; lasse es ziehen, bis die Flüssigkeit klar ist	Standardposten H4-R01 und Sollmaß setzen, breite Blätter waschen, schneiden und in Wasser mazerieren; erste Blattflotte absetzen und schließen.	TECHNICAL	Die Blattflotte und das Mazerationsmedium bleiben lokale Werte.	PASS_EXACT_OPAQUE_ID_SEQUENCE	SOURCE_EXPANSIONS_REQUIRE_MASTER_EXEMPLAR
