record	locus	word	role	claimed_by	reading
f17r	f17r.4:1	tcho	KNOWN	NA	Pflanzenmaterial
f17r	f17r.4:2	shol	KNOWN	NA	ist feucht → f17r.4:1
f17r	f17r.4:3	qokol	OPEN	NA	[qokol]
f17r	f17r.4:4	qor	OPEN	NA	[qor]
f17r	f17r.4:5	olaiin	OPEN	NA	[olaiin]
f17r	f17r.4:6	opydg	OPEN	NA	[opydg]
f17r	f17r.4:7	som	OPEN	NA	[som]
f17r	f17r.4:8	ypchy	OPEN	NA	[ypchy]
f17r	f17r.4:9	ypaim	OPEN	NA	[ypaim]
f17r	f17r.5:1	ychekchy	OPEN	NA	[ychekchy]
f17r	f17r.5:2	cthy	KNOWN	NA	Kraut
f17r	f17r.5:3	chor	KNOWN	NA	Blüten
f17r	f17r.5:4	shor	KNOWN	NA	Früchte
f17r	f17r.5:5	cphor	OPEN	NA	[cphor]
f17r	f17r.5:6	cphaldy	OPEN	NA	[cphaldy]
f17r	f17r.5:7	dair	KNOWN	NA	Anteil Β
f17r	f17r.5:8	cthey	KNOWN	NA	Arzneiform A
f17r	f17r.5:9	qody	KNOWN	NA	fertige Zubereitung
f17r	f17r.6:1	tsho	OPEN	NA	[tsho]
f17r	f17r.6:2	qof	OPEN	NA	[qof]
f17r	f17r.6:3	cho	KNOWN	NA	Inneres
f17r	f17r.6:4	qokcheor	OPEN	NA	[qokcheor]
f17r	f17r.6:5	cheteg	OPEN	NA	[cheteg]
f21r	f21r.8:1	fcho	OPEN	NA	[fcho]
f21r	f21r.8:2	kshy	OPEN	NA	[kshy]
f21r	f21r.8:3	otor	OPEN	NA	[otor]
f21r	f21r.8:4	sheol	OPEN	NA	[sheol]
f21r	f21r.8:5	ocphal	OPEN	NA	[ocphal]
f21r	f21r.8:6	opsheas	OPEN	NA	[opsheas]
f21r	f21r.8:7	cthodaiin	OPEN	NA	[cthodaiin]
f21r	f21r.8:8	oty	OPEN	NA	[oty]
f21r	f21r.9:1	okaiin	KNOWN	NA	Ansatz
f21r	f21r.9:2	sho	KNOWN	NA	füge Flüssigauszug zu f21r.9:1 hinzu
f21r	f21r.9:3	tshaiin	KNOWN	f21r.9:2	Flüssigauszug
f21r	f21r.9:4	chkaiin	KNOWN	NA	ist gemischt → f21r.9:1
f21r	f21r.9:5	sh	OPEN	NA	[sh]
f21r	f21r.9:6	cthey	KNOWN	NA	Arzneiform A
f21r	f21r.9:7	cthody	OPEN	NA	[cthody]
f21r	f21r.9:8	cthy	KNOWN	NA	Kraut
f21r	f21r.9:9	s	KNOWN	NA	und
f21r	f21r.10:1	totchy	OPEN	NA	[totchy]
f21r	f21r.10:2	keor	OPEN	NA	[keor]
f21r	f21r.10:3	chy	KNOWN	NA	Wasser
f21r	f21r.10:4	ky	OPEN	NA	[ky]
f21r	f21r.10:5	qotaiin	KNOWN	NA	abgeteilte Portion
f21r	f21r.10:6	qotchol	KNOWN	NA	Trockenmaterial
f21r	f21r.10:7	ty	OPEN	NA	[ty]
f21r	f21r.10:8	ctheey	OPEN	NA	[ctheey]
f21r	f21r.10:9	otaiin	OPEN	NA	[otaiin]
f21r	f21r.11:1	shol	KNOWN	NA	ist feucht → f21r.10:6
f21r	f21r.11:2	chol	KNOWN	NA	ist trocken → f21r.10:6
f21r	f21r.11:3	shol	KNOWN	NA	ist feucht → f21r.10:6
f21r	f21r.11:4	tchol	OPEN	NA	[tchol]
f21r	f21r.11:5	chcthy	OPEN	NA	[chcthy]
f21r	f21r.11:6	otyky	OPEN	NA	[otyky]
f21r	f21r.11:7	shey	KNOWN	NA	ist heiß → f21r.10:6
f21r	f21r.11:8	yteol	OPEN	NA	[yteol]
f21r	f21r.11:9	shody	OPEN	NA	[shody]
f21r	f21r.12:1	ykeey	OPEN	NA	[ykeey]
f21r	f21r.12:2	chor	KNOWN	NA	Blüten
f21r	f21r.12:3	sheey	OPEN	NA	[sheey]
f21r	f21r.12:4	ysheol	OPEN	NA	[ysheol]
f21r	f21r.12:5	chor	KNOWN	NA	Blüten
f21r	f21r.12:6	chol	KNOWN	NA	ist trocken → f21r.12:5
f21r	f21r.12:7	daiin	KNOWN	NA	Maß Γ
f21r	f21r.12:8	chkaiin	KNOWN	NA	ist gemischt → f21r.12:5
f32v	f32v.7:1	ksho	OPEN	NA	[ksho]
f32v	f32v.7:2	cphos	OPEN	NA	[cphos]
f32v	f32v.7:3	she	OPEN	NA	[she]
f32v	f32v.7:4	sheaiin	OPEN	NA	[sheaiin]
f32v	f32v.7:5	otshcho	OPEN	NA	[otshcho]
f32v	f32v.7:6	r	OPEN	NA	[r]
f32v	f32v.7:7	dain	KNOWN	NA	Maß Β
f32v	f32v.7:8	shckhy	OPEN	NA	[shckhy]
f32v	f32v.7:9	s	KNOWN	NA	und
f32v	f32v.7:10	odan	OPEN	NA	[odan]
f32v	f32v.8:1	otchol	KNOWN	NA	Trockenmaterial
f32v	f32v.8:2	daiin	KNOWN	NA	Maß Γ
f32v	f32v.8:3	daiin	KNOWN	NA	Maß Γ
f32v	f32v.8:4	ctho	KNOWN	NA	Pflanzenpulver
f32v	f32v.8:5	daiin	KNOWN	NA	Maß Γ
f32v	f32v.8:6	qotaiin	KNOWN	NA	abgeteilte Portion
f32v	f32v.8:7	otchy	OPEN	NA	[otchy]
f32v	f32v.8:8	d	OPEN	NA	[d]
f32v	f32v.8:9	shan	KNOWN	NA	Feinanteil
f32v	f32v.9:1	qotchy	KNOWN	NA	für Bindung einer feuchten Masse
f32v	f32v.9:2	cfhy	KNOWN	f32v.9:1	Bindung einer feuchten Masse
f32v	f32v.9:3	skey	KNOWN	NA	verwende beide: Feinpulver A und Grobpulver B; je Maß Γ
f32v	f32v.9:4	chocthy	KNOWN	f32v.9:3	Feinpulver A
f32v	f32v.9:5	daiin	KNOWN	f32v.9:3	Maß Γ
f32v	f32v.9:6	cthaiin	KNOWN	f32v.9:3	Grobpulver B
f32v	f32v.9:7	daiin	KNOWN	f32v.9:3	Maß Γ
f32v	f32v.10:1	sho	KNOWN	NA	füge Öl zu f32v:choice@f32v.9:3 hinzu
f32v	f32v.10:2	keol	KNOWN	f32v.10:1	Öl
f32v	f32v.10:3	chor	KNOWN	NA	Blüten
f32v	f32v.10:4	chol	KNOWN	NA	ist trocken → f32v.10:3
f32v	f32v.10:5	daiin	KNOWN	NA	Maß Γ
f32v	f32v.10:6	cpho	OPEN	NA	[cpho]
f32v	f32v.10:7	l	OPEN	NA	[l]
f32v	f32v.10:8	cthol	KNOWN	NA	Trockenmaterial
f32v	f32v.10:9	da	OPEN	NA	[da]
f32v	f32v.10:10	ar	OPEN	NA	[ar]
f32v	f32v.11:1	ol	KNOWN	NA	auch
f32v	f32v.11:2	sho	KNOWN	NA	füge Wasser zu f32v.10:8 hinzu
f32v	f32v.11:3	chy	KNOWN	f32v.11:2	Wasser
f29v	f29v.1:1	kooiin	KNOWN	NA	Wurzelmaterial
f29v	f29v.1:2	shor	KNOWN	NA	Früchte
f29v	f29v.1:3	chetchy	OPEN	NA	[chetchy]
f29v	f29v.1:4	ol	KNOWN	NA	auch
f29v	f29v.1:5	ls	OPEN	NA	[ls]
f29v	f29v.1:6	shytchy	OPEN	NA	[shytchy]
f29v	f29v.1:7	cthy	KNOWN	NA	Kraut
f29v	f29v.1:8	shy	KNOWN	NA	feucht
f29v	f29v.1:9	cho	KNOWN	NA	Inneres
f29v	f29v.1:10	shy	KNOWN	NA	feucht
f29v	f29v.1:11	daiin	KNOWN	NA	Maß Γ
f29v	f29v.2:1	qotcheaiin	KNOWN	NA	Feinpulver
f29v	f29v.2:2	s	KNOWN	NA	und
f29v	f29v.2:3	chol	KNOWN	NA	ist trocken → f29v.2:1
f29v	f29v.2:4	chol	KNOWN	NA	ist trocken → f29v.2:1
f29v	f29v.2:5	cthy	KNOWN	NA	Kraut
f29v	f29v.2:6	chey	OPEN	NA	[chey]
f29v	f29v.2:7	cthold	KNOWN	NA	Pflanzenrückstand
f29v	f29v.2:8	ytchor	KNOWN	NA	zerkleinerte Blüten
f29v	f29v.2:9	dary	KNOWN	NA	Teilmenge
f29v	f29v.3:1	chol	KNOWN	NA	ist trocken → f29v.2:8
f29v	f29v.3:2	chol	KNOWN	NA	ist trocken → f29v.2:8
f29v	f29v.3:3	kor	KNOWN	NA	Mörser
f29v	f29v.3:4	shey	KNOWN	NA	ist heiß → f29v.2:8
f29v	f29v.3:5	odaiin	KNOWN	NA	Zusatzportion
f29v	f29v.3:6	qotchy	KNOWN	NA	für Klärung einer Flüssigkeit
f29v	f29v.3:7	taiin	KNOWN	f29v.3:6	Klärung einer Flüssigkeit
f29v	f29v.3:8	s	KNOWN	NA	und
f29v	f29v.3:9	she	OPEN	NA	[she]
f29v	f29v.3:10	otey	OPEN	NA	[otey]
f29v	f29v.3:11	sy	OPEN	NA	[sy]
f29v	f29v.4:1	ysho	OPEN	NA	[ysho]
f29v	f29v.4:2	otshy	KNOWN	NA	kalt-feucht
f29v	f29v.4:3	okaiin	KNOWN	NA	Ansatz
f29v	f29v.4:4	cthy	KNOWN	NA	Kraut
f29v	f29v.4:5	oltchy	KNOWN	NA	kalt-trocken
f29v	f29v.4:6	s	KNOWN	NA	und
f29v	f29v.4:7	shot	OPEN	NA	[shot]
f29v	f29v.4:8	sho	KNOWN	NA	füge Ansatz zu f29v.4:4 hinzu
f29v	f29v.4:9	okaiin	KNOWN	f29v.4:8	Ansatz
