scenario	record	locus	target	symbol	pair_field
S_A	f21r	f21r.12:7	f21r.12:6	Gamma	0
S_A	f32v	f32v.8:2	f32v.8:1	Gamma	0
S_A	f32v	f32v.8:3	MISSING	Gamma	0
S_A	f32v	f32v.8:5	f32v.8:4	Gamma	0
S_A	f32v	f32v.9:5	f32v.9:4	Gamma	1
S_A	f32v	f32v.9:7	f32v.9:6	Gamma	1
S_A	f32v	f32v.10:5	f32v.10:4	Gamma	0
S_A	f29v	f29v.1:11	f29v.1:10	Gamma	0
S_B	f21r	f21r.12:7	f21r.12:6	Gamma	0
S_B	f32v	f32v.8:2	f32v.8:1	Gamma	0
S_B	f32v	f32v.8:3	MISSING	Gamma	0
S_B	f32v	f32v.8:5	f32v.8:4	Gamma	0
S_B	f32v	f32v.9:5	f32v.9:4	Gamma	1
S_B	f32v	f32v.9:7	f32v.9:6	Gamma	1
S_B	f32v	f32v.10:5	f32v.10:4	Gamma	0
S_B	f29v	f29v.1:11	f29v.1:10	Gamma	0
L_AB	f21r	f21r.12:7	f21r.12:6	Gamma	0
L_AB	f32v	f32v.8:2	f32v.8:1	Gamma	0
L_AB	f32v	f32v.8:3	MISSING	Gamma	0
L_AB	f32v	f32v.8:5	f32v.8:4	Gamma	0
L_AB	f32v	f32v.9:5	f32v.9:4	Gamma	1
L_AB	f32v	f32v.9:7	f32v.9:6	Gamma	1
L_AB	f32v	f32v.10:5	f32v.10:4	Gamma	0
L_AB	f29v	f29v.1:11	f29v.1:10	Gamma	0
