scenario	record	locus	word	subject	selection_related
S_A	f17r	f17r.4:2	shol	f17r.4:1	0
S_A	f21r	f21r.9:4	chkaiin	f21r.9:1	0
S_A	f21r	f21r.11:1	shol	f21r.10:6	0
S_A	f21r	f21r.11:2	chol	f21r.10:6	0
S_A	f21r	f21r.11:3	shol	f21r.10:6	0
S_A	f21r	f21r.11:7	shey	f21r.10:6	0
S_A	f21r	f21r.12:6	chol	f21r.12:5	0
S_A	f21r	f21r.12:8	chkaiin	f21r.12:5	0
S_A	f32v	f32v.10:4	chol	f32v.10:3	0
S_A	f29v	f29v.2:3	chol	f29v.2:1	0
S_A	f29v	f29v.2:4	chol	f29v.2:1	0
S_A	f29v	f29v.3:1	chol	f29v.2:8	0
S_A	f29v	f29v.3:2	chol	f29v.2:8	0
S_A	f29v	f29v.3:4	shey	f29v.2:8	0
S_B	f17r	f17r.4:2	shol	f17r.4:1	0
S_B	f21r	f21r.9:4	chkaiin	f21r.9:1	0
S_B	f21r	f21r.11:1	shol	f21r.10:6	0
S_B	f21r	f21r.11:2	chol	f21r.10:6	0
S_B	f21r	f21r.11:3	shol	f21r.10:6	0
S_B	f21r	f21r.11:7	shey	f21r.10:6	0
S_B	f21r	f21r.12:6	chol	f21r.12:5	0
S_B	f21r	f21r.12:8	chkaiin	f21r.12:5	0
S_B	f32v	f32v.10:4	chol	f32v.10:3	0
S_B	f29v	f29v.2:3	chol	f29v.2:1	0
S_B	f29v	f29v.2:4	chol	f29v.2:1	0
S_B	f29v	f29v.3:1	chol	f29v.2:8	0
S_B	f29v	f29v.3:2	chol	f29v.2:8	0
S_B	f29v	f29v.3:4	shey	f29v.2:8	0
L_AB	f17r	f17r.4:2	shol	f17r.4:1	0
L_AB	f21r	f21r.9:4	chkaiin	f21r.9:1	0
L_AB	f21r	f21r.11:1	shol	f21r.10:6	0
L_AB	f21r	f21r.11:2	chol	f21r.10:6	0
L_AB	f21r	f21r.11:3	shol	f21r.10:6	0
L_AB	f21r	f21r.11:7	shey	f21r.10:6	0
L_AB	f21r	f21r.12:6	chol	f21r.12:5	0
L_AB	f21r	f21r.12:8	chkaiin	f21r.12:5	0
L_AB	f32v	f32v.10:4	chol	f32v.10:3	0
L_AB	f29v	f29v.2:3	chol	f29v.2:1	0
L_AB	f29v	f29v.2:4	chol	f29v.2:1	0
L_AB	f29v	f29v.3:1	chol	f29v.2:8	0
L_AB	f29v	f29v.3:2	chol	f29v.2:8	0
L_AB	f29v	f29v.3:4	shey	f29v.2:8	0
