cell_id	component_recipe	process_roots	exact_cards	events	event_ids	fluent_reading_de
PV01	CTH+Y	CTH	1	7	E014,E016,E054,E271,E279,E289,E310	diesen Posten bereiten
PV02	CTH+E+Y	CTH	1	2	E204,E258	diesen Posten kurz bereiten
PV03	CTH+AIIN	CTH	1	1	E018	bis zum Sollmaß bereiten
PV04	SH	SH	1	1	E087	halten
PV05	SH+E+Y	SH	1	1	E212	diesen Posten kurz halten
PV06	SH+EE+Y	SH	2	5	E044,E197,E203,E334,E353	diesen Posten lange halten
PV07	SH+E+DY	SH	1	1	E189	kurz halten und schließen
PV08	SH+EE+DY	SH	1	1	E261	lange halten und schließen
PV09	SHED+DY	SHED	1	12	E125,E136,E155,E163,E192,E255,E266,E314,E325,E336,E347,E361	absetzen lassen und schließen
PV10	SHED+AL	SHED	1	2	E275,E364	an der Zielstelle absetzen lassen
PV11	CHK+E+Y	CHK	1	3	E134,E164,E339	diesen Posten kurz wärmen
PV12	CHK+EE+Y	CHK	2	3	E066,E183,E333	diesen Posten lange warm halten
PV13	CHK+EE+DY	CHK	1	1	E231	lange warm halten und schließen
PV14	LSH+O	LSH	1	1	E141	den Arbeitsgang waschen
PV15	LSH+E+DY	LSH	1	2	E143,E144	kurz waschen und schließen
