exact_card_id	semantic_family	component_recipe	process_roots	reading_de	registered_surfaces	events	semantic_status
PROC002	SEM002	CTH+O+OR	CTH	BEREITEN · ARBEITSGANG · ANSATZ	cthoor	1	UNCHANGED__SHORT_ROOT_CONFIRMED
PROC014	SEM013	CTH+Y	CTH	BEREITEN · DIES	checthy|cthy|shcthy	7	UNCHANGED__SHORT_ROOT_CONFIRMED
PROC017	SEM016	CTH+AIIN	CTH	BEREITEN · SOLLMASS	cthaiin	1	UNCHANGED__SHORT_ROOT_CONFIRMED
PROC018	SEM017	O+CTH+OL+Y	CTH	ARBEITSGANG · BEREITEN · WEITER · DIES	qoctholy	1	UNCHANGED__SHORT_ROOT_CONFIRMED
PROC026	SEM025	T+SH+OL	SH	ANWENDEN · HALTEN · WEITER	tshol	1	UNCHANGED__SHORT_ROOT_CONFIRMED
PROC027	SEM026	SH+O+AL	SH	HALTEN · ARBEITSGANG · ZIELSTELLE	schoal	1	UNCHANGED__SHORT_ROOT_CONFIRMED
PROC029	SEM028	SH+Y+AIIN	SH	HALTEN · DIES · SOLLMASS	shfydaiin	1	UNCHANGED__SHORT_ROOT_CONFIRMED
PROC031	SEM030	SH+EE+Y	SH	HALTEN · LANG · DIES	cheey|shey	4	UNCHANGED__SHORT_ROOT_CONFIRMED
PROC157	SEM030	SH+EE+Y	SH	HALTEN · LANG · DIES	sheey	1	UNCHANGED__SHORT_ROOT_CONFIRMED
PROC033	SEM032	SH+O+Y+T+Y	SH	HALTEN · ARBEITSGANG · DIES · ANWENDEN · DIES	shoyty	1	UNCHANGED__SHORT_ROOT_CONFIRMED
PROC046	SEM045	CHK+EE+Y	CHK	WAERMEN · LANG · DIES	cheeky	2	UNCHANGED__SHORT_ROOT_CONFIRMED
PROC107	SEM045	CHK+EE+Y	CHK	WAERMEN · LANG · DIES	chkeey	1	UNCHANGED__SHORT_ROOT_CONFIRMED
PROC058	SEM057	SH	SH	HALTEN	sh	1	UNCHANGED__SHORT_ROOT_CONFIRMED
PROC073	SEM071	SH+E+CKH+AL	SH	HALTEN · KURZ · DURCHLASS · ZIELSTELLE	sheckhal	1	UNCHANGED__SHORT_ROOT_CONFIRMED
PROC077	SEM075	SH+K+CHD+DY	SH	HALTEN · ZUGEBEN · UMSETZEN · SCHLUSS	sshkchdy	1	UNCHANGED__SHORT_ROOT_CONFIRMED
PROC078	SEM076	SHED+DY	SHED	ABSETZEN · SCHLUSS	cheedy|shedy|tedy	12	UNCHANGED__SHORT_ROOT_CONFIRMED
PROC083	SEM081	CHK+E+Y	CHK	WAERMEN · KURZ · DIES	cheky	3	UNCHANGED__SHORT_ROOT_CONFIRMED
PROC084	SEM082	LSH+O	LSH	WASCHEN · ARBEITSGANG	lsho	1	UNCHANGED__SHORT_ROOT_CONFIRMED
PROC086	SEM084	LSH+E+DY	LSH	WASCHEN · KURZ · SCHLUSS	lshedy	2	UNCHANGED__SHORT_ROOT_CONFIRMED
PROC096	SEM092	SH+E+OL	SH	HALTEN · KURZ · WEITER	dsheol	1	UNCHANGED__SHORT_ROOT_CONFIRMED
PROC099	SEM095	SH+CKH+E+DY	SH	HALTEN · DURCHLASS · KURZ · SCHLUSS	shckhedy	3	UNCHANGED__SHORT_ROOT_CONFIRMED
PROC106	SEM102	O+CTH+E+OL	CTH	ARBEITSGANG · BEREITEN · KURZ · WEITER	octheol	1	UNCHANGED__SHORT_ROOT_CONFIRMED
PROC110	SEM105	SH+E+CKH+Y	SH	HALTEN · KURZ · DURCHLASS · DIES	sheckhy	1	UNCHANGED__SHORT_ROOT_CONFIRMED
PROC111	SEM106	SH+E+DY	SH	HALTEN · KURZ · SCHLUSS	dshedy	1	UNCHANGED__SHORT_ROOT_CONFIRMED
PROC114	SEM109	OL+SH+E+DY	SH	WEITER · HALTEN · KURZ · SCHLUSS	solshedy	1	UNCHANGED__SHORT_ROOT_CONFIRMED
PROC117	SEM111	CTH+E+Y	CTH	BEREITEN · KURZ · DIES	qcthey|shcthey	2	UNCHANGED__SHORT_ROOT_CONFIRMED
PROC122	SEM116	SH+E+Y	SH	HALTEN · KURZ · DIES	tshey	1	UNCHANGED__SHORT_ROOT_CONFIRMED
PROC126	SEM120	R+SH+E+AL	SH	KUEHLEN · HALTEN · KURZ · ZIELSTELLE	rsheal	1	UNCHANGED__SHORT_ROOT_CONFIRMED
PROC128	SEM122	R+SHED+DY	SHED	KUEHLEN · ABSETZEN · SCHLUSS	rshedy	1	UNCHANGED__SHORT_ROOT_CONFIRMED
PROC132	SEM126	CHK+EE+DY	CHK	WAERMEN · LANG · SCHLUSS	chkeedy	1	UNCHANGED__SHORT_ROOT_CONFIRMED
PROC136	SEM129	SH+E+CTH+CHD+Y	CTH+SH	HALTEN · KURZ · BEREITEN · UMSETZEN · DIES	shecthedchy	1	UNCHANGED__SHORT_ROOT_CONFIRMED
PROC139	SEM132	SH+EE+DY	SH	HALTEN · LANG · SCHLUSS	sheedy	1	UNCHANGED__SHORT_ROOT_CONFIRMED
PROC141	SEM134	OK+SH+E+DY	SH	ANSETZEN · HALTEN · KURZ · SCHLUSS	qokshedy	1	UNCHANGED__SHORT_ROOT_CONFIRMED
PROC142	SEM135	SHED+AL	SHED	ABSETZEN · ZIELSTELLE	shedal	2	UNCHANGED__SHORT_ROOT_CONFIRMED
PROC143	SEM136	SH+E+CTH+Y	CTH+SH	HALTEN · KURZ · BEREITEN · DIES	shecthy	1	UNCHANGED__SHORT_ROOT_CONFIRMED
