event_id	page	record	statement_id	owner_de	card_no	surface	component_recipe	process_roots	reading_de	root_expansion_de	form_owner_boundary_status
E002	f10r	H1	H1-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC002	cthoor	CTH+O+OR	CTH	BEREITEN · ARBEITSGANG · ANSATZ	den laufenden Posten arbeitsbereit machen	UNCHANGED
E014	f10r	H1	H1-S002	abgebildete breit gezähnte radialblütige Pflanze	PROC014	cthy	CTH+Y	CTH	BEREITEN · DIES	den laufenden Posten arbeitsbereit machen	UNCHANGED
E016	f10r	H2	H2-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC014	cthy	CTH+Y	CTH	BEREITEN · DIES	den laufenden Posten arbeitsbereit machen	UNCHANGED
E018	f10r	H2	H2-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC017	cthaiin	CTH+AIIN	CTH	BEREITEN · SOLLMASS	den laufenden Posten arbeitsbereit machen	UNCHANGED
E019	f10r	H2	H2-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC018	qoctholy	O+CTH+OL+Y	CTH	ARBEITSGANG · BEREITEN · WEITER · DIES	den laufenden Posten arbeitsbereit machen	UNCHANGED
E039	f11r	H3	H3-S001	abgebildete dicht blau blühende Kronenpflanze	PROC026	tshol	T+SH+OL	SH	ANWENDEN · HALTEN · WEITER	den Posten im aktuellen Zustand oder an der aktuellen Stelle halten	UNCHANGED
E040	f11r	H3	H3-S001	abgebildete dicht blau blühende Kronenpflanze	PROC027	schoal	SH+O+AL	SH	HALTEN · ARBEITSGANG · ZIELSTELLE	den Posten im aktuellen Zustand oder an der aktuellen Stelle halten	UNCHANGED
E042	f11r	H3	H3-S001	abgebildete dicht blau blühende Kronenpflanze	PROC029	shfydaiin	SH+Y+AIIN	SH	HALTEN · DIES · SOLLMASS	den Posten im aktuellen Zustand oder an der aktuellen Stelle halten	UNCHANGED
E044	f11r	H3	H3-S001	abgebildete dicht blau blühende Kronenpflanze	PROC031	shey	SH+EE+Y	SH	HALTEN · LANG · DIES	den Posten im aktuellen Zustand oder an der aktuellen Stelle halten	UNCHANGED
E046	f11r	H3	H3-S002	abgebildete dicht blau blühende Kronenpflanze	PROC033	shoyty	SH+O+Y+T+Y	SH	HALTEN · ARBEITSGANG · DIES · ANWENDEN · DIES	den Posten im aktuellen Zustand oder an der aktuellen Stelle halten	UNCHANGED
E054	f11r	H3	H3-S004	abgebildete dicht blau blühende Kronenpflanze	PROC014	cthy	CTH+Y	CTH	BEREITEN · DIES	den laufenden Posten arbeitsbereit machen	UNCHANGED
E066	f55v	H4	H4-S003	abgebildete breitblättrige rispige Pflanze	PROC046	cheeky	CHK+EE+Y	CHK	WAERMEN · LANG · DIES	den Posten auf Arbeitswärme bringen oder warm halten	UNCHANGED
E087	f56r	H5	H5-S003	abgebildete mehrköpfige stachelige Pflanze	PROC058	sh	SH	SH	HALTEN	den Posten im aktuellen Zustand oder an der aktuellen Stelle halten	UNCHANGED
