exact_card_id	semantic_family	component_recipe	reading_de	process_roots	registered_surfaces	events	semantic_status
PROC001	SEM001	CH+E+Y	ENTNEHMEN · KURZ · DIES	NONE	dchey	1	UNCHANGED
PROC002	SEM002	CTH+O+OR	BEREITEN · ARBEITSGANG · ANSATZ	CTH	cthoor	1	UNCHANGED
PROC003	SEM003	AR	QUELLE	NONE	char|dar|sar	5	UNCHANGED
PROC004	SEM004	T+Y	ANWENDEN · DIES	NONE	chety|chty	2	UNCHANGED
PROC005	SEM005	OS	FACH	NONE	os	1	UNCHANGED
PROC006	SEM006	CH+AIR	ENTNEHMEN · WASSER	NONE	chair	1	UNCHANGED
PROC007	SEM007	OT+Y+T+CH+OL	DANACH · DIES · ANWENDEN · ENTNEHMEN · WEITER	NONE	otytchol	1	UNCHANGED
PROC008	SEM008	OK+Y	ANSETZEN · DIES	NONE	choky|oky|qoky	10	UNCHANGED
PROC011	SEM008	OK+Y	ANSETZEN · DIES	NONE	chokchy|okchy|qokchy	3	UNCHANGED
PROC009	SEM009	AIIN	SOLLMASS	NONE	aiin|chaiin|daiin|saiin|taiin	20	UNCHANGED
PROC010	SEM010	E+T+Y	KURZ · ANWENDEN · DIES	NONE	etyd	1	UNCHANGED
PROC012	SEM011	OT+CH+OL	DANACH · ENTNEHMEN · WEITER	NONE	qotchol	1	UNCHANGED
PROC013	SEM012	OL	WEITER	NONE	cheol|chol|ol|qol|sol|tol	19	UNCHANGED
PROC115	SEM012	OL	WEITER	NONE	ls	1	UNCHANGED
PROC014	SEM013	CTH+Y	BEREITEN · DIES	CTH	checthy|cthy|shcthy	7	UNCHANGED
PROC015	SEM014	Y+CH+E+OR	DIES · ENTNEHMEN · KURZ · ANSATZ	NONE	ycheor	1	UNCHANGED
PROC016	SEM015	OR	ANSATZ	NONE	chor|or|shor|sor	7	UNCHANGED
PROC017	SEM016	CTH+AIIN	BEREITEN · SOLLMASS	CTH	cthaiin	1	UNCHANGED
PROC018	SEM017	O+CTH+OL+Y	ARBEITSGANG · BEREITEN · WEITER · DIES	CTH	qoctholy	1	UNCHANGED
PROC019	SEM018	Y	DIES	NONE	chey|chy|dy|shy|sy|y	18	UNCHANGED
PROC020	SEM019	OT+CH+OR	DANACH · ENTNEHMEN · ANSATZ	NONE	otchor|qotchor	2	UNCHANGED
PROC021	SEM020	OT+OL	DANACH · WEITER	NONE	otol	1	UNCHANGED
PROC022	SEM021	OL+OR	WEITER · ANSATZ	NONE	cholor|olor	2	UNCHANGED
PROC023	SEM022	O+Y+K+OR	ARBEITSGANG · DIES · ZUGEBEN · ANSATZ	NONE	oykchor	1	UNCHANGED
PROC024	SEM023	K+IIN	ZUGEBEN · ARBEITSSTUFE	NONE	kaiiin	1	UNCHANGED
PROC025	SEM024	CH+O+AIIN	ENTNEHMEN · ARBEITSGANG · SOLLMASS	NONE	chodaiin	1	UNCHANGED
PROC026	SEM025	T+SH+OL	ANWENDEN · HALTEN · WEITER	SH	tshol	1	UNCHANGED
PROC027	SEM026	SH+O+AL	HALTEN · ARBEITSGANG · ZIELSTELLE	SH	schoal	1	UNCHANGED
PROC028	SEM027	CFH+Y	AUSWRINGEN · DIES	NONE	cfhy	1	UNCHANGED
PROC029	SEM028	SH+Y+AIIN	HALTEN · DIES · SOLLMASS	SH	shfydaiin	1	UNCHANGED
PROC030	SEM029	P+Y	EINFUELLEN · DIES	NONE	cphy	1	UNCHANGED
PROC031	SEM030	SH+EE+Y	HALTEN · LANG · DIES	SH	cheey|shey	4	UNCHANGED
PROC157	SEM030	SH+EE+Y	HALTEN · LANG · DIES	SH	sheey	1	UNCHANGED
PROC032	SEM031	T+CH+O+DY	ANWENDEN · ENTNEHMEN · ARBEITSGANG · SCHLUSS	NONE	tchody	1	UNCHANGED
PROC033	SEM032	SH+O+Y+T+Y	HALTEN · ARBEITSGANG · DIES · ANWENDEN · DIES	SH	shoyty	1	UNCHANGED
PROC034	SEM033	RESUME_CARD	WIEDERAUFNEHMEN	NONE	dchol|schol	2	UNCHANGED
PROC035	SEM034	K+Y	ZUGEBEN · DIES	NONE	kchy	1	UNCHANGED
PROC036	SEM035	OT+Y	DANACH · DIES	NONE	qotchy	1	UNCHANGED
PROC065	SEM035	OT+Y	DANACH · DIES	NONE	otchey	2	UNCHANGED
PROC037	SEM036	OK+OL	ANSETZEN · WEITER	NONE	okchol	1	UNCHANGED
PROC160	SEM036	OK+OL	ANSETZEN · WEITER	NONE	qokol	1	UNCHANGED
PROC038	SEM037	OK+AIIN	ANSETZEN · SOLLMASS	NONE	okaiin|qokaiin	9	UNCHANGED
PROC039	SEM038	Y+K+AIN	DIES · ZUGEBEN · PORTION	NONE	ykain	1	UNCHANGED
