assignment_ordinal	slot_id	layer	source_event_or_card_id	statement_or_record_id	physical_page	register	owner	surface	slot_position	root	primary_governor_key	direct_governor_tokens	governor_group_tokens	governor_object_scope	same_card_action_inventory	previous_visible_action	next_visible_action	gdt582_broad_default_de	gdt583_rule_id	gdt583_working_default_de	gdt583_concrete_sense_de	gdt583_reading_tier	gdt583_change_status	gdt583_rationale	gdt583_context_signature	gdt583_guard
1	RUNNING:G407-E0001@5	RUNNING_ATOM	G407-E0001	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	fachys	5	S	ACTION:G407-E0001@5:S	S	S	SAME_CARD_DIRECT_HOST	CH|S	CH	NONE	Sondere aus	S_SOURCE_SORT_OUT	Sondere aus	Arbeitsgut oder Wert aussondern	REGISTER_SUBREADING	SPECIFIC_GDT582_READING_RETAINED	Source-Aussonder-Verbrahmen	SOURCE_SECTION_T::D[S]::G[S]::P[CH]::N[NONE]	EXACT_GDT582_SLOT_AND_PRIMARY_GOVERNOR_RETAINED__REPLACEABLE_WORKING_SENSE__NO_NEW_SEGMENT
2	RUNNING:G407-E0004@2	RUNNING_ATOM	G407-E0004	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	ataiin	2	T	ACTION:G407-E0004@2:T	AIIN|A_ADDR|T	AIIN|A_ADDR|T	SAME_CARD_DIRECT_HOST	T	NONE	NONE	Stelle ein oder temperiere	T_SOURCE_FIX	Lege fest	Arbeitsbedingung oder Wert festlegen	REGISTER_SUBREADING	LEXICALLY_REFINED	Source besitzt in GDT568 den Festlege-Verbrahmen	SOURCE_SECTION_T::D[AIIN|A_ADDR|T]::G[AIIN|A_ADDR|T]::P[NONE]::N[NONE]	EXACT_GDT582_SLOT_AND_PRIMARY_GOVERNOR_RETAINED__REPLACEABLE_WORKING_SENSE__NO_NEW_SEGMENT
3	RUNNING:G407-E0005@1	RUNNING_ATOM	G407-E0005	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	shol	1	SH	ACTION:G407-E0005@1:SH	SH	SH	SAME_CARD_DIRECT_HOST	SH	NONE	NONE	Lass ruhen	SH_SOURCE_REST	Lass ruhen	Arbeitsgut oder Ansatz ruhen lassen	REGISTER_SUBREADING	SPECIFIC_GDT582_READING_RETAINED	Source-Ruhenlassen-Verbrahmen	SOURCE_SECTION_T::D[SH]::G[SH]::P[NONE]::N[NONE]	EXACT_GDT582_SLOT_AND_PRIMARY_GOVERNOR_RETAINED__REPLACEABLE_WORKING_SENSE__NO_NEW_SEGMENT
4	RUNNING:G407-E0006@1	RUNNING_ATOM	G407-E0006	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	shory	1	SH	ACTION:G407-E0006@1:SH	OR|SH|Y	OR|SH|Y	SAME_CARD_DIRECT_HOST	SH	NONE	NONE	Lass ruhen	SH_SOURCE_REST	Lass ruhen	Arbeitsgut oder Ansatz ruhen lassen	REGISTER_SUBREADING	SPECIFIC_GDT582_READING_RETAINED	Source-Ruhenlassen-Verbrahmen	SOURCE_SECTION_T::D[OR|SH|Y]::G[OR|SH|Y]::P[NONE]::N[NONE]	EXACT_GDT582_SLOT_AND_PRIMARY_GOVERNOR_RETAINED__REPLACEABLE_WORKING_SENSE__NO_NEW_SEGMENT
5	RUNNING:G407-E0007@2	RUNNING_ATOM	G407-E0007	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	cthres	2	T	ACTION:G407-E0007@2:T	E|T	E|T	SAME_CARD_DIRECT_HOST	CH|R|S|T	CH	R	Stelle ein oder temperiere	T_SOURCE_FIX	Lege fest	Arbeitsbedingung oder Wert festlegen	REGISTER_SUBREADING	LEXICALLY_REFINED	Source besitzt in GDT568 den Festlege-Verbrahmen	SOURCE_SECTION_T::D[E|T]::G[E|T]::P[CH]::N[R]	EXACT_GDT582_SLOT_AND_PRIMARY_GOVERNOR_RETAINED__REPLACEABLE_WORKING_SENSE__NO_NEW_SEGMENT
6	RUNNING:G407-E0007@5	RUNNING_ATOM	G407-E0007	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	cthres	5	S	ACTION:G407-E0007@5:S	S	S|Y	COMPLETE_GDT581_HOST_INCLUDES_REMOTE_ARGUMENT	CH|R|S|T	R	NONE	Sondere aus	S_SOURCE_SORT_OUT	Sondere aus	Arbeitsgut oder Wert aussondern	REGISTER_SUBREADING	SPECIFIC_GDT582_READING_RETAINED	Source-Aussonder-Verbrahmen	SOURCE_SECTION_T::D[S]::G[S|Y]::P[R]::N[NONE]	EXACT_GDT582_SLOT_AND_PRIMARY_GOVERNOR_RETAINED__REPLACEABLE_WORKING_SENSE__NO_NEW_SEGMENT
7	RUNNING:G407-E0010@1	RUNNING_ATOM	G407-E0010	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	sholdy	1	SH	ACTION:G407-E0010@1:SH	D_ADDR|SH|Y	D_ADDR|SH|Y	SAME_CARD_DIRECT_HOST	SH	NONE	NONE	Lass ruhen	SH_SOURCE_REST	Lass ruhen	Arbeitsgut oder Ansatz ruhen lassen	REGISTER_SUBREADING	SPECIFIC_GDT582_READING_RETAINED	Source-Ruhenlassen-Verbrahmen	SOURCE_SECTION_T::D[D_ADDR|SH|Y]::G[D_ADDR|SH|Y]::P[NONE]::N[NONE]	EXACT_GDT582_SLOT_AND_PRIMARY_GOVERNOR_RETAINED__REPLACEABLE_WORKING_SENSE__NO_NEW_SEGMENT
8	RUNNING:G407-E0011@1	RUNNING_ATOM	G407-E0011	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	sory	1	S	ACTION:G407-E0011@1:S	OR|S|Y	OR|S|Y	SAME_CARD_DIRECT_HOST	S	NONE	NONE	Sondere aus	S_SOURCE_SORT_OUT	Sondere aus	Arbeitsgut oder Wert aussondern	REGISTER_SUBREADING	SPECIFIC_GDT582_READING_RETAINED	Source-Aussonder-Verbrahmen	SOURCE_SECTION_T::D[OR|S|Y]::G[OR|S|Y]::P[NONE]::N[NONE]	EXACT_GDT582_SLOT_AND_PRIMARY_GOVERNOR_RETAINED__REPLACEABLE_WORKING_SENSE__NO_NEW_SEGMENT
9	RUNNING:G407-E0016@2	RUNNING_ATOM	G407-E0016	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	chtaiin	2	T	ACTION:G407-E0016@2:T	AIIN|T	AIIN|T	SAME_CARD_DIRECT_HOST	CH|T	CH	NONE	Stelle ein oder temperiere	T_SOURCE_FIX	Lege fest	Arbeitsbedingung oder Wert festlegen	REGISTER_SUBREADING	LEXICALLY_REFINED	Source besitzt in GDT568 den Festlege-Verbrahmen	SOURCE_SECTION_T::D[AIIN|T]::G[AIIN|T]::P[CH]::N[NONE]	EXACT_GDT582_SLOT_AND_PRIMARY_GOVERNOR_RETAINED__REPLACEABLE_WORKING_SENSE__NO_NEW_SEGMENT
10	RUNNING:G407-E0017@1	RUNNING_ATOM	G407-E0017	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	shar	1	SH	ACTION:G407-E0017@1:SH	AR|SH	AR|SH	SAME_CARD_DIRECT_HOST	SH	NONE	NONE	Lass ruhen	SH_SOURCE_REST	Lass ruhen	Arbeitsgut oder Ansatz ruhen lassen	REGISTER_SUBREADING	SPECIFIC_GDT582_READING_RETAINED	Source-Ruhenlassen-Verbrahmen	SOURCE_SECTION_T::D[AR|SH]::G[AR|SH]::P[NONE]::N[NONE]	EXACT_GDT582_SLOT_AND_PRIMARY_GOVERNOR_RETAINED__REPLACEABLE_WORKING_SENSE__NO_NEW_SEGMENT
