passage_ordinal	statement_id	physical_page	register	owner_id	event_count	affected_event_count	surface_sequence	gdt582_concrete_reading_de	gdt583_exact_refined_reading_de	editorial_working_paragraph_de	editorial_status	guard
1	G407-S002	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	10	6	odar shol cphoy oydar sh s cfhoaiin shodary yshey shody	im Besitzerrahmen [OWNER:F1R_TEXT_BLOCK_B]: in Arbeitsform, an der Arbeitsstelle, von der Quelle oder aus dem Ausgangsgefäß. Lass ruhen; im Steuerrahmen [CONTROL:G407-E0048@2:OL]: weiter im selben Arbeitsgang. Entnimm; Bringe ein: in Arbeitsform, Arbeitsgut. beim Einbringen [ACTION:G407-E0049@2:P]: in Arbeitsform, Arbeitsgut, an der Arbeitsstelle, von der Quelle oder aus dem Ausgangsgefäß. Lass ruhen. Sondere aus. Entnimm: in Feinform, in Arbeitsform, Flüssigkeitsmaß. Lass ruhen: in Arbeitsform, an der Arbeitsstelle, von der Quelle oder aus dem Ausgangsgefäß, Arbeitsgut. Lass ruhen: Arbeitsgut, auf Grad I, Arbeitsgut. Lass ruhen: in Arbeitsform; im Steuerrahmen [CONTROL:G407-E0056@3:DY]: Arbeitsgang abschließen.	im Besitzerrahmen [OWNER:F1R_TEXT_BLOCK_B]: in Arbeitsform, an der Arbeitsstelle, von der Quelle oder aus dem Ausgangsgefäß. Lass ruhen; im Steuerrahmen [CONTROL:G407-E0048@2:OL]: weiter im selben Arbeitsgang. Entnimm; Bringe ein: in Arbeitsform, Arbeitsgut. beim Einbringen [ACTION:G407-E0049@2:P]: in Arbeitsform, Arbeitsgut, an der Arbeitsstelle, von der Quelle oder aus dem Ausgangsgefäß. Lass ruhen. Sondere aus. Entnimm: in Feinform, in Arbeitsform, Flüssigkeitsmaß. Lass ruhen: in Arbeitsform, an der Arbeitsstelle, von der Quelle oder aus dem Ausgangsgefäß, Arbeitsgut. Lass ruhen: Arbeitsgut, auf Grad I, Arbeitsgut. Lass ruhen: in Arbeitsform; im Steuerrahmen [CONTROL:G407-E0056@3:DY]: Arbeitsgang abschließen.	Arbeite an der Arbeitsstelle in Arbeitsform vom Ausgangsgefäß her. Lass ruhen und fahre im selben Gang fort. Entnimm Arbeitsgut und bring es dort in Arbeitsform ein. Lass ruhen, sondere aus und entnimm ein Flüssigkeitsmaß in Feinform. Lass das Arbeitsgut in Arbeitsform an der Arbeitsstelle aus der Quelle ruhen; halte äußeres und inneres Gut gemeinsam auf Stufe I. Lass die Arbeitsform abschließend ruhen und schließe den Gang.	EVENT_ORDER_PRESERVED__TRACELESS_READER_CHANNEL	FOUR_FIXED_PASSAGES_PER_REGISTER__NO_NEW_PAGE_OR_SURFACE
2	G407-S003	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	12	4	okchoy otchol chocthy os chy dain chor kos daiin shos cfhol shody	Setze an; Entnimm: in Arbeitsform, Arbeitsgut. im Steuerrahmen [CONTROL:G407-E0058@1:OT]: danach / neuer Arbeitsgang; Entnimm; im Steuerrahmen [CONTROL:G407-E0058@3:OL]: weiter im selben Arbeitsgang. Entnimm: in Arbeitsform; Entnimm; Stelle ein oder temperiere: Arbeitsgut. im Rahmen [G407-E0059@4:T]: mit Vorbezug. beim Einstellen oder Temperieren [ACTION:G407-E0059@4:T]: Arbeitsgut. beim Einstellen oder Temperieren [ACTION:G407-E0059@4:T]: Portion. Entnimm: Ansatz. Gib zu: in Arbeitsform; Sondere aus. beim Auswählen oder Aussondern [ACTION:G407-E0064@3:S]: Flüssigkeitsmaß. Lass ruhen: in Arbeitsform; Sondere aus. Entnimm: in Feinform; im Steuerrahmen [CONTROL:G407-E0067@3:OL]: weiter im selben Arbeitsgang. Lass ruhen: in Arbeitsform; im Steuerrahmen [CONTROL:G407-E0068@3:DY]: Arbeitsgang abschließen.	Setze an; Entnimm: in Arbeitsform, Arbeitsgut. im Steuerrahmen [CONTROL:G407-E0058@1:OT]: danach / neuer Arbeitsgang; Entnimm; im Steuerrahmen [CONTROL:G407-E0058@3:OL]: weiter im selben Arbeitsgang. Entnimm: in Arbeitsform; Entnimm; Lege fest: Arbeitsgut. im Rahmen [G407-E0059@4:T]: mit Vorbezug. beim Einstellen oder Temperieren [ACTION:G407-E0059@4:T]: Arbeitsgut. beim Einstellen oder Temperieren [ACTION:G407-E0059@4:T]: Portion. Entnimm: Ansatz. Gib zu: in Arbeitsform; Sondere aus. beim Auswählen oder Aussondern [ACTION:G407-E0064@3:S]: Flüssigkeitsmaß. Lass ruhen: in Arbeitsform; Sondere aus. Entnimm: in Feinform; im Steuerrahmen [CONTROL:G407-E0067@3:OL]: weiter im selben Arbeitsgang. Halte: in Arbeitsform; im Steuerrahmen [CONTROL:G407-E0068@3:DY]: Arbeitsgang abschließen.	Setze Arbeitsgut in Arbeitsform an und entnimm es. Beginne danach einen neuen Gang und entnimm weiter. Entnimm nochmals in Arbeitsform und bring Arbeitsgut und Portion auf die eingestellte beziehungsweise temperierte Bedingung. Entnimm die Ansatzeinheit, gib in Arbeitsform zu und sondere ein Flüssigkeitsmaß aus. Lass die Form ruhen, sondere erneut aus, entnimm in Feinform und fahre fort. Lass die Arbeitsform ruhen und schließe.	EVENT_ORDER_PRESERVED__TRACELESS_READER_CHANNEL	FOUR_FIXED_PASSAGES_PER_REGISTER__NO_NEW_PAGE_OR_SURFACE
3	G515-S042	f66r	SOURCE_SECTION_T	F66R_TEXT_BLOCK_02	22	9	tocpheey dol kchody qokeody qokshy qopaiin dairykodas okyd dsholdaiir dalky shky qoky shekair choty dar okeey shdy ykol qo cheky shcthy dalalshedy	Stelle ein oder temperiere: in Arbeitsform; Entnimm; Bringe ein: auf Grad II, Arbeitsgut. im Steuerrahmen [CONTROL:G515-E0359:STATE_CARD]: an der Arbeitsstelle; im Steuerrahmen [CONTROL:G515-E0359@2:OL]: weiter im selben Arbeitsgang. Gib zu; Entnimm: in Arbeitsform, an der Arbeitsstelle, Arbeitsgut. Setze an: auf Grad I, in Arbeitsform, an der Arbeitsstelle, Arbeitsgut. Setze an; Lass ruhen: Arbeitsgut. Bringe ein: als Neuansatz, in Arbeitsform, Flüssigkeitsmaß. Gib zu: an der Arbeitsstelle, entlang des Arbeitswegs, Arbeitsgut, in Arbeitsform; Sondere aus: im zweiten Durchgang. Setze an: Arbeitsgut, an der Arbeitsstelle. Lass ruhen: an der Arbeitsstelle, im zweiten Durchgang; im Steuerrahmen [CONTROL:G515-E0366@3:OL]: weiter im selben Arbeitsgang; Kennzeichne oder prüfe: auf der bezeichneten Stufe. beim Ruhenlassen [ACTION:G515-E0366@2:SH]: zur Zielstelle oder ins Zielgefäß; Gib zu: Arbeitsgut. Lass ruhen; Gib zu: Arbeitsgut. Setze an: Arbeitsgut. Lass ruhen: auf Grad I; Gib zu: entlang des Arbeitswegs. Entnimm: Arbeitsgut; im Steuerrahmen [CONTROL:G515-E0371@2:OT]: danach / neuer Arbeitsgang. beim Entnehmen [ACTION:G515-E0371@1:CH]: an der Arbeitsstelle, von der Quelle oder aus dem Ausgangsgefäß. Setze an: auf Grad II, Arbeitsgut. Lass ruhen: an der Arbeitsstelle, Arbeitsgut. Gib zu: Arbeitsgut; im Steuerrahmen [CONTROL:G515-E0375@3:OL]: weiter im selben Arbeitsgang. im Rahmen [G515-E0375@2:K]: in Arbeitsform. Entnimm; Gib zu: auf Grad I, Arbeitsgut. Lass ruhen; Entnimm; Stelle ein oder temperiere: Arbeitsgut. beim Einstellen oder Temperieren [ACTION:G515-E0378@3:T]: zur Zielstelle oder ins Zielgefäß, zur Zielstelle oder ins Zielgefäß; Lass ruhen: auf Grad I; im Steuerrahmen [CONTROL:G515-E0379@5:DY]: Arbeitsgang abschließen.	Lege fest: in Arbeitsform; Entnimm; Bringe ein: auf Grad II, Arbeitsgut. im Steuerrahmen [CONTROL:G515-E0359:STATE_CARD]: an der Arbeitsstelle; im Steuerrahmen [CONTROL:G515-E0359@2:OL]: weiter im selben Arbeitsgang. Gib zu; Entnimm: in Arbeitsform, an der Arbeitsstelle, Arbeitsgut. Setze an: auf Grad I, in Arbeitsform, an der Arbeitsstelle, Arbeitsgut. Setze an; Lass ruhen: Arbeitsgut. Bringe ein: als Neuansatz, in Arbeitsform, Flüssigkeitsmaß. Gib zu: an der Arbeitsstelle, entlang des Arbeitswegs, Arbeitsgut, in Arbeitsform; Sondere aus: im zweiten Durchgang. Setze an: Arbeitsgut, an der Arbeitsstelle. Lass ruhen: an der Arbeitsstelle, im zweiten Durchgang; im Steuerrahmen [CONTROL:G515-E0366@3:OL]: weiter im selben Arbeitsgang; Kennzeichne oder prüfe: auf der bezeichneten Stufe. beim Ruhenlassen [ACTION:G515-E0366@2:SH]: zur Zielstelle oder ins Zielgefäß; Gib zu: Arbeitsgut. Lass ruhen; Gib zu: Arbeitsgut. Setze an: Arbeitsgut. Lass ruhen: auf Grad I; Gib zu: entlang des Arbeitswegs. Entnimm: Arbeitsgut; im Steuerrahmen [CONTROL:G515-E0371@2:OT]: danach / neuer Arbeitsgang. beim Entnehmen [ACTION:G515-E0371@1:CH]: an der Arbeitsstelle, von der Quelle oder aus dem Ausgangsgefäß. Setze an: auf Grad II, Arbeitsgut. Lass ruhen: an der Arbeitsstelle, Arbeitsgut. Gib zu: Arbeitsgut; im Steuerrahmen [CONTROL:G515-E0375@3:OL]: weiter im selben Arbeitsgang. im Rahmen [G515-E0375@2:K]: in Arbeitsform. Entnimm; Gib zu: auf Grad I, Arbeitsgut. Lass ruhen; Entnimm; Lege fest: Arbeitsgut. beim Einstellen oder Temperieren [ACTION:G515-E0378@3:T]: zur Zielstelle oder ins Zielgefäß, zur Zielstelle oder ins Zielgefäß; Lass ruhen: auf Grad I; im Steuerrahmen [CONTROL:G515-E0379@5:DY]: Arbeitsgang abschließen.	Temperiere in Arbeitsform, entnimm und bring Arbeitsgut auf Stufe II ein. Fahre an der Arbeitsstelle fort; gib zu, entnimm und setze das Gut dort auf Stufe I an. Lass den Ansatz ruhen und bring als Neuansatz ein Flüssigkeitsmaß ein. Gib das Arbeitsgut am Arbeitsweg zu und sondere es im zweiten Durchgang aus. Setze es an der Arbeitsstelle an, lass es dort im zweiten Durchgang ruhen und prüfe die bezeichnete Stufe. Gib das Gut zum Ziel, lass ruhen, gib erneut zu und setze an. Lass auf Stufe I ruhen und gib entlang des Arbeitswegs zu. Entnimm dann aus dem Ausgangsgefäß in einen neuen Gang, setze auf Stufe II an, lass an der Arbeitsstelle ruhen und gib in Arbeitsform weiter zu. Entnimm, gib auf Stufe I zu, lass ruhen, entnimm und temperiere. Übernimm diese Einstellung für beide Zielstellen, lass auf Stufe I ruhen und schließe.	EVENT_ORDER_PRESERVED__TRACELESS_READER_CHANNEL	FOUR_FIXED_PASSAGES_PER_REGISTER__NO_NEW_PAGE_OR_SURFACE
4	G515-S043	f66r	SOURCE_SECTION_T	F66R_TEXT_BLOCK_02	15	9	cheta r sheod shokaiir chy dard shor sheodal sholdy qokchedy qopchy qoty chedaiir chees kardy	Entnimm: auf Grad I; Stelle ein oder temperiere: an der Hauptstelle. Kennzeichne oder prüfe. Lass ruhen: auf Grad I, in Arbeitsform, an der Arbeitsstelle. Lass ruhen; Setze an: auf der bezeichneten Stufe; Kennzeichne oder prüfe. beim Ansetzen [ACTION:G515-E0383@2:OK]: Arbeitsgut. beim Kennzeichnen oder Prüfen [ACTION:G515-E0383@4:R]: an der Arbeitsstelle, an der Arbeitsstelle; beim Ansetzen [ACTION:G515-E0383@2:OK]: von der Quelle oder aus dem Ausgangsgefäß. Lass ruhen: Ansatz. Lass ruhen: auf Grad I, in Arbeitsform, zur Zielstelle oder ins Zielgefäß. Lass ruhen: an der Arbeitsstelle, Arbeitsgut; im Steuerrahmen [CONTROL:G515-E0388@2:OL]: weiter im selben Arbeitsgang. Setze an; Bearbeite: Arbeitsgut. Bringe ein: in Arbeitsform, Arbeitsgut. im Steuerrahmen [CONTROL:G515-E0391@1:OT]: danach / neuer Arbeitsgang; beim Einbringen [ACTION:G515-E0390@2:P]: Arbeitsgut. Bearbeite: auf der bezeichneten Stufe; Kennzeichne oder prüfe. Lass ruhen: auf Grad II, an der Endstelle. Gib zu: von der Quelle oder aus dem Ausgangsgefäß; im Steuerrahmen [CONTROL:G515-E0394@3:DY]: Arbeitsgang abschließen.	Entnimm: auf Grad I; Lege fest: an der Hauptstelle. Kennzeichne oder prüfe. Lass ruhen: auf Grad I, in Arbeitsform, an der Arbeitsstelle. Lass ruhen; Setze an: auf der bezeichneten Stufe; Kennzeichne oder prüfe. beim Ansetzen [ACTION:G515-E0383@2:OK]: Arbeitsgut. beim Kennzeichnen oder Prüfen [ACTION:G515-E0383@4:R]: an der Arbeitsstelle, an der Arbeitsstelle; beim Ansetzen [ACTION:G515-E0383@2:OK]: von der Quelle oder aus dem Ausgangsgefäß. Lass ruhen: Ansatz. Lass ruhen: auf Grad I, in Arbeitsform, zur Zielstelle oder ins Zielgefäß. Lass ruhen: an der Arbeitsstelle, Arbeitsgut; im Steuerrahmen [CONTROL:G515-E0388@2:OL]: weiter im selben Arbeitsgang. Setze an; Bearbeite: Arbeitsgut. Bringe ein: in Arbeitsform, Arbeitsgut. im Steuerrahmen [CONTROL:G515-E0391@1:OT]: danach / neuer Arbeitsgang; beim Einbringen [ACTION:G515-E0390@2:P]: Arbeitsgut. Bearbeite: auf der bezeichneten Stufe; Kennzeichne oder prüfe. Lass ruhen: auf Grad II, an der Endstelle. Gib zu: von der Quelle oder aus dem Ausgangsgefäß; im Steuerrahmen [CONTROL:G515-E0394@3:DY]: Arbeitsgang abschließen.	Entnimm auf Stufe I, stelle die Bedingung an der Hauptstelle ein und prüfe. Lass die Arbeitsform auf Stufe I an der Arbeitsstelle ruhen. Lass weiter ruhen, setze das Arbeitsgut auf der bezeichneten Stufe aus dem Ausgangsgefäß an und prüfe beide Arbeitsstellen. Lass den Ansatz ruhen; lass ihn danach auf Stufe I in Arbeitsform im Zielgefäß und anschließend weiter an der Arbeitsstelle ruhen. Setze das Gut an und arbeite es auf, bring es in Arbeitsform ein und eröffne damit den nächsten Gang. Bearbeite es auf der bezeichneten Stufe, prüfe, lass es auf Stufe II an der Endstelle ruhen, gib aus dem Ausgangsgefäß zu und schließe.	EVENT_ORDER_PRESERVED__TRACELESS_READER_CHANNEL	FOUR_FIXED_PASSAGES_PER_REGISTER__NO_NEW_PAGE_OR_SURFACE
5	G407-S010	f11r	HERBAL	blühender dreikroniger Sodenstock	7	5	tshol schoal cfhy shfydaiin cphy shey tchody	Stelle ein oder temperiere; Halte oder lass ziehen; im Steuerrahmen [CONTROL:G407-E0307@3:OL]: weiter im selben Arbeitsgang. Halte oder lass ziehen: in Zubereitungsform, zur Zielstelle oder ins Auffanggefäß. Entnimm oder ziehe aus: in Feinform, Pflanzencharge. Halte oder lass ziehen: Pflanzencharge, Pflanzenauszug oder Arbeitsmaß. Entnimm oder ziehe aus; Bringe ein: Pflanzencharge. Halte oder lass ziehen: auf Grad I, Pflanzencharge. Stelle ein oder temperiere; Entnimm oder ziehe aus: in Zubereitungsform; im Steuerrahmen [CONTROL:G407-E0313@4:DY]: Arbeitsgang abschließen.	Erwärme; Halte; im Steuerrahmen [CONTROL:G407-E0307@3:OL]: weiter im selben Arbeitsgang. Halte: in Zubereitungsform, zur Zielstelle oder ins Auffanggefäß. Entnimm oder ziehe aus: in Feinform, Pflanzencharge. Lass den Auszug ziehen: Pflanzencharge, Pflanzenauszug oder Arbeitsmaß. Entnimm oder ziehe aus; Bringe ein: Pflanzencharge. Weiche ein: auf Grad I, Pflanzencharge. Stelle ein oder temperiere; Entnimm oder ziehe aus: in Zubereitungsform; im Steuerrahmen [CONTROL:G407-E0313@4:DY]: Arbeitsgang abschließen.	Erwärme den Ansatz und lass ihn im selben Arbeitsgang weiterziehen. Lass die Zubereitung am Ziel- oder Auffanggefäß stehen. Zieh die feine Pflanzencharge ab und lass Pflanzencharge und Auszug beziehungsweise Arbeitsmaß zusammen ziehen. Nimm die Charge heraus und bring sie wieder ein; lass sie auf Stufe I ziehen. Temperiere abschließend und zieh die Zubereitung ab, dann schließe den Arbeitsgang.	EVENT_ORDER_PRESERVED__TRACELESS_READER_CHANNEL	FOUR_FIXED_PASSAGES_PER_REGISTER__NO_NEW_PAGE_OR_SURFACE
6	G407-S013	f13r	HERBAL	große Wurzelkrone mit Blatt und Blütenstand	16	1	tchor dor daiin qotchol okchy okchor oiin chckhy d dchy qoky chol dy qoy d oldy	Stelle ein oder temperiere; Entnimm oder ziehe aus: Pflanzen- oder Arbeitseinheit. beim Entnehmen oder Ausziehen [ACTION:G407-E0408@2:CH]: an der Pflanzen-Arbeitsstelle, Pflanzen- oder Arbeitseinheit. beim Entnehmen oder Ausziehen [ACTION:G407-E0408@2:CH]: Pflanzenauszug oder Arbeitsmaß. im Steuerrahmen [CONTROL:G407-E0411@1:OT]: danach / neuer Arbeitsgang; Entnimm oder ziehe aus; im Steuerrahmen [CONTROL:G407-E0411@3:OL]: weiter im selben Arbeitsgang. Setze den Pflanzenansatz an: Pflanzencharge. Setze den Pflanzenansatz an; Entnimm oder ziehe aus: Pflanzen- oder Arbeitseinheit. im Rahmen [G407-E0413@2:CH]: in Zubereitungsform, auf der Verarbeitungsstufe. Entnimm oder ziehe aus; Gib zu: Pflanzencharge. im Rahmen [G407-E0415@2:K]: an der Pflanzen-Arbeitsstelle. beim Zugeben [ACTION:G407-E0415@2:K]: an der Pflanzen-Arbeitsstelle, Pflanzencharge. Setze den Pflanzenansatz an: Pflanzencharge. im Steuerrahmen [CONTROL:G407-E0419@1:OL]: weiter im selben Arbeitsgang. beim Ansetzen [ACTION:G407-E0418@1:OK]: Pflanzencharge. beim Ansetzen [ACTION:G407-E0418@1:OK]: in Zubereitungsform, Pflanzencharge. im Rahmen [G407-E0418@1:OK]: an der Pflanzen-Arbeitsstelle. im Steuerrahmen [CONTROL:G407-E0423@1:OL]: weiter im selben Arbeitsgang; im Steuerrahmen [CONTROL:G407-E0423@2:DY]: Arbeitsgang abschließen.	Stelle ein oder temperiere; Entnimm oder ziehe aus: Pflanzen- oder Arbeitseinheit. beim Entnehmen oder Ausziehen [ACTION:G407-E0408@2:CH]: an der Pflanzen-Arbeitsstelle, Pflanzen- oder Arbeitseinheit. beim Entnehmen oder Ausziehen [ACTION:G407-E0408@2:CH]: Pflanzenauszug oder Arbeitsmaß. im Steuerrahmen [CONTROL:G407-E0411@1:OT]: danach / neuer Arbeitsgang; Entnimm oder ziehe aus; im Steuerrahmen [CONTROL:G407-E0411@3:OL]: weiter im selben Arbeitsgang. Setze den Pflanzenansatz an: Pflanzencharge. Setze den Pflanzenansatz an; Entnimm oder ziehe aus: Pflanzen- oder Arbeitseinheit. im Rahmen [G407-E0413@2:CH]: in Zubereitungsform, auf der Verarbeitungsstufe. Entnimm oder ziehe aus; Gib zu: Pflanzencharge. im Rahmen [G407-E0415@2:K]: an der Pflanzen-Arbeitsstelle. beim Zugeben [ACTION:G407-E0415@2:K]: an der Pflanzen-Arbeitsstelle, Pflanzencharge. Setze den Pflanzenansatz an: Pflanzencharge. im Steuerrahmen [CONTROL:G407-E0419@1:OL]: weiter im selben Arbeitsgang. beim Ansetzen [ACTION:G407-E0418@1:OK]: Pflanzencharge. beim Ansetzen [ACTION:G407-E0418@1:OK]: in Zubereitungsform, Pflanzencharge. im Rahmen [G407-E0418@1:OK]: an der Pflanzen-Arbeitsstelle. im Steuerrahmen [CONTROL:G407-E0423@1:OL]: weiter im selben Arbeitsgang; im Steuerrahmen [CONTROL:G407-E0423@2:DY]: Arbeitsgang abschließen.	Temperiere eine Pflanzen- oder Arbeitseinheit und zieh sie an der Pflanzenarbeitsstelle ab; nimm dabei Auszug beziehungsweise Arbeitsmaß. Beginne einen neuen Gang und zieh weiter ab. Setze eine Pflanzencharge an, setze die Einheit ebenfalls an und zieh sie in Zubereitungsform auf der Verarbeitungsstufe ab. Entnimm die Charge und gib sie an der Arbeitsstelle zu. Setze die Charge dort weiter in Zubereitungsform an und schließe den Gang.	EVENT_ORDER_PRESERVED__TRACELESS_READER_CHANNEL	FOUR_FIXED_PASSAGES_PER_REGISTER__NO_NEW_PAGE_OR_SURFACE
7	G407-S020	f17r	HERBAL	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	6	0	oldckhy ydair choky okshy qodar ckhody	im Steuerrahmen [CONTROL:G407-E0452@1:OL]: weiter im selben Arbeitsgang; Entnimm oder ziehe aus: an der Pflanzen-Arbeitsstelle; Gib zu: Pflanzencharge. beim Zugeben [ACTION:G407-E0452@4:K]: Pflanzencharge, an der Pflanzen-Arbeitsstelle, entlang des Verarbeitungswegs. Setze den Pflanzenansatz an: Pflanzencharge. Setze den Pflanzenansatz an: Pflanzencharge. beim Ansetzen [ACTION:G407-E0455@1:OK]: in Zubereitungsform, an der Pflanzen-Arbeitsstelle, vom Ausgangsmaterial oder -gefäß. Entnimm oder ziehe aus; Gib zu: in Zubereitungsform; im Steuerrahmen [CONTROL:G407-E0457@4:DY]: Arbeitsgang abschließen.	im Steuerrahmen [CONTROL:G407-E0452@1:OL]: weiter im selben Arbeitsgang; Entnimm oder ziehe aus: an der Pflanzen-Arbeitsstelle; Gib zu: Pflanzencharge. beim Zugeben [ACTION:G407-E0452@4:K]: Pflanzencharge, an der Pflanzen-Arbeitsstelle, entlang des Verarbeitungswegs. Setze den Pflanzenansatz an: Pflanzencharge. Setze den Pflanzenansatz an: Pflanzencharge. beim Ansetzen [ACTION:G407-E0455@1:OK]: in Zubereitungsform, an der Pflanzen-Arbeitsstelle, vom Ausgangsmaterial oder -gefäß. Entnimm oder ziehe aus; Gib zu: in Zubereitungsform; im Steuerrahmen [CONTROL:G407-E0457@4:DY]: Arbeitsgang abschließen.	Fahre fort: Entnimm an der Pflanzenarbeitsstelle und gib die Charge entlang des Verarbeitungswegs zu. Setze die Pflanzencharge zweimal an, den zweiten Ansatz in Zubereitungsform an der Arbeitsstelle aus dem Ausgangsmaterial. Entnimm abschließend und gib in Zubereitungsform zu, dann schließe.	EVENT_ORDER_PRESERVED__TRACELESS_READER_CHANNEL	FOUR_FIXED_PASSAGES_PER_REGISTER__NO_NEW_PAGE_OR_SURFACE
8	G407-S028	f18r	HERBAL	große abgebildete Blütenpflanze	4	0	doldaiin qokchor ckhol olody	im Steuerrahmen [CONTROL:G407-E0570@1:OL]: weiter im selben Arbeitsgang; beim Ansetzen [ACTION:G407-E0571@1:OK]: Pflanzenauszug oder Arbeitsmaß. Setze den Pflanzenansatz an; Entnimm oder ziehe aus: Pflanzen- oder Arbeitseinheit. Entnimm oder ziehe aus; Gib zu; im Steuerrahmen [CONTROL:G407-E0572@3:OL]: weiter im selben Arbeitsgang. im Steuerrahmen [CONTROL:G407-E0573@1:OL]: weiter im selben Arbeitsgang; im Steuerrahmen [CONTROL:G407-E0573:STATE_CARD]: in Zubereitungsform; im Steuerrahmen [CONTROL:G407-E0573@3:DY]: Arbeitsgang abschließen.	im Steuerrahmen [CONTROL:G407-E0570@1:OL]: weiter im selben Arbeitsgang; beim Ansetzen [ACTION:G407-E0571@1:OK]: Pflanzenauszug oder Arbeitsmaß. Setze den Pflanzenansatz an; Entnimm oder ziehe aus: Pflanzen- oder Arbeitseinheit. Entnimm oder ziehe aus; Gib zu; im Steuerrahmen [CONTROL:G407-E0572@3:OL]: weiter im selben Arbeitsgang. im Steuerrahmen [CONTROL:G407-E0573@1:OL]: weiter im selben Arbeitsgang; im Steuerrahmen [CONTROL:G407-E0573:STATE_CARD]: in Zubereitungsform; im Steuerrahmen [CONTROL:G407-E0573@3:DY]: Arbeitsgang abschließen.	Fahre im selben Gang mit dem Auszug oder Arbeitsmaß fort, das zum folgenden Ansatz gehört. Setze den Pflanzenansatz an und zieh eine Pflanzen- oder Arbeitseinheit ab. Entnimm, gib weiter zu, führe den Gang in Zubereitungsform fort und schließe.	EVENT_ORDER_PRESERVED__TRACELESS_READER_CHANNEL	FOUR_FIXED_PASSAGES_PER_REGISTER__NO_NEW_PAGE_OR_SURFACE
9	G407-S041	f67r2	CELESTIAL	zwei getrennte Himmelsräder und Tabelle	7	2	opodchol s ain aldy soeey doiin oldy	Setze ein: in Eintragsform, in Eintragsform, an der unteren Ringstelle; im Steuerrahmen [CONTROL:G407-E0902@5:OL]: weiter im selben Arbeitsgang. Wähle aus. beim Auswählen [ACTION:G407-E0903@1:S]: Sektoranteil. beim Auswählen [ACTION:G407-E0903@1:S]: zur Zielposition, an der unteren Ringstelle, Ringposition. Wähle aus: in Eintragsform, auf Ringstufe II, Ringposition. im Rahmen [G407-E0906@1:S]: an der unteren Ringstelle, in Eintragsform, auf der Feinstufe. im Steuerrahmen [CONTROL:G407-E0908@1:OL]: weiter im selben Arbeitsgang; im Steuerrahmen [CONTROL:G407-E0908@2:DY]: Arbeitsgang abschließen.	Setze ein: in Eintragsform, in Eintragsform, an der unteren Ringstelle; im Steuerrahmen [CONTROL:G407-E0902@5:OL]: weiter im selben Arbeitsgang. Wähle aus. beim Auswählen [ACTION:G407-E0903@1:S]: Sektoranteil. beim Auswählen [ACTION:G407-E0903@1:S]: zur Zielposition, an der unteren Ringstelle, Ringposition. Wähle aus: in Eintragsform, auf Ringstufe II, Ringposition. im Rahmen [G407-E0906@1:S]: an der unteren Ringstelle, in Eintragsform, auf der Feinstufe. im Steuerrahmen [CONTROL:G407-E0908@1:OL]: weiter im selben Arbeitsgang; im Steuerrahmen [CONTROL:G407-E0908@2:DY]: Arbeitsgang abschließen.	Trage an der unteren Ringstelle in doppelter Eintragsform ein und fahre fort. Wähle einen Sektoranteil und die Ringposition an der unteren Zielposition. Wähle dieselbe Position in Eintragsform auf Ringstufe II; die Auswahl gilt an der unteren Ringstelle in Eintragsform auf der Feinstufe. Fahre fort und schließe.	EVENT_ORDER_PRESERVED__TRACELESS_READER_CHANNEL	FOUR_FIXED_PASSAGES_PER_REGISTER__NO_NEW_PAGE_OR_SURFACE
10	G407-S045	f67r2	CELESTIAL	zwei getrennte Himmelsräder und Tabelle	3	1	saiin ochol olol	Wähle aus: Positionswert. im Steuerrahmen [CONTROL:G407-E0943:STATE_CARD]: in Eintragsform; im Steuerrahmen [CONTROL:G407-E0943@2:OL]: weiter im selben Arbeitsgang. im Steuerrahmen [CONTROL:G407-E0944@1:OL]: weiter im selben Arbeitsgang; im Steuerrahmen [CONTROL:G407-E0944@2:OL]: weiter im selben Arbeitsgang.	Wähle aus: Positionswert. im Steuerrahmen [CONTROL:G407-E0943:STATE_CARD]: in Eintragsform; im Steuerrahmen [CONTROL:G407-E0943@2:OL]: weiter im selben Arbeitsgang. im Steuerrahmen [CONTROL:G407-E0944@1:OL]: weiter im selben Arbeitsgang; im Steuerrahmen [CONTROL:G407-E0944@2:OL]: weiter im selben Arbeitsgang.	Wähle den Positionswert in Eintragsform und fahre im selben Gang fort; führe denselben Gang anschließend noch einmal weiter.	EVENT_ORDER_PRESERVED__TRACELESS_READER_CHANNEL	FOUR_FIXED_PASSAGES_PER_REGISTER__NO_NEW_PAGE_OR_SURFACE
