rule_ordinal	rule_id	priority	root	registers	source_ids	physical_pages_not	direct_any	direct_none	host_any	host_none	host_any_groups	previous_actions	next_actions	working_default_de	concrete_sense_de	reading_tier	rationale	scope_guard
1	T_SOURCE_FIX	10	T	SOURCE_SECTION_T	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	Lege fest	Arbeitsbedingung oder Wert festlegen	REGISTER_SUBREADING	Source besitzt in GDT568 den Festlege-Verbrahmen	FIXED_GDT581_ACTION_HOST__REGISTER_OWNER_AND_IMMEDIATE_SAME_CARD_ACTION_DIRECTION_ONLY__NO_SURFACE_RESEGMENTATION
2	T_CELESTIAL_SET	20	T	CELESTIAL	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	Stelle die Ringposition ein	Ringposition oder Tabellenwert einstellen	REGISTER_SUBREADING	celestiales Positions- und Tabellenregister	FIXED_GDT581_ACTION_HOST__REGISTER_OWNER_AND_IMMEDIATE_SAME_CARD_ACTION_DIRECTION_ONLY__NO_SURFACE_RESEGMENTATION
3	T_AFTER_SH_COOL	30	T	HERBAL|BIOLOGICAL|PHARMA	NONE	NONE	NONE	NONE	NONE	NONE	NONE	SH	NONE	Kühle ab	nach dem Halte-, Zieh- oder Badschritt abkühlen	REPEATED_DIRECTIONAL_SEQUENCE	sichtbare Umkehrfolge SH→T im selben festen Kartenhost	FIXED_GDT581_ACTION_HOST__REGISTER_OWNER_AND_IMMEDIATE_SAME_CARD_ACTION_DIRECTION_ONLY__NO_SURFACE_RESEGMENTATION
4	T_HP_BEFORE_CHD_DRY	40	T	HERBAL|PHARMA	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	CHD	Trockne	vor dem Aufarbeiten oder Zerreiben trocknen	LOCAL_BOLD_DIRECTIONAL_SEQUENCE	lokale Folge T→CHD auf f95v	FIXED_GDT581_ACTION_HOST__REGISTER_OWNER_AND_IMMEDIATE_SAME_CARD_ACTION_DIRECTION_ONLY__NO_SURFACE_RESEGMENTATION
5	T_HP_BEFORE_SH_WARM	50	T	HERBAL|PHARMA	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	SH	Erwärme	vor dem Ziehen- oder Halteschritt erwärmen	REPEATED_DIRECTIONAL_SEQUENCE	wiederkehrende Folge T→SH in Pflanzen- und Drogenkarten	FIXED_GDT581_ACTION_HOST__REGISTER_OWNER_AND_IMMEDIATE_SAME_CARD_ACTION_DIRECTION_ONLY__NO_SURFACE_RESEGMENTATION
6	T_PHYSICAL_GRADE_TEMPER	60	T	HERBAL|BIOLOGICAL|PHARMA	NONE	NONE	E|EE|EEE	NONE	NONE	NONE	NONE	NONE	NONE	Temperiere auf den Grad	Charge, Bad oder Ansatz auf die geschriebene Stufe temperieren	GRADE_HOSTED_SUBREADING	Grad ist direkt von T oder einer auf T endenden Aktionskette gehostet	FIXED_GDT581_ACTION_HOST__REGISTER_OWNER_AND_IMMEDIATE_SAME_CARD_ACTION_DIRECTION_ONLY__NO_SURFACE_RESEGMENTATION
7	T_HP_FORM_SET	70	T	HERBAL|PHARMA	NONE	NONE	O|IIN|DA	NONE	NONE	NONE	NONE	NONE	NONE	Stelle Form oder Stufe ein	Zubereitungsform oder Verarbeitungsstufe einstellen	DIRECT_HOST_SUBREADING	Form-, Stufen- oder Durchgangsmarker direkt am T-Kopf	FIXED_GDT581_ACTION_HOST__REGISTER_OWNER_AND_IMMEDIATE_SAME_CARD_ACTION_DIRECTION_ONLY__NO_SURFACE_RESEGMENTATION
8	T_BIO_STATION_REGULATE	80	T	BIOLOGICAL	NONE	f76r	NONE	NONE	NONE	NONE	NONE	NONE	NONE	Reguliere die Station	Bad-, Becken- oder Stationsbedingung regulieren	OWNER_REGISTER_SUBREADING	bebilderter Bad-, Becken- oder Stationsowner	FIXED_GDT581_ACTION_HOST__REGISTER_OWNER_AND_IMMEDIATE_SAME_CARD_ACTION_DIRECTION_ONLY__NO_SURFACE_RESEGMENTATION
9	T_HP_MEASURE_SET	90	T	HERBAL|PHARMA	NONE	NONE	AIIN|AIN|OR|AL|AR|L|AIR|A_ADDR|D_ADDR|S_ADDR	Y	NONE	NONE	NONE	NONE	NONE	Stelle Maß oder Ort ein	Maß, Anteil, Einheit oder Arbeitsort einstellen	DIRECT_HOST_SUBREADING	direktes Maß-, Einheits- oder Ortsargument ohne Charge	FIXED_GDT581_ACTION_HOST__REGISTER_OWNER_AND_IMMEDIATE_SAME_CARD_ACTION_DIRECTION_ONLY__NO_SURFACE_RESEGMENTATION
10	T_PHYSICAL_BROAD	99	T	HERBAL|BIOLOGICAL|PHARMA	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	Stelle ein oder temperiere	Charge oder Arbeitsbedingung einstellen oder temperieren	HONEST_BROAD_FALLBACK	Charge allein entscheidet weder Wärme, Kälte noch Trocknung	FIXED_GDT581_ACTION_HOST__REGISTER_OWNER_AND_IMMEDIATE_SAME_CARD_ACTION_DIRECTION_ONLY__NO_SURFACE_RESEGMENTATION
