inventory_ordinal	concrete_sense_de	candidate_root_slot	assigned_occurrence_count	assigned_working_glosses	current_disposition	working_note
1	temperieren	T	152	Stelle ein oder temperiere|Temperiere auf den Grad	PLACED_IN_GDT583	konkreter Kontextdefault vorhanden
2	erwärmen	T	10	Erwärme	PLACED_IN_GDT583	konkreter Kontextdefault vorhanden
3	kühlen	T	12	Kühle ab	PLACED_IN_GDT583	konkreter Kontextdefault vorhanden
4	trocknen	T	3	Trockne	PLACED_IN_GDT583	konkreter Kontextdefault vorhanden
5	ziehen/einweichen	SH	57	Lass den Auszug ziehen|Weiche ein	PLACED_IN_GDT583	konkreter Kontextdefault vorhanden
6	baden/Badgang halten	SH	254	Halte im Bad	PLACED_IN_GDT583	konkreter Kontextdefault vorhanden
7	ruhen lassen	SH	110	Lass ruhen	PLACED_IN_GDT583	konkreter Kontextdefault vorhanden
8	zerreiben	CHD	23	Zerreibe	PLACED_IN_GDT583	konkreter Kontextdefault vorhanden
9	bearbeiten	CHD	39	Bearbeite	PLACED_IN_GDT583	konkreter Kontextdefault vorhanden
10	behandeln	CHD	261	Behandle	PLACED_IN_GDT583	konkreter Kontextdefault vorhanden
11	berechnen	CHD	18	Berechne	PLACED_IN_GDT583	konkreter Kontextdefault vorhanden
12	abseihen	S	34	Seihe ab	PLACED_IN_GDT583	konkreter Kontextdefault vorhanden
13	sieben	S	16	Siebe	PLACED_IN_GDT583	konkreter Kontextdefault vorhanden
14	abtrennen	S	54	Sondere aus|Trenne ab	PLACED_IN_GDT583	konkreter Kontextdefault vorhanden
15	umleiten	S	44	Leite um	PLACED_IN_GDT583	konkreter Kontextdefault vorhanden
16	auswählen	S	254	Wähle aus|Wähle die Position aus|Wähle die Station aus	PLACED_IN_GDT583	konkreter Kontextdefault vorhanden
