sign	old_local_value_de	pass1016_channel	channel_value_de	local_subtype	running_mentions	running_event_count	statement_count	page_count	registers	token_position_counts	surface_examples	common_left_neighbors	common_right_neighbors	apprentice_rule_de	forbidden_lexicalization_de	running_status
D_ADDR	TEILADRESSE	LOCAL_PLACE	HIER	TEILPLATZ	341	333	184	20	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	FIRST:133|MIDDLE:184|LAST:24	dar|cheedy|dair|d|dol|qokeody|dor|chody	O:82|EE:39|E:20|OL:17|Y:12	Y:108|AR:59|AIIN:25|OL:21|AIR:16	Wähle die lokal bezeichnete Bild-, Tabellen-, Teil-, Innen-, Rand- oder Nebenposition.	kein portables Teil-, innen-, außen-, Mitte- oder Ortswort	ACTIVE_LOCAL_SELECTOR
AM_ADDR	INNENADRESSE	LOCAL_PLACE	HIER	INNENPLATZ	59	59	39	17	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	FIRST:8|MIDDLE:1|LAST:50	am|otam|dam|om|cheom|sam|daram|ydam	O:14|OT:8|DA:7|A_ADDR:4|CH:4	Y:1|O:1	Wähle die lokal bezeichnete Bild-, Tabellen-, Teil-, Innen-, Rand- oder Nebenposition.	kein portables Teil-, innen-, außen-, Mitte- oder Ortswort	ACTIVE_LOCAL_SELECTOR
A_ADDR	ORTSADRESSE	LOCAL_PLACE	HIER	ORTSPLATZ	34	34	29	14	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	FIRST:8|MIDDLE:23|LAST:3	as|daram|qoay|kaiiin|ykaky|otaky|choeea|ay	R:6|S:6|OK:3|O:3|K:2	Y:5|L:5|S:5|AM_ADDR:4|LOCAL_CHAR_I:3	Wähle die lokal bezeichnete Bild-, Tabellen-, Teil-, Innen-, Rand- oder Nebenposition.	kein portables Teil-, innen-, außen-, Mitte- oder Ortswort	ACTIVE_LOCAL_SELECTOR
S_ADDR	SONDERADRESSE	LOCAL_PLACE	HIER	SONDERPLATZ	13	13	13	7	BIOLOGICAL|CELESTIAL|PHARMA	FIRST:0|MIDDLE:1|LAST:12	oteos|chees|yteos|oteeos|oteees|kesd	O:9|EE:3|E:1	D_ADDR:1	Wähle die lokal bezeichnete Bild-, Tabellen-, Teil-, Innen-, Rand- oder Nebenposition.	kein portables Teil-, innen-, außen-, Mitte- oder Ortswort	ACTIVE_LOCAL_SELECTOR
LOCAL_CHAR_F	NEBENADRESSE	LOCAL_PLACE	HIER	NEBENPLATZ	18	18	18	12	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	FIRST:1|MIDDLE:16|LAST:1	cfhy|cfholdy|fshody|qof|keeyfar|chocfhy|ofar|ofydy	O:8|CH:5|Y:2|L:1|OL:1	Y:5|OL:2|AR:2|AIR:2|CH:2	Wähle die lokal bezeichnete Bild-, Tabellen-, Teil-, Innen-, Rand- oder Nebenposition.	kein portables Teil-, innen-, außen-, Mitte- oder Ortswort	ACTIVE_LOCAL_SELECTOR
HO	STOFFKLASSE	LOCAL_CLASS	KLASSE	PRAEFIXKLASSE	16	16	12	7	HERBAL|PHARMA	FIRST:16|MIDDLE:0|LAST:0	cho|chom|chockhy|shochy|chog|chochor|chodaly|choy	NONE	CH:3|Y:2|LOCAL_CHAR_G:1|AL:1|EE:1	Übernimm die lokale Stoff- oder Zusatzklasse; HO steht vorn, AN steht hinten.	kein bestimmter Stoff, keine Pflanze, kein Badezusatz	ACTIVE_LOCAL_SELECTOR
AN	ZUSATZKLASSE	LOCAL_CLASS	KLASSE	SUFFIXKLASSE	7	7	7	5	BIOLOGICAL|CELESTIAL|HERBAL	FIRST:0|MIDDLE:0|LAST:7	ykeesan|ykan|sotodan|dokan|qokan|qotan|poleedaran	OK:2|S:1|K:1|D_ADDR:1|OT:1	NONE	Übernimm die lokale Stoff- oder Zusatzklasse; HO steht vorn, AN steht hinten.	kein bestimmter Stoff, keine Pflanze, kein Badezusatz	ACTIVE_LOCAL_SELECTOR
G_LABEL	PRÜFZEICHEN	LOCAL_INDEX	VARIANTE	PRUEFVARIANTE	4	4	3	3	BIOLOGICAL|CELESTIAL|PHARMA	FIRST:0|MIDDLE:1|LAST:3	og|qsg|rag|doigom	O:1|S:1|A_ADDR:1|LOCAL_CHAR_I:1	O:1	Nimm die lokal markierte Variante, Stufe, Paarung oder Verbindung aus dem Exemplar.	keine universelle Zahl, Farbe, Prüfhandlung oder Verbindungsrichtung	ACTIVE_LOCAL_SELECTOR
LOCAL_CHAR_G	EINER-MARKE	LOCAL_INDEX	VARIANTE	EINZELVARIANTE	10	10	10	8	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	FIRST:1|MIDDLE:0|LAST:9	dchg|chog|opydg|cheteg|ytcharg|kcharg|giin|dag	D_ADDR:2|E:2|AR:2|CH:1|HO:1	IIN:1	Nimm die lokal markierte Variante, Stufe, Paarung oder Verbindung aus dem Exemplar.	keine universelle Zahl, Farbe, Prüfhandlung oder Verbindungsrichtung	ACTIVE_LOCAL_SELECTOR
LOCAL_CHAR_I	UNTERSTUFENMARKE	LOCAL_INDEX	VARIANTE	UNTERSTUFENVARIANTE	7	7	6	6	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	FIRST:0|MIDDLE:7|LAST:0	soiiin|kaiiin|odaiiin|okaiiin|okaipchy|doigom	A_ADDR:3|O:3|DA:1	IIN:5|P:1|G_LABEL:1	Nimm die lokal markierte Variante, Stufe, Paarung oder Verbindung aus dem Exemplar.	keine universelle Zahl, Farbe, Prüfhandlung oder Verbindungsrichtung	ACTIVE_LOCAL_SELECTOR
