combined_order	source_record	page	event_serial	statement_id	visible_surface	master_card_id	atomic_value_de	combined_phase	complete_clause_translation_de	cross_page_status
1	H3	f11r	39	H3-S001	tshol	MC098	Kochgut	PREPARE_CLEAR_EXTRACT	Nimm von der blau bekrönten Bildpflanze das Kochgut. Setze daraus einen Sud an, wringe ihn aus, lasse ihn die vorgeschriebene Zeit stehen, seihe nochmals und behalte den klaren Auszug; gib zuletzt den Endzusatz bei.	SOURCE_ARTICLE
2	H3	f11r	40	H3-S001	schoal	MC049	Sudansatz	PREPARE_CLEAR_EXTRACT	Nimm von der blau bekrönten Bildpflanze das Kochgut. Setze daraus einen Sud an, wringe ihn aus, lasse ihn die vorgeschriebene Zeit stehen, seihe nochmals und behalte den klaren Auszug; gib zuletzt den Endzusatz bei.	SOURCE_ARTICLE
3	H3	f11r	41	H3-S001	cfhy	MC129	Auswringen	PREPARE_CLEAR_EXTRACT	Nimm von der blau bekrönten Bildpflanze das Kochgut. Setze daraus einen Sud an, wringe ihn aus, lasse ihn die vorgeschriebene Zeit stehen, seihe nochmals und behalte den klaren Auszug; gib zuletzt den Endzusatz bei.	SOURCE_ARTICLE
4	H3	f11r	42	H3-S001	shfydaiin	MC111	Stehzeit	PREPARE_CLEAR_EXTRACT	Nimm von der blau bekrönten Bildpflanze das Kochgut. Setze daraus einen Sud an, wringe ihn aus, lasse ihn die vorgeschriebene Zeit stehen, seihe nochmals und behalte den klaren Auszug; gib zuletzt den Endzusatz bei.	SOURCE_ARTICLE
5	H3	f11r	43	H3-S001	cphy	MC156	Nachseihen	PREPARE_CLEAR_EXTRACT	Nimm von der blau bekrönten Bildpflanze das Kochgut. Setze daraus einen Sud an, wringe ihn aus, lasse ihn die vorgeschriebene Zeit stehen, seihe nochmals und behalte den klaren Auszug; gib zuletzt den Endzusatz bei.	SOURCE_ARTICLE
6	H3	f11r	44	H3-S001	shey	MC119	Klarauszug	PREPARE_CLEAR_EXTRACT	Nimm von der blau bekrönten Bildpflanze das Kochgut. Setze daraus einen Sud an, wringe ihn aus, lasse ihn die vorgeschriebene Zeit stehen, seihe nochmals und behalte den klaren Auszug; gib zuletzt den Endzusatz bei.	SOURCE_ARTICLE
7	H3	f11r	45	H3-S001	tchody	MC037	Endzugabe; Schluss	PREPARE_CLEAR_EXTRACT	Nimm von der blau bekrönten Bildpflanze das Kochgut. Setze daraus einen Sud an, wringe ihn aus, lasse ihn die vorgeschriebene Zeit stehen, seihe nochmals und behalte den klaren Auszug; gib zuletzt den Endzusatz bei.	SOURCE_ARTICLE
8	H3	f11r	46	H3-S002	shoyty	MC062	Zugabeteil	PREPARE_CLEAR_EXTRACT	Lege den weiteren Zugabeteil bereit.	SOURCE_ARTICLE
9	H3	f11r	47	H3-S003	dchol	MC142	vom vorigen	PREPARE_CLEAR_EXTRACT	Nimm diesen Teil aus dem vorigen Ansatz, bearbeite ihn und bringe ihn auf das vorgeschriebene Maß.	SOURCE_ARTICLE
10	H3	f11r	48	H3-S003	chy	MC123	dies	PREPARE_CLEAR_EXTRACT	Nimm diesen Teil aus dem vorigen Ansatz, bearbeite ihn und bringe ihn auf das vorgeschriebene Maß.	SOURCE_ARTICLE
11	H3	f11r	49	H3-S003	kchy	MC117	Bearbeiten	PREPARE_CLEAR_EXTRACT	Nimm diesen Teil aus dem vorigen Ansatz, bearbeite ihn und bringe ihn auf das vorgeschriebene Maß.	SOURCE_ARTICLE
12	H3	f11r	50	H3-S003	dy	MC123	dies	PREPARE_CLEAR_EXTRACT	Nimm diesen Teil aus dem vorigen Ansatz, bearbeite ihn und bringe ihn auf das vorgeschriebene Maß.	SOURCE_ARTICLE
13	H3	f11r	51	H3-S003	daiin	MC039	Sollmaß	PREPARE_CLEAR_EXTRACT	Nimm diesen Teil aus dem vorigen Ansatz, bearbeite ihn und bringe ihn auf das vorgeschriebene Maß.	SOURCE_ARTICLE
14	H3	f11r	52	H3-S004	qotchy	MC107	Folgeposten	PREPARE_CLEAR_EXTRACT	Nimm danach den folgenden Posten, verarbeite ihn weiter und halte ihn als bereiten Arbeitsposten verfügbar.	SOURCE_ARTICLE
15	H3	f11r	53	H3-S004	okchol	MC041	Weiterverarbeitung	PREPARE_CLEAR_EXTRACT	Nimm danach den folgenden Posten, verarbeite ihn weiter und halte ihn als bereiten Arbeitsposten verfügbar.	SOURCE_ARTICLE
