carried_argument_card_id	register	argument_root	explicit_argument_phrase_de	carried_argument_phrase_de	argument_carry_event_count	carried_argument_realization_count	control_prior_marker_event_count	control_prior_marker_occurrence_count	example_event_ids	guard
GDT569-A01	SOURCE_SECTION_T	Y	den laufenden Eintrag	denselben laufenden Eintrag	58	69	58	71	G407-E0033|G407-E0056|G407-E0058|G407-E0082|G407-E0083|G407-E0113|G407-E0114|G407-E0115	ARTICLE_REALIZATION_OF_CONTEXT_CARRY__ARGUMENT_ROOT_UNCHANGED
GDT569-A02	SOURCE_SECTION_T	AIIN	den Kennwert	denselben Kennwert	20	22	20	22	G407-E0005|G407-E0067|G407-E0068|G407-E0074|G407-E0184|G407-E0187|G407-E0189|G407-E0196	ARTICLE_REALIZATION_OF_CONTEXT_CARRY__ARGUMENT_ROOT_UNCHANGED
GDT569-A03	SOURCE_SECTION_T	AIN	den Teilwert	denselben Teilwert	3	4	3	4	G407-E0071|G407-E0099|G407-E0132	ARTICLE_REALIZATION_OF_CONTEXT_CARRY__ARGUMENT_ROOT_UNCHANGED
GDT569-A04	SOURCE_SECTION_T	OR	die Eintragseinheit	dieselbe Eintragseinheit	4	6	4	6	G407-E0119|G407-E0210|G515-E0434|G515-E0445	ARTICLE_REALIZATION_OF_CONTEXT_CARRY__ARGUMENT_ROOT_UNCHANGED
GDT569-A05	HERBAL	Y	den Pflanzenposten	denselben Pflanzenposten	94	107	94	107	G407-E0219|G407-E0239|G407-E0255|G407-E0256|G407-E0268|G407-E0302|G407-E0313|G407-E0322	ARTICLE_REALIZATION_OF_CONTEXT_CARRY__ARGUMENT_ROOT_UNCHANGED
GDT569-A06	HERBAL	AIIN	den Arbeitswert	denselben Arbeitswert	32	38	32	38	G407-E0334|G407-E0339|G407-E0411|G407-E0433|G407-E0516|G407-E0554|G407-E0555|G407-E0695	ARTICLE_REALIZATION_OF_CONTEXT_CARRY__ARGUMENT_ROOT_UNCHANGED
GDT569-A07	HERBAL	AIN	den Materialanteil	denselben Materialanteil	13	13	13	13	G407-E0648|G407-E0705|G407-E0720|G407-E4408|G407-E4409|G407-E4427|G407-E4453|G407-E4459	ARTICLE_REALIZATION_OF_CONTEXT_CARRY__ARGUMENT_ROOT_UNCHANGED
GDT569-A08	HERBAL	OR	die Arbeitseinheit	dieselbe Arbeitseinheit	26	31	26	31	G407-E0253|G407-E0279|G407-E0280|G407-E0282|G407-E0459|G407-E0470|G407-E0471|G407-E0483	ARTICLE_REALIZATION_OF_CONTEXT_CARRY__ARGUMENT_ROOT_UNCHANGED
GDT569-A09	CELESTIAL	Y	den Positionsposten	denselben Positionsposten	49	55	49	55	G407-E0908|G407-E1031|G407-E1033|G407-E1038|G407-E1039|G407-E1076|G407-E1077|G407-E1079	ARTICLE_REALIZATION_OF_CONTEXT_CARRY__ARGUMENT_ROOT_UNCHANGED
GDT569-A10	CELESTIAL	AIIN	den Positionswert	denselben Positionswert	22	24	22	24	G407-E0943|G407-E0944|G407-E0952|G407-E0954|G407-E1012|G407-E1014|G407-E1086|G407-E1161	ARTICLE_REALIZATION_OF_CONTEXT_CARRY__ARGUMENT_ROOT_UNCHANGED
