page_ordinal	physical_page	registers	event_count	statement_count	state_event_count	local_explicit_state_event_count	argument_carry_event_count	action_carry_event_count	context_changed_state_event_count	page_status	guard
1	f1r	SOURCE_SECTION_T	214	7	36	5	28	15	31	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
2	f10r	HERBAL	92	2	23	4	10	16	19	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
3	f11r	HERBAL	59	2	11	2	7	5	9	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
4	f13r	HERBAL	77	5	18	3	14	9	15	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
5	f17r	HERBAL	78	8	19	6	12	6	13	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
6	f18r	HERBAL	84	5	21	6	14	7	15	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
7	f24v	HERBAL	86	3	14	0	13	6	14	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
8	f55v	HERBAL	106	5	17	3	13	13	14	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
9	f56r	HERBAL	105	3	26	4	16	10	22	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
10	f67r2	CELESTIAL	126	11	15	2	9	9	13	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
11	f68r1	CELESTIAL	31	3	8	3	4	1	5	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
12	f69v	CELESTIAL	0	0	0	0	0	0	0	ZERO_RUNNING_EVENT_PAGE_RETAINED	ADMITTED_PAGE_ORDER_UNCHANGED
13	f70v	CELESTIAL	0	0	0	0	0	0	0	ZERO_RUNNING_EVENT_PAGE_RETAINED	ADMITTED_PAGE_ORDER_UNCHANGED
14	f71v	CELESTIAL	78	5	24	2	12	15	22	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
15	f72r	CELESTIAL	288	22	105	21	56	62	84	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
16	f75r	BIOLOGICAL	408	111	172	7	151	62	165	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
17	f76r	BIOLOGICAL	560	118	187	22	133	75	165	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
18	f77r	BIOLOGICAL	321	82	141	8	113	64	133	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
19	f81r	BIOLOGICAL	210	48	114	8	89	62	106	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
20	f81v	BIOLOGICAL	253	54	102	15	80	39	87	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
21	f82r	BIOLOGICAL	278	62	101	4	81	37	97	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
22	f83r	BIOLOGICAL	341	91	139	10	118	45	129	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
23	f88r	PHARMA	134	5	41	4	35	15	37	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
24	f88v	PHARMA	131	13	30	1	23	13	29	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
25	f89r	PHARMA	338	20	74	13	54	33	61	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
26	f95v	HERBAL	178	30	56	13	31	25	43	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
27	f31r	HERBAL	103	19	25	11	13	3	14	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
28	f66r	SOURCE_SECTION_T	293	51	95	30	57	26	65	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
29	f20v	HERBAL	86	3	21	4	10	13	17	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
30	f4r	HERBAL	64	5	21	3	12	7	18	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
