action_carry_ordinal	event_id	statement_id	physical_page	register	surface	final_context_recipe	inherited_action_root	inherited_action_value_de	action_source_type	action_source_event_id	source_card_distance	action_scope_frame_id	action_scope_kind	control_action_context_witness	context_voice_working_clause_de	guard
1	G407-E0032	G407-S001	f1r	SOURCE_SECTION_T	oteey	OT+EE+Y	S	WÄHLEN	SAME_STATEMENT_VISIBLE_ACTION	G407-E0031	1	GDT569-S02	DANACH	YES	Danach im laufenden Gang: wähle den laufenden Eintrag; auf Grad II.	GDT562_ACTION_PROVENANCE_RETAINED__SCOPE_RENDERING_ONLY
2	G407-E0033	G407-S001	f1r	SOURCE_SECTION_T	oteos	OT+E+O+S_ADDR	S	WÄHLEN	SAME_STATEMENT_VISIBLE_ACTION	G407-E0031	2	GDT569-S02	DANACH	YES	Danach im laufenden Gang: wähle denselben laufenden Eintrag; auf Grad I; zur Ausführung; an der bezeichneten Stelle.	GDT562_ACTION_PROVENANCE_RETAINED__SCOPE_RENDERING_ONLY
3	G407-E0082	G407-S005	f1r	SOURCE_SECTION_T	otairin	OT+AIR+IIN	SH	HALTEN	SAME_STATEMENT_VISIBLE_ACTION	G407-E0081	1	GDT569-S02	DANACH	YES	Danach im laufenden Gang: halte denselben laufenden Eintrag fest; entlang der Lesebahn; auf der Stufe.	GDT562_ACTION_PROVENANCE_RETAINED__SCOPE_RENDERING_ONLY
4	G407-E0083	G407-S005	f1r	SOURCE_SECTION_T	oteol	OT+E+OL	SH	HALTEN	SAME_STATEMENT_VISIBLE_ACTION	G407-E0081	2	GDT569-S02	DANACH	YES	Danach im laufenden Gang: halte denselben laufenden Eintrag fest; auf Grad I; weiterführen.	GDT562_ACTION_PROVENANCE_RETAINED__SCOPE_RENDERING_ONLY
5	G407-E0095	G407-S005	f1r	SOURCE_SECTION_T	oldain	OL+AIN	SH	HALTEN	SAME_STATEMENT_VISIBLE_ACTION	G407-E0094	1	GDT569-S01	WEITER	YES	Weiter im laufenden Gang: halte den Teilwert fest.	GDT562_ACTION_PROVENANCE_RETAINED__SCOPE_RENDERING_ONLY
6	G407-E0099	G407-S005	f1r	SOURCE_SECTION_T	chol	OL	SH	HALTEN	SAME_STATEMENT_VISIBLE_ACTION	G407-E0094	5	GDT569-S01	WEITER	YES	Weiter im laufenden Gang: halte denselben Teilwert fest.	GDT562_ACTION_PROVENANCE_RETAINED__SCOPE_RENDERING_ONLY
7	G407-E0114	G407-S005	f1r	SOURCE_SECTION_T	chol	OL	K	GEBEN	SAME_STATEMENT_VISIBLE_ACTION	G407-E0113	1	GDT569-S01	WEITER	YES	Weiter im laufenden Gang: ordne denselben laufenden Eintrag zu.	GDT562_ACTION_PROVENANCE_RETAINED__SCOPE_RENDERING_ONLY
8	G407-E0115	G407-S005	f1r	SOURCE_SECTION_T	chol	OL	K	GEBEN	SAME_STATEMENT_VISIBLE_ACTION	G407-E0113	2	GDT569-S01	WEITER	YES	Weiter im laufenden Gang: ordne denselben laufenden Eintrag zu.	GDT562_ACTION_PROVENANCE_RETAINED__SCOPE_RENDERING_ONLY
9	G407-E0119	G407-S005	f1r	SOURCE_SECTION_T	chol	OL	SH	HALTEN	SAME_STATEMENT_VISIBLE_ACTION	G407-E0118	1	GDT569-S01	WEITER	YES	Weiter im laufenden Gang: halte dieselbe Eintragseinheit fest.	GDT562_ACTION_PROVENANCE_RETAINED__SCOPE_RENDERING_ONLY
10	G407-E0133	G407-S005	f1r	SOURCE_SECTION_T	dydyd	Y+DY+D_LABEL	SH	HALTEN	SAME_STATEMENT_VISIBLE_ACTION	G407-E0132	1	GDT569-S03	BARE	YES	Im laufenden Gang: Halte den laufenden Eintrag fest; an der bezeichneten Stelle; schließe den Schritt.	GDT562_ACTION_PROVENANCE_RETAINED__SCOPE_RENDERING_ONLY
