argument_carry_ordinal	event_id	statement_id	physical_page	register	surface	final_context_recipe	inherited_argument_root	explicit_argument_phrase_de	carried_argument_phrase_de	carried_argument_realization_count	control_prior_marker_count	context_voice_working_clause_de	guard
1	G407-E0005	G407-S001	f1r	SOURCE_SECTION_T	shol	SH+OL	AIIN	den Kennwert	denselben Kennwert	1	1	Weiter: halte denselben Kennwert fest.	CONTEXT_ARGUMENT_PROVENANCE_RETAINED__ROOT_UNCHANGED
2	G407-E0033	G407-S001	f1r	SOURCE_SECTION_T	oteos	OT+E+O+S_ADDR	Y	den laufenden Eintrag	denselben laufenden Eintrag	1	1	Danach im laufenden Gang: wähle denselben laufenden Eintrag; auf Grad I; zur Ausführung; an der bezeichneten Stelle.	CONTEXT_ARGUMENT_PROVENANCE_RETAINED__ROOT_UNCHANGED
3	G407-E0056	G407-S002	f1r	SOURCE_SECTION_T	shody	SH+O+DY	Y	den laufenden Eintrag	denselben laufenden Eintrag	1	1	Halte denselben laufenden Eintrag fest; zur Ausführung; schließe den Schritt.	CONTEXT_ARGUMENT_PROVENANCE_RETAINED__ROOT_UNCHANGED
4	G407-E0058	G407-S003	f1r	SOURCE_SECTION_T	otchol	OT+CH+OL	Y	den laufenden Eintrag	denselben laufenden Eintrag	1	1	Danach: entnimm denselben laufenden Eintrag; weiterführen.	CONTEXT_ARGUMENT_PROVENANCE_RETAINED__ROOT_UNCHANGED
5	G407-E0067	G407-S003	f1r	SOURCE_SECTION_T	cfhol	CH+LOCAL_CHAR_F+OL	AIIN	den Kennwert	denselben Kennwert	1	1	Weiter: entnimm denselben Kennwert; an der bezeichneten Stelle.	CONTEXT_ARGUMENT_PROVENANCE_RETAINED__ROOT_UNCHANGED
6	G407-E0068	G407-S003	f1r	SOURCE_SECTION_T	shody	SH+O+DY	AIIN	den Kennwert	denselben Kennwert	1	1	Halte denselben Kennwert fest; zur Ausführung; schließe den Schritt.	CONTEXT_ARGUMENT_PROVENANCE_RETAINED__ROOT_UNCHANGED
7	G407-E0071	G407-S004	f1r	SOURCE_SECTION_T	teody	T+E+O+DY	AIN	den Teilwert	denselben Teilwert	1	1	Lege denselben Teilwert fest; auf Grad I; zur Ausführung; schließe den Schritt.	CONTEXT_ARGUMENT_PROVENANCE_RETAINED__ROOT_UNCHANGED
8	G407-E0074	G407-S005	f1r	SOURCE_SECTION_T	ols	OL+S	AIIN	den Kennwert	denselben Kennwert	1	1	Weiter: wähle denselben Kennwert.	CONTEXT_ARGUMENT_PROVENANCE_RETAINED__ROOT_UNCHANGED
9	G407-E0082	G407-S005	f1r	SOURCE_SECTION_T	otairin	OT+AIR+IIN	Y	den laufenden Eintrag	denselben laufenden Eintrag	1	1	Danach im laufenden Gang: halte denselben laufenden Eintrag fest; entlang der Lesebahn; auf der Stufe.	CONTEXT_ARGUMENT_PROVENANCE_RETAINED__ROOT_UNCHANGED
10	G407-E0083	G407-S005	f1r	SOURCE_SECTION_T	oteol	OT+E+OL	Y	den laufenden Eintrag	denselben laufenden Eintrag	1	1	Danach im laufenden Gang: halte denselben laufenden Eintrag fest; auf Grad I; weiterführen.	CONTEXT_ARGUMENT_PROVENANCE_RETAINED__ROOT_UNCHANGED
