construction_id	construction_family	left_complete_surface	right_complete_surface	separated_expression	raw_separated_occurrences	reader_exact_separated_occurrences	reader_exact_separated_loci	fused_surface	fused_reader_exact_occurrences	working_construction_de	supports_specific_unit_identity	supports_distinct_or_nested_heads	component_export_credit
G789-C01	VALUE	ar	ain	ar ain	6	5	f104r.20|f108v.27|f111v.36|f39v.9|f76r.15	arain	0	Anteile/Portionen/Maße mit Wert II/III/IV	0	0	0
G789-C02	VALUE	ar	aiin	ar aiin	25	16	f104r.39|f106r.40|f108r.11|f108v.12|f111r.35|f113v.40|f114v.28|f115r.24|f33v.9|f39r.11|f76r.15|f86v3.14|f86v3.4|f86v5.14|f86v5.20|f86v5.21	araiin	4	Anteile/Portionen/Maße mit Wert II/III/IV	0	0	0
G789-C03	VALUE	ar	aiiin	ar aiiin	6	6	f105r.24|f112v.3|f115r.26|f116r.2|f34r.13|f86v6.9	araiiin	0	Anteile/Portionen/Maße mit Wert II/III/IV	0	0	0
G789-C04	VALUE	or	ain	or ain	11	1	f48v.6	orain	14	Anteile/Portionen/Maße mit Wert II/III/IV	0	0	0
G789-C05	VALUE	or	aiin	or aiin	49	34	f104v.38|f105v.26|f10r.4|f111r.46|f112r.1|f112r.20|f112v.18|f113v.43|f114r.37|f33r.5|f33r.7|f33v.9|f39v.1|f39v.3|f39v.5|f40r.4|f43v.12|f55r.5|f55v.9|f58v.4|f79r.13|f79v.39|f85r1.33|f85r2.2|f86v5.13|f86v5.23|f86v5.32|f86v5.35|f86v6.17|f86v6.7|f95v1.11|f95v2.3|f99v.34|f99v.40	oraiin	21	Anteile/Portionen/Maße mit Wert II/III/IV	0	0	0
G789-C06	VALUE	or	aiiin	or aiiin	8	7	f103v.23|f105r.7|f113v.30|f40v.15|f86v6.19|f86v6.34|f86v6.44	oraiiin	1	Anteile/Portionen/Maße mit Wert II/III/IV	0	0	0
G789-C07	VALUE	s	ain	s ain	6	1	f114r.23	sain	53	Anteile/Portionen/Maße mit Wert II/III/IV	0	0	0
G789-C08	VALUE	s	aiin	s aiin	51	23	f103r.14|f104r.45|f104v.14|f105v.30|f113r.15|f113r.43|f114v.7|f17v.7|f26r.7|f31r.2|f34v.11|f3r.20|f46r.3|f54v.7|f55v.10|f58v.27|f78r.37|f85r1.13|f88v.9|f94v.9|f95v1.12|f96r.11|f99r.43	saiin	89	Anteile/Portionen/Maße mit Wert II/III/IV	0	0	0
G789-C09	VALUE	s	aiiin	s aiiin	2	1	f78v.29	saiiin	1	Anteile/Portionen/Maße mit Wert II/III/IV	0	0	0
G789-C10	HEAD_NESTING	ar	ar	ar ar	7	6	f103v.44|f104v.30|f105v.12|f111v.36|f112r.35|f40r.5	arar	1	verschachteltes Anteil-/Portionsfeld	0	0	0
G789-C11	HEAD_NESTING	ar	or	ar or	9	8	f108v.26|f23v.9|f40r.5|f78v.31|f79v.33|f81r.31|f85r2.24|f86v5.28	aror	5	verschachteltes Anteil-/Portionsfeld	0	1	0
G789-C12	HEAD_NESTING	or	ar	or ar	8	5	f115r.24|f34r.14|f40r.6|f50r.4|f86v3.3	orar	5	verschachteltes Anteil-/Portionsfeld	0	1	0
G789-C13	HEAD_NESTING	or	or	or or	8	3	f55v.9|f79v.39|f85r2.2	oror	2	verschachteltes Anteil-/Portionsfeld	0	0	0
