prefix	target_surface	donors	donor_count	selection_features	target_profile_used_for_ranking	semantic_value_used_for_ranking	semantic_eligibility_sanitization	all_donors_outside_mask	component_export_credit
al	alar	cheg|dedy|odol|okos|shes	5	LENGTH|EXACT_FREQUENCY_BIN|PHYSICAL_FOLIO_BIN|LEVENSHTEIN|LEXICAL_TIEBREAK	0	0	1	1	0
ch	char	chdy|cthy|otol|qoty|chey	5	LENGTH|EXACT_FREQUENCY_BIN|PHYSICAL_FOLIO_BIN|LEVENSHTEIN|LEXICAL_TIEBREAK	0	0	1	1	0
che	chear	cheos|choky|choty|cthey|sheky	5	LENGTH|EXACT_FREQUENCY_BIN|PHYSICAL_FOLIO_BIN|LEVENSHTEIN|LEXICAL_TIEBREAK	0	0	1	1	0
cho	choar	cholo|cthod|yched|yshol|otydy	5	LENGTH|EXACT_FREQUENCY_BIN|PHYSICAL_FOLIO_BIN|LEVENSHTEIN|LEXICAL_TIEBREAK	0	0	1	1	0
chok	chokar	cheoky|chkchy|shoiin|qokchd|tcheey	5	LENGTH|EXACT_FREQUENCY_BIN|PHYSICAL_FOLIO_BIN|LEVENSHTEIN|LEXICAL_TIEBREAK	0	0	1	1	0
chot	chotar	choiin|cheeol|ckheey|ctheey|ctheol	5	LENGTH|EXACT_FREQUENCY_BIN|PHYSICAL_FOLIO_BIN|LEVENSHTEIN|LEXICAL_TIEBREAK	0	0	1	1	0
ckh	ckhar	cthod|cholo|yched|yshol|otydy	5	LENGTH|EXACT_FREQUENCY_BIN|PHYSICAL_FOLIO_BIN|LEVENSHTEIN|LEXICAL_TIEBREAK	0	0	1	1	0
cph	cphar	cthdy|cthom|chkey|chtol|chyky	5	LENGTH|EXACT_FREQUENCY_BIN|PHYSICAL_FOLIO_BIN|LEVENSHTEIN|LEXICAL_TIEBREAK	0	0	1	1	0
cth	cthar	chory|cphol|octhy|choly|dchey	5	LENGTH|EXACT_FREQUENCY_BIN|PHYSICAL_FOLIO_BIN|LEVENSHTEIN|LEXICAL_TIEBREAK	0	0	1	1	0
dar	darar	cholo|cthod|otydy|qokom|qotod	5	LENGTH|EXACT_FREQUENCY_BIN|PHYSICAL_FOLIO_BIN|LEVENSHTEIN|LEXICAL_TIEBREAK	0	0	1	1	0
k	kar	kol|chl|cho|ody|tol	5	LENGTH|EXACT_FREQUENCY_BIN|PHYSICAL_FOLIO_BIN|LEVENSHTEIN|LEXICAL_TIEBREAK	0	0	1	1	0
kee	keear	olkol|qeeey|ksheo|kshey|okary	5	LENGTH|EXACT_FREQUENCY_BIN|PHYSICAL_FOLIO_BIN|LEVENSHTEIN|LEXICAL_TIEBREAK	0	0	1	1	0
l	lar	oro|ydy|ary|cth|ety	5	LENGTH|EXACT_FREQUENCY_BIN|PHYSICAL_FOLIO_BIN|LEVENSHTEIN|LEXICAL_TIEBREAK	0	0	1	1	0
lch	lchar	chkey|chtol|chyky|chyty|cthdy	5	LENGTH|EXACT_FREQUENCY_BIN|PHYSICAL_FOLIO_BIN|LEVENSHTEIN|LEXICAL_TIEBREAK	0	0	1	1	0
lk	lkar	kedy|keol|oldy|tedy|okey	5	LENGTH|EXACT_FREQUENCY_BIN|PHYSICAL_FOLIO_BIN|LEVENSHTEIN|LEXICAL_TIEBREAK	0	0	1	1	0
o	oar	ary|ols|ety|key|tey	5	LENGTH|EXACT_FREQUENCY_BIN|PHYSICAL_FOLIO_BIN|LEVENSHTEIN|LEXICAL_TIEBREAK	0	0	1	1	0
ok	okar	otol|chdy|cthy|qoty|qoky	5	LENGTH|EXACT_FREQUENCY_BIN|PHYSICAL_FOLIO_BIN|LEVENSHTEIN|LEXICAL_TIEBREAK	0	0	1	1	0
okch	okchar	okshey|orchey|ykchey|ykchol|ockhey	5	LENGTH|EXACT_FREQUENCY_BIN|PHYSICAL_FOLIO_BIN|LEVENSHTEIN|LEXICAL_TIEBREAK	0	0	1	1	0
oke	okear	okary|oldam|oteeo|oteos|qokeo	5	LENGTH|EXACT_FREQUENCY_BIN|PHYSICAL_FOLIO_BIN|LEVENSHTEIN|LEXICAL_TIEBREAK	0	0	1	1	0
okee	okeear	okeshy|keeody|ochedy|okarol|otytam	5	LENGTH|EXACT_FREQUENCY_BIN|PHYSICAL_FOLIO_BIN|LEVENSHTEIN|LEXICAL_TIEBREAK	0	0	1	1	0
ol	olar	oram|aram|cham|dary|oees	5	LENGTH|EXACT_FREQUENCY_BIN|PHYSICAL_FOLIO_BIN|LEVENSHTEIN|LEXICAL_TIEBREAK	0	0	1	1	0
op	opar	oram|aram|cham|cphy|dary	5	LENGTH|EXACT_FREQUENCY_BIN|PHYSICAL_FOLIO_BIN|LEVENSHTEIN|LEXICAL_TIEBREAK	0	0	1	1	0
opch	opchar	alchey|ochedy|olshdy|otshdy|otytam	5	LENGTH|EXACT_FREQUENCY_BIN|PHYSICAL_FOLIO_BIN|LEVENSHTEIN|LEXICAL_TIEBREAK	0	0	1	1	0
or	orar	odam|dory|kary|daim|dals	5	LENGTH|EXACT_FREQUENCY_BIN|PHYSICAL_FOLIO_BIN|LEVENSHTEIN|LEXICAL_TIEBREAK	0	0	1	1	0
ot	otar	otol|cthy|qoty|chdy|chey	5	LENGTH|EXACT_FREQUENCY_BIN|PHYSICAL_FOLIO_BIN|LEVENSHTEIN|LEXICAL_TIEBREAK	0	0	1	1	0
otal	otalar	otytam|okarol|otshdy|chkaly|cthory	5	LENGTH|EXACT_FREQUENCY_BIN|PHYSICAL_FOLIO_BIN|LEVENSHTEIN|LEXICAL_TIEBREAK	0	0	1	1	0
otch	otchar	qokchd|tcheey|tcheol|chkchy|yteody	5	LENGTH|EXACT_FREQUENCY_BIN|PHYSICAL_FOLIO_BIN|LEVENSHTEIN|LEXICAL_TIEBREAK	0	0	1	1	0
ote	otear	oteeo|oteos|okary|oldam|otshy	5	LENGTH|EXACT_FREQUENCY_BIN|PHYSICAL_FOLIO_BIN|LEVENSHTEIN|LEXICAL_TIEBREAK	0	0	1	1	0
p	par	oro|ydy|ary|cth|ety	5	LENGTH|EXACT_FREQUENCY_BIN|PHYSICAL_FOLIO_BIN|LEVENSHTEIN|LEXICAL_TIEBREAK	0	0	1	1	0
pch	pchar	yched|cholo|cthod|yshol|otydy	5	LENGTH|EXACT_FREQUENCY_BIN|PHYSICAL_FOLIO_BIN|LEVENSHTEIN|LEXICAL_TIEBREAK	0	0	1	1	0
pche	pchear	ochedy|alchey|chkaly|tchoky|chckhd	5	LENGTH|EXACT_FREQUENCY_BIN|PHYSICAL_FOLIO_BIN|LEVENSHTEIN|LEXICAL_TIEBREAK	0	0	1	1	0
qo	qoar	qody|aram|cham|dary|oram	5	LENGTH|EXACT_FREQUENCY_BIN|PHYSICAL_FOLIO_BIN|LEVENSHTEIN|LEXICAL_TIEBREAK	0	0	1	1	0
qok	qokar	qokey|qokol|okedy|okeey|chedy	5	LENGTH|EXACT_FREQUENCY_BIN|PHYSICAL_FOLIO_BIN|LEVENSHTEIN|LEXICAL_TIEBREAK	0	0	1	1	0
qoke	qokear	qokeod|qoeees|chokey|olkeeo|olkees	5	LENGTH|EXACT_FREQUENCY_BIN|PHYSICAL_FOLIO_BIN|LEVENSHTEIN|LEXICAL_TIEBREAK	0	0	1	1	0
qop	qopar	okary|qokeo|qolky|oldam|qeeey	5	LENGTH|EXACT_FREQUENCY_BIN|PHYSICAL_FOLIO_BIN|LEVENSHTEIN|LEXICAL_TIEBREAK	0	0	1	1	0
qot	qotar	qokey|qokol|otedy|oteey|chedy	5	LENGTH|EXACT_FREQUENCY_BIN|PHYSICAL_FOLIO_BIN|LEVENSHTEIN|LEXICAL_TIEBREAK	0	0	1	1	0
qotch	qotchar	qotchod|qotshey|otcheey|qocthol|qokshdy	5	LENGTH|EXACT_FREQUENCY_BIN|PHYSICAL_FOLIO_BIN|LEVENSHTEIN|LEXICAL_TIEBREAK	0	0	1	1	0
r	rar	ary|ety|key|ols|tey	5	LENGTH|EXACT_FREQUENCY_BIN|PHYSICAL_FOLIO_BIN|LEVENSHTEIN|LEXICAL_TIEBREAK	0	0	1	1	0
s	sar	chl|cho|kol|ody|tol	5	LENGTH|EXACT_FREQUENCY_BIN|PHYSICAL_FOLIO_BIN|LEVENSHTEIN|LEXICAL_TIEBREAK	0	0	1	1	0
sh	shar	shdy|sheo|cheo|chos|otam	5	LENGTH|EXACT_FREQUENCY_BIN|PHYSICAL_FOLIO_BIN|LEVENSHTEIN|LEXICAL_TIEBREAK	0	0	1	1	0
she	shear	chety|ckhey|keedy|tchey|yteey	5	LENGTH|EXACT_FREQUENCY_BIN|PHYSICAL_FOLIO_BIN|LEVENSHTEIN|LEXICAL_TIEBREAK	0	0	1	1	0
shee	sheear	shokey|chckhd|chkaly|chtchy|keeody	5	LENGTH|EXACT_FREQUENCY_BIN|PHYSICAL_FOLIO_BIN|LEVENSHTEIN|LEXICAL_TIEBREAK	0	0	1	1	0
t	tar	tol|chl|cho|kol|ody	5	LENGTH|EXACT_FREQUENCY_BIN|PHYSICAL_FOLIO_BIN|LEVENSHTEIN|LEXICAL_TIEBREAK	0	0	1	1	0
tch	tchar	tshdy|chkey|chtol|chyky|chyty	5	LENGTH|EXACT_FREQUENCY_BIN|PHYSICAL_FOLIO_BIN|LEVENSHTEIN|LEXICAL_TIEBREAK	0	0	1	1	0
yche	ychear	ochedy|alchey|chkaly|tchoky|chckhd	5	LENGTH|EXACT_FREQUENCY_BIN|PHYSICAL_FOLIO_BIN|LEVENSHTEIN|LEXICAL_TIEBREAK	0	0	1	1	0
yk	ykar	okey|otam|cheo|chos|dchy	5	LENGTH|EXACT_FREQUENCY_BIN|PHYSICAL_FOLIO_BIN|LEVENSHTEIN|LEXICAL_TIEBREAK	0	0	1	1	0
yt	ytar	kedy|keol|oldy|tedy|otam	5	LENGTH|EXACT_FREQUENCY_BIN|PHYSICAL_FOLIO_BIN|LEVENSHTEIN|LEXICAL_TIEBREAK	0	0	1	1	0
