surface	target_class	part_similarity	amount_similarity	value_similarity	predicted_working_role	winning_margin	selector_usable	fields	working_role_only_not_translation	component_export_credit
ar	BARE_CONTROL	0.780776456539	0.858171259479	0.931726320861	VALUE	0.073555061382	0	line_position|left_positive_axes|right_positive_axes|right_value_binding	1	0
or	BARE_CONTROL	0.706783995917	0.846964973142	0.888641942214	VALUE	0.041676969072	0	line_position|left_positive_axes|right_positive_axes|right_value_binding	1	0
s	BARE_CONTROL	0.751840077564	0.872258011952	0.917188717952	VALUE	0.044930706000	0	line_position|left_positive_axes|right_positive_axes|right_value_binding	1	0
alar	AR_OR_LATTICE	0.792004725854	0.793175830341	0.943209075896	VALUE	0.150033245555	0	line_position|right_value_binding	1	0
alor	AR_OR_LATTICE	0.911485267752	0.889418104100	0.916033825081	VALUE	0.004548557329	0	line_position|right_value_binding	1	0
char	AR_OR_LATTICE	0.679812082600	0.799928938335	0.881290422049	VALUE	0.081361483714	0	line_position|left_positive_axes|right_positive_axes|right_value_binding	1	0
chear	AR_OR_LATTICE	0.548373676303	0.674359095092	0.653222771339	AMOUNT	0.021136323753	0	line_position|left_positive_axes|right_positive_axes|right_value_binding	1	0
cheor	AR_OR_LATTICE	0.682196316284	0.772330006292	0.838716487132	VALUE	0.066386480839	0	line_position|left_positive_axes|right_positive_axes|right_value_binding	1	0
choar	AR_OR_LATTICE	0.637773489658	0.690555891358	0.771540595955	VALUE	0.080984704597	0	line_position|left_positive_axes|right_value_binding	1	0
chokar	AR_OR_LATTICE	0.690683164217	0.664336237028	0.742368369742	VALUE	0.051685205526	0	line_position|right_positive_axes|right_value_binding	1	0
chokor	AR_OR_LATTICE	0.652487440310	0.677937246988	0.766673580383	VALUE	0.088736333395	0	line_position|left_positive_axes|right_value_binding	1	0
choor	AR_OR_LATTICE	0.528003150569	0.706755532400	0.798313140542	VALUE	0.091557608142	0	line_position|right_positive_axes|right_value_binding	1	0
chor	AR_OR_LATTICE	0.769363624331	0.868869068121	0.930286362599	VALUE	0.061417294479	0	line_position|left_positive_axes|right_positive_axes|right_value_binding	1	0
chotar	AR_OR_LATTICE	0.642790129826	0.655423700315	0.763492124260	VALUE	0.108068423945	0	line_position|right_positive_axes|right_value_binding	1	0
chotor	AR_OR_LATTICE	0.826744297730	0.803614591849	0.813996322531	PART	0.012747975199	0	line_position|left_positive_axes|right_value_binding	1	0
ckhar	AR_OR_LATTICE	0.792004725854	0.793175830341	0.943209075896	VALUE	0.150033245555	0	line_position|right_value_binding	1	0
ckhor	AR_OR_LATTICE	0.570464852109	0.657714978214	0.730793915752	VALUE	0.073078937538	0	line_position|left_positive_axes|right_positive_axes|right_value_binding	1	0
cphar	AR_OR_LATTICE	0.792004725854	0.793175830341	0.943209075896	VALUE	0.150033245555	0	line_position|right_value_binding	1	0
cphor	AR_OR_LATTICE	0.792004725854	0.793175830341	0.943209075896	VALUE	0.150033245555	0	line_position|right_value_binding	1	0
cthar	AR_OR_LATTICE	0.650378417694	0.745778157990	0.743416522301	AMOUNT	0.002361635689	0	line_position|left_positive_axes|right_positive_axes|right_value_binding	1	0
cthor	AR_OR_LATTICE	0.750241348389	0.799603109966	0.886690305056	VALUE	0.087087195090	0	line_position|left_positive_axes|right_positive_axes|right_value_binding	1	0
darar	AR_OR_LATTICE	0.541047568860	0.661753825846	0.617540433488	AMOUNT	0.044213392358	0	line_position|right_value_binding	1	0
daror	AR_OR_LATTICE	0.988149012045	0.949434076838	0.888562992242	PART	0.038714935207	0	line_position|right_value_binding	1	0
kar	AR_OR_LATTICE	0.759220554080	0.775479913308	0.823967304213	VALUE	0.048487390905	0	line_position|left_positive_axes|right_positive_axes|right_value_binding	1	0
keear	AR_OR_LATTICE	0.585526892931	0.571839661417	0.731472281774	VALUE	0.145945388843	0	line_position|left_positive_axes|right_value_binding	1	0
