prefix	target_surface	sister_surface	support_primary_31	historical_exclusion_31	target_reader_exact_occurrences	target_physical_folios	sister_reader_exact_occurrences	sister_physical_folios	standalone_prefix_available	learned_whole_donors	component_export_credit	full_add_ar_similarity	full_x_or_similarity	full_learned_whole_similarity	full_target_defined_fields	full_add_beats_x_or	full_add_beats_learned	full_add_beats_both	full_standalone_x_similarity	structural_add_ar_similarity	structural_x_or_similarity	structural_learned_whole_similarity	structural_target_defined_fields	structural_add_beats_x_or	structural_add_beats_learned	structural_add_beats_both	structural_standalone_x_similarity	local_add_ar_similarity	local_x_or_similarity	local_learned_whole_similarity	local_target_defined_fields	local_add_beats_x_or	local_add_beats_learned	local_add_beats_both	local_standalone_x_similarity	semantic_add_ar_similarity	semantic_x_or_similarity	semantic_learned_whole_similarity	semantic_target_defined_fields	semantic_add_beats_x_or	semantic_add_beats_learned	semantic_add_beats_both	semantic_standalone_x_similarity	construction_add_ar_similarity	construction_x_or_similarity	construction_learned_whole_similarity	construction_target_defined_fields	construction_add_beats_x_or	construction_add_beats_learned	construction_add_beats_both	construction_standalone_x_similarity	adversarial_best_similarity	adversarial_best_surface	full_add_beats_adversarial
al	alar	alor	0	1	2	2	6	4	1	cheg|dedy|odol|okos|shes	0	0.805834461403	0.815649539836	0.703905288167	register|line_position|line_third|paragraph_boundary|left_status|right_status|right_value_binding	0	1	0	0.837791730257	0.784048101168	0.795842437311	0.654556169528	register|line_position|line_third|paragraph_boundary|left_status|right_status	0	1	0	0.810757018634	0.828772959631	0.836804150551	0.821222836195	line_position|line_third|paragraph_boundary|left_status|right_status|right_value_binding	0	1	0	0.902255627713	NA	NA	NA	NONE	0	0	0	NA	0.936552622813	0.934492154983	1.000000000000	right_value_binding	1	0	0	1.000000000000	0.936285081866	qotcheedy	0
ch	char	chor	1	0	55	29	176	60	1	chdy|cthy|otol|qoty|chey	0	0.866407995032	0.880582398373	0.893572654254	register|line_position|line_third|paragraph_boundary|left_status|right_status|left_positive_axes|right_positive_axes|close_proximity|right_value_binding	0	0	0	0.604019367351	0.940333016344	0.960603786540	0.956333464869	register|line_position|line_third|paragraph_boundary|left_status|right_status	0	0	0	0.782422377321	0.867240699088	0.888708385229	0.890516439446	line_position|line_third|paragraph_boundary|left_status|right_status|left_positive_axes|right_positive_axes|close_proximity|right_value_binding	0	0	0	0.613641305410	0.683539161637	0.680974465152	0.738447805063	left_positive_axes|right_positive_axes|close_proximity	1	0	0	0.123508623254	0.971464367341	0.999277869035	0.982382338132	right_value_binding	0	0	0	0.975133539818	0.917608881799	shol	0
che	chear	cheor	1	0	38	21	56	34	1	cheos|choky|choty|cthey|sheky	0	0.714498791983	0.727466636182	0.835373320173	register|line_position|line_third|paragraph_boundary|left_status|right_status|left_positive_axes|right_positive_axes|close_proximity|right_value_binding	0	0	0	0.650899310310	0.961684481955	0.968439935442	0.969946251591	register|line_position|line_third|paragraph_boundary|left_status|right_status	0	0	0	0.798256691322	0.695423186913	0.710208927862	0.830751428715	line_position|line_third|paragraph_boundary|left_status|right_status|left_positive_axes|right_positive_axes|close_proximity|right_value_binding	0	0	0	0.663126780014	0.136994077520	0.156287499551	0.516011278325	left_positive_axes|right_positive_axes|close_proximity	0	0	0	0.250649979526	0.963898795540	0.995164250518	0.986021857213	right_value_binding	0	0	0	0.967503016586	0.877849237254	sheo	0
cho	choar	choor	0	1	2	2	2	2	1	cholo|cthod|yched|yshol|otydy	0	0.796273890771	0.750000000000	0.643385260125	register|line_position|line_third|paragraph_boundary|left_status|right_status|left_positive_axes|right_value_binding	1	1	1	0.724868858717	0.812158400263	0.833333333333	0.633786857205	register|line_position|line_third|paragraph_boundary|left_status|right_status	0	1	0	0.727778600640	0.908046183413	0.857142857143	0.735297440143	line_position|line_third|paragraph_boundary|left_status|right_status|left_positive_axes|right_value_binding	1	1	1	0.802723262029	0.500915618116	0.000000000000	0.344360937770	left_positive_axes	1	1	1	0.432279265890	0.996325106474	1.000000000000	1.000000000000	right_value_binding	0	0	0	1.000000000000	0.832205077013	shockhy	0
chok	chokar	chokor	1	1	6	5	5	4	1	cheoky|chkchy|shoiin|qokchd|tcheey	0	0.719860098726	0.622571361634	0.745957300735	register|line_position|line_third|paragraph_boundary|left_status|right_status|right_positive_axes|close_proximity|right_value_binding	1	0	0	0.561379574342	0.766908449737	0.767190375784	0.854679991604	register|line_position|line_third|paragraph_boundary|left_status|right_status	0	0	0	0.675402694846	0.734302854091	0.632053204799	0.788461332990	line_position|line_third|paragraph_boundary|left_status|right_status|right_positive_axes|close_proximity|right_value_binding	1	0	0	0.631552021134	0.440482541817	0.000000000000	0.292767878498	right_positive_axes|close_proximity	1	1	1	0.000000000000	0.996325106474	1.000000000000	1.000000000000	right_value_binding	0	0	0	1.000000000000	0.873025495241	key	0
chot	chotar	chotor	1	1	9	7	4	3	1	choiin|cheeol|ckheey|ctheey|ctheol	0	0.720829989462	0.716577969991	0.857259360944	register|line_position|line_third|paragraph_boundary|left_status|right_status|right_positive_axes|right_value_binding	1	0	0	0.869920787325	0.776178265808	0.788770626655	0.911343572427	register|line_position|line_third|paragraph_boundary|left_status|right_status	0	0	0	0.917294853056	0.753998529544	0.758994489566	0.895068488098	line_position|line_third|paragraph_boundary|left_status|right_status|right_positive_axes|right_value_binding	0	0	0	0.904267542735	0.113245214377	0.000000000000	0.390013452989	right_positive_axes	1	0	0	0.455597180260	0.996325106474	1.000000000000	1.000000000000	right_value_binding	0	0	0	1.000000000000	0.904436325502	teey	0
ckh	ckhar	ckhor	0	1	2	2	6	6	0	cthod|cholo|yched|yshol|otydy	0	0.790559748892	0.804502030917	0.755073132226	register|line_position|line_third|paragraph_boundary|left_status|right_status|right_value_binding	0	1	0	NA	0.756265522628	0.771919036070	0.714251987597	register|line_position|line_third|paragraph_boundary|left_status|right_status	0	1	0	NA	0.903261669971	0.938585702737	0.848417533182	line_position|line_third|paragraph_boundary|left_status|right_status|right_value_binding	0	1	0	NA	NA	NA	NA	NONE	0	0	0	NA	0.996325106474	1.000000000000	1.000000000000	right_value_binding	0	0	0	NA	0.928571428571	ochedy	0
cph	cphar	cphor	1	1	3	3	5	5	0	cthdy|cthom|chkey|chtol|chyky	0	0.850973614913	0.831437555806	0.867636012752	register|line_position|line_third|paragraph_boundary|left_status|right_status|right_value_binding	1	0	0	NA	0.826748366319	0.803343815106	0.845575348211	register|line_position|line_third|paragraph_boundary|left_status|right_status	1	0	0	NA	0.872078293834	0.848517900370	0.891614537612	line_position|line_third|paragraph_boundary|left_status|right_status|right_value_binding	1	0	0	NA	NA	NA	NA	NONE	0	0	0	NA	0.996325106474	1.000000000000	1.000000000000	right_value_binding	0	0	0	NA	0.969772093679	cth	0
cth	cthar	cthor	1	1	13	12	39	24	1	chory|cphol|octhy|choly|dchey	0	0.816065687395	0.855070115982	0.869973484822	register|line_position|line_third|paragraph_boundary|left_status|right_status|left_positive_axes|right_positive_axes|right_value_binding	0	0	0	0.682660487621	0.958341692872	0.931903935115	0.940536205352	register|line_position|line_third|paragraph_boundary|left_status|right_status	1	1	1	0.857324064765	0.817073550891	0.860825311127	0.874757210709	line_position|line_third|paragraph_boundary|left_status|right_status|left_positive_axes|right_positive_axes|right_value_binding	0	0	0	0.660233721195	0.299132411608	0.555593454177	0.593272065643	left_positive_axes|right_positive_axes	0	0	0	0.000000000000	0.996276206108	0.993020524796	1.000000000000	right_value_binding	1	0	0	1.000000000000	0.910288183067	kol	0
dar	darar	daror	0	1	2	2	2	2	1	cholo|cthod|otydy|qokom|qotod	0	0.498691927957	0.500000000000	0.500752935021	register|line_position|line_third|paragraph_boundary|left_status|right_status|right_value_binding	0	0	0	0.599787221022	0.415753064870	0.416666666667	0.417545090858	register|line_position|line_third|paragraph_boundary|left_status|right_status	0	0	0	0.534453713075	0.573811063075	0.583333333333	0.584211757524	line_position|line_third|paragraph_boundary|left_status|right_status|right_value_binding	0	0	0	0.673878130627	NA	NA	NA	NONE	0	0	0	NA	0.996325106474	1.000000000000	1.000000000000	right_value_binding	0	0	0	0.991788268705	0.870768217436	shockhey	0
