left_surface	fused_surface	fused_reader_exact_occurrences	separated_pair	separated_reader_exact_occurrences	separated_loci	stolfi_fused_occurrences	stolfi_split_occurrences	boundary_bridge_only	semantic_credit	component_export_credit
al	alar	2	al ar	6	f105r.34|f111r.29|f112r.32|f113r.2|f76r.15|f86v5.12	1	0	1	0	0
ar	arar	1	ar ar	6	f103v.44|f104v.30|f105v.12|f111v.36|f112r.35|f40r.5	0	0	1	0	0
chep	chepar	2	chep ar	1	f103r.2	1	0	1	0	0
chor	chorar	1	chor ar	3	f34r.13|f58r.29|f86v6.3	0	0	1	0	0
da	daar	1	da ar	1	f32v.10	0	0	1	0	0
dair	dairar	2	dair ar	1	f113v.9	1	0	1	0	0
dal	dalar	2	dal ar	1	f86v5.5	1	0	1	0	0
dar	darar	2	dar ar	5	f105v.6|f115r.8|f39r.7|f39v.10|f78r.18	1	0	1	0	0
kar	karar	1	kar ar	2	f50r.5|f86v5.28	1	0	1	0	0
l	lar	5	l ar	1	f103v.23	1	0	1	0	0
ol	olar	7	ol ar	2	f104v.33|f66r.75	3	0	1	0	0
or	orar	5	or ar	5	f115r.24|f34r.14|f40r.6|f50r.4|f86v3.3	3	0	1	0	0
otar	otarar	3	otar ar	8	f105r.32|f113v.13|f113v.26|f113v.7|f115r.44|f34v.8|f46v.2|f86v6.9	1	0	1	0	0
por	porar	1	por ar	1	f79v.33	0	0	1	0	0
r	rar	11	r ar	1	f31r.4	0	0	1	0	0
s	sar	45	s ar	6	f102v2.32|f18v.6|f40v.7|f46r.7|f46v.5|f54v.2	7	0	1	0	0
sho	shoar	2	sho ar	1	f20v.8	2	0	1	0	0
shok	shokar	2	shok ar	1	f108v.12	0	0	1	0	0
tar	tarar	1	tar ar	2	f112r.30|f86v6.21	0	0	1	0	0
to	toar	1	to ar	1	f23r.2	0	0	1	0	0
