cell_id	cohort	prefix	tail	surface	reader_exact_occurrences	reader_exact_page_count	reader_exact_physical_folio_count	reader_exact_physical_folios	candidate_semantic_credit	component_export_credit
G789-R23-01-01	R_N_LEVEL_II_TO_III	d	air	dair	63	51	40	f2|f3|f6|f10|f11|f14|f17|f18|f23|f25|f27|f32|f36|f38|f39|f41|f44|f45|f46|f47|f50|f55|f58|f82|f83|f85|f86|f88|f90|f93|f100|f102|f103|f105|f106|f108|f111|f113|f114|f115	0	0
G789-R23-01-02	R_N_LEVEL_II_TO_III	d	ain	dain	149	76	54	f2|f3|f7|f8|f9|f10|f11|f13|f14|f15|f17|f22|f23|f27|f28|f29|f30|f32|f35|f36|f37|f38|f39|f40|f42|f43|f45|f47|f49|f53|f55|f56|f75|f76|f78|f79|f80|f81|f83|f85|f87|f88|f89|f93|f95|f103|f104|f107|f108|f111|f112|f114|f115|f116	0	0
G789-R23-01-03	R_N_LEVEL_II_TO_III	d	aiir	daiir	8	8	8	f7|f18|f23|f31|f37|f66|f104|f106	0	0
G789-R23-01-04	R_N_LEVEL_II_TO_III	d	aiin	daiin	602	163	89	f2|f3|f4|f5|f6|f7|f8|f9|f10|f11|f13|f14|f15|f16|f17|f18|f19|f20|f21|f22|f23|f24|f25|f26|f27|f28|f29|f30|f31|f32|f33|f34|f35|f36|f37|f38|f39|f40|f41|f42|f43|f44|f45|f46|f47|f48|f49|f50|f51|f52|f53|f54|f55|f56|f58|f66|f75|f76|f77|f78|f79|f80|f81|f82|f83|f85|f86|f87|f88|f89|f93|f94|f95|f96|f99|f100|f102|f103|f104|f105|f106|f107|f108|f111|f112|f113|f114|f115|f116	0	0
G789-R23-02-01	R_N_LEVEL_II_TO_III	lk	air	lkair	2	2	2	f104|f108	0	0
G789-R23-02-02	R_N_LEVEL_II_TO_III	lk	ain	lkain	27	14	12	f76|f78|f79|f80|f103|f104|f107|f108|f111|f112|f115|f116	0	0
G789-R23-02-03	R_N_LEVEL_II_TO_III	lk	aiir	lkaiir	2	2	2	f105|f106	0	0
G789-R23-02-04	R_N_LEVEL_II_TO_III	lk	aiin	lkaiin	43	19	13	f76|f77|f80|f82|f86|f103|f104|f105|f106|f107|f108|f113|f115	0	0
G789-R23-03-01	R_N_LEVEL_II_TO_III	o	air	oair	3	3	3	f44|f104|f105	0	0
G789-R23-03-02	R_N_LEVEL_II_TO_III	o	ain	oain	10	9	8	f44|f55|f88|f93|f103|f107|f111|f112	0	0
G789-R23-03-03	R_N_LEVEL_II_TO_III	o	aiir	oaiir	4	4	4	f7|f45|f105|f114	0	0
G789-R23-03-04	R_N_LEVEL_II_TO_III	o	aiin	oaiin	17	14	13	f5|f13|f18|f26|f35|f49|f51|f54|f55|f102|f107|f113|f114	0	0
G789-R23-04-01	R_N_LEVEL_II_TO_III	ok	air	okair	17	14	11	f39|f40|f50|f55|f58|f83|f94|f104|f105|f107|f114	0	0
G789-R23-04-02	R_N_LEVEL_II_TO_III	ok	ain	okain	112	43	28	f9|f18|f28|f33|f39|f48|f50|f55|f75|f76|f77|f78|f79|f80|f81|f82|f83|f95|f103|f104|f106|f107|f108|f111|f112|f113|f114|f116	0	0
G789-R23-04-03	R_N_LEVEL_II_TO_III	ok	aiir	okaiir	4	4	4	f9|f23|f58|f105	0	0
G789-R23-04-04	R_N_LEVEL_II_TO_III	ok	aiin	okaiin	177	81	52	f4|f6|f15|f16|f17|f21|f23|f24|f29|f33|f34|f36|f37|f38|f39|f40|f44|f45|f46|f47|f50|f54|f55|f58|f66|f75|f76|f77|f78|f79|f80|f81|f82|f83|f85|f86|f88|f89|f94|f95|f99|f103|f104|f105|f106|f107|f108|f111|f112|f113|f114|f115	0	0
G789-R23-05-01	R_N_LEVEL_II_TO_III	ot	air	otair	18	12	10	f58|f80|f86|f104|f105|f106|f107|f112|f113|f114	0	0
G789-R23-05-02	R_N_LEVEL_II_TO_III	ot	ain	otain	88	42	27	f5|f16|f34|f40|f43|f58|f75|f76|f78|f79|f80|f81|f82|f86|f94|f95|f103|f104|f106|f107|f108|f111|f112|f113|f114|f115|f116	0	0
G789-R23-05-03	R_N_LEVEL_II_TO_III	ot	aiir	otaiir	2	2	2	f24|f113	0	0
G789-R23-05-04	R_N_LEVEL_II_TO_III	ot	aiin	otaiin	128	56	40	f4|f5|f6|f7|f8|f9|f15|f19|f20|f21|f22|f28|f33|f36|f38|f42|f48|f50|f51|f58|f66|f76|f78|f79|f80|f82|f83|f85|f86|f94|f95|f103|f104|f105|f106|f107|f108|f112|f113|f114	0	0
G789-R23-06-01	R_N_LEVEL_II_TO_III	qok	air	qokair	17	11	10	f58|f80|f89|f94|f104|f105|f107|f111|f113|f114	0	0
G789-R23-06-02	R_N_LEVEL_II_TO_III	qok	ain	qokain	256	44	27	f24|f39|f48|f50|f58|f75|f76|f77|f78|f79|f80|f81|f82|f83|f86|f89|f95|f103|f104|f106|f107|f108|f111|f112|f113|f115|f116	0	0
G789-R23-06-03	R_N_LEVEL_II_TO_III	qok	aiir	qokaiir	3	3	3	f66|f82|f105	0	0
G789-R23-06-04	R_N_LEVEL_II_TO_III	qok	aiin	qokaiin	241	64	39	f9|f15|f23|f29|f37|f39|f40|f45|f46|f50|f54|f55|f58|f76|f77|f78|f79|f80|f81|f82|f83|f85|f86|f89|f94|f95|f99|f103|f104|f105|f106|f107|f108|f111|f112|f113|f114|f115|f116	0	0
