cell_id	cohort	prefix	tail	surface	reader_exact_occurrences	reader_exact_page_count	reader_exact_physical_folio_count	reader_exact_physical_folios	candidate_semantic_credit	component_export_credit
G789-R12-01-01	R_N_LEVEL_I_TO_II	d	ar	dar	195	99	70	f3|f6|f8|f10|f13|f14|f15|f17|f18|f19|f20|f22|f23|f24|f25|f26|f27|f28|f29|f30|f31|f33|f34|f37|f39|f40|f41|f42|f43|f44|f45|f46|f47|f49|f50|f51|f52|f53|f54|f58|f66|f75|f76|f77|f78|f79|f80|f81|f82|f83|f85|f86|f87|f88|f89|f93|f94|f95|f102|f103|f104|f105|f106|f107|f108|f111|f113|f114|f115|f116	0	0
G789-R12-01-02	R_N_LEVEL_I_TO_II	d	an	dan	14	11	11	f2|f11|f16|f27|f32|f35|f36|f42|f49|f89|f95	0	0
G789-R12-01-03	R_N_LEVEL_I_TO_II	d	air	dair	63	51	40	f2|f3|f6|f10|f11|f14|f17|f18|f23|f25|f27|f32|f36|f38|f39|f41|f44|f45|f46|f47|f50|f55|f58|f82|f83|f85|f86|f88|f90|f93|f100|f102|f103|f105|f106|f108|f111|f113|f114|f115	0	0
G789-R12-01-04	R_N_LEVEL_I_TO_II	d	ain	dain	149	76	54	f2|f3|f7|f8|f9|f10|f11|f13|f14|f15|f17|f22|f23|f27|f28|f29|f30|f32|f35|f36|f37|f38|f39|f40|f42|f43|f45|f47|f49|f53|f55|f56|f75|f76|f78|f79|f80|f81|f83|f85|f87|f88|f89|f93|f95|f103|f104|f107|f108|f111|f112|f114|f115|f116	0	0
G789-R12-02-01	R_N_LEVEL_I_TO_II	k	ar	kar	42	32	26	f6|f34|f39|f40|f45|f46|f50|f55|f58|f75|f78|f81|f85|f86|f94|f95|f104|f105|f106|f107|f108|f111|f112|f113|f114|f115	0	0
G789-R12-02-02	R_N_LEVEL_I_TO_II	k	an	kan	2	2	2	f15|f76	0	0
G789-R12-02-03	R_N_LEVEL_I_TO_II	k	air	kair	8	7	7	f34|f45|f80|f81|f105|f107|f114	0	0
G789-R12-02-04	R_N_LEVEL_I_TO_II	k	ain	kain	36	24	19	f34|f38|f39|f75|f76|f79|f80|f81|f83|f86|f95|f103|f106|f107|f108|f111|f112|f113|f114	0	0
G789-R12-03-01	R_N_LEVEL_I_TO_II	ok	ar	okar	91	47	32	f8|f17|f23|f33|f39|f40|f43|f48|f50|f55|f56|f58|f66|f75|f76|f78|f79|f80|f81|f85|f86|f94|f95|f100|f104|f108|f111|f112|f113|f114|f115|f116	0	0
G789-R12-03-02	R_N_LEVEL_I_TO_II	ok	an	okan	3	3	3	f86|f103|f111	0	0
G789-R12-03-03	R_N_LEVEL_I_TO_II	ok	air	okair	17	14	11	f39|f40|f50|f55|f58|f83|f94|f104|f105|f107|f114	0	0
G789-R12-03-04	R_N_LEVEL_I_TO_II	ok	ain	okain	112	43	28	f9|f18|f28|f33|f39|f48|f50|f55|f75|f76|f77|f78|f79|f80|f81|f82|f83|f95|f103|f104|f106|f107|f108|f111|f112|f113|f114|f116	0	0
G789-R12-04-01	R_N_LEVEL_I_TO_II	ot	ar	otar	110	55	37	f9|f10|f33|f34|f36|f39|f45|f46|f48|f50|f52|f55|f58|f66|f75|f76|f78|f79|f80|f81|f85|f86|f89|f94|f95|f103|f104|f105|f106|f107|f108|f111|f112|f113|f114|f115|f116	0	0
G789-R12-04-02	R_N_LEVEL_I_TO_II	ot	an	otan	3	3	3	f5|f103|f116	0	0
G789-R12-04-03	R_N_LEVEL_I_TO_II	ot	air	otair	18	12	10	f58|f80|f86|f104|f105|f106|f107|f112|f113|f114	0	0
G789-R12-04-04	R_N_LEVEL_I_TO_II	ot	ain	otain	88	42	27	f5|f16|f34|f40|f43|f58|f75|f76|f78|f79|f80|f81|f82|f86|f94|f95|f103|f104|f106|f107|f108|f111|f112|f113|f114|f115|f116	0	0
G789-R12-05-01	R_N_LEVEL_I_TO_II	qok	ar	qokar	132	59	39	f8|f33|f34|f39|f40|f42|f43|f46|f48|f54|f55|f58|f66|f75|f76|f77|f78|f79|f80|f81|f82|f83|f85|f86|f89|f94|f95|f102|f103|f104|f106|f107|f108|f111|f112|f113|f114|f115|f116	0	0
G789-R12-05-02	R_N_LEVEL_I_TO_II	qok	an	qokan	8	8	8	f75|f78|f79|f80|f95|f103|f111|f116	0	0
G789-R12-05-03	R_N_LEVEL_I_TO_II	qok	air	qokair	17	11	10	f58|f80|f89|f94|f104|f105|f107|f111|f113|f114	0	0
G789-R12-05-04	R_N_LEVEL_I_TO_II	qok	ain	qokain	256	44	27	f24|f39|f48|f50|f58|f75|f76|f77|f78|f79|f80|f81|f82|f83|f86|f89|f95|f103|f104|f106|f107|f108|f111|f112|f113|f115|f116	0	0
G789-R12-06-01	R_N_LEVEL_I_TO_II	qot	ar	qotar	53	34	25	f24|f31|f43|f48|f66|f75|f76|f77|f79|f80|f82|f83|f85|f86|f94|f95|f103|f104|f105|f106|f111|f113|f114|f115|f116	0	0
G789-R12-06-02	R_N_LEVEL_I_TO_II	qot	an	qotan	2	2	2	f49|f75	0	0
G789-R12-06-03	R_N_LEVEL_I_TO_II	qot	air	qotair	4	4	3	f58|f80|f104	0	0
G789-R12-06-04	R_N_LEVEL_I_TO_II	qot	ain	qotain	60	29	19	f58|f75|f76|f77|f79|f80|f81|f83|f86|f103|f104|f107|f108|f111|f112|f113|f114|f115|f116	0	0
G789-R12-07-01	R_N_LEVEL_I_TO_II	s	ar	sar	45	33	26	f8|f17|f24|f26|f33|f58|f76|f77|f80|f81|f82|f83|f86|f88|f89|f93|f96|f99|f102|f103|f104|f106|f107|f112|f113|f116	0	0
G789-R12-07-02	R_N_LEVEL_I_TO_II	s	an	san	2	2	2	f76|f87	0	0
G789-R12-07-03	R_N_LEVEL_I_TO_II	s	air	sair	16	14	13	f8|f26|f34|f66|f76|f85|f86|f89|f106|f107|f108|f111|f114	0	0
G789-R12-07-04	R_N_LEVEL_I_TO_II	s	ain	sain	53	30	24	f10|f24|f75|f76|f77|f78|f79|f81|f82|f83|f85|f86|f95|f100|f103|f104|f106|f107|f108|f111|f112|f113|f114|f116	0	0
