surface	working_meaning_de	actual_working_role	part_similarity	amount_similarity	value_similarity	predicted_working_role	correct	fields	anchor_meanings_are_working_defaults_not_plaintext	component_export_credit
a	je, zu gleichen Teilen	PART	0.764443580192	0.793175830341	0.943209075896	VALUE	0	line_position|right_value_binding	1	0
ary	Drogenfraktion I, abgeschlossen	PART	0.934992193080	0.883992825981	0.690977605123	PART	1	line_position|right_value_binding	1	0
as	ein gleicher Teil der Arzneispecies	PART	0.764443580192	0.793175830341	0.943209075896	VALUE	0	line_position|right_value_binding	1	0
chordy	Pflanzenteil fertigstellen	PART	0.986590613073	0.949434076838	0.888562992242	PART	1	line_position|right_value_binding	1	0
chory	Pflanzenteil in Grundform	PART	0.797397684873	0.672550944254	0.648186664979	PART	1	line_position|left_positive_axes|right_positive_axes|right_value_binding	1	0
dairodg	abgemessene Fraktion II, als Zubereitung abgeschlossen	PART	0.865623477203	0.816408253450	0.593666268904	PART	1	line_position|right_value_binding	1	0
dary	abgemessene Fraktion I, abgeschlossen	PART	0.835408728455	0.777765680060	0.707169442188	PART	1	line_position|left_positive_axes|right_positive_axes|right_value_binding	1	0
kary	erste erhitzte Fraktion, abgeschlossen	PART	0.903140360234	0.883850250293	0.801791152665	PART	1	line_position|left_positive_axes|right_value_binding	1	0
okarol	Ansatzstoff aus heißer Drogenfraktion I	PART	0.865623477203	0.816408253450	0.593666268904	PART	1	line_position|right_value_binding	1	0
okary	heiße Ansatzfraktion I, abgeschlossen	PART	0.716020803703	0.692841578284	0.575678981114	PART	1	line_position|left_positive_axes|right_value_binding	1	0
qokady	einen gleichen Teil erhitzen	PART	0.865623477203	0.816408253450	0.593666268904	PART	1	line_position|right_value_binding	1	0
qolkary	gib die erste erhitzte Drogenfraktion hinzu	PART	0.764443580192	0.793175830341	0.943209075896	VALUE	0	line_position|right_value_binding	1	0
alam	ein Maß Rohdroge I	AMOUNT	0.976979940761	0.919353842814	0.768431808651	PART	0	line_position|right_value_binding	1	0
cham	ein Maß Trockendroge	AMOUNT	0.776030670657	0.849980317420	0.710483507514	AMOUNT	1	line_position|right_positive_axes|right_value_binding	1	0
cthom	eine Handvoll Pflanzenansatz	AMOUNT	0.879302126742	0.829125487347	0.785289023749	PART	0	line_position|left_positive_axes|right_value_binding	1	0
cthory	eine Portion Pflanzendroge	AMOUNT	0.879104698453	0.808653680898	0.593666268904	PART	0	line_position|right_value_binding	1	0
daiiy	abgemessene Drogenportion, abgeschlossen	AMOUNT	0.612236339383	0.587030744206	0.420336298776	PART	0	line_position|left_positive_axes|right_value_binding	1	0
daim	eine zweite Portion abmessen	AMOUNT	0.844363599924	0.860986725636	0.808955984683	AMOUNT	1	line_position|left_positive_axes|right_value_binding	1	0
dchedy	fertige abgemessene Trockenportion	AMOUNT	0.612207164953	0.714054860396	0.733873625254	VALUE	0	line_position|left_positive_axes|right_positive_axes|right_value_binding	1	0
