cell_id	cohort	support_primary_31	historical_exclusion_31	prefix	tail	surface	reader_exact_occurrences	reader_exact_page_count	reader_exact_physical_folio_count	reader_exact_physical_folios	candidate_semantic_credit	component_export_credit
G789-P01-01	ROBUST_AR_OR_47	0	1	al	ar	alar	2	2	2	f58|f113	0	0
G789-P01-02	ROBUST_AR_OR_47	0	1	al	or	alor	6	4	4	f58|f86|f112|f115	0	0
G789-P02-01	ROBUST_AR_OR_47	1	0	ch	ar	char	55	40	29	f4|f6|f8|f10|f23|f24|f27|f34|f35|f38|f42|f45|f47|f55|f58|f75|f76|f82|f83|f94|f103|f104|f106|f107|f108|f111|f112|f113|f116	0	0
G789-P02-02	ROBUST_AR_OR_47	1	0	ch	or	chor	176	94	60	f2|f3|f4|f5|f6|f7|f8|f9|f10|f13|f15|f16|f17|f18|f19|f20|f21|f22|f23|f24|f25|f27|f28|f29|f30|f32|f33|f34|f35|f37|f38|f39|f42|f45|f47|f49|f52|f54|f56|f58|f66|f85|f86|f87|f88|f89|f95|f96|f99|f100|f102|f104|f105|f106|f107|f108|f112|f113|f114|f115	0	0
G789-P03-01	ROBUST_AR_OR_47	1	0	che	ar	chear	38	23	21	f6|f8|f17|f23|f28|f35|f53|f58|f76|f79|f83|f86|f88|f89|f104|f106|f108|f111|f112|f113|f116	0	0
G789-P03-02	ROBUST_AR_OR_47	1	0	che	or	cheor	56	38	34	f2|f3|f4|f5|f15|f17|f21|f24|f28|f29|f30|f39|f47|f49|f51|f54|f58|f76|f78|f79|f82|f83|f86|f87|f88|f94|f96|f100|f102|f104|f106|f107|f113|f115	0	0
G789-P04-01	ROBUST_AR_OR_47	0	1	cho	ar	choar	2	2	2	f58|f115	0	0
G789-P04-02	ROBUST_AR_OR_47	0	1	cho	or	choor	2	2	2	f8|f14	0	0
G789-P05-01	ROBUST_AR_OR_47	1	1	chok	ar	chokar	6	6	5	f86|f88|f104|f106|f113	0	0
G789-P05-02	ROBUST_AR_OR_47	1	1	chok	or	chokor	5	4	4	f29|f56|f104|f113	0	0
G789-P06-01	ROBUST_AR_OR_47	1	1	chot	ar	chotar	9	9	7	f42|f58|f93|f106|f113|f114|f115	0	0
G789-P06-02	ROBUST_AR_OR_47	1	1	chot	or	chotor	4	3	3	f42|f56|f100	0	0
G789-P07-01	ROBUST_AR_OR_47	0	1	ckh	ar	ckhar	2	2	2	f58|f113	0	0
G789-P07-02	ROBUST_AR_OR_47	0	1	ckh	or	ckhor	6	6	6	f2|f6|f24|f37|f96|f99	0	0
G789-P08-01	ROBUST_AR_OR_47	1	1	cph	ar	cphar	3	3	3	f11|f36|f78	0	0
G789-P08-02	ROBUST_AR_OR_47	1	1	cph	or	cphor	5	5	5	f3|f17|f36|f45|f115	0	0
G789-P09-01	ROBUST_AR_OR_47	1	1	cth	ar	cthar	13	12	12	f6|f8|f17|f18|f19|f24|f38|f42|f48|f56|f76|f116	0	0
G789-P09-02	ROBUST_AR_OR_47	1	1	cth	or	cthor	39	30	24	f2|f5|f6|f9|f10|f11|f13|f14|f15|f16|f17|f18|f19|f22|f25|f28|f29|f36|f37|f42|f52|f80|f82|f89	0	0
G789-P10-01	ROBUST_AR_OR_47	0	1	dar	ar	darar	2	2	2	f58|f99	0	0
G789-P10-02	ROBUST_AR_OR_47	0	1	dar	or	daror	2	2	2	f18|f77	0	0
G789-P11-01	ROBUST_AR_OR_47	1	0	k	ar	kar	42	32	26	f6|f34|f39|f40|f45|f46|f50|f55|f58|f75|f78|f81|f85|f86|f94|f95|f104|f105|f106|f107|f108|f111|f112|f113|f114|f115	0	0
G789-P11-02	ROBUST_AR_OR_47	1	0	k	or	kor	13	13	12	f3|f22|f29|f33|f37|f39|f48|f52|f88|f90|f102|f105	0	0
G789-P12-01	ROBUST_AR_OR_47	0	1	kee	ar	keear	3	2	2	f86|f108	0	0
G789-P12-02	ROBUST_AR_OR_47	0	1	kee	or	keeor	2	2	2	f17|f113	0	0
