page	physical_folio	locus	left_surface	right_surface	separated_pair	left_token_ordinal	right_token_ordinal	line_token_count	line_position_of_ar	paragraph_start_line	paragraph_end_line	section	language	hand	both_tokens_reader_exact	zl3b_pair_count	it2a_pair_count	rf1b_pair_count	all_three_readers_preserve_pair	clean_exact_span	current_line	component_export_credit	span_id
f8v	f8	f8v.6	dain	ar	dain ar	6	7	7	LAST	0	0	H	A	1	1	1	1	1	1	1	daiin cthan ytchy chey kaiin dain ar	0	G789-S001
f11v	f11	f11v.3	tchy	ar	tchy ar	4	5	9	MIDDLE	0	0	H	A	1	1	1	1	1	1	1	otchor dy kchy tchy ar qokchd oky choldy dy	0	G789-S002
f18v	f18	f18v.6	s	ar	s ar	6	7	8	MIDDLE	0	0	H	A	1	1	1	1	1	1	1	qotor chor otchy qokeees chy s ar ykar	0	G789-S003
f20v	f20	f20v.8	sho	ar	sho ar	3	4	8	MIDDLE	0	0	H	A	1	1	1	1	1	1	1	shain choraly sho ar chy daiin d s	0	G789-S004
f23r	f23	f23r.2	to	ar	to ar	1	2	13	MIDDLE	0	0	H	A	1	1	1	1	1	1	1	to ar chor daiin chk dain otchy lolchor daiin dam okchol dain g	0	G789-S005
f23r	f23	f23r.5	chol	ar	chol ar	6	7	11	MIDDLE	0	1	H	A	1	1	1	1	1	1	1	ychor qokchol ytym chol dair chol ar ol ol dol dain	0	G789-S006
f23v	f23	f23v.9	oldar	ar	oldar ar	4	5	10	MIDDLE	0	0	H	A	1	1	1	1	1	1	1	otshy dal dar oldar ar or qoto l chees g	0	G789-S007
f26v	f26	f26v.5	chs	ar	chs ar	9	10	10	LAST	0	0	H	B	2	1	1	1	1	1	1	deeol cheody qoteedy qokody qotedy qotedy opchedy ofchy chs ar	0	G789-S008
f31r	f31	f31r.4	r	ar	r ar	5	6	10	MIDDLE	0	0	H	B	2	1	1	1	1	1	1	qotar chy dar lo r ar cheey keeol chedy qokey	0	G789-S009
f32v	f32	f32v.10	da	ar	da ar	9	10	10	LAST	0	0	H	A	1	1	1	1	1	1	1	sho keol chor chol daiin cpho l cthol da ar	0	G789-S010
f33r	f33	f33r.7	okain	ar	okain ar	7	8	9	MIDDLE	0	1	H	B	2	1	1	1	1	1	1	dar chos aiin or aiin cheekaiin okain ar okeeey	0	G789-S011
f33v	f33	f33v.9	chckhy	ar	chckhy ar	9	10	14	MIDDLE	0	0	H	B	2	1	1	1	1	1	1	sar or aiin chor or shkair shol or chckhy ar aiin okain dal dy	0	G789-S012
f34r	f34	f34r.5	okes	ar	okes ar	5	6	11	MIDDLE	0	0	H	B	2	1	1	1	1	1	1	qoteedy shedy shedy ol okes ar ykeed l chedy otey okaiin	0	G789-S013
f34r	f34	f34r.9	qod	ar	qod ar	2	3	10	MIDDLE	0	1	H	B	2	1	1	1	1	1	1	ykchdy qod ar ch ay or lchey todaly okaiin dardy	0	G789-S014
f34r	f34	f34r.13	chor	ar	chor ar	8	9	11	MIDDLE	0	0	H	B	2	1	1	1	1	1	1	ykeo lor ochey oly okaly kechdy qokchdy chor ar aiiin daly	0	G789-S015
f34r	f34	f34r.14	or	ar	or ar	1	2	13	MIDDLE	0	0	H	B	2	1	1	1	1	1	1	or ar y kar ol al oky chody qokal chedy chcthedy cheky daram	0	G789-S016
f34v	f34	f34v.6	lr	ar	lr ar	8	9	10	MIDDLE	1	0	H	B	2	1	1	1	1	1	1	pchedar shear qokchdy qokees cheol ypchdaiin chedy lr ar chedain	0	G789-S017
f34v	f34	f34v.8	otar	ar	otar ar	2	3	10	MIDDLE	0	0	H	B	2	1	1	1	1	1	1	ysheos otar ar choraiin cheky olchdaiin or oldar chdar okam	0	G789-S018
f35v	f35	f35v.13	od	ar	od ar	3	4	5	MIDDLE	0	0	H	A	1	1	1	1	1	1	1	ol char od ar chear	0	G789-S019
f39r	f39	f39r.7	dar	ar	dar ar	7	8	13	MIDDLE	0	0	H	B	2	1	1	1	1	1	1	dchdar chedy cholal qokedar chdy chckhdy dar ar al ydy eee s aiiin	0	G789-S020
f39r	f39	f39r.11	dshdy	ar	dshdy ar	1	2	12	MIDDLE	0	0	H	B	2	1	1	1	1	1	1	dshdy ar aiin y yken chdy ykal olkaiin qokaldar cheol dar aiin	0	G789-S021
f39v	f39	f39v.7	okar	ar	okar ar	7	8	8	LAST	1	0	H	B	2	1	1	1	1	1	1	pardy shedy qokar sheedy oraly olaiir okar ar	0	G789-S022
