surface	profile_role	reader_exact_occurrences	physical_folios	register_json	line_position_json	line_third_json	paragraph_boundary_json	left_status_json	right_status_json	left_positive_axes_json	right_positive_axes_json	close_proximity_json	right_value_binding_json	semantic_sources_masked	component_export_credit
alar	AR_OR_LATTICE	2	2	"{""S|A|3"":0.5,""S|B|3"":0.5}"	"{""MIDDLE"":1.0}"	"{""L"":0.5,""M"":0.5}"	"{""0|0"":1.0}"	"{""EXACT"":1.0}"	"{""EXACT"":1.0}"	{}	{}	{}	"{""NONE"":1.0}"	1	0
alor	AR_OR_LATTICE	6	4	"{""C|B|2"":0.25,""S|A|3"":0.25,""S|B|3"":0.25,""S|B|@"":0.25}"	"{""LAST"":0.25,""MIDDLE"":0.75}"	"{""L"":0.5,""M"":0.5}"	"{""0|0"":0.75,""0|1"":0.25}"	"{""EXACT"":0.375,""NONEXACT"":0.625}"	"{""EDGE"":0.25,""EXACT"":0.625,""NONEXACT"":0.125}"	{}	{}	"{""R3"":1.0}"	"{""IV"":0.125,""NONE"":0.875}"	1	0
ar	BARE_CORE	242	51	"{""B|B|2"":0.13725490196078433,""C|B|2"":0.02228163992869876,""H|A|1"":0.2156862745098039,""H|B|2"":0.19607843137254907,""H|B|3"":0.03921568627450981,""H|B|5"":0.019607843137254905,""P|A|1"":0.05882352941176471,""S|A|3"":0.019607843137254898,""S|B|3"":0.21960784313725482,""S|B|@"":0.015686274509803925,""T|B|2"":0.036541889483065984,""T|B|5"":0.019607843137254905}"	"{""FIRST"":0.0008912655971479505,""LAST"":0.16777020077193094,""MIDDLE"":0.831338533630921}"	"{""F"":0.21266661539152878,""L"":0.5024644425163458,""M"":0.28486894209212543}"	"{""0|0"":1.0}"	"{""EDGE"":0.0008912655971479507,""EXACT"":0.8168633990000773,""NONEXACT"":0.1822453354027748}"	"{""EDGE"":0.16777020077193083,""EXACT"":0.6967852697091454,""NONEXACT"":0.13544452951892386}"	"{""BEGIN_STAGE"":0.06732464614041497,""CLOSE"":0.011774526857457853,""COLD"":0.09075626317948095,""DRY"":0.08014838826239877,""END_STAGE"":0.022639892071672642,""HOT"":0.06832590205126243,""MATERIAL"":0.02338447092832341,""MIDDLE_STAGE"":0.06014786514937514,""MOIST"":0.13770950346903063,""PREPARATION"":0.27997932164988965,""PROCESS"":0.019471343736688643,""VALUE"":0.13833787650400492}"	"{""AMOUNT"":0.009937602132775931,""BEGIN_STAGE"":0.0037996714037084444,""CLOSE"":0.08452339303191131,""COLD"":0.03229720693152177,""DRY"":0.12903711923414415,""END_STAGE"":0.09528912867575189,""HOT"":0.14328746861285427,""MATERIAL"":0.17426295168546363,""MIDDLE_STAGE"":0.09294024089891395,""MOIST"":0.03229720693152177,""PART"":0.03464609470835972,""PREPARATION"":0.0571615834621295,""PROCESS"":0.0028393148950788378,""VALUE"":0.10768101739586489}"	"{""L1"":0.03520549240105093,""L2"":0.2630503690584609,""L3"":0.3156354491128704,""R1"":0.19305434471380895,""R2"":0.02287890089723469,""R3"":0.1701754438165742}"	"{""II"":0.013237987502693399,""III"":0.04321746592507843,""IV"":0.011596573361279255,""NONE"":0.9319479732109489}"	1	0
char	AR_OR_LATTICE	55	29	"{""B|B|2"":0.13793103448275865,""H|A|1"":0.4137931034482759,""H|B|2"":0.06896551724137932,""H|B|3"":0.03448275862068966,""S|A|3"":0.03448275862068966,""S|B|3"":0.31034482758620685}"	"{""FIRST"":0.051724137931034496,""LAST"":0.008620689655172415,""MIDDLE"":0.9396551724137931}"	"{""F"":0.4057471264367817,""L"":0.3706896551724138,""M"":0.22356321839080456}"	"{""0|0"":0.9913793103448276,""0|1"":0.008620689655172417}"	"{""EDGE"":0.05172413793103449,""EXACT"":0.8350574712643678,""NONEXACT"":0.11321839080459772}"	"{""EDGE"":0.008620689655172415,""EXACT"":0.7804597701149426,""NONEXACT"":0.21091954022988507}"	"{""BEGIN_STAGE"":0.08823529411764706,""COLD"":0.0392156862745098,""DRY"":0.0392156862745098,""HOT"":0.08823529411764706,""MOIST"":0.17647058823529413,""PREPARATION"":0.12745098039215685,""PROCESS"":0.35294117647058826,""VALUE"":0.08823529411764706}"	"{""BEGIN_STAGE"":0.07916666666666666,""CLOSE"":0.08333333333333333,""COLD"":0.10416666666666667,""DRY"":0.07916666666666666,""END_STAGE"":0.1,""HOT"":0.016666666666666666,""MATERIAL"":0.125,""MIDDLE_STAGE"":0.041666666666666664,""PREPARATION"":0.20833333333333334,""PROCESS"":0.041666666666666664,""VALUE"":0.12083333333333333}"	"{""L2"":0.3703703703703704,""L3"":0.07407407407407408,""R1"":0.3703703703703704,""R3"":0.1851851851851852}"	"{""III"":0.04885057471264369,""NONE"":0.9511494252873564}"	1	0
chear	AR_OR_LATTICE	38	21	"{""B|B|2"":0.09523809523809523,""C|B|2"":0.015873015873015872,""H|A|1"":0.3333333333333333,""P|A|1"":0.09523809523809523,""S|A|3"":0.047619047619047616,""S|B|3"":0.33333333333333337,""T|B|2"":0.07936507936507936}"	"{""LAST"":0.06349206349206347,""MIDDLE"":0.9365079365079365}"	"{""F"":0.3390022675736961,""L"":0.3208616780045352,""M"":0.3401360544217687}"	"{""0|0"":0.9523809523809523,""0|1"":0.0476190476190476}"	"{""EXACT"":0.81859410430839,""NONEXACT"":0.18140589569160995}"	"{""EDGE"":0.06349206349206347,""EXACT"":0.7403628117913833,""NONEXACT"":0.19614512471655324}"	"{""BEGIN_STAGE"":0.5,""PART"":0.5}"	"{""AMOUNT"":0.16346153846153846,""COLD"":0.16826923076923078,""DRY"":0.20192307692307693,""END_STAGE"":0.03365384615384615,""MATERIAL"":0.028846153846153848,""PREPARATION"":0.16826923076923078,""PROCESS"":0.20192307692307693,""VALUE"":0.03365384615384615}"	"{""R3"":1.0}"	"{""III"":0.06349206349206347,""NONE"":0.9365079365079365}"	1	0
cheor	AR_OR_LATTICE	56	34	"{""B|B|2"":0.14705882352941174,""H|A|1"":0.5,""H|B|2"":0.029411764705882346,""H|B|3"":0.029411764705882346,""P|A|1"":0.08823529411764706,""S|A|3"":0.029411764705882346,""S|B|3"":0.11764705882352938,""S|B|@"":0.029411764705882346,""T|B|2"":0.029411764705882346}"	"{""FIRST"":0.02941176470588237,""LAST"":0.02941176470588237,""MIDDLE"":0.9352941176470588,""SINGLE"":0.005882352941176474}"	"{""F"":0.43039215686274507,""L"":0.3264705882352941,""M"":0.24313725490196084}"	"{""0|0"":0.9705882352941176,""0|1"":0.02941176470588237}"	"{""EDGE"":0.03529411764705884,""EXACT"":0.7519607843137254,""NONEXACT"":0.21274509803921582}"	"{""EDGE"":0.03529411764705884,""EXACT"":0.8676470588235293,""NONEXACT"":0.09705882352941182}"	"{""BEGIN_STAGE"":0.013513513513513513,""COLD"":0.04504504504504504,""DRY"":0.1036036036036036,""HOT"":0.14864864864864863,""MATERIAL"":0.09009009009009009,""MOIST"":0.18018018018018017,""PREPARATION"":0.28378378378378377,""PROCESS"":0.13513513513513514}"	"{""DRY"":0.05952380952380952,""END_STAGE"":0.05952380952380952,""MATERIAL"":0.47619047619047616,""MIDDLE_STAGE"":0.07539682539682539,""MOIST"":0.11904761904761904,""PREPARATION"":0.1349206349206349,""VALUE"":0.07539682539682539}"	"{""L2"":1.0}"	"{""III"":0.02941176470588237,""NONE"":0.9705882352941176}"	1	0
choar	AR_OR_LATTICE	2	2	"{""S|A|3"":0.5,""S|B|@"":0.5}"	"{""MIDDLE"":1.0}"	"{""L"":1.0}"	"{""0|0"":1.0}"	"{""EXACT"":1.0}"	"{""EXACT"":1.0}"	"{""END_STAGE"":0.5,""PREPARATION"":0.5}"	{}	{}	"{""NONE"":1.0}"	1	0
chokar	AR_OR_LATTICE	6	5	"{""P|A|1"":0.2,""S|B|3"":0.6000000000000001,""T|B|2"":0.2}"	"{""MIDDLE"":1.0}"	"{""F"":0.2,""L"":0.4,""M"":0.4}"	"{""0|0"":1.0}"	"{""EXACT"":1.0}"	"{""EXACT"":0.8,""NONEXACT"":0.2}"	{}	"{""COLD"":0.16666666666666666,""MATERIAL"":0.5,""MOIST"":0.3333333333333333}"	"{""L2"":1.0}"	"{""NONE"":1.0}"	1	0
chokor	AR_OR_LATTICE	5	4	"{""H|A|1"":0.5,""S|B|3"":0.5}"	"{""LAST"":0.125,""MIDDLE"":0.875}"	"{""F"":0.25,""L"":0.125,""M"":0.625}"	"{""0|0"":1.0}"	"{""EXACT"":0.25,""NONEXACT"":0.75}"	"{""EDGE"":0.125,""EXACT"":0.25,""NONEXACT"":0.625}"	"{""MOIST"":0.5,""PREPARATION"":0.5}"	{}	{}	"{""NONE"":1.0}"	1	0
choor	AR_OR_LATTICE	2	2	"{""H|A|1"":1.0}"	"{""MIDDLE"":1.0}"	"{""L"":1.0}"	"{""0|0"":1.0}"	"{""EXACT"":1.0}"	"{""EXACT"":1.0}"	{}	"{""BEGIN_STAGE"":0.3333333333333333,""PREPARATION"":0.3333333333333333,""VALUE"":0.3333333333333333}"	{}	"{""NONE"":1.0}"	1	0
