surface	family_class	left_string	raw_occurrences	raw_page_count	raw_pages	raw_physical_folio_count	raw_locus_count	reader_exact_surface	reader_exact_occurrences	reader_exact_page_count	reader_exact_pages	reader_exact_physical_folio_count	reader_exact_locus_count	exact_first	exact_middle	exact_last	exact_single	exact_true_paragraph_starts	exact_true_paragraph_ends	exact_register_distribution	current_alternate_reader_split_candidates	current_alternate_reader_split_loci	current_alternate_reader_split_sources	component_export_credit
aar	LEFT_STRING_PLUS_AR	a	1	1	f113v	1	1	0	0	0	NONE	0	0	0	0	0	0	0	0	NONE	0	NONE	NONE	0
aiirchar	LEFT_STRING_PLUS_AR	aiirch	1	1	f46v	1	1	1	1	1	f46v	1	1	0	1	0	0	0	0	H|B|2:1	0	NONE	NONE	0
akar	LEFT_STRING_PLUS_AR	ak	1	1	f66r	1	1	1	1	1	f66r	1	1	0	1	0	0	0	0	T|B|5:1	0	NONE	NONE	0
alar	LEFT_STRING_PLUS_AR	al	2	2	f58v|f113r	2	2	1	2	2	f58v|f113r	2	2	0	2	0	0	0	0	S|A|3:1|S|B|3:1	0	NONE	NONE	0
alchar	LEFT_STRING_PLUS_AR	alch	1	1	f112r	1	1	0	0	0	NONE	0	0	0	0	0	0	0	0	NONE	0	NONE	NONE	0
alkar	LEFT_STRING_PLUS_AR	alk	5	4	f58r|f86v6|f111v|f113r	4	5	1	3	3	f58r|f111v|f113r	3	3	0	3	0	0	0	0	S|A|3:1|S|B|3:2	0	NONE	NONE	0
alsar	LEFT_STRING_PLUS_AR	als	1	1	f108v	1	1	0	0	0	NONE	0	0	0	0	0	0	0	0	NONE	0	NONE	NONE	0
ar	BARE_AR	NONE	321	90	f6v|f8v|f9v|f11v|f15r|f17v|f18v|f20v|f23r|f23v|f24r|f26v|f27r|f31r|f32r|f32v|f33r|f33v|f34r|f34v|f35v|f39r|f39v|f40r|f40v|f42r|f43r|f43v|f44v|f46r|f46v|f48r|f48v|f50r|f50v|f51r|f54v|f55r|f55v|f58r|f58v|f66r|f75r|f76r|f77r|f77v|f78r|f78v|f79r|f79v|f80v|f81r|f83r|f83v|f85r1|f85r2|f86v3|f86v5|f86v6|f88r|f94v|f95v1|f95v2|f96v|f100v|f102v1|f102v2|f103r|f103v|f104r|f104v|f105r|f105v|f106r|f106v|f107r|f107v|f108r|f108v|f111r|f111v|f112r|f112v|f113r|f113v|f114r|f114v|f115r|f115v|f116r	58	290	1	242	78	f8v|f9v|f11v|f18v|f20v|f23r|f23v|f26v|f31r|f32v|f33r|f33v|f34r|f34v|f35v|f39r|f39v|f40r|f40v|f43r|f43v|f44v|f46r|f46v|f48r|f48v|f50r|f50v|f54v|f55v|f58r|f58v|f66r|f75r|f76r|f77r|f77v|f78r|f78v|f79v|f80v|f81r|f83r|f83v|f85r2|f86v3|f86v5|f86v6|f88r|f94v|f95v1|f95v2|f96v|f100v|f102v2|f103r|f103v|f104r|f104v|f105r|f105v|f106r|f106v|f107r|f107v|f108r|f108v|f111r|f111v|f112r|f112v|f113r|f113v|f114r|f114v|f115r|f115v|f116r	51	223	1	223	18	0	0	0	B|B|2:12|C|B|2:7|H|A|1:14|H|B|2:39|H|B|3:3|H|B|5:2|P|A|1:3|S|A|3:17|S|B|3:111|S|B|@:8|T|B|2:23|T|B|5:3	0	NONE	NONE	0
aralar	LEFT_STRING_PLUS_AR	aral	1	1	f116r	1	1	0	0	0	NONE	0	0	0	0	0	0	0	0	NONE	1	f116r.4	rf1b	0
arar	LEFT_STRING_PLUS_AR	ar	3	3	f43r|f103v|f112v	3	3	1	1	1	f103v	1	1	0	1	0	0	0	0	S|B|3:1	0	NONE	NONE	0
