occurrence_id	surface	left_string	page	physical_folio	locus	stolfi_page_row_count	stolfi_same_locus_present	stolfi_whole_count	stolfi_split_left_ar_count	stolfi_raw_split_separator	boundary_status	component_export_credit
G789-O0001	chkar	chk	f2r	f2	f2r.2	8	1	1	0	NONE	FUSED_WHOLE_AT_SAME_LOCUS	0
G789-O0002	oporar	opor	f3r	f3	f3r.15	20	1	0	0	NONE	ALTERNATE_READING_AT_SAME_LOCUS	0
G789-O0003	shar	sh	f3v	f3	f3v.13	14	1	1	0	NONE	FUSED_WHOLE_AT_SAME_LOCUS	0
G789-O0004	shar	sh	f4v	f4	f4v.12	14	1	1	0	NONE	FUSED_WHOLE_AT_SAME_LOCUS	0
G789-O0005	char	ch	f4v	f4	f4v.12	14	1	1	0	NONE	FUSED_WHOLE_AT_SAME_LOCUS	0
G789-O0006	oar	o	f5r	f5	f5r.1	3	1	0	1	,	SPLIT_LEFT_AR_AT_SAME_LOCUS	0
G789-O0007	foar	fo	f6r	f6	f6r.1	5	1	0	0	NONE	ALTERNATE_READING_AT_SAME_LOCUS	0
G789-O0008	kar	k	f6r	f6	f6r.2	5	0	0	0	NONE	NO_SAME_LOCUS_ROW	0
G789-O0009	tar	t	f6r	f6	f6r.5	5	0	0	0	NONE	NO_SAME_LOCUS_ROW	0
G789-O0010	pchar	pch	f6r	f6	f6r.8	5	1	0	0	NONE	ALTERNATE_READING_AT_SAME_LOCUS	0
G789-O0011	ychar	ych	f6r	f6	f6r.11	5	0	0	0	NONE	NO_SAME_LOCUS_ROW	0
G789-O0012	chear	che	f6v	f6	f6v.1	21	1	1	0	NONE	FUSED_WHOLE_AT_SAME_LOCUS	0
G789-O0013	char	ch	f6v	f6	f6v.1	21	1	1	0	NONE	FUSED_WHOLE_AT_SAME_LOCUS	0
G789-O0014	ychear	yche	f6v	f6	f6v.10	21	1	1	0	NONE	FUSED_WHOLE_AT_SAME_LOCUS	0
G789-O0015	char	ch	f6v	f6	f6v.11	21	1	1	0	NONE	FUSED_WHOLE_AT_SAME_LOCUS	0
G789-O0016	cthar	cth	f6v	f6	f6v.16	21	1	2	0	NONE	FUSED_WHOLE_AT_SAME_LOCUS	0
G789-O0017	oeear	oee	f7v	f7	f7v.4	9	1	0	0	NONE	ALTERNATE_READING_AT_SAME_LOCUS	0
G789-O0018	qokar	qok	f8r	f8	f8r.17	14	1	1	0	NONE	FUSED_WHOLE_AT_SAME_LOCUS	0
G789-O0019	char	ch	f8r	f8	f8r.17	14	1	1	0	NONE	FUSED_WHOLE_AT_SAME_LOCUS	0
G789-O0020	okar	ok	f8r	f8	f8r.18	14	1	1	0	NONE	FUSED_WHOLE_AT_SAME_LOCUS	0
G789-O0021	sar	s	f8v	f8	f8v.2	17	1	1	0	NONE	FUSED_WHOLE_AT_SAME_LOCUS	0
G789-O0022	chear	che	f8v	f8	f8v.3	17	1	1	0	NONE	FUSED_WHOLE_AT_SAME_LOCUS	0
G789-O0023	cthar	cth	f8v	f8	f8v.4	17	1	1	0	NONE	FUSED_WHOLE_AT_SAME_LOCUS	0
G789-O0024	otchar	otch	f8v	f8	f8v.5	17	1	1	0	NONE	FUSED_WHOLE_AT_SAME_LOCUS	0
G789-O0025	ar	NONE	f8v	f8	f8v.6	17	1	1	0	NONE	BARE_AR_AT_SAME_LOCUS	0
G789-O0026	cthar	cth	f8v	f8	f8v.7	17	1	1	0	NONE	FUSED_WHOLE_AT_SAME_LOCUS	0
G789-O0027	pchar	pch	f8v	f8	f8v.12	17	1	0	0	NONE	ALTERNATE_READING_AT_SAME_LOCUS	0
G789-O0028	shear	she	f8v	f8	f8v.12	17	1	1	0	NONE	FUSED_WHOLE_AT_SAME_LOCUS	0
G789-O0029	otchar	otch	f8v	f8	f8v.13	17	1	1	0	NONE	FUSED_WHOLE_AT_SAME_LOCUS	0
G789-O0030	satar	sat	f8v	f8	f8v.13	17	1	1	0	NONE	FUSED_WHOLE_AT_SAME_LOCUS	0
G789-O0031	char	ch	f8v	f8	f8v.14	17	1	1	0	NONE	FUSED_WHOLE_AT_SAME_LOCUS	0
G789-O0032	char	ch	f8v	f8	f8v.15	17	1	1	0	NONE	FUSED_WHOLE_AT_SAME_LOCUS	0
G789-O0033	chear	che	f8v	f8	f8v.16	17	1	1	0	NONE	FUSED_WHOLE_AT_SAME_LOCUS	0
G789-O0034	chear	che	f8v	f8	f8v.17	17	1	1	0	NONE	FUSED_WHOLE_AT_SAME_LOCUS	0
G789-O0035	otar	ot	f9r	f9	f9r.4	3	0	0	0	NONE	NO_SAME_LOCUS_ROW	0
G789-O0036	shar	sh	f9r	f9	f9r.6	3	1	1	0	NONE	FUSED_WHOLE_AT_SAME_LOCUS	0
G789-O0037	ar	NONE	f9v	f9	f9v.5	12	1	1	0	NONE	BARE_AR_AT_SAME_LOCUS	0
G789-O0038	char	ch	f10r	f10	f10r.2	12	1	1	0	NONE	FUSED_WHOLE_AT_SAME_LOCUS	0
G789-O0039	otar	ot	f10r	f10	f10r.11	12	1	1	0	NONE	FUSED_WHOLE_AT_SAME_LOCUS	0
G789-O0040	cphar	cph	f11v	f11	f11v.1	7	1	1	0	NONE	FUSED_WHOLE_AT_SAME_LOCUS	0
G789-O0041	ar	NONE	f11v	f11	f11v.3	7	1	0	0	NONE	ALTERNATE_READING_AT_SAME_LOCUS	0
G789-O0042	sokar	sok	f16v	f16	f16v.13	13	1	1	0	NONE	FUSED_WHOLE_AT_SAME_LOCUS	0
G789-O0043	oaorar	oaor	f16v	f16	f16v.13	13	1	1	0	NONE	FUSED_WHOLE_AT_SAME_LOCUS	0
G789-O0044	dychear	dyche	f17r	f17	f17r.8	12	1	1	0	NONE	FUSED_WHOLE_AT_SAME_LOCUS	0
G789-O0045	schar	sch	f17r	f17	f17r.8	12	1	1	0	NONE	FUSED_WHOLE_AT_SAME_LOCUS	0
G789-O0046	chear	che	f17r	f17	f17r.10	12	1	1	0	NONE	FUSED_WHOLE_AT_SAME_LOCUS	0
G789-O0047	cthar	cth	f17r	f17	f17r.11	12	1	1	0	NONE	FUSED_WHOLE_AT_SAME_LOCUS	0
G789-O0048	kchar	kch	f17v	f17	f17v.8	11	1	1	0	NONE	FUSED_WHOLE_AT_SAME_LOCUS	0
G789-O0049	okar	ok	f17v	f17	f17v.10	11	0	0	0	NONE	NO_SAME_LOCUS_ROW	0
G789-O0050	sar	s	f17v	f17	f17v.17	11	1	0	0	NONE	ALTERNATE_READING_AT_SAME_LOCUS	0
G789-O0051	yoar	yo	f18r	f18	f18r.1	3	1	1	0	NONE	FUSED_WHOLE_AT_SAME_LOCUS	0
G789-O0052	cthar	cth	f18r	f18	f18r.13	3	0	0	0	NONE	NO_SAME_LOCUS_ROW	0
G789-O0053	ar	NONE	f18v	f18	f18v.6	10	1	1	0	NONE	BARE_AR_AT_SAME_LOCUS	0
