cell_id	cohort	prefix_complete_surface_required	prefix	tail	surface	reader_exact_occurrences	reader_exact_page_count	reader_exact_physical_folio_count	reader_exact_physical_folios	candidate_semantic_credit	component_export_credit
G789-Q01-01	PRIMARY_SQUARE	0	ch	al	chal	35	20	17	f3|f8|f23|f42|f58|f75|f76|f77|f81|f83|f86|f103|f107|f108|f111|f113|f116	0	0
G789-Q01-02	PRIMARY_SQUARE	0	ch	dal	chdal	13	11	11	f33|f34|f83|f85|f86|f105|f106|f108|f112|f114|f115	0	0
G789-Q01-03	PRIMARY_SQUARE	0	ch	ar	char	55	40	29	f4|f6|f8|f10|f23|f24|f27|f34|f35|f38|f42|f45|f47|f55|f58|f75|f76|f82|f83|f94|f103|f104|f106|f107|f108|f111|f112|f113|f116	0	0
G789-Q01-04	PRIMARY_SQUARE	0	ch	dar	chdar	12	8	7	f76|f78|f86|f104|f108|f114|f115	0	0
G789-Q02-01	PRIMARY_SQUARE	0	che	al	cheal	25	12	9	f8|f42|f58|f82|f83|f103|f108|f111|f113	0	0
G789-Q02-02	PRIMARY_SQUARE	0	che	dal	chedal	15	10	7	f77|f103|f104|f105|f108|f112|f114	0	0
G789-Q02-03	PRIMARY_SQUARE	0	che	ar	chear	38	23	21	f6|f8|f17|f23|f28|f35|f53|f58|f76|f79|f83|f86|f88|f89|f104|f106|f108|f111|f112|f113|f116	0	0
G789-Q02-04	PRIMARY_SQUARE	0	che	dar	chedar	16	11	9	f78|f81|f82|f104|f106|f108|f112|f114|f115	0	0
G789-Q03-01	PRIMARY_SQUARE	0	o	al	oal	2	2	2	f17|f113	0	0
G789-Q03-02	PRIMARY_SQUARE	0	o	dal	odal	11	11	10	f4|f23|f39|f45|f48|f77|f89|f105|f106|f113	0	0
G789-Q03-03	PRIMARY_SQUARE	0	o	ar	oar	9	8	7	f5|f58|f86|f93|f94|f112|f114	0	0
G789-Q03-04	PRIMARY_SQUARE	0	o	dar	odar	17	15	13	f26|f32|f52|f75|f85|f86|f87|f96|f104|f105|f107|f108|f114	0	0
G789-Q04-01	PRIMARY_SQUARE	0	oke	al	okeal	8	7	7	f24|f30|f58|f103|f108|f111|f112	0	0
G789-Q04-02	PRIMARY_SQUARE	0	oke	dal	okedal	2	2	2	f43|f112	0	0
G789-Q04-03	PRIMARY_SQUARE	0	oke	ar	okear	3	3	3	f102|f108|f111	0	0
G789-Q04-04	PRIMARY_SQUARE	0	oke	dar	okedar	2	2	2	f103|f108	0	0
G789-Q05-01	PRIMARY_SQUARE	0	ol	al	olal	5	5	5	f80|f83|f107|f108|f113	0	0
G789-Q05-02	PRIMARY_SQUARE	0	ol	dal	oldal	2	2	2	f88|f114	0	0
G789-Q05-03	PRIMARY_SQUARE	0	ol	ar	olar	7	6	6	f34|f46|f58|f80|f105|f113	0	0
G789-Q05-04	PRIMARY_SQUARE	0	ol	dar	oldar	5	5	5	f23|f34|f85|f87|f88	0	0
G789-Q06-01	PRIMARY_SQUARE	0	ote	al	oteal	5	4	4	f103|f108|f111|f113	0	0
G789-Q06-02	PRIMARY_SQUARE	0	ote	dal	otedal	3	3	3	f82|f108|f114	0	0
G789-Q06-03	PRIMARY_SQUARE	0	ote	ar	otear	3	3	3	f100|f103|f112	0	0
G789-Q06-04	PRIMARY_SQUARE	0	ote	dar	otedar	3	3	2	f108|f112	0	0
G789-Q07-01	PRIMARY_SQUARE	0	qo	al	qoal	4	4	4	f58|f83|f108|f114	0	0
G789-Q07-02	PRIMARY_SQUARE	0	qo	dal	qodal	6	6	6	f51|f52|f53|f54|f85|f104	0	0
G789-Q07-03	PRIMARY_SQUARE	0	qo	ar	qoar	7	7	7	f58|f86|f87|f89|f103|f104|f106	0	0
G789-Q07-04	PRIMARY_SQUARE	0	qo	dar	qodar	7	6	6	f3|f17|f24|f86|f90|f94	0	0
G789-Q08-01	PRIMARY_SQUARE	0	qoke	al	qokeal	4	4	4	f58|f83|f94|f108	0	0
G789-Q08-02	PRIMARY_SQUARE	0	qoke	dal	qokedal	2	2	2	f82|f105	0	0
G789-Q08-03	PRIMARY_SQUARE	0	qoke	ar	qokear	4	3	3	f83|f107|f111	0	0
G789-Q08-04	PRIMARY_SQUARE	0	qoke	dar	qokedar	4	4	4	f39|f76|f78|f83	0	0
G789-Q09-01	PRIMARY_SQUARE	0	sh	al	shal	11	9	7	f75|f79|f80|f103|f108|f111|f113	0	0
G789-Q09-02	PRIMARY_SQUARE	0	sh	dal	shdal	3	3	3	f77|f103|f112	0	0
G789-Q09-03	PRIMARY_SQUARE	0	sh	ar	shar	24	21	19	f3|f4|f9|f45|f52|f55|f58|f77|f80|f82|f86|f89|f103|f104|f106|f107|f111|f113|f116	0	0
G789-Q09-04	PRIMARY_SQUARE	0	sh	dar	shdar	7	6	5	f85|f86|f103|f106|f115	0	0
G789-Q10-01	PRIMARY_SQUARE	0	she	al	sheal	13	12	10	f16|f58|f77|f80|f82|f103|f107|f108|f111|f116	0	0
G789-Q10-02	PRIMARY_SQUARE	0	she	dal	shedal	7	5	3	f76|f83|f111	0	0
G789-Q10-03	PRIMARY_SQUARE	0	she	ar	shear	17	14	13	f8|f29|f46|f58|f76|f77|f79|f88|f106|f108|f111|f113|f116	0	0
G789-Q10-04	PRIMARY_SQUARE	0	she	dar	shedar	6	6	6	f66|f77|f103|f113|f114|f115	0	0
