page	physical_folio	locus	left_surface	right_surface	separated_pair	left_token_ordinal	right_token_ordinal	line_token_count	line_position_of_ar	paragraph_start_line	paragraph_end_line	section	language	hand	both_tokens_reader_exact	zl3b_pair_count	it2a_pair_count	rf1b_pair_count	all_three_readers_preserve_pair	clean_exact_span	current_line	component_export_credit
f6v	f6	f6v.15	ain	ar	ain ar	6	7	7	LAST	0	0	H	A	1	0	1	0	1	0	0	chockhy s or chy s ain ar	0
f8v	f8	f8v.6	dain	ar	dain ar	6	7	7	LAST	0	0	H	A	1	1	1	1	1	1	1	daiin cthan ytchy chey kaiin dain ar	0
f9v	f9	f9v.5	to	ar	to ar	6	7	9	MIDDLE	1	0	H	A	1	0	1	0	1	0	0	pchor ypcheey qotor ypchy olcfholy to ar chty daiiin	0
f11v	f11	f11v.3	tchy	ar	tchy ar	4	5	9	MIDDLE	0	0	H	A	1	1	1	1	1	1	1	otchor dy kchy tchy ar qokchd oky choldy dy	0
f15r	f15	f15r.14	daiin	ar	daiin ar	4	5	8	MIDDLE	0	0	H	A	1	0	1	0	0	0	0	otcho kchy chol daiin ar ytol dor dom	0
f17v	f17	f17v.10	daiir	ar	daiir ar	5	6	6	LAST	0	0	H	A	1	0	1	0	1	0	0	oytor okeor okar okol daiir ar	0
f18v	f18	f18v.6	s	ar	s ar	6	7	8	MIDDLE	0	0	H	A	1	1	1	1	1	1	1	qotor chor otchy qokeees chy s ar ykar	0
f20v	f20	f20v.1	faiis	ar	faiis ar	1	2	10	MIDDLE	1	0	H	A	1	0	1	1	0	0	0	faiis ar okoy shy pofochey opchy qopy choldy opydy cphy	0
f20v	f20	f20v.8	sho	ar	sho ar	3	4	8	MIDDLE	0	0	H	A	1	1	1	1	1	1	1	shain choraly sho ar chy daiin d s	0
f23r	f23	f23r.2	to	ar	to ar	1	2	13	MIDDLE	0	0	H	A	1	1	1	1	1	1	1	to ar chor daiin chk dain otchy lolchor daiin dam okchol dain g	0
