prefix	surface	family	support_primary_31	historical_exclusion_31	reader_exact_occurrences	physical_folios	immediate_right_value_occurrences	folio_balanced_right_value_rate	level_ii	level_iii	level_iv	specific_unit_identity_supported	component_export_credit
al	alar	AR	0	1	2	2	0	0.000000000000	0	0	0	0	0
al	alor	OR	0	1	6	4	1	0.125000000000	0	0	1	0	0
ch	char	AR	1	0	55	29	4	0.048850574713	0	4	0	0	0
ch	chor	OR	1	0	176	60	3	0.036111111111	0	3	0	0	0
che	chear	AR	1	0	38	21	2	0.063492063492	0	2	0	0	0
che	cheor	OR	1	0	56	34	2	0.029411764706	0	2	0	0	0
cho	choar	AR	0	1	2	2	0	0.000000000000	0	0	0	0	0
cho	choor	OR	0	1	2	2	0	0.000000000000	0	0	0	0	0
chok	chokar	AR	1	1	6	5	0	0.000000000000	0	0	0	0	0
chok	chokor	OR	1	1	5	4	0	0.000000000000	0	0	0	0	0
chot	chotar	AR	1	1	9	7	0	0.000000000000	0	0	0	0	0
chot	chotor	OR	1	1	4	3	0	0.000000000000	0	0	0	0	0
ckh	ckhar	AR	0	1	2	2	0	0.000000000000	0	0	0	0	0
ckh	ckhor	OR	0	1	6	6	0	0.000000000000	0	0	0	0	0
cph	cphar	AR	1	1	3	3	0	0.000000000000	0	0	0	0	0
cph	cphor	OR	1	1	5	5	0	0.000000000000	0	0	0	0	0
cth	cthar	AR	1	1	13	12	0	0.000000000000	0	0	0	0	0
cth	cthor	OR	1	1	39	24	1	0.013888888889	0	1	0	0	0
dar	darar	AR	0	1	2	2	0	0.000000000000	0	0	0	0	0
dar	daror	OR	0	1	2	2	0	0.000000000000	0	0	0	0	0
k	kar	AR	1	0	42	26	1	0.038461538462	0	1	0	0	0
k	kor	OR	1	0	13	12	1	0.083333333333	0	1	0	0	0
kee	keear	AR	0	1	3	2	0	0.000000000000	0	0	0	0	0
kee	keeor	OR	0	1	2	2	0	0.000000000000	0	0	0	0	0
l	lar	AR	1	1	5	5	0	0.000000000000	0	0	0	0	0
l	lor	OR	1	1	30	17	5	0.139215686275	0	4	1	0	0
lch	lchar	AR	0	1	3	3	0	0.000000000000	0	0	0	0	0
lch	lchor	OR	0	1	2	2	0	0.000000000000	0	0	0	0	0
lk	lkar	AR	1	1	29	13	2	0.053846153846	0	2	0	0	0
lk	lkor	OR	1	1	3	3	0	0.000000000000	0	0	0	0	0
o	oar	AR	0	0	9	7	1	0.071428571429	0	1	0	0	0
o	oor	OR	0	0	2	2	0	0.000000000000	0	0	0	0	0
ok	okar	AR	1	0	91	32	2	0.020833333333	1	0	1	0	0
ok	okor	OR	1	0	16	16	0	0.000000000000	0	0	0	0	0
okch	okchar	AR	1	1	4	3	1	0.333333333333	0	1	0	0	0
okch	okchor	OR	1	1	12	11	0	0.000000000000	0	0	0	0	0
oke	okear	AR	1	0	3	3	0	0.000000000000	0	0	0	0	0
oke	okeor	OR	1	0	13	10	0	0.000000000000	0	0	0	0	0
okee	okeear	AR	0	1	2	2	0	0.000000000000	0	0	0	0	0
okee	okeeor	OR	0	1	8	5	1	0.200000000000	0	1	0	0	0
ol	olar	AR	1	0	7	6	1	0.083333333333	0	0	1	0	0
ol	olor	OR	1	0	22	14	1	0.014285714286	0	1	0	0	0
op	opar	AR	1	1	6	6	0	0.000000000000	0	0	0	0	0
op	opor	OR	1	1	4	4	0	0.000000000000	0	0	0	0	0
opch	opchar	AR	0	1	2	2	0	0.000000000000	0	0	0	0	0
opch	opchor	OR	0	1	5	5	0	0.000000000000	0	0	0	0	0
or	orar	AR	0	1	5	5	0	0.000000000000	0	0	0	0	0
or	oror	OR	0	1	2	2	0	0.000000000000	0	0	0	0	0
ot	otar	AR	1	0	110	37	6	0.052852852853	1	4	1	0	0
ot	otor	OR	1	0	24	22	1	0.045454545455	0	1	0	0	0
