surface	gdt788_prior_mask	ar_or_rn_tail_union	ar_lineage	excluded_from_semantic_neighbours	excluded_from_learned_whole_donors	component_export_credit
oaiin	0	1	0	1	1	0
oaiir	0	1	0	1	1	0
oain	0	1	0	1	1	0
oair	0	1	1	1	1	0
oal	1	0	0	1	1	0
oaldar	1	1	0	1	1	0
oaldary	1	0	0	1	1	0
oaorar	1	1	0	1	1	0
oar	1	1	1	1	1	0
oaral	1	0	0	1	1	0
oarar	1	1	0	1	1	0
ochaiin	0	1	0	1	1	0
ochar	1	1	0	1	1	0
ocheain	0	1	0	1	1	0
ochedain	0	1	0	1	1	0
ochedal	1	0	0	1	1	0
ochedar	1	1	0	1	1	0
ocheodaiin	0	1	0	1	1	0
ocheor	0	1	0	1	1	0
ochkchor	0	1	0	1	1	0
ochoaiin	0	1	0	1	1	0
ochor	1	1	0	1	1	0
ockhdar	1	1	1	1	1	0
ocphal	1	0	0	1	1	0
ocphoraiin	0	1	0	1	1	0
octhain	0	1	0	1	1	0
octhal	1	0	0	1	1	0
octhdy	1	0	0	1	1	0
octhear	1	1	0	1	1	0
octhol	1	0	0	1	1	0
octhor	0	1	0	1	1	0
odaiiin	0	1	0	1	1	0
odaiin	0	1	0	1	1	0
odaiir	0	1	0	1	1	0
odain	0	1	0	1	1	0
odair	0	1	0	1	1	0
odal	1	0	0	1	1	0
odalar	1	1	0	1	1	0
odan	0	1	0	1	1	0
odar	1	1	1	1	1	0
odchaiin	0	1	0	1	1	0
odeedaiin	0	1	0	1	1	0
odeor	0	1	0	1	1	0
odor	1	1	0	1	1	0
odoral	1	0	0	1	1	0
odys	1	0	0	1	1	0
oeain	0	1	0	1	1	0
oedain	0	1	0	1	1	0
oeeaiin	0	1	0	1	1	0
oeeal	1	0	0	1	1	0
oeear	1	1	0	1	1	0
oeedaiin	0	1	0	1	1	0
oeeedain	0	1	0	1	1	0
oeeeody	1	0	0	1	1	0
oeeesoy	1	0	0	1	1	0
oeeodain	0	1	0	1	1	0
oeeor	0	1	0	1	1	0
oekor	0	1	0	1	1	0
oeoar	1	1	0	1	1	0
oeor	0	1	0	1	1	0
oepaiin	0	1	0	1	1	0
oesal	1	0	0	1	1	0
ofadain	0	1	0	1	1	0
ofaiin	0	1	0	1	1	0
ofair	0	1	0	1	1	0
ofal	1	0	0	1	1	0
ofar	1	1	0	1	1	0
ofaral	1	0	0	1	1	0
ofchar	1	1	0	1	1	0
ofchedaiin	0	1	0	1	1	0
ofchedaiir	0	1	0	1	1	0
ofcheefar	1	1	0	1	1	0
ofchor	0	1	0	1	1	0
ofchtar	1	1	0	1	1	0
ofyskydal	1	0	0	1	1	0
oidal	1	0	0	1	1	0
oiinal	1	0	0	1	1	0
okadaiin	0	1	0	1	1	0
okaial	1	0	0	1	1	0
okaiiin	0	1	0	1	1	0
okaiin	0	1	0	1	1	0
okaiir	0	1	0	1	1	0
okain	0	1	0	1	1	0
okair	0	1	0	1	1	0
okal	1	0	0	1	1	0
okalaiin	0	1	0	1	1	0
okalain	0	1	0	1	1	0
okalal	1	0	0	1	1	0
okalchy	1	0	0	1	1	0
okaldain	0	1	0	1	1	0
okalol	1	0	0	1	1	0
okalor	0	1	0	1	1	0
okam	1	0	0	1	1	0
okan	0	1	0	1	1	0
okar	1	1	1	1	1	0
okaraiin	0	1	0	1	1	0
okaral	1	0	0	1	1	0
okarar	1	1	0	1	1	0
okasal	1	0	0	1	1	0
okasor	0	1	0	1	1	0
okchaiin	0	1	0	1	1	0
okchain	0	1	0	1	1	0
okchal	1	0	0	1	1	0
okchan	0	1	0	1	1	0
okchar	1	1	0	1	1	0
okcharain	0	1	0	1	1	0
okchdal	1	0	0	1	1	0
okchdar	1	1	0	1	1	0
okchedaiin	0	1	0	1	1	0
okcheor	0	1	0	1	1	0
okchor	0	1	0	1	1	0
okeaiin	0	1	0	1	1	0
okeal	1	0	0	1	1	0
okear	1	1	0	1	1	0
okedaiin	0	1	0	1	1	0
okedain	0	1	0	1	1	0
okedal	1	0	0	1	1	0
okedalor	0	1	0	1	1	0
okedar	1	1	0	1	1	0
okedor	0	1	0	1	1	0
okeeaiin	1	1	0	1	1	0
okeear	1	1	0	1	1	0
okeedaiin	0	1	0	1	1	0
okeedain	0	1	0	1	1	0
okeedal	1	0	0	1	1	0
okeedar	1	1	0	1	1	0
okeeeosaiin	0	1	0	1	1	0
okeeodair	0	1	0	1	1	0
okeeodar	1	1	1	1	1	0
okeeor	0	1	0	1	1	0
okeeoraiin	0	1	0	1	1	0
okeesodar	1	1	0	1	1	0
okeeylkaiin	0	1	0	1	1	0
okeoaiin	0	1	0	1	1	0
okeodain	0	1	0	1	1	0
okeodal	1	0	0	1	1	0
okeodor	0	1	0	1	1	0
okeokain	0	1	0	1	1	0
okeokear	1	1	0	1	1	0
okeol	1	0	0	1	1	0
okeolan	0	1	0	1	1	0
okeolor	0	1	0	1	1	0
okeor	0	1	0	1	1	0
oklor	0	1	0	1	1	0
okoaiin	0	1	0	1	1	0
okodaiin	0	1	0	1	1	0
okoeor	0	1	0	1	1	0
okoiin	1	0	0	1	1	0
okolaiin	0	1	0	1	1	0
okolor	0	1	0	1	1	0
okor	1	1	1	1	1	0
okoraiin	0	1	0	1	1	0
okshal	1	0	0	1	1	0
okshor	0	1	0	1	1	0
okytaiin	0	1	0	1	1	0
ol	1	0	0	1	1	0
olaiiin	0	1	0	1	1	0
olaiin	0	1	0	1	1	0
olaiir	0	1	0	1	1	0
olain	0	1	0	1	1	0
olal	1	0	0	1	1	0
olalor	0	1	0	1	1	0
olan	1	1	0	1	1	0
olar	1	1	0	1	1	0
olchain	0	1	0	1	1	0
olchal	1	0	0	1	1	0
olchar	1	1	0	1	1	0
olchdaiin	0	1	0	1	1	0
olchdar	1	1	0	1	1	0
olchear	1	1	0	1	1	0
olchedaiin	0	1	0	1	1	0
olchedy	1	0	0	1	1	0
olcheear	1	1	0	1	1	0
olcheedar	1	1	0	1	1	0
olcheeo	1	0	0	1	1	0
olcheor	0	1	0	1	1	0
olchokal	1	0	0	1	1	0
olchor	0	1	0	1	1	0
olchy	1	0	0	1	1	0
oldaiin	0	1	0	1	1	0
oldain	0	1	0	1	1	0
oldair	1	1	0	1	1	0
oldal	1	0	0	1	1	0
oldar	1	1	0	1	1	0
oldor	0	1	0	1	1	0
oleedar	1	1	0	1	1	0
oleey	1	0	0	1	1	0
olekor	0	1	0	1	1	0
olfaiin	0	1	0	1	1	0
olfar	1	1	0	1	1	0
olfchor	0	1	0	1	1	0
olfor	0	1	0	1	1	0
olkaiin	0	1	0	1	1	0
olkaiir	0	1	1	1	1	0
olkain	0	1	0	1	1	0
olkair	0	1	0	1	1	0
olkal	1	0	0	1	1	0
olkar	1	1	1	1	1	0
olkeal	1	0	0	1	1	0
olkedaiin	0	1	0	1	1	0
olkedykain	0	1	0	1	1	0
olkeear	1	1	0	1	1	0
olkeedain	0	1	0	1	1	0
olkeedal	1	0	0	1	1	0
olkeeodal	1	0	0	1	1	0
olkeeody	1	0	0	1	1	0
olkeeor	0	1	0	1	1	0
olkeeshy	1	0	0	1	1	0
olkeshar	1	1	0	1	1	0
olkor	0	1	0	1	1	0
ollaiin	0	1	0	1	1	0
oloaiin	0	1	0	1	1	0
ololdal	1	0	0	1	1	0
oloqorain	0	1	0	1	1	0
olor	0	1	0	1	1	0
oloraiin	0	1	0	1	1	0
olpchdy	1	0	0	1	1	0
olrodar	1	1	0	1	1	0
olsaiin	0	1	0	1	1	0
olsain	0	1	0	1	1	0
olsar	1	1	0	1	1	0
olsheed	1	0	0	1	1	0
olsheol	1	0	0	1	1	0
olsheor	0	1	0	1	1	0
oltaiin	0	1	0	1	1	0
oltain	0	1	0	1	1	0
oltal	1	0	0	1	1	0
oltar	1	1	0	1	1	0
olteedydar	1	1	0	1	1	0
ooaiin	0	1	0	1	1	0
ooeeor	0	1	0	1	1	0
ookar	1	1	0	1	1	0
oolsal	1	0	0	1	1	0
oor	1	1	1	1	1	0
opaiin	0	1	0	1	1	0
opaiir	0	1	0	1	1	0
opaiiral	1	0	0	1	1	0
opain	0	1	0	1	1	0
opair	0	1	0	1	1	0
opal	1	0	0	1	1	0
opalal	1	0	0	1	1	0
opaldaiin	0	1	0	1	1	0
opalkar	1	1	0	1	1	0
opalor	0	1	0	1	1	0
opar	1	1	0	1	1	0
oparaiin	0	1	0	1	1	0
oparal	1	0	0	1	1	0
opchaiin	0	1	0	1	1	0
opchain	0	1	0	1	1	0
opchal	1	0	0	1	1	0
opchar	1	1	0	1	1	0
opchdain	0	1	0	1	1	0
opchdal	1	0	0	1	1	0
opchdar	1	1	0	1	1	0
opcheaiin	0	1	0	1	1	0
opchear	1	1	0	1	1	0
opchedaiin	0	1	0	1	1	0
opchedal	1	0	0	1	1	0
opchedy	1	0	0	1	1	0
opcheear	1	1	0	1	1	0
opchekaiin	0	1	0	1	1	0
opchekan	0	1	0	1	1	0
opcheodair	0	1	0	1	1	0
opcheodal	1	0	0	1	1	0
opcholor	0	1	0	1	1	0
opchor	0	1	0	1	1	0
opdaiin	0	1	0	1	1	0
opol	1	0	0	1	1	0
opolaiin	0	1	0	1	1	0
opolkaiin	0	1	0	1	1	0
opolkeor	0	1	0	1	1	0
opor	0	1	0	1	1	0
oporaiin	0	1	0	1	1	0
oporar	1	1	0	1	1	0
opshedal	1	0	0	1	1	0
opsheolaiin	0	1	0	1	1	0
opsholal	1	0	0	1	1	0
opyaiin	0	1	0	1	1	0
opydaiin	0	1	0	1	1	0
oqaiin	0	1	0	1	1	0
oqokaiin	0	1	0	1	1	0
oqokain	0	1	0	1	1	0
oqoor	0	1	0	1	1	0
oqotaiiin	0	1	0	1	1	0
oqotaiin	0	1	0	1	1	0
oqotor	0	1	0	1	1	0
or	1	1	1	1	1	0
oraiiin	0	1	0	1	1	0
oraiin	0	1	0	1	1	0
orain	1	1	0	1	1	0
orainkar	1	1	0	1	1	0
orair	0	1	0	1	1	0
oral	1	0	0	1	1	0
orar	1	1	0	1	1	0
orchaiin	0	1	0	1	1	0
orchedal	1	0	0	1	1	0
orchedar	1	1	0	1	1	0
orchedy	1	0	0	1	1	0
orchochor	1	1	0	1	1	0
orchor	0	1	0	1	1	0
ordaiin	0	1	0	1	1	0
orkor	0	1	0	1	1	0
oroiiin	1	0	0	1	1	0
oroiir	0	0	1	1	1	0
orol	1	0	0	1	1	0
oroldair	0	1	0	1	1	0
orolkain	0	1	0	1	1	0
orom	1	0	0	1	1	0
oror	0	1	0	1	1	0
orsheor	0	1	0	1	1	0
osaiin	0	1	0	1	1	0
osain	0	1	0	1	1	0
osal	1	0	0	1	1	0
oscheor	0	1	0	1	1	0
oshaiin	0	1	0	1	1	0
oshar	1	1	0	1	1	0
osheey	1	0	0	1	1	0
osheokaiin	0	1	0	1	1	0
oshol	1	0	0	1	1	0
oshor	0	1	0	1	1	0
otaiin	0	1	0	1	1	0
otaiir	0	1	0	1	1	0
otain	0	1	0	1	1	0
otair	0	1	1	1	1	0
otairar	1	1	0	1	1	0
otal	1	0	0	1	1	0
otalaiin	0	1	0	1	1	0
otalain	0	1	0	1	1	0
otalair	0	1	0	1	1	0
otalal	1	0	0	1	1	0
otalar	1	1	0	1	1	0
otalchal	1	0	0	1	1	0
otaldal	1	0	0	1	1	0
otaldy	1	0	0	1	1	0
otalkain	0	1	0	1	1	0
otalor	0	1	0	1	1	0
otaly	1	0	0	1	1	0
otan	0	1	0	1	1	0
otar	1	1	1	1	1	0
otaraiin	0	1	0	1	1	0
otarain	0	1	0	1	1	0
otaral	1	0	0	1	1	0
otarar	1	1	1	1	1	0
otardy	0	0	1	1	1	0
otarokar	1	1	0	1	1	0
otchaiin	0	1	0	1	1	0
otchal	1	0	0	1	1	0
otchar	1	1	0	1	1	0
otchdain	0	1	0	1	1	0
otchdal	1	0	0	1	1	0
otchealkar	1	1	0	1	1	0
otchedain	0	1	0	1	1	0
otchedair	0	1	0	1	1	0
otcheedaiin	0	1	0	1	1	0
otcheodaiin	0	1	0	1	1	0
otcheody	1	0	0	1	1	0
otcheor	0	1	0	1	1	0
otchodar	1	1	0	1	1	0
otchodor	0	1	0	1	1	0
otchor	0	1	0	1	1	0
otchoshor	0	1	0	1	1	0
otchotar	1	1	0	1	1	0
otdal	1	0	0	1	1	0
oteaiin	1	1	0	1	1	0
oteain	0	1	0	1	1	0
oteal	1	0	0	1	1	0
otealshey	1	0	0	1	1	0
otear	1	1	0	1	1	0
otedaiin	0	1	0	1	1	0
otedain	0	1	0	1	1	0
otedair	0	1	0	1	1	0
otedal	1	0	0	1	1	0
otedar	1	1	0	1	1	0
otedor	0	1	0	1	1	0
otedyar	1	1	0	1	1	0
oteeaiin	0	1	0	1	1	0
oteeal	1	0	0	1	1	0
oteedaiin	0	1	0	1	1	0
oteedain	0	1	0	1	1	0
oteedal	1	0	0	1	1	0
oteedan	0	1	0	1	1	0
oteedar	1	1	0	1	1	0
oteeor	0	1	0	1	1	0
oteodaiin	0	1	0	1	1	0
oteodain	0	1	0	1	1	0
oteodair	0	1	0	1	1	0
oteodal	1	0	0	1	1	0
oteodar	1	1	0	1	1	0
oteolair	0	1	0	1	1	0
oteor	0	1	0	1	1	0
otlaiin	0	1	0	1	1	0
otlchdain	0	1	0	1	1	0
otochor	0	1	0	1	1	0
otodaiin	0	1	0	1	1	0
otodal	1	0	0	1	1	0
otodar	1	1	0	1	1	0
otodeeodor	0	1	0	1	1	0
otolaiin	0	1	0	1	1	0
otoldaiin	0	1	0	1	1	0
otoldair	0	1	0	1	1	0
otolkeechdy	1	0	0	1	1	0
otoloaiin	0	1	0	1	1	0
otolodal	1	0	0	1	1	0
otolor	0	1	0	1	1	0
otolsar	1	1	0	1	1	0
otor	1	1	1	1	1	0
otoraiin	0	1	0	1	1	0
otorain	0	1	0	1	1	0
ototar	1	1	0	1	1	0
ototaykal	1	0	0	1	1	0
otshaiin	0	1	0	1	1	0
otshal	1	0	0	1	1	0
otshor	0	1	0	1	1	0
otshsaiin	0	1	0	1	1	0
otydal	1	0	0	1	1	0
otylor	0	1	0	1	1	0
otyteeodaiin	0	1	0	1	1	0
oxar	1	1	0	1	1	0
oykchor	0	1	0	1	1	0
oytor	0	1	0	1	1	0
padar	1	1	0	1	1	0
paiin	0	1	0	1	1	0
paiir	1	1	0	1	1	0
pair	0	1	0	1	1	0
pairain	0	1	0	1	1	0
pairar	1	1	0	1	1	0
pal	1	0	0	1	1	0
palar	1	1	0	1	1	0
palchar	1	1	0	1	1	0
palshsar	1	1	0	1	1	0
par	1	1	0	1	1	0
parair	0	1	0	1	1	0
parchor	0	1	0	1	1	0
paror	0	1	0	1	1	0
pchaiin	0	1	0	1	1	0
pchal	1	0	0	1	1	0
pchallarar	1	1	0	1	1	0
pchar	1	1	0	1	1	0
pcharalor	0	1	0	1	1	0
pchdaiin	0	1	0	1	1	0
pchdair	0	1	0	1	1	0
pchdal	1	0	0	1	1	0
pchdar	1	1	0	1	1	0
pchdlar	1	1	0	1	1	0
pchear	1	1	0	1	1	0
pched	1	0	0	1	1	0
pchedaiin	0	1	0	1	1	0
pchedain	0	1	0	1	1	0
pchedair	0	1	0	1	1	0
pchedal	1	0	0	1	1	0
pchedar	1	1	0	1	1	0
pcheedy	1	0	0	1	1	0
pcheodaiin	0	1	0	1	1	0
pcheodain	0	1	0	1	1	0
pcheodair	0	1	0	1	1	0
pcheodal	1	0	0	1	1	0
pcheodar	1	1	0	1	1	0
pcheol	1	0	0	1	1	0
pcheolkal	1	0	0	1	1	0
pcheoor	0	1	0	1	1	0
pcheor	0	1	0	1	1	0
pcheykeeor	0	1	0	1	1	0
pcheypchdar	1	1	0	1	1	0
pchodaiin	0	1	0	1	1	0
pchodain	1	1	0	1	1	0
pchodal	1	0	0	1	1	0
pchodar	1	1	0	1	1	0
pchoetal	1	0	0	1	1	0
pchofar	1	1	0	1	1	0
pcholkal	1	0	0	1	1	0
pcholor	0	1	0	1	1	0
pchor	0	1	0	1	1	0
pchoraiin	0	1	0	1	1	0
pchoror	0	1	0	1	1	0
pchykar	1	1	0	1	1	0
pdaiin	0	1	0	1	1	0
pdair	0	1	0	1	1	0
pdal	1	0	0	1	1	0
pdalshor	0	1	0	1	1	0
pdar	1	1	0	1	1	0
poaiin	0	1	0	1	1	0
poalshsal	1	0	0	1	1	0
poar	1	1	0	1	1	0
poaral	1	0	0	1	1	0
pochaiin	0	1	0	1	1	0
pocharal	1	0	0	1	1	0
pochor	0	1	0	1	1	0
podaiin	0	1	0	1	1	0
podaiir	0	1	0	1	1	0
podair	0	1	0	1	1	0
podar	1	1	0	1	1	0
podaroar	1	1	0	1	1	0
podkor	0	1	0	1	1	0
poedair	0	1	0	1	1	0
poeeaiin	0	1	0	1	1	0
poeear	1	1	0	1	1	0
pokain	0	1	0	1	1	0
pokar	1	1	0	1	1	0
polaiin	1	1	0	1	1	0
polairy	0	0	1	1	1	0
polal	1	0	0	1	1	0
polar	1	1	0	1	1	0
polarar	1	1	0	1	1	0
polchal	1	0	0	1	1	0
polcheolkain	0	1	0	1	1	0
polchor	0	1	0	1	1	0
poldaiin	0	1	0	1	1	0
poleedaran	0	1	0	1	1	0
polkain	0	1	0	1	1	0
polkeedal	1	0	0	1	1	0
pollaiin	0	1	0	1	1	0
polor	0	1	0	1	1	0
polshdal	1	0	0	1	1	0
polshedaiin	0	1	0	1	1	0
polshor	0	1	0	1	1	0
polshy	1	0	0	1	1	0
por	0	1	0	1	1	0
poraiin	0	1	0	1	1	0
porain	0	1	0	1	1	0
porair	0	1	0	1	1	0
poral	1	0	0	1	1	0
porar	1	1	0	1	1	0
poror	0	1	0	1	1	0
posaiin	1	1	0	1	1	0
posheor	0	1	0	1	1	0
potchokor	0	1	0	1	1	0
psalar	1	1	0	1	1	0
pshar	1	1	0	1	1	0
pshdaiin	0	1	0	1	1	0
pshdal	1	0	0	1	1	0
pshdar	1	1	0	1	1	0
pshedaiin	0	1	0	1	1	0
pshedar	1	1	0	1	1	0
psheedy	1	0	0	1	1	0
psheessheeor	0	1	0	1	1	0
psheey	1	0	0	1	1	0
psheodar	1	1	0	1	1	0
psheor	0	1	0	1	1	0
pshoain	0	1	0	1	1	0
pshoair	0	1	0	1	1	0
pshodaiin	0	1	0	1	1	0
pshol	1	0	0	1	1	0
pychdar	1	1	0	1	1	0
pydaiin	0	1	0	1	1	0
pydar	1	1	0	1	1	0
pykeor	0	1	0	1	1	0
pykydal	1	0	0	1	1	0
pysaiinor	0	1	0	1	1	0
qaal	1	0	0	1	1	0
qaiin	0	1	0	1	1	0
qar	1	1	0	1	1	0
qchar	1	1	0	1	1	0
qchodal	1	0	0	1	1	0
qchor	0	1	0	1	1	0
qckhear	1	1	0	1	1	0
qeaiin	0	1	0	1	1	0
qear	1	1	0	1	1	0
qeear	1	1	0	1	1	0
qeedar	1	1	0	1	1	0
qekaiin	0	1	0	1	1	0
qekal	1	0	0	1	1	0
qekar	1	1	0	1	1	0
qekeochor	0	1	0	1	1	0
qekor	0	1	0	1	1	0
qetain	0	1	0	1	1	0
qetair	0	1	0	1	1	0
qetal	1	0	0	1	1	0
qetchar	1	1	0	1	1	0
qkaiin	0	1	0	1	1	0
qkain	0	1	0	1	1	0
qkair	0	1	0	1	1	0
qkor	0	1	0	1	1	0
qoaiin	1	1	0	1	1	0
qoaiir	0	1	0	1	1	0
qoain	0	1	0	1	1	0
qoair	0	1	0	1	1	0
qoal	1	0	0	1	1	0
qoar	1	1	1	1	1	0
qochaiin	0	1	0	1	1	0
qochar	1	1	0	1	1	0
qochedain	0	1	0	1	1	0
qocheor	0	1	0	1	1	0
qochol	1	0	0	1	1	0
qochy	1	0	0	1	1	0
qockhal	1	0	0	1	1	0
qockheor	0	1	0	1	1	0
qockhey	1	0	0	1	1	0
qockhol	1	0	0	1	1	0
qockhor	0	1	0	1	1	0
qocthedy	1	0	0	1	1	0
qodaiiin	0	1	0	1	1	0
qodaiin	1	1	1	1	1	0
qodain	0	1	0	1	1	0
qodair	0	1	0	1	1	0
qodal	1	0	0	1	1	0
qodar	1	1	1	1	1	0
qodor	0	1	1	1	1	0
qoeair	0	1	0	1	1	0
qoear	1	1	0	1	1	0
qoedaiin	0	1	0	1	1	0
qoeear	1	1	0	1	1	0
qoeedaiin	0	1	0	1	1	0
qoeedain	0	1	0	1	1	0
qoeeear	1	1	0	1	1	0
qoeekain	0	1	0	1	1	0
qoeeo	1	0	0	1	1	0
qoeeor	0	1	0	1	1	0
qoeeosain	0	1	0	1	1	0
qoekaiin	0	1	0	1	1	0
qoekar	1	1	0	1	1	0
qoekchar	1	1	0	1	1	0
qoekeor	0	1	0	1	1	0
qoeor	0	1	0	1	1	0
qoetal	1	0	0	1	1	0
qoetar	1	1	0	1	1	0
qofaiin	0	1	0	1	1	0
qofain	0	1	0	1	1	0
qofair	0	1	0	1	1	0
qofchal	1	0	0	1	1	0
qofchdaiin	0	1	0	1	1	0
qofchdal	1	0	0	1	1	0
qofchdar	1	1	0	1	1	0
qofcheal	1	0	0	1	1	0
qofchor	0	1	0	1	1	0
qoinal	1	0	0	1	1	0
qoirain	0	1	0	1	1	0
qoisal	1	0	0	1	1	0
qokaiiin	0	1	0	1	1	0
qokaiin	0	1	0	1	1	0
qokaiir	0	1	1	1	1	0
qokain	0	1	0	1	1	0
qokair	0	1	0	1	1	0
qokairor	0	1	0	1	1	0
qokal	1	0	0	1	1	0
qokalar	1	1	0	1	1	0
qokalchal	1	0	0	1	1	0
qokalchar	1	1	0	1	1	0
qokalcheal	1	0	0	1	1	0
qokalchey	1	0	0	1	1	0
qokaldar	1	1	0	1	1	0
qokalor	0	1	0	1	1	0
qokan	0	1	0	1	1	0
qokar	1	1	1	1	1	0
qokchaiin	0	1	0	1	1	0
qokchain	0	1	0	1	1	0
qokchal	1	0	0	1	1	0
qokchar	1	1	0	1	1	0
qokchdain	0	1	0	1	1	0
qokcheodaiin	0	1	0	1	1	0
qokcheololain	0	1	0	1	1	0
qokcheor	0	1	0	1	1	0
qokchocthor	0	1	0	1	1	0
qokchodal	1	0	0	1	1	0
qokchor	0	1	0	1	1	0
qoke	1	0	0	1	1	0
qokeaiin	0	1	0	1	1	0
qokeain	0	1	0	1	1	0
qokeal	1	0	0	1	1	0
qokear	1	1	0	1	1	0
qoked	1	0	0	1	1	0
qokedaiin	0	1	0	1	1	0
qokedain	0	1	0	1	1	0
qokedal	1	0	0	1	1	0
qokedar	1	1	0	1	1	0
qokeeaiin	0	1	0	1	1	0
qokeeal	1	0	0	1	1	0
qokeear	1	1	0	1	1	0
qokeedaiin	0	1	0	1	1	0
qokeedain	0	1	0	1	1	0
qokeedair	0	1	0	1	1	0
qokeedal	1	0	0	1	1	0
qokeedar	1	1	0	1	1	0
qokeeoar	1	1	0	1	1	0
qokeeodaiin	0	1	0	1	1	0
qokeeodal	1	0	0	1	1	0
qokeeodar	1	1	0	1	1	0
qokeeokain	0	1	0	1	1	0
qokeeor	0	1	0	1	1	0
qokeeylkain	0	1	0	1	1	0
qokeodair	0	1	0	1	1	0
qokeol	1	0	0	1	1	0
qokeor	0	1	0	1	1	0
qokeoy	1	0	0	1	1	0
qoklaiin	0	1	0	1	1	0
qoklcheor	0	1	0	1	1	0
qokodaiin	0	1	0	1	1	0
qokodar	1	1	0	1	1	0
qokody	1	0	0	1	1	0
qokolkain	0	1	0	1	1	0
qokololal	1	0	0	1	1	0
qokor	1	1	1	1	1	0
qokorar	1	1	0	1	1	0
qolaiin	0	1	0	1	1	0
qolain	0	1	0	1	1	0
qolair	0	1	0	1	1	0
qolal	1	0	0	1	1	0
qolar	1	1	0	1	1	0
qolchedy	1	0	0	1	1	0
qolcheor	0	1	0	1	1	0
qoldar	1	1	0	1	1	0
qolkaiin	0	1	0	1	1	0
qolkain	0	1	0	1	1	0
qolkeshdy	1	0	0	1	1	0
qolsor	0	1	0	1	1	0
qoodaiin	0	1	0	1	1	0
qoodain	0	1	0	1	1	0
qoolkal	1	0	0	1	1	0
qoor	1	1	1	1	1	0
qoorar	1	1	0	1	1	0
qoos	1	0	0	1	1	0
qopaiin	0	1	0	1	1	0
qopal	1	0	0	1	1	0
qopalor	0	1	0	1	1	0
qopar	1	1	0	1	1	0
qoparaiin	0	1	0	1	1	0
qopchaiin	1	1	0	1	1	0
qopchair	0	1	0	1	1	0
qopchar	1	1	0	1	1	0
qopchear	1	1	0	1	1	0
qopchedaiin	0	1	0	1	1	0
qopchedal	1	0	0	1	1	0
qopchedy	1	0	0	1	1	0
qopchey	1	0	0	1	1	0
qopchor	0	1	0	1	1	0
qopdaiin	0	1	0	1	1	0
qopdain	0	1	0	1	1	0
qopeeedar	1	1	0	1	1	0
qopor	0	1	0	1	1	0
qopydaiin	0	1	0	1	1	0
qor	0	1	0	1	1	0
qoraiin	0	1	0	1	1	0
qorain	0	1	0	1	1	0
qorar	1	1	0	1	1	0
qorchain	0	1	0	1	1	0
qosaiin	0	1	0	1	1	0
qosain	0	1	0	1	1	0
qotaiiin	0	1	0	1	1	0
qotaiin	0	1	0	1	1	0
qotaiior	0	1	0	1	1	0
qotain	0	1	0	1	1	0
qotair	0	1	0	1	1	0
qotal	1	0	0	1	1	0
qotalal	1	0	0	1	1	0
qotaldar	1	1	0	1	1	0
qotan	0	1	0	1	1	0
qotar	1	1	1	1	1	0
qotarain	0	1	0	1	1	0
qotchaiin	0	1	0	1	1	0
qotchain	0	1	0	1	1	0
qotchar	1	1	0	1	1	0
qotchdaiin	0	1	0	1	1	0
qotchdal	1	0	0	1	1	0
qotchdar	1	1	0	1	1	0
qotcheaiin	0	1	0	1	1	0
qotchedar	1	1	0	1	1	0
qotcheeaiin	0	1	0	1	1	0
qotchor	0	1	0	1	1	0
qotchoraiin	0	1	0	1	1	0
qotchytor	0	1	0	1	1	0
qotdain	0	1	0	1	1	0
qotddyar	1	1	0	1	1	0
qoteal	1	0	0	1	1	0
qotedaiin	0	1	0	1	1	0
qotedair	0	1	0	1	1	0
qotedal	1	0	0	1	1	0
qotedar	1	1	0	1	1	0
qotedor	0	1	0	1	1	0
qotee	1	0	0	1	1	0
qoteed	1	0	0	1	1	0
qoteedaiin	0	1	0	1	1	0
qoteedar	1	1	0	1	1	0
qoteeor	0	1	0	1	1	0
qoteeos	1	0	0	1	1	0
qoteoar	1	1	0	1	1	0
qoteor	0	1	0	1	1	0
qotlolkal	1	0	0	1	1	0
qotodaiin	0	1	0	1	1	0
qotodain	0	1	0	1	1	0
qotolaiin	0	1	0	1	1	0
qotor	0	1	0	1	1	0
qotoral	1	0	0	1	1	0
qottor	0	1	0	1	1	0
qsain	0	1	0	1	1	0
qykaiin	0	1	0	1	1	0
ra	1	0	0	1	1	0
raiiin	0	1	0	1	1	0
raiin	0	1	0	1	1	0
raiir	1	1	0	1	1	0
rain	1	1	0	1	1	0
rair	0	1	0	1	1	0
ral	1	0	0	1	1	0
rar	1	1	0	1	1	0
raraiiin	0	1	0	1	1	0
raraiin	1	1	0	1	1	0
raral	1	0	0	1	1	0
rasal	1	0	0	1	1	0
rchedar	1	1	0	1	1	0
rkal	1	0	0	1	1	0
rkar	1	1	1	1	1	0
rlaiin	0	1	0	1	1	0
ro	1	0	0	1	1	0
roaiin	0	1	0	1	1	0
rodaiin	0	1	0	1	1	0
rodam	1	0	0	1	1	0
roiiin	1	0	0	1	1	0
rolchey	1	0	0	1	1	0
rolkeedy	1	0	0	1	1	0
roltain	0	1	0	1	1	0
rom	1	0	0	1	1	0
ror	0	1	0	1	1	0
roraiin	0	1	0	1	1	0
roral	1	0	0	1	1	0
rorarydaiin	0	1	0	1	1	0
rory	1	0	0	1	1	0
rotaiin	0	1	0	1	1	0
rr	1	0	0	1	1	0
rsheal	1	0	0	1	1	0
rsheedar	1	1	0	1	1	0
