surface	family_class	left_string	page	physical_folio	locus	token_ordinal	token_index	surface_rank_in_current_line	line_token_count	line_position	norm_position	section	language	hand	paragraph_start_line	paragraph_end_line	true_paragraph_start	true_paragraph_end	left_surface	right_surface	reader_exact	zl3b_surface_count	it2a_surface_count	rf1b_surface_count	reader_exact_method	current_line	component_export_credit	occurrence_id
chkar	LEFT_STRING_PLUS_AR	chk	f2r	f2	f2r.2	2	2	1	5	MIDDLE	0.250000000000	H	A	1	0	0	0	0	dorchory	s	1	1	1	1	OCCURRENCE_RANK_LE_MIN_THREE_READER_SURFACE_COUNTS	dorchory chkar s shor cthy	0	G789-O0001
oporar	LEFT_STRING_PLUS_AR	opor	f3r	f3	f3r.15	8	8	1	8	LAST	1.000000000000	H	A	1	1	0	0	0	otchom	EDGE	1	1	1	1	OCCURRENCE_RANK_LE_MIN_THREE_READER_SURFACE_COUNTS	tsheoarom shor or chor olchsy chom otchom oporar	0	G789-O0002
shar	LEFT_STRING_PLUS_AR	sh	f3v	f3	f3v.13	1	1	1	6	FIRST	0.000000000000	H	A	1	0	0	0	0	EDGE	shkaiin	1	1	1	1	OCCURRENCE_RANK_LE_MIN_THREE_READER_SURFACE_COUNTS	shar shkaiin qokchy yty cthal chky	0	G789-O0003
shar	LEFT_STRING_PLUS_AR	sh	f4v	f4	f4v.12	6	6	1	8	MIDDLE	0.714285714286	H	A	1	0	0	0	0	keey	char	1	1	1	1	OCCURRENCE_RANK_LE_MIN_THREE_READER_SURFACE_COUNTS	qokey sho okeol s keey shar char ody	0	G789-O0004
char	LEFT_STRING_PLUS_AR	ch	f4v	f4	f4v.12	7	7	1	8	MIDDLE	0.857142857143	H	A	1	0	0	0	0	shar	ody	1	1	1	1	OCCURRENCE_RANK_LE_MIN_THREE_READER_SURFACE_COUNTS	qokey sho okeol s keey shar char ody	0	G789-O0005
oar	LEFT_STRING_PLUS_AR	o	f5r	f5	f5r.1	5	5	1	9	MIDDLE	0.500000000000	H	A	1	1	0	0	0	oaiin	olsy	1	1	1	1	OCCURRENCE_RANK_LE_MIN_THREE_READER_SURFACE_COUNTS	kchody fchoy chkoy oaiin oar olsy chody dkshy dy	0	G789-O0006
foar	LEFT_STRING_PLUS_AR	fo	f6r	f6	f6r.1	1	1	1	9	FIRST	0.000000000000	H	A	1	1	0	1	0	EDGE	y	1	1	1	1	OCCURRENCE_RANK_LE_MIN_THREE_READER_SURFACE_COUNTS	foar y shol cholor cphol chor ch chopchol otcham	0	G789-O0007
kar	LEFT_STRING_PLUS_AR	k	f6r	f6	f6r.2	5	5	1	8	MIDDLE	0.571428571429	H	A	1	0	0	0	0	chor	cthy	1	1	1	1	OCCURRENCE_RANK_LE_MIN_THREE_READER_SURFACE_COUNTS	daiin chckhy chor chor kar cthy cthor chotols	0	G789-O0008
tar	LEFT_STRING_PLUS_AR	t	f6r	f6	f6r.5	1	1	1	6	FIRST	0.000000000000	H	A	1	0	0	0	0	EDGE	okoiin	1	1	1	1	OCCURRENCE_RANK_LE_MIN_THREE_READER_SURFACE_COUNTS	tar okoiin shees ytaly cthaiin odam	0	G789-O0009
pchar	LEFT_STRING_PLUS_AR	pch	f6r	f6	f6r.8	3	3	1	5	MIDDLE	0.500000000000	H	A	1	0	0	0	0	ckhor	sheo	1	1	1	1	OCCURRENCE_RANK_LE_MIN_THREE_READER_SURFACE_COUNTS	ychol ckhor pchar sheo ckhaiin	0	G789-O0010
