edge_id	batch_id	page	physical_folio	locus	left_surface	separated_pair	fused_surface_if_target_family_observed	working_ar_default_de	semantic_score_eligible	default_is_translation	confirmed_lexeme	confirmed_plaintext	specific_substance_confirmed	historical_word_credit	phonetic_or_eva_letter_credit	component_export_credit
G789-E001	GDT789_SEPARATED_X_AR_SPANS	f8v	f8	f8v.6	dain	dain ar	NONE	Anteil	0	0	0	0	0	0	0	0
G789-E002	GDT789_SEPARATED_X_AR_SPANS	f11v	f11	f11v.3	tchy	tchy ar	NONE	Anteil	0	0	0	0	0	0	0	0
G789-E003	GDT789_SEPARATED_X_AR_SPANS	f18v	f18	f18v.6	s	s ar	sar	Anteil	0	0	0	0	0	0	0	0
G789-E004	GDT789_SEPARATED_X_AR_SPANS	f20v	f20	f20v.8	sho	sho ar	shoar	Anteil	0	0	0	0	0	0	0	0
G789-E005	GDT789_SEPARATED_X_AR_SPANS	f23r	f23	f23r.2	to	to ar	toar	Anteil	0	0	0	0	0	0	0	0
G789-E006	GDT789_SEPARATED_X_AR_SPANS	f23r	f23	f23r.5	chol	chol ar	NONE	Anteil	0	0	0	0	0	0	0	0
G789-E007	GDT789_SEPARATED_X_AR_SPANS	f23v	f23	f23v.9	oldar	oldar ar	NONE	Anteil	0	0	0	0	0	0	0	0
G789-E008	GDT789_SEPARATED_X_AR_SPANS	f26v	f26	f26v.5	chs	chs ar	NONE	Anteil	0	0	0	0	0	0	0	0
G789-E009	GDT789_SEPARATED_X_AR_SPANS	f31r	f31	f31r.4	r	r ar	rar	Anteil	0	0	0	0	0	0	0	0
G789-E010	GDT789_SEPARATED_X_AR_SPANS	f32v	f32	f32v.10	da	da ar	daar	Anteil	0	0	0	0	0	0	0	0
G789-E011	GDT789_SEPARATED_X_AR_SPANS	f33r	f33	f33r.7	okain	okain ar	NONE	Anteil	0	0	0	0	0	0	0	0
G789-E012	GDT789_SEPARATED_X_AR_SPANS	f33v	f33	f33v.9	chckhy	chckhy ar	NONE	Anteil	0	0	0	0	0	0	0	0
G789-E013	GDT789_SEPARATED_X_AR_SPANS	f34r	f34	f34r.5	okes	okes ar	NONE	Anteil	0	0	0	0	0	0	0	0
G789-E014	GDT789_SEPARATED_X_AR_SPANS	f34r	f34	f34r.9	qod	qod ar	NONE	Anteil	0	0	0	0	0	0	0	0
G789-E015	GDT789_SEPARATED_X_AR_SPANS	f34r	f34	f34r.13	chor	chor ar	chorar	Anteil	0	0	0	0	0	0	0	0
G789-E016	GDT789_SEPARATED_X_AR_SPANS	f34r	f34	f34r.14	or	or ar	orar	Anteil	0	0	0	0	0	0	0	0
G789-E017	GDT789_SEPARATED_X_AR_SPANS	f34v	f34	f34v.6	lr	lr ar	NONE	Anteil	0	0	0	0	0	0	0	0
G789-E018	GDT789_SEPARATED_X_AR_SPANS	f34v	f34	f34v.8	otar	otar ar	otarar	Anteil	0	0	0	0	0	0	0	0
G789-E019	GDT789_SEPARATED_X_AR_SPANS	f35v	f35	f35v.13	od	od ar	NONE	Anteil	0	0	0	0	0	0	0	0
G789-E020	GDT789_SEPARATED_X_AR_SPANS	f39r	f39	f39r.7	dar	dar ar	darar	Anteil	0	0	0	0	0	0	0	0
G789-E021	GDT789_SEPARATED_X_AR_SPANS	f39r	f39	f39r.11	dshdy	dshdy ar	NONE	Anteil	0	0	0	0	0	0	0	0
G789-E022	GDT789_SEPARATED_X_AR_SPANS	f39v	f39	f39v.7	okar	okar ar	okarar	Anteil	0	0	0	0	0	0	0	0
G789-E023	GDT789_SEPARATED_X_AR_SPANS	f39v	f39	f39v.10	dar	dar ar	darar	Anteil	0	0	0	0	0	0	0	0
G789-E024	GDT789_SEPARATED_X_AR_SPANS	f39v	f39	f39v.10	qokain	qokain ar	NONE	Anteil	0	0	0	0	0	0	0	0
G789-E025	GDT789_SEPARATED_X_AR_SPANS	f40r	f40	f40r.1	opches	opches ar	NONE	Anteil	0	0	0	0	0	0	0	0
G789-E026	GDT789_SEPARATED_X_AR_SPANS	f40r	f40	f40r.5	qokchd	qokchd ar	NONE	Anteil	0	0	0	0	0	0	0	0
G789-E027	GDT789_SEPARATED_X_AR_SPANS	f40r	f40	f40r.5	ar	ar ar	arar	Anteil	0	0	0	0	0	0	0	0
G789-E028	GDT789_SEPARATED_X_AR_SPANS	f40r	f40	f40r.6	or	or ar	orar	Anteil	0	0	0	0	0	0	0	0
G789-E029	GDT789_SEPARATED_X_AR_SPANS	f40v	f40	f40v.7	s	s ar	sar	Anteil	0	0	0	0	0	0	0	0
G789-E030	GDT789_SEPARATED_X_AR_SPANS	f40v	f40	f40v.17	okees	okees ar	NONE	Anteil	0	0	0	0	0	0	0	0
G789-E031	GDT789_SEPARATED_X_AR_SPANS	f43r	f43	f43r.2	ytedy	ytedy ar	NONE	Anteil	0	0	0	0	0	0	0	0
G789-E032	GDT789_SEPARATED_X_AR_SPANS	f43v	f43	f43v.11	cheody	cheody ar	NONE	Anteil	0	0	0	0	0	0	0	0
G789-E033	GDT789_SEPARATED_X_AR_SPANS	f44v	f44	f44v.2	qotor	qotor ar	NONE	Anteil	0	0	0	0	0	0	0	0
G789-E034	GDT789_SEPARATED_X_AR_SPANS	f46r	f46	f46r.7	s	s ar	sar	Anteil	0	0	0	0	0	0	0	0
G789-E035	GDT789_SEPARATED_X_AR_SPANS	f46v	f46	f46v.2	otar	otar ar	otarar	Anteil	0	0	0	0	0	0	0	0
G789-E036	GDT789_SEPARATED_X_AR_SPANS	f46v	f46	f46v.5	s	s ar	sar	Anteil	0	0	0	0	0	0	0	0
G789-E037	GDT789_SEPARATED_X_AR_SPANS	f50r	f50	f50r.2	okar	okar ar	okarar	Anteil	0	0	0	0	0	0	0	0
G789-E038	GDT789_SEPARATED_X_AR_SPANS	f50r	f50	f50r.4	or	or ar	orar	Anteil	0	0	0	0	0	0	0	0
G789-E039	GDT789_SEPARATED_X_AR_SPANS	f50r	f50	f50r.5	okar	okar ar	okarar	Anteil	0	0	0	0	0	0	0	0
G789-E040	GDT789_SEPARATED_X_AR_SPANS	f50r	f50	f50r.5	kar	kar ar	karar	Anteil	0	0	0	0	0	0	0	0
G789-E041	GDT789_SEPARATED_X_AR_SPANS	f50v	f50	f50v.10	ykeeod	ykeeod ar	NONE	Anteil	0	0	0	0	0	0	0	0
G789-E042	GDT789_SEPARATED_X_AR_SPANS	f54v	f54	f54v.2	s	s ar	sar	Anteil	0	0	0	0	0	0	0	0
G789-E043	GDT789_SEPARATED_X_AR_SPANS	f58r	f58	f58r.5	char	char ar	NONE	Anteil	0	0	0	0	0	0	0	0
G789-E044	GDT789_SEPARATED_X_AR_SPANS	f58r	f58	f58r.10	tal	tal ar	NONE	Anteil	0	0	0	0	0	0	0	0
G789-E045	GDT789_SEPARATED_X_AR_SPANS	f58r	f58	f58r.12	shoar	shoar ar	NONE	Anteil	0	0	0	0	0	0	0	0
G789-E046	GDT789_SEPARATED_X_AR_SPANS	f58r	f58	f58r.16	typchey	typchey ar	NONE	Anteil	0	0	0	0	0	0	0	0
G789-E047	GDT789_SEPARATED_X_AR_SPANS	f58r	f58	f58r.20	otalar	otalar ar	NONE	Anteil	0	0	0	0	0	0	0	0
G789-E048	GDT789_SEPARATED_X_AR_SPANS	f58r	f58	f58r.24	okeal	okeal ar	NONE	Anteil	0	0	0	0	0	0	0	0
G789-E049	GDT789_SEPARATED_X_AR_SPANS	f58r	f58	f58r.27	chaltar	chaltar ar	NONE	Anteil	0	0	0	0	0	0	0	0
G789-E050	GDT789_SEPARATED_X_AR_SPANS	f58r	f58	f58r.29	chor	chor ar	chorar	Anteil	0	0	0	0	0	0	0	0
G789-E051	GDT789_SEPARATED_X_AR_SPANS	f58r	f58	f58r.30	ytor	ytor ar	NONE	Anteil	0	0	0	0	0	0	0	0
G789-E052	GDT789_SEPARATED_X_AR_SPANS	f58v	f58	f58v.2	qotair	qotair ar	NONE	Anteil	0	0	0	0	0	0	0	0
G789-E053	GDT789_SEPARATED_X_AR_SPANS	f58v	f58	f58v.20	tolain	tolain ar	NONE	Anteil	0	0	0	0	0	0	0	0
G789-E054	GDT789_SEPARATED_X_AR_SPANS	f58v	f58	f58v.20	okal	okal ar	NONE	Anteil	0	0	0	0	0	0	0	0
