edition	paragraph	at	word	gloss
ZL3b	f15r|f15r.1-f15r.15	ZL3b|f15r.1|G001	tshor	Material [tshor]
ZL3b	f15r|f15r.1-f15r.15	ZL3b|f15r.1|G002	shey	feucht
ZL3b	f15r|f15r.1-f15r.15	ZL3b|f15r.1|G003	tchaly	⟦tchaly⟧
ZL3b	f15r|f15r.1-f15r.15	ZL3b|f15r.1|G004	shy	⟦shy⟧
ZL3b	f15r|f15r.1-f15r.15	ZL3b|f15r.1|G005	chtols	⟦chtols⟧
ZL3b	f15r|f15r.1-f15r.15	ZL3b|f15r.1|G006	shey	feucht
ZL3b	f15r|f15r.1-f15r.15	ZL3b|f15r.1|G007	daiin	Masse C·Uₚ
ZL3b	f15r|f15r.1-f15r.15	ZL3b|f15r.2|G001	otchor	⟦otchor⟧
ZL3b	f15r|f15r.1-f15r.15	ZL3b|f15r.2|G002	qokchor	⟦qokchor⟧
ZL3b	f15r|f15r.1-f15r.15	ZL3b|f15r.2|G003	oly	⟦oly⟧
ZL3b	f15r|f15r.1-f15r.15	ZL3b|f15r.2|G004	okor	⟦okor⟧
ZL3b	f15r|f15r.1-f15r.15	ZL3b|f15r.2|G005	shy	⟦shy⟧
ZL3b	f15r|f15r.1-f15r.15	ZL3b|f15r.2|G006	koly	⟦koly⟧
ZL3b	f15r|f15r.1-f15r.15	ZL3b|f15r.3|G001	qokaiin	⟦qokaiin⟧
ZL3b	f15r|f15r.1-f15r.15	ZL3b|f15r.3|G002	qotchy	zugeben
ZL3b	f15r|f15r.1-f15r.15	ZL3b|f15r.3|G003	tydy	⟦tydy⟧
ZL3b	f15r|f15r.1-f15r.15	ZL3b|f15r.3|G004	daiin	Masse C·Uₚ
ZL3b	f15r|f15r.1-f15r.15	ZL3b|f15r.3|G005	chol	getrocknet
ZL3b	f15r|f15r.1-f15r.15	ZL3b|f15r.3|G006	cthy	Kraut
ZL3b	f15r|f15r.1-f15r.15	ZL3b|f15r.4|G001	scheaiin	⟦scheaiin⟧
ZL3b	f15r|f15r.1-f15r.15	ZL3b|f15r.4|G002	chodaiin	⟦chodaiin⟧
ZL3b	f15r|f15r.1-f15r.15	ZL3b|f15r.4|G003	chl	⟦chl⟧
ZL3b	f15r|f15r.1-f15r.15	ZL3b|f15r.4|G004	sol	⟦sol⟧
ZL3b	f15r|f15r.1-f15r.15	ZL3b|f15r.4|G005	ckhaiin	⟦ckhaiin⟧
ZL3b	f15r|f15r.1-f15r.15	ZL3b|f15r.4|G006	sal	⟦sal⟧
ZL3b	f15r|f15r.1-f15r.15	ZL3b|f15r.5|G001	qotchy	zugeben
ZL3b	f15r|f15r.1-f15r.15	ZL3b|f15r.5|G002	r	⟦r⟧
ZL3b	f15r|f15r.1-f15r.15	ZL3b|f15r.5|G003	shor	Früchte
ZL3b	f15r|f15r.1-f15r.15	ZL3b|f15r.5|G004	cthy	Kraut
ZL3b	f15r|f15r.1-f15r.15	ZL3b|f15r.5|G005	daiin	Masse C·Uₚ
ZL3b	f15r|f15r.1-f15r.15	ZL3b|f15r.5|G006	cthy	Kraut
ZL3b	f15r|f15r.1-f15r.15	ZL3b|f15r.5|G007	dy	⟦dy⟧
ZL3b	f15r|f15r.1-f15r.15	ZL3b|f15r.6|G001	dchy	⟦dchy⟧
