statement_id	page	record	silent_owner_ids	silent_owner_de	event_ids	surfaces	card_readings_de	primitive_sequence	lane_sequence	collapsed_lane_skeleton	grammar_parse	terminal	silent_noun_expansion_de
H1-S001	f10r	H1	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	abgebildete breit gezähnte radialblütige Pflanze	E001|E002|E003|E004|E005|E006|E007|E008|E009|E010	dchey cthoor char chty os chair otytchol oky daiin etyd	abziehen · kurz · dies; bereit · Arbeitsgang · Ansatz; von dort; eintragen · dies; Arbeitsfach; abziehen · Lauf; danach · dies · eintragen · abziehen · fortsetzen; ansetzen · dies; Maß; kurz · eintragen · dies	SOURCE_DRAW>ACTIVATE_CHARGE>SOURCE_DRAW>ACTIVATE_CHARGE>TARGET_HANDOFF>SOURCE_DRAW>SOURCE_DRAW>CONTINUE_USE>METER_CHECK>ACTIVATE_CHARGE	ADDRESS>REFERENCE>ADDRESS>REFERENCE>ADDRESS>ADDRESS>ADDRESS>REFERENCE>ADDRESS>REFERENCE	ADDRESS>REFERENCE>ADDRESS>REFERENCE>ADDRESS>REFERENCE>ADDRESS>REFERENCE	SILENT_OWNER :: ADDRESS>REFERENCE>ADDRESS>REFERENCE>ADDRESS>ADDRESS>ADDRESS>REFERENCE>ADDRESS>REFERENCE	NO	diese abgebildete Pflanze oder ihr aktueller Teil
H1-S002	f10r	H1	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	abgebildete breit gezähnte radialblütige Pflanze	E011|E012|E013|E014	qokchy qotchol chol cthy	ansetzen · dies; danach · abziehen · fortsetzen; fortsetzen; bereit · dies	ACTIVATE_CHARGE>SOURCE_DRAW>CONTINUE_USE>HOLD_STATE	REFERENCE>ADDRESS>REFERENCE>STATE	REFERENCE>ADDRESS>REFERENCE>STATE	SILENT_OWNER :: REFERENCE>ADDRESS>REFERENCE>STATE	NO	diese abgebildete Pflanze oder ihr aktueller Teil
H2-S001	f10r	H2	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	abgebildete breit gezähnte radialblütige Pflanze	E015|E016|E017|E018|E019|E020|E021|E022|E023	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	dies · abziehen · kurz · Ansatz; bereit · dies; Ansatz; bereit · Maß; Arbeitsgang · bereit · fortsetzen · dies; dies; dies; Maß; dies	SOURCE_DRAW>HOLD_STATE>ACTIVATE_CHARGE>METER_CHECK>CONTINUE_USE>MOVE_PASS>CONTINUE_USE>METER_CHECK>TARGET_HANDOFF	ADDRESS>STATE>REFERENCE>ADDRESS>REFERENCE>PROCESS>REFERENCE>ADDRESS>ADDRESS	ADDRESS>STATE>REFERENCE>ADDRESS>REFERENCE>PROCESS>REFERENCE>ADDRESS	SILENT_OWNER :: ADDRESS>STATE>REFERENCE>ADDRESS>REFERENCE>PROCESS>REFERENCE>ADDRESS>ADDRESS	NO	diese abgebildete Pflanze oder ihr aktueller Teil
H2-S002	f10r	H2	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	abgebildete breit gezähnte radialblütige Pflanze	E024|E025|E026|E027|E028|E029|E030|E031	qotchor chor otol chol cholor chol daiin dar	danach · abziehen · Ansatz; Ansatz; danach · fortsetzen; fortsetzen; fortsetzen · Ansatz; fortsetzen; Maß; von dort	ACTIVATE_CHARGE>ACTIVATE_CHARGE>CONTINUE_USE>CONTINUE_USE>ACTIVATE_CHARGE>CONTINUE_USE>METER_CHECK>SOURCE_DRAW	REFERENCE>REFERENCE>REFERENCE>REFERENCE>REFERENCE>REFERENCE>ADDRESS>ADDRESS	REFERENCE>ADDRESS	SILENT_OWNER :: REFERENCE>REFERENCE>REFERENCE>REFERENCE>REFERENCE>REFERENCE>ADDRESS>ADDRESS	NO	diese abgebildete Pflanze oder ihr aktueller Teil
H2-S003	f10r	H2	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	abgebildete breit gezähnte radialblütige Pflanze	E032|E033|E034|E035|E036|E037|E038	oykchor shor chor chy kaiiin dy chodaiin	Arbeitsgang · dies · zuführen · Ansatz; Ansatz; Ansatz; dies; zuführen · Sollstufe; dies; abziehen · Arbeitsgang · Maß	ACTIVATE_CHARGE>ACTIVATE_CHARGE>ACTIVATE_CHARGE>CONTINUE_USE>METER_CHECK>CONTINUE_USE>SOURCE_DRAW	REFERENCE>REFERENCE>REFERENCE>REFERENCE>ADDRESS>REFERENCE>ADDRESS	REFERENCE>ADDRESS>REFERENCE>ADDRESS	SILENT_OWNER :: REFERENCE>REFERENCE>REFERENCE>REFERENCE>ADDRESS>REFERENCE>ADDRESS	NO	diese abgebildete Pflanze oder ihr aktueller Teil
H3-S001	f11r	H3	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	abgebildete dicht blau blühende Kronenpflanze	E039|E040|E041|E042|E043|E044|E045	tshol schoal cfhy shfydaiin cphy shey tchody	eintragen · halten · fortsetzen; halten · Arbeitsgang · Zielstelle; auswringen; halten · dies · Maß; hinein · dies; Empfangsbestand; eintragen · abziehen · Arbeitsgang · Schluss	HOLD_STATE>TARGET_HANDOFF>SOURCE_DRAW>METER_CHECK>MOVE_PASS>HOLD_STATE>SOURCE_DRAW>CLOSE	STATE>ADDRESS>ADDRESS>ADDRESS>PROCESS>STATE>ADDRESS>CLOSE	STATE>ADDRESS>PROCESS>STATE>ADDRESS>CLOSE	SILENT_OWNER :: STATE>ADDRESS>ADDRESS>ADDRESS>PROCESS>STATE>ADDRESS>CLOSE	YES	diese abgebildete Pflanze oder ihr aktueller Teil
H3-S002	f11r	H3	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	abgebildete dicht blau blühende Kronenpflanze	E046	shoyty	halten · Arbeitsgang · dies · eintragen · dies	HOLD_STATE	STATE	STATE	SILENT_OWNER :: STATE	NO	diese abgebildete Pflanze oder ihr aktueller Teil
H3-S003	f11r	H3	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	abgebildete dicht blau blühende Kronenpflanze	E047|E048|E049|E050|E051	dchol chy kchy dy daiin	fortsetzen; dies; zuführen · dies; dies; Maß	CONTINUE_USE>CONTINUE_USE>ACTIVATE_CHARGE>CONTINUE_USE>METER_CHECK	REFERENCE>REFERENCE>REFERENCE>REFERENCE>ADDRESS	REFERENCE>ADDRESS	SILENT_OWNER :: REFERENCE>REFERENCE>REFERENCE>REFERENCE>ADDRESS	NO	diese abgebildete Pflanze oder ihr aktueller Teil
H3-S004	f11r	H3	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	abgebildete dicht blau blühende Kronenpflanze	E052|E053|E054|E055	qotchy okchol cthy dy	danach · dies; ansetzen · fortsetzen; bereit · dies; dies	ACTIVATE_CHARGE>ACTIVATE_CHARGE>HOLD_STATE>CONTINUE_USE	REFERENCE>REFERENCE>STATE>REFERENCE	REFERENCE>STATE>REFERENCE	SILENT_OWNER :: REFERENCE>REFERENCE>STATE>REFERENCE	NO	diese abgebildete Pflanze oder ihr aktueller Teil
H4-S001	f55v	H4	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	abgebildete breitblättrige rispige Pflanze	E056|E057|E058|E059|E060	qokaiin chaiin ykain ykan ody	ansetzen · Maß; Maß; dies · zuführen · Portion; dies · zuführen · Portion; Arbeitsgang · Schluss	METER_CHECK>METER_CHECK>ACTIVATE_CHARGE>ACTIVATE_CHARGE>CONTINUE_USE>CLOSE	ADDRESS>ADDRESS>REFERENCE>REFERENCE>REFERENCE>CLOSE	ADDRESS>REFERENCE>CLOSE	SILENT_OWNER :: ADDRESS>ADDRESS>REFERENCE>REFERENCE>REFERENCE>CLOSE	YES	diese abgebildete Pflanze oder ihr aktueller Teil
H4-S002	f55v	H4	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	abgebildete breitblättrige rispige Pflanze	E061|E062|E063	daiin chedy talam	Maß; umsetzen · dies; verwahren	METER_CHECK>ACTIVATE_CHARGE>CONTINUE_USE	ADDRESS>REFERENCE>REFERENCE	ADDRESS>REFERENCE	SILENT_OWNER :: ADDRESS>REFERENCE>REFERENCE	NO	diese abgebildete Pflanze oder ihr aktueller Teil
H4-S003	f55v	H4	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	abgebildete breitblättrige rispige Pflanze	E064|E065|E066|E067	ykaiin cheoar cheeky oldy	dies · zuführen · Maß; abziehen · kurz · Arbeitsgang · von dort; wärmen · länger · dies; fortsetzen · Schluss	METER_CHECK>SOURCE_DRAW>ACTIVATE_CHARGE>CONTINUE_USE>CLOSE	ADDRESS>ADDRESS>REFERENCE>REFERENCE>CLOSE	ADDRESS>REFERENCE>CLOSE	SILENT_OWNER :: ADDRESS>ADDRESS>REFERENCE>REFERENCE>CLOSE	YES	diese abgebildete Pflanze oder ihr aktueller Teil
H4-S004	f55v	H4	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	abgebildete breitblättrige rispige Pflanze	E068|E069|E070|E071|E072|E073	aiin okal oltchy or y orain	Maß; ansetzen · Zielstelle; fortsetzen · eintragen · dies; Ansatz; dies; Ansatz · Portion	METER_CHECK>TARGET_HANDOFF>ACTIVATE_CHARGE>ACTIVATE_CHARGE>CONTINUE_USE>ACTIVATE_CHARGE	ADDRESS>ADDRESS>REFERENCE>REFERENCE>REFERENCE>REFERENCE	ADDRESS>REFERENCE	SILENT_OWNER :: ADDRESS>ADDRESS>REFERENCE>REFERENCE>REFERENCE>REFERENCE	NO	diese abgebildete Pflanze oder ihr aktueller Teil
