owner_no	section	pages	records	silent_owner_id	silent_owner_de	events	supplied_noun_class	operator_cards_supply_this_noun	still_unsupplied_specifics
1	HERBAL	f10r	H1|H2	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	abgebildete breit gezähnte radialblütige Pflanze	38	PICTURED_PLANT_OR_PART	NO	species|exact_part|liquid|ailment|patient
2	HERBAL	f11r	H3	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	abgebildete dicht blau blühende Kronenpflanze	17	PICTURED_PLANT_OR_PART	NO	species|exact_part|liquid|ailment|patient
3	HERBAL	f55v	H4	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	abgebildete breitblättrige rispige Pflanze	18	PICTURED_PLANT_OR_PART	NO	species|exact_part|liquid|ailment|patient
4	HERBAL	f56r	H5	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	abgebildete mehrköpfige stachelige Pflanze	27	PICTURED_PLANT_OR_PART	NO	species|exact_part|liquid|ailment|patient
5	BIOLOGICAL	f81v	B1	B1_SHARED_TWO_ROW_POOL	gemeinsame zweireihige Figuren-/Beckenstation	66	VISIBLE_STATION_OR_FIGURE_GROUP	NO	person_identity|body_part|liquid|temperature|flow_direction|ailment
6	BIOLOGICAL	f82r	B2	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	oberes Beckenpaar mit Zylinder	22	VISIBLE_STATION_OR_FIGURE_GROUP	NO	person_identity|body_part|liquid|temperature|flow_direction|ailment
7	BIOLOGICAL	f82r	B2	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	mittleres linkes Handgerät mit Inline-Knoten	9	VISIBLE_STATION_OR_FIGURE_GROUP	NO	person_identity|body_part|liquid|temperature|flow_direction|ailment
8	BIOLOGICAL	f82r	B2	B2_MIDDLE_RIGHT_AMBIGUOUS_STATION	mittlere rechte unklare Station	5	VISIBLE_STATION_OR_FIGURE_GROUP	NO	person_identity|body_part|liquid|temperature|flow_direction|ailment
9	BIOLOGICAL	f82r	B2	B2_LOWER_GREEN_MULTI_FIGURE_POOL	unteres grünes Mehrfigurenbecken	9	VISIBLE_STATION_OR_FIGURE_GROUP	NO	person_identity|body_part|liquid|temperature|flow_direction|ailment
10	BIOLOGICAL	f82r	B2	B2_LOWER_POOL_EDGE_STATIONS	kleine Randstationen des unteren Beckens	17	VISIBLE_STATION_OR_FIGURE_GROUP	NO	person_identity|body_part|liquid|temperature|flow_direction|ailment
11	BIOLOGICAL	f83r	B3	B3_UPPER_MARGIN_OPEN_FAN_STATION	obere offene Fächerstation am Rand	10	VISIBLE_STATION_OR_FIGURE_GROUP	NO	person_identity|body_part|liquid|temperature|flow_direction|ailment
12	BIOLOGICAL	f83r	B3	B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION	mittlere Randfigur im runden Gefäß	9	VISIBLE_STATION_OR_FIGURE_GROUP	NO	person_identity|body_part|liquid|temperature|flow_direction|ailment
13	BIOLOGICAL	f83r	B3	B3_LOWER_MARGIN_BASKET_VESSEL_STATION	untere Randfigur im korbartigen Gefäß	16	VISIBLE_STATION_OR_FIGURE_GROUP	NO	person_identity|body_part|liquid|temperature|flow_direction|ailment
14	BIOLOGICAL	f83r	B3	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	unverbundener Zwischenbereich	27	VISIBLE_STATION_OR_FIGURE_GROUP	NO	person_identity|body_part|liquid|temperature|flow_direction|ailment
15	BIOLOGICAL	f83r	B3	B3_MAIN_ARCH_LINKED_PAIR	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	24	VISIBLE_STATION_OR_FIGURE_GROUP	NO	person_identity|body_part|liquid|temperature|flow_direction|ailment
16	BIOLOGICAL	f83r	B4	B4_MAIN_ARCH_LINKED_PAIR	sichtbares Figurenpaar mit gemeinsamem Bogen in B4	23	VISIBLE_STATION_OR_FIGURE_GROUP	NO	person_identity|body_part|liquid|temperature|flow_direction|ailment
17	BIOLOGICAL	f83r	B4	B4_MAIN_LEFT_OPEN_FRINGE_STATION	linke Hauptstation mit offenem Fransenlauf	18	VISIBLE_STATION_OR_FIGURE_GROUP	NO	person_identity|body_part|liquid|temperature|flow_direction|ailment
18	BIOLOGICAL	f83r	B4	B4_MAIN_RIGHT_S_RUN_MULTIPORT_STATION	rechte Hauptstation mit S-Lauf und Mehrarmknoten	6	VISIBLE_STATION_OR_FIGURE_GROUP	NO	person_identity|body_part|liquid|temperature|flow_direction|ailment
19	BIOLOGICAL	f83r	B5	B5_LEFT_OPEN_FRINGE_STATION	linke Fransenstation im B5-Nachtrag	11	VISIBLE_STATION_OR_FIGURE_GROUP	NO	person_identity|body_part|liquid|temperature|flow_direction|ailment
20	BIOLOGICAL	f83r	B6	B6_RIGHT_S_RUN_MULTIPORT_STATION	rechter S-Lauf im B6-Nachtrag	9	VISIBLE_STATION_OR_FIGURE_GROUP	NO	person_identity|body_part|liquid|temperature|flow_direction|ailment
