card_no	component_parse	invariant_card_reading_de	primitive_program	grammar_lanes	occurrences	sections	records	shared_herbal_biological	semantic_noun_carried_by_card
PROC001	CH+E+Y	abziehen · kurz · dies	SOURCE_DRAW	ADDRESS	1	HERBAL	H1	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC002	CTH+O+OR	bereit · Arbeitsgang · Ansatz	ACTIVATE_CHARGE	REFERENCE	1	HERBAL	H1	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC003	AR	von dort	SOURCE_DRAW	ADDRESS	5	HERBAL|BIOLOGICAL	H1|H2|B1|B2|B3	YES	NO__OPERATION_OR_CONTROL_ONLY
PROC004	T+Y	eintragen · dies	ACTIVATE_CHARGE	REFERENCE	2	HERBAL|BIOLOGICAL	H1|B3	YES	NO__OPERATION_OR_CONTROL_ONLY
PROC005	OS	Arbeitsfach	TARGET_HANDOFF	ADDRESS	1	HERBAL	H1	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC006	CH+AIR	abziehen · Lauf	SOURCE_DRAW	ADDRESS	1	HERBAL	H1	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC007	OT+Y+T+CH+OL	danach · dies · eintragen · abziehen · fortsetzen	SOURCE_DRAW	ADDRESS	1	HERBAL	H1	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC008	OK+Y	ansetzen · dies	CONTINUE_USE	REFERENCE	10	HERBAL|BIOLOGICAL	H1|H5|B1|B2|B3|B4	YES	NO__OPERATION_OR_CONTROL_ONLY
PROC009	AIIN	Maß	METER_CHECK	ADDRESS	20	HERBAL|BIOLOGICAL	H1|H2|H3|H4|H5|B1|B2|B3|B4|B5|B6	YES	NO__OPERATION_OR_CONTROL_ONLY
PROC010	E+T+Y	kurz · eintragen · dies	ACTIVATE_CHARGE	REFERENCE	1	HERBAL	H1	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC011	OK+Y	ansetzen · dies	ACTIVATE_CHARGE	REFERENCE	3	HERBAL	H1|H5	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC012	OT+CH+OL	danach · abziehen · fortsetzen	SOURCE_DRAW	ADDRESS	1	HERBAL	H1	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC013	OL	fortsetzen	CONTINUE_USE	REFERENCE	19	HERBAL|BIOLOGICAL	H1|H2|B1|B3|B4|B5|B6	YES	NO__OPERATION_OR_CONTROL_ONLY
PROC014	CTH+Y	bereit · dies	HOLD_STATE	STATE	7	HERBAL|BIOLOGICAL	H1|H2|H3|B3	YES	NO__OPERATION_OR_CONTROL_ONLY
PROC015	Y+CH+E+OR	dies · abziehen · kurz · Ansatz	SOURCE_DRAW	ADDRESS	1	HERBAL	H2	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC016	OR	Ansatz	ACTIVATE_CHARGE	REFERENCE	7	HERBAL|BIOLOGICAL	H2|H4|B3|B4	YES	NO__OPERATION_OR_CONTROL_ONLY
PROC017	CTH+AIIN	bereit · Maß	METER_CHECK	ADDRESS	1	HERBAL	H2	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC018	O+CTH+OL+Y	Arbeitsgang · bereit · fortsetzen · dies	CONTINUE_USE	REFERENCE	1	HERBAL	H2	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC019	Y	dies	MOVE_PASS	PROCESS	18	HERBAL|BIOLOGICAL	H2|H3|H4|B1|B2|B3|B4|B6	YES	NO__OPERATION_OR_CONTROL_ONLY
PROC020	OT+CH+OR	danach · abziehen · Ansatz	ACTIVATE_CHARGE	REFERENCE	2	HERBAL	H2|H5	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC021	OT+OL	danach · fortsetzen	CONTINUE_USE	REFERENCE	1	HERBAL	H2	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC022	OL+OR	fortsetzen · Ansatz	ACTIVATE_CHARGE	REFERENCE	2	HERBAL|BIOLOGICAL	H2|B1	YES	NO__OPERATION_OR_CONTROL_ONLY
PROC023	O+Y+K+OR	Arbeitsgang · dies · zuführen · Ansatz	ACTIVATE_CHARGE	REFERENCE	1	HERBAL	H2	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC024	K+IIN	zuführen · Sollstufe	METER_CHECK	ADDRESS	1	HERBAL	H2	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC025	CH+O+AIIN	abziehen · Arbeitsgang · Maß	SOURCE_DRAW	ADDRESS	1	HERBAL	H2	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC026	T+SH+OL	eintragen · halten · fortsetzen	HOLD_STATE	STATE	1	HERBAL	H3	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC027	SH+O+AL	halten · Arbeitsgang · Zielstelle	TARGET_HANDOFF	ADDRESS	1	HERBAL	H3	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC028	CFHY	auswringen	SOURCE_DRAW	ADDRESS	1	HERBAL	H3	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC029	SH+Y+AIIN	halten · dies · Maß	METER_CHECK	ADDRESS	1	HERBAL	H3	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC030	P+Y	hinein · dies	MOVE_PASS	PROCESS	1	HERBAL	H3	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC031	WHOLE[cheey|shey]	Empfangsbestand	HOLD_STATE	STATE	4	HERBAL|BIOLOGICAL	H3|B2|B4	YES	NO__OPERATION_OR_CONTROL_ONLY
PROC032	T+CH+O+DY	eintragen · abziehen · Arbeitsgang · Schluss	SOURCE_DRAW>CLOSE	ADDRESS>CLOSE	1	HERBAL	H3	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC033	SH+O+Y+T+Y	halten · Arbeitsgang · dies · eintragen · dies	HOLD_STATE	STATE	1	HERBAL	H3	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC034	OL	fortsetzen	CONTINUE_USE	REFERENCE	2	HERBAL	H3|H5	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC035	K+Y	zuführen · dies	ACTIVATE_CHARGE	REFERENCE	1	HERBAL	H3	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC036	OT+Y	danach · dies	ACTIVATE_CHARGE	REFERENCE	1	HERBAL	H3	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC037	OK+OL	ansetzen · fortsetzen	ACTIVATE_CHARGE	REFERENCE	1	HERBAL	H3	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC038	OK+AIIN	ansetzen · Maß	METER_CHECK	ADDRESS	9	HERBAL|BIOLOGICAL	H4|B1|B2|B3	YES	NO__OPERATION_OR_CONTROL_ONLY
PROC039	Y+K+AIN	dies · zuführen · Portion	ACTIVATE_CHARGE	REFERENCE	1	HERBAL	H4	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC040	Y+K+AIN	dies · zuführen · Portion	ACTIVATE_CHARGE	REFERENCE	1	HERBAL	H4	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC041	O+DY	Arbeitsgang · Schluss	CONTINUE_USE>CLOSE	REFERENCE>CLOSE	1	HERBAL	H4	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC042	CHD+Y	umsetzen · dies	ACTIVATE_CHARGE	REFERENCE	11	HERBAL|BIOLOGICAL	H4|B1|B3|B4|B5	YES	NO__OPERATION_OR_CONTROL_ONLY
PROC043	TALAM	verwahren	CONTINUE_USE	REFERENCE	1	HERBAL	H4	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC044	Y+K+AIIN	dies · zuführen · Maß	METER_CHECK	ADDRESS	1	HERBAL	H4	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC045	CHEO+AR	abziehen · kurz · Arbeitsgang · von dort	SOURCE_DRAW	ADDRESS	1	HERBAL	H4	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC046	CHK+EE+Y	wärmen · länger · dies	ACTIVATE_CHARGE	REFERENCE	2	HERBAL|BIOLOGICAL	H4|B4	YES	NO__OPERATION_OR_CONTROL_ONLY
PROC047	OL+DY	fortsetzen · Schluss	CONTINUE_USE>CLOSE	REFERENCE>CLOSE	2	HERBAL|BIOLOGICAL	H4|B4	YES	NO__OPERATION_OR_CONTROL_ONLY
PROC048	OK+AL	ansetzen · Zielstelle	TARGET_HANDOFF	ADDRESS	6	HERBAL|BIOLOGICAL	H4|B1|B2|B3	YES	NO__OPERATION_OR_CONTROL_ONLY
PROC049	OL+T+Y	fortsetzen · eintragen · dies	ACTIVATE_CHARGE	REFERENCE	1	HERBAL	H4	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC050	OR+AIN	Ansatz · Portion	ACTIVATE_CHARGE	REFERENCE	1	HERBAL	H4	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC051	HO+CH+OR	Gabe · abziehen · Ansatz	ACTIVATE_CHARGE	REFERENCE	1	HERBAL	H5	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC052	HO	Gabe	ACTIVATE_CHARGE	REFERENCE	4	HERBAL	H5	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC053	HO+AL+Y	Gabe · Zielstelle · dies	TARGET_HANDOFF	ADDRESS	1	HERBAL	H5	NO	NO__OPERATION_OR_CONTROL_ONLY
PROC054	K+OL	zuführen · fortsetzen	MOVE_PASS	PROCESS	1	HERBAL	H5	NO	NO__OPERATION_OR_CONTROL_ONLY
