from_state	to_state	herbal_uses	biological_uses	total_uses	shared_across_sections	teaching_rule
START	ADDRESS	6	21	27	YES	Nach START darf ADDRESS folgen
ADDRESS	REFERENCE	12	15	27	YES	Nach ADDRESS darf REFERENCE folgen
REFERENCE	ADDRESS	13	13	26	YES	Nach REFERENCE darf ADDRESS folgen
ADDRESS	ADDRESS	10	13	23	YES	Nach ADDRESS darf ADDRESS folgen
REFERENCE	END	6	4	10	YES	Nach REFERENCE darf END folgen
START	REFERENCE	10	23	33	YES	Nach START darf REFERENCE folgen
REFERENCE	STATE	5	26	31	YES	Nach REFERENCE darf STATE folgen
STATE	END	2	2	4	YES	Nach STATE darf END folgen
ADDRESS	STATE	1	20	21	YES	Nach ADDRESS darf STATE folgen
STATE	REFERENCE	4	13	17	YES	Nach STATE darf REFERENCE folgen
REFERENCE	PROCESS	2	6	8	YES	Nach REFERENCE darf PROCESS folgen
PROCESS	REFERENCE	2	5	7	YES	Nach PROCESS darf REFERENCE folgen
ADDRESS	END	7	5	12	YES	Nach ADDRESS darf END folgen
REFERENCE	REFERENCE	27	20	47	YES	Nach REFERENCE darf REFERENCE folgen
START	STATE	3	31	34	YES	Nach START darf STATE folgen
STATE	ADDRESS	3	11	14	YES	Nach STATE darf ADDRESS folgen
ADDRESS	PROCESS	1	9	10	YES	Nach ADDRESS darf PROCESS folgen
PROCESS	STATE	1	6	7	YES	Nach PROCESS darf STATE folgen
ADDRESS	CLOSE	1	2	3	YES	Nach ADDRESS darf CLOSE folgen
CLOSE	END	4	85	89	YES	Nach CLOSE darf END folgen
REFERENCE	CLOSE	2	7	9	YES	Nach REFERENCE darf CLOSE folgen
STATE	CLOSE	1	51	52	YES	Nach STATE darf CLOSE folgen
PROCESS	ADDRESS	0	6	6	NO	Nach PROCESS darf ADDRESS folgen
STATE	PROCESS	0	6	6	NO	Nach STATE darf PROCESS folgen
PROCESS	PROCESS	0	3	3	NO	Nach PROCESS darf PROCESS folgen
PROCESS	CLOSE	0	25	25	NO	Nach PROCESS darf CLOSE folgen
START	PROCESS	0	22	22	NO	Nach START darf PROCESS folgen
STATE	STATE	0	12	12	NO	Nach STATE darf STATE folgen
PROCESS	END	0	1	1	NO	Nach PROCESS darf END folgen
