locus	page	section	currier	source_lattice_paths	selected_source	literal_decoded	normalized_plaintext_or_record	confidence	alternative_analysis	uncertainty_reason
f100r.1	f100r	P	A	f100r.1|P01	chosaroshol	ENTRY[_;STEM=chosarosho;SUF=l]	ENTRY[_;STEM=chosarosho;SUF=l]	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.10	f100r	P	A	f100r.10|P01	dakocth	ENTRY[d;STEM=akocth;SUF=_]	ENTRY[d;STEM=akocth;SUF=_]	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.11	f100r	P	A	f100r.11|P01|f100r.11|P02|f100r.11|P03	sofam	ENTRY[s;STEM=ofa;SUF=m]	ENTRY[s;STEM=ofa;SUF=m]	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.12	f100r	P	A	f100r.12|P01|f100r.12|P02|f100r.12|P03	pcheol sheod qocpheeckhy shodol da oto choos sheey cho s	ENTRY[p;STEM=cheo;SUF=l] BODY[s;STEM=heo;SUF=d] BODY[q;STEM=ocpheeckh;SUF=y] BODY[s;STEM=hodo;SUF=l] BODY[d;STEM=a;SUF=_] BODY[_;STEM=oto;SUF=_] BODY[_;STEM=choo;SUF=s] BODY[s;STEM=hee;SUF=y] BODY[_;STEM=cho;SUF=_] BODY[_;STEM=s;SUF=_]	ENTRY[p;STEM=cheo;SUF=l] BODY[s;STEM=heo;SUF=d] BODY[q;STEM=ocpheeckh;SUF=y] BODY[s;STEM=hodo;SUF=l] BODY[d;STEM=a;SUF=_] BODY[_;STEM=oto;SUF=_] BODY[_;STEM=choo;SUF=s] BODY[s;STEM=hee;SUF=y] BODY[_;STEM=cho;SUF=_] BODY[_;STEM=s;SUF=_]	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.13	f100r	P	A	f100r.13|P01|f100r.13|P02|f100r.13|P03	dsheor cthey qokeey oteey ykeeodain rorarydaiin daiin deeomchol	ENTRY[d;STEM=sheo;SUF=r] BODY[_;STEM=cthe;SUF=y] BODY[q;STEM=okee;SUF=y] BODY[_;STEM=otee;SUF=y] BODY[_;STEM=ykeeodai;SUF=n] BODY[r;STEM=orarydaii;SUF=n] BODY[d;STEM=aii;SUF=n] BODY[d;STEM=eeomcho;SUF=l]	ENTRY[d;STEM=sheo;SUF=r] BODY[_;STEM=cthe;SUF=y] BODY[q;STEM=okee;SUF=y] BODY[_;STEM=otee;SUF=y] BODY[_;STEM=ykeeodai;SUF=n] BODY[r;STEM=orarydaii;SUF=n] BODY[d;STEM=aii;SUF=n] BODY[d;STEM=eeomcho;SUF=l]	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.14	f100r	P	A	f100r.14|P01|f100r.14|P02|f100r.14|P03	shor chkeey qoteey qokeody qoteold qokeol so raiin otal ykeeeo	ENTRY[s;STEM=ho;SUF=r] BODY[_;STEM=chkee;SUF=y] BODY[q;STEM=otee;SUF=y] BODY[q;STEM=okeod;SUF=y] BODY[q;STEM=oteol;SUF=d] BODY[q;STEM=okeo;SUF=l] BODY[s;STEM=o;SUF=_] BODY[r;STEM=aii;SUF=n] BODY[_;STEM=ota;SUF=l] BODY[_;STEM=ykeeeo;SUF=_]	ENTRY[s;STEM=ho;SUF=r] BODY[_;STEM=chkee;SUF=y] BODY[q;STEM=otee;SUF=y] BODY[q;STEM=okeod;SUF=y] BODY[q;STEM=oteol;SUF=d] BODY[q;STEM=okeo;SUF=l] BODY[s;STEM=o;SUF=_] BODY[r;STEM=aii;SUF=n] BODY[_;STEM=ota;SUF=l] BODY[_;STEM=ykeeeo;SUF=_]	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.15	f100r	P	A	f100r.15|P01|f100r.15|P02|f100r.15|P03	dcheor shol qokeeol chor chol qokeeody dareu	ENTRY[d;STEM=cheo;SUF=r] BODY[s;STEM=ho;SUF=l] BODY[q;STEM=okeeo;SUF=l] BODY[_;STEM=cho;SUF=r] BODY[_;STEM=cho;SUF=l] BODY[q;STEM=okeeod;SUF=y] BODY[d;STEM=areu;SUF=_]	ENTRY[d;STEM=cheo;SUF=r] BODY[s;STEM=ho;SUF=l] BODY[q;STEM=okeeo;SUF=l] BODY[_;STEM=cho;SUF=r] BODY[_;STEM=cho;SUF=l] BODY[q;STEM=okeeod;SUF=y] BODY[d;STEM=areu;SUF=_]	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.16	f100r	P	A	f100r.16|P01	okeeos	ENTRY[_;STEM=okeeo;SUF=s]	ENTRY[_;STEM=okeeo;SUF=s]	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.17	f100r	P	A	f100r.17|P01	shockhey	ENTRY[s;STEM=hockhe;SUF=y]	ENTRY[s;STEM=hockhe;SUF=y]	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.18	f100r	P	A	f100r.18|P01	orol	ENTRY[_;STEM=oro;SUF=l]	ENTRY[_;STEM=oro;SUF=l]	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
