statement_id	page	record	observed_cards	formula_units	saved_teaching_units	used_formula_ids	compressed_recipe_sequence
H1-S001	f10r	H1	10	9	1	F05	CH+E+Y | CTH+O+OR | AR | T+Y | OS | CH+AIR | OT+Y+T+CH+OL | <F05> | E+T+Y
H2-S001	f10r	H2	9	7	2	F14	Y+CH+E+OR | CTH+Y | OR | CTH+AIIN | O+CTH+OL+Y | Y | <F14>
H2-S002	f10r	H2	8	7	1	F10	OT+CH+OR | OR | OT+OL | OL | <F10> | AIIN | AR
H2-S003	f10r	H2	7	6	1	F11	O+Y+K+OR | OR | <F11> | K+IIN | Y | CH+O+AIIN
H3-S001	f11r	H3	7	7	0	NONE	T+SH+OL | SH+O+AL | CFH+Y | SH+Y+AIIN | P+Y | SH+EE+Y | T+CH+O+DY
H3-S003	f11r	H3	5	4	1	F12	RESUME_CARD | Y | K+Y | <F12>
H3-S004	f11r	H3	4	4	0	NONE	OT+Y | OK+OL | CTH+Y | Y
H4-S001	f55v	H4	5	5	0	NONE	OK+AIIN | AIIN | Y+K+AIN | Y+K+AN | O+DY
H4-S004	f55v	H4	6	5	1	F11	AIIN | OK+AL | OL+T+Y | <F11> | OR+AIN
H5-S001	f56r	H5	9	9	0	NONE	HO+CH+OR | HO | HO+AL+Y | AIIN | HO | K+OL | OT+CH+OR | OK+Y | AL
H5-S002	f56r	H5	4	4	0	NONE	RESUME_CARD | HO+Y | OK+Y | CH+EE+CKH+O+DY
H5-S003	f56r	H5	4	4	0	NONE	SH | HO | K+E+Y | OK+OK+Y
B1-S002	f81v	B1	19	17	2	F09,F10	OK+AIIN | K+AIR | OK+AL | AR | OL | K+AIN | <F09> | OL | R+OL | L | <F10> | SH+E+CKH+AL | AIIN | OK+EE+AL | AIIN | CKH+Y | CHD+DY
B1-S006	f81v	B1	4	4	0	NONE	OK+AIN | CKH+Y | L | R+AL
B1-S008	f81v	B1	5	4	1	F08	Y | OL | CHK+E+Y | <F08>
B1-S015	f81v	B1	2	2	0	NONE	T+E+Y | OK+CHD+DY
B2-S004	f82r	B2	5	5	0	NONE	OK+AL | L+CKH+Y | L+CHD | OK+EE+Y | L+CKH+E+DY
B2-S005	f82r	B2	8	8	0	NONE	OK+AL+Y | SOLK+AIIN | CKH+Y | OK+AIIN | OK+AIIN | O+CTH+E+OL | CHK+EE+Y | L+DY
B2-S010	f82r	B2	4	2	2	F13	<F13> | SH+EE+Y
B2-S012	f82r	B2	8	7	1	F02	L+CH+Y | SH+EE+Y | CTH+E+Y | OK+EE+Y | L+EE+Y | <F02> | OK+EEE+DY
B2-S016	f82r	B2	8	8	0	NONE	AL | L+CHD+AR | CH+E+S | AIIN | OT+EE+Y | OK+AIIN | OK+E+Y | P+CHD+DY
B3-S003	f83r	B3	4	2	2	F14	<F14> | L+CHD+DY
B3-S011	f83r	B3	4	4	0	NONE	SH+E+CTH+CHD+Y | OK+Y | CHD+Y | AR+Y
B3-S021	f83r	B3	11	10	1	F12	OK+AIIN | CTH+Y | AL | <F12> | SHED+AL | SH+E+CTH+Y | Y | AL | CTH+Y | AL+CHD+DY
B3-S030	f83r	B3	4	3	1	F05	<F05> | CHD+AIR | OT+CHD+DY
B3-S032	f83r	B3	5	5	0	NONE	CHD+AIN | CHD+Y | OT+E+AIIN | OT+AIIN | OT+E+DY
B4-S002	f83r	B4	3	3	0	NONE	OL+Y | OK+EE+Y | OK+E+DY
B4-S003	f83r	B4	7	5	2	F13	CHD+Y | OT+AL | OT+Y | <F13> | SHED+DY
B4-S014	f83r	B4	4	3	1	F11	<F11> | O+CKH+E+Y | AIR+Y+DY
B4-S016	f83r	B4	4	3	1	F09	<F09> | K+AR | SHED+DY
B5-S003	f83r	B5	9	7	2	F03,F01	SHED+AL | <F03> | L+OL | CHD+AL | <F01> | DA+IIN | CHD+Y
B6-S001	f83r	B6	9	8	1	F07	SOLK+EE+Y | E+K+E+Y | R+AL+Y | <F07> | OL | AIN | Y | L+AL+OR
