formula_id	short_name	statement_id	page	record	start_card_1_based	cards	atomic_reading_de	full_observed_recipe_sequence
F01	MASS_WEITER	B5-S003	f83r	B5	6	AIIN | OL	SOLLMASS | WEITER	SHED+AL | AL | OL | L+OL | CHD+AL | AIIN | OL | DA+IIN | CHD+Y
F01	MASS_WEITER	B6-S001	f83r	B6	5	AIIN | OL	SOLLMASS | WEITER	SOLK+EE+Y | E+K+E+Y | R+AL+Y | OL | AIIN | OL | AIN | Y | L+AL+OR
F02	MASSANSATZ_RECHTS	H2-S001	f10r	H2	8	AIIN | Y	SOLLMASS | DIES	Y+CH+E+OR | CTH+Y | OR | CTH+AIIN | O+CTH+OL+Y | Y | Y | AIIN | Y
F02	MASSANSATZ_RECHTS	B2-S012	f82r	B2	6	AIIN | Y	SOLLMASS | DIES	L+CH+Y | SH+EE+Y | CTH+E+Y | OK+EE+Y | L+EE+Y | AIIN | Y | OK+EEE+DY
F02	MASSANSATZ_RECHTS	B3-S003	f83r	B3	2	AIIN | Y	SOLLMASS | DIES	Y | AIIN | Y | L+CHD+DY
F03	ZIEL_WEITER	B1-S002	f81v	B1	8	AL | OL	ZIELSTELLE | WEITER	OK+AIIN | K+AIR | OK+AL | AR | OL | K+AIN | OL+K+AIN | AL | OL | R+OL | L | OL+OR | OL | SH+E+CKH+AL | AIIN | OK+EE+AL | AIIN | CKH+Y | CHD+DY
F03	ZIEL_WEITER	B5-S003	f83r	B5	2	AL | OL	ZIELSTELLE | WEITER	SHED+AL | AL | OL | L+OL | CHD+AL | AIIN | OL | DA+IIN | CHD+Y
F04	LANG_NORMAL_ANSETZEN	B2-S010	f82r	B2	1	OK+EE+Y | OK+Y	DIES LANG ANSETZEN | DIES ANSETZEN	OK+EE+Y | OK+Y | OL | SH+EE+Y
F04	LANG_NORMAL_ANSETZEN	B4-S003	f83r	B4	4	OK+EE+Y | OK+Y	DIES LANG ANSETZEN | DIES ANSETZEN	CHD+Y | OT+AL | OT+Y | OK+EE+Y | OK+Y | OL | SHED+DY
F05	ANSETZEN_MASS	H1-S001	f10r	H1	8	OK+Y | AIIN	DIES ANSETZEN | SOLLMASS	CH+E+Y | CTH+O+OR | AR | T+Y | OS | CH+AIR | OT+Y+T+CH+OL | OK+Y | AIIN | E+T+Y
F05	ANSETZEN_MASS	B3-S030	f83r	B3	1	OK+Y | AIIN	DIES ANSETZEN | SOLLMASS	OK+Y | AIIN | CHD+AIR | OT+CHD+DY
F06	ANSETZEN_WEITER	B2-S010	f82r	B2	2	OK+Y | OL	DIES ANSETZEN | WEITER	OK+EE+Y | OK+Y | OL | SH+EE+Y
F06	ANSETZEN_WEITER	B4-S003	f83r	B4	5	OK+Y | OL	DIES ANSETZEN | WEITER	CHD+Y | OT+AL | OT+Y | OK+EE+Y | OK+Y | OL | SHED+DY
F07	WEITER_MASS	H2-S002	f10r	H2	6	OL | AIIN	WEITER | SOLLMASS	OT+CH+OR | OR | OT+OL | OL | OL+OR | OL | AIIN | AR
F07	WEITER_MASS	B6-S001	f83r	B6	4	OL | AIIN	WEITER | SOLLMASS	SOLK+EE+Y | E+K+E+Y | R+AL+Y | OL | AIIN | OL | AIN | Y | L+AL+OR
F08	WEITER_ABSETZEN	B1-S008	f81v	B1	4	OL | SHED+DY	WEITER | ABSETZEN; SCHLUSS	Y | OL | CHK+E+Y | OL | SHED+DY
F08	WEITER_ABSETZEN	B4-S003	f83r	B4	6	OL | SHED+DY	WEITER | ABSETZEN; SCHLUSS	CHD+Y | OT+AL | OT+Y | OK+EE+Y | OK+Y | OL | SHED+DY
F09	WEITER_PORTION_ZIEL	B1-S002	f81v	B1	7	OL+K+AIN | AL	WEITER PORTION ZUGEBEN | ZIELSTELLE	OK+AIIN | K+AIR | OK+AL | AR | OL | K+AIN | OL+K+AIN | AL | OL | R+OL | L | OL+OR | OL | SH+E+CKH+AL | AIIN | OK+EE+AL | AIIN | CKH+Y | CHD+DY
F09	WEITER_PORTION_ZIEL	B4-S016	f83r	B4	1	OL+K+AIN | AL	WEITER PORTION ZUGEBEN | ZIELSTELLE	OL+K+AIN | AL | K+AR | SHED+DY
F10	WEITER_ANSATZ_WEITER	H2-S002	f10r	H2	5	OL+OR | OL	WEITER ANSATZ | WEITER	OT+CH+OR | OR | OT+OL | OL | OL+OR | OL | AIIN | AR
F10	WEITER_ANSATZ_WEITER	B1-S002	f81v	B1	12	OL+OR | OL	WEITER ANSATZ | WEITER	OK+AIIN | K+AIR | OK+AL | AR | OL | K+AIN | OL+K+AIN | AL | OL | R+OL | L | OL+OR | OL | SH+E+CKH+AL | AIIN | OK+EE+AL | AIIN | CKH+Y | CHD+DY
F11	ANSATZ_POSTEN	H2-S003	f10r	H2	3	OR | Y	ANSATZ | DIES	O+Y+K+OR | OR | OR | Y | K+IIN | Y | CH+O+AIIN
F11	ANSATZ_POSTEN	H4-S004	f55v	H4	4	OR | Y	ANSATZ | DIES	AIIN | OK+AL | OL+T+Y | OR | Y | OR+AIN
F11	ANSATZ_POSTEN	B4-S014	f83r	B4	1	OR | Y	ANSATZ | DIES	OR | Y | O+CKH+E+Y | AIR+Y+DY
F12	MASSANSATZ_LINKS	H2-S001	f10r	H2	7	Y | AIIN	DIES | SOLLMASS	Y+CH+E+OR | CTH+Y | OR | CTH+AIIN | O+CTH+OL+Y | Y | Y | AIIN | Y
F12	MASSANSATZ_LINKS	H3-S003	f11r	H3	4	Y | AIIN	DIES | SOLLMASS	RESUME_CARD | Y | K+Y | Y | AIIN
F12	MASSANSATZ_LINKS	B3-S003	f83r	B3	1	Y | AIIN	DIES | SOLLMASS	Y | AIIN | Y | L+CHD+DY
F12	MASSANSATZ_LINKS	B3-S021	f83r	B3	4	Y | AIIN	DIES | SOLLMASS	OK+AIIN | CTH+Y | AL | Y | AIIN | SHED+AL | SH+E+CTH+Y | Y | AL | CTH+Y | AL+CHD+DY
F13	GESTUFTE_AKTIVIERUNG	B2-S010	f82r	B2	1	OK+EE+Y | OK+Y | OL	DIES LANG ANSETZEN | DIES ANSETZEN | WEITER	OK+EE+Y | OK+Y | OL | SH+EE+Y
F13	GESTUFTE_AKTIVIERUNG	B4-S003	f83r	B4	4	OK+EE+Y | OK+Y | OL	DIES LANG ANSETZEN | DIES ANSETZEN | WEITER	CHD+Y | OT+AL | OT+Y | OK+EE+Y | OK+Y | OL | SHED+DY
F14	GEMESSENER_POSTEN	H2-S001	f10r	H2	7	Y | AIIN | Y	DIES | SOLLMASS | DIES	Y+CH+E+OR | CTH+Y | OR | CTH+AIIN | O+CTH+OL+Y | Y | Y | AIIN | Y
F14	GEMESSENER_POSTEN	B3-S003	f83r	B3	1	Y | AIIN | Y	DIES | SOLLMASS | DIES	Y | AIIN | Y | L+CHD+DY
