formula_id	cards	card_length	short_name	atomic_reading_de	workshop_role	residual_occurrences	residual_statements	residual_statement_ids	all_116_occurrences	pages	records	teaching_status	greedy_teaching_uses	greedy_status
F01	AIIN | OL	2	MASS_WEITER	SOLLMASS | WEITER	measure then continue	2	2	B5-S003,B6-S001	2	f83r	B5,B6	TEACH_RECURRENT_FORMULA_OR_FRAGMENT	1	ACTIVE_MACRO
F02	AIIN | Y	2	MASSANSATZ_RECHTS	SOLLMASS | DIES	fragment of measured-item bracket	3	3	B2-S012,B3-S003,H2-S001	3	f10r,f82r,f83r	B2,B3,H2	TEACH_RECURRENT_FORMULA_OR_FRAGMENT	1	ACTIVE_MACRO
F03	AL | OL	2	ZIEL_WEITER	ZIELSTELLE | WEITER	target then continuation	2	2	B1-S002,B5-S003	2	f81v,f83r	B1,B5	TEACH_RECURRENT_FORMULA_OR_FRAGMENT	1	ACTIVE_MACRO
F04	OK+EE+Y | OK+Y	2	LANG_NORMAL_ANSETZEN	DIES LANG ANSETZEN | DIES ANSETZEN	first two cards of staged activation	2	2	B2-S010,B4-S003	2	f82r,f83r	B2,B4	TEACH_RECURRENT_FORMULA_OR_FRAGMENT	0	OVERLAPPED_FRAGMENT_ONLY
F05	OK+Y | AIIN	2	ANSETZEN_MASS	DIES ANSETZEN | SOLLMASS	activation followed by prescribed measure	2	2	B3-S030,H1-S001	2	f10r,f83r	B3,H1	TEACH_RECURRENT_FORMULA_OR_FRAGMENT	2	ACTIVE_MACRO
F06	OK+Y | OL	2	ANSETZEN_WEITER	DIES ANSETZEN | WEITER	last two cards of staged activation	2	2	B2-S010,B4-S003	2	f82r,f83r	B2,B4	TEACH_RECURRENT_FORMULA_OR_FRAGMENT	0	OVERLAPPED_FRAGMENT_ONLY
F07	OL | AIIN	2	WEITER_MASS	WEITER | SOLLMASS	continuation followed by measure	2	2	B6-S001,H2-S002	2	f10r,f83r	B6,H2	TEACH_RECURRENT_FORMULA_OR_FRAGMENT	1	ACTIVE_MACRO
F08	OL | SHED+DY	2	WEITER_ABSETZEN	WEITER | ABSETZEN; SCHLUSS	continuation-close cadence	2	2	B1-S008,B4-S003	4	f81v,f83r	B1,B4	TEACH_RECURRENT_FORMULA_OR_FRAGMENT	1	ACTIVE_MACRO
F09	OL+K+AIN | AL	2	WEITER_PORTION_ZIEL	WEITER PORTION ZUGEBEN | ZIELSTELLE	transfer dose followed by target	2	2	B1-S002,B4-S016	2	f81v,f83r	B1,B4	TEACH_RECURRENT_FORMULA_OR_FRAGMENT	2	ACTIVE_MACRO
F10	OL+OR | OL	2	WEITER_ANSATZ_WEITER	WEITER ANSATZ | WEITER	continuation frame around preparation	2	2	B1-S002,H2-S002	2	f10r,f81v	B1,H2	TEACH_RECURRENT_FORMULA_OR_FRAGMENT	2	ACTIVE_MACRO
F11	OR | Y	2	ANSATZ_POSTEN	ANSATZ | DIES	preparation followed by its current item	3	3	B4-S014,H2-S003,H4-S004	3	f10r,f55v,f83r	B4,H2,H4	TEACH_RECURRENT_FORMULA_OR_FRAGMENT	3	ACTIVE_MACRO
F12	Y | AIIN	2	MASSANSATZ_LINKS	DIES | SOLLMASS	fragment of measured-item bracket	4	4	B3-S003,B3-S021,H2-S001,H3-S003	4	f10r,f11r,f83r	B3,H2,H3	TEACH_RECURRENT_FORMULA_OR_FRAGMENT	2	ACTIVE_MACRO
F13	OK+EE+Y | OK+Y | OL	3	GESTUFTE_AKTIVIERUNG	DIES LANG ANSETZEN | DIES ANSETZEN | WEITER	complete staged activation formula	2	2	B2-S010,B4-S003	2	f82r,f83r	B2,B4	TEACH_COMPLETE_MINI_FORMULA	2	ACTIVE_MACRO
F14	Y | AIIN | Y	3	GEMESSENER_POSTEN	DIES | SOLLMASS | DIES	complete measured-item bracket	2	2	B3-S003,H2-S001	2	f10r,f83r	B3,H2	TEACH_COMPLETE_MINI_FORMULA	2	ACTIVE_MACRO
