binding_id	source_reading_id	evidence_path	selector	field_assertions	field_contains_assertions	evidence_role	score_credit_family_ids
E001	opchedaiin#1	experiments/yolo/gdt721_v94_four_head_construction_scope_and_b003_restore/artifacts/V94_324_ACTIVE_LEXICAL_READINGS.tsv	v94_reading_id=opchedaiin#1	surface=opchedaiin;v94_lexical_core_de=drei Dosen bis zur Mittelstufe getrockneten Pulvers;working_model_score_0_100_not_probability=30;working_model_level=W1_WEAK_WORKING	NONE	active_lexical_baseline	NONE
E002	opchedaiin#1	experiments/yolo/gdt721_v94_four_head_construction_scope_and_b003_restore/artifacts/V94_479_CONTEXT_REALIZATIONS.tsv	position_id=P043;source_reading_id=opchedaiin#1	page=f105v;locus=f105v.1;token_ordinal=6;surface=opchedaiin;v68_action_license=NOT_ACTION_LICENSED	NONE	exact_active_position	NONE
E003	opchedaiin#1	experiments/yolo/gdt721_v94_four_head_construction_scope_and_b003_restore/artifacts/V94_56_HELD_READING_AUDIT.tsv	source_reading_id=opchedaiin#1	disposition=HELD_FOR_LATER_REPAIR;new_lexical_score=30;new_lexical_level=W1_WEAK_WORKING	NONE	open_repair_queue_row	NONE
E004	opchedaiin#1	experiments/yolo/gdt691_preparation_head_role_dispatch/artifacts/V64_479_TOKEN_READER.tsv	page=f105v;locus=f105v.1;token_ordinal=6;surface=opchedaiin	v64_token_gloss_de=drei Dosen bis zur Mittelstufe getrockneten Pulvers;v64_rule_id=P026;decision_class=MATERIAL_RESULT_COLLAPSE;formal_routes=LEARNED_WHOLE_OR_UNEXPORTED	NONE	last_semantic_decision	NONE
E005	opchedaiin#1	experiments/yolo/gdt691_preparation_head_role_dispatch/src/V64_EXACT_TOKEN_RULES.tsv	surface=opchedaiin	rule_id=P026;v64_main_gloss_de=drei Dosen bis zur Mittelstufe getrockneten Pulvers;practical_head_de=Pulver;decision_class=MATERIAL_RESULT_COLLAPSE	NONE	exact_renderer_rule	NONE
E006	opchedaiin#1	experiments/yolo/gdt652_strict_v28_frontier_completion/artifacts/ALL_LINE_CONCRETE_COVERAGE_V29.tsv	page=f105v;locus=f105v.1	all_three_present=1;unknown_tokens=9	unknown_surfaces=opchedaiin	upstream_unknown_control	NONE
E007	opchedaiin#1	experiments/yolo/gdt635_initial_head_same_remainder_swaps/artifacts/INITIAL_HEAD_SCOPE_PROFILE.tsv	head=p	initial_occurrences=503;initial_types=277;internal_token_occurrences=858;internal_types=443;standalone_occurrences=5	NONE	internal_p_scope_control	NONE
E008	chopo#1	experiments/yolo/gdt721_v94_four_head_construction_scope_and_b003_restore/artifacts/V94_324_ACTIVE_LEXICAL_READINGS.tsv	v94_reading_id=chopo#1	surface=chopo;v94_lexical_core_de=Pulverzubereitung aus Trockengut;working_model_score_0_100_not_probability=30;working_model_level=W1_WEAK_WORKING	NONE	active_lexical_baseline	NONE
E009	chopo#1	experiments/yolo/gdt721_v94_four_head_construction_scope_and_b003_restore/artifacts/V94_479_CONTEXT_REALIZATIONS.tsv	position_id=P138;source_reading_id=chopo#1	page=f114r;locus=f114r.24;token_ordinal=10;surface=chopo;v68_action_license=NOT_ACTION_LICENSED	NONE	exact_active_position	NONE
E010	chopo#1	experiments/yolo/gdt721_v94_four_head_construction_scope_and_b003_restore/artifacts/V94_56_HELD_READING_AUDIT.tsv	source_reading_id=chopo#1	disposition=HELD_FOR_LATER_REPAIR;new_lexical_score=30;new_lexical_level=W1_WEAK_WORKING	NONE	open_repair_queue_row	NONE
