event_id	statement_id	locus	surface	card_no	component_parse	card_reading	primitive	reverse_stage	source_function	minimum_source_clause_de	owner_source	owner_noun_de	content_license
E074	H5-S001	f56r.5	chochor	PROC051	HO+CH+OR	Gabe · abziehen · Ansatz	ACTIVATE_CHARGE	ST01_DRAW_DOSE	DRAW_PREPARATION_DOSE	eine Gabe aus dem Ansatz abziehen	IMAGE_H5_WHOLE_MULTIHEAD_COILED_PLANT	die abgebildete mehrköpfige Pflanze	CARD_PLUS_VISIBLE_OWNER
E075	H5-S001	f56r.5	cho	PROC052	HO	Gabe	ACTIVATE_CHARGE	ST02_DOSE_TARGET_MEASURE	DOSE	eine Gabe nehmen	IMAGE_H5_WHOLE_MULTIHEAD_COILED_PLANT	die abgebildete mehrköpfige Pflanze	CARD_PLUS_VISIBLE_OWNER
E076	H5-S001	f56r.5	chodaly	PROC053	HO+AL+Y	Gabe · Zielstelle · dies	TARGET_HANDOFF	ST02_DOSE_TARGET_MEASURE	DOSE_TO_TARGET	diese Gabe an die Zielstelle bringen	IMAGE_H5_WHOLE_MULTIHEAD_COILED_PLANT	die abgebildete mehrköpfige Pflanze	CARD_PLUS_VISIBLE_OWNER
E077	H5-S001	f56r.5	daiin	PROC009	AIIN	Maß	METER_CHECK	ST02_DOSE_TARGET_MEASURE	MEASURE	das vorgeschriebene Maß setzen	IMAGE_H5_WHOLE_MULTIHEAD_COILED_PLANT	die abgebildete mehrköpfige Pflanze	CARD_PLUS_VISIBLE_OWNER
E078	H5-S001	f56r.7	sho	PROC052	HO	Gabe	ACTIVATE_CHARGE	ST03_SECOND_DOSE_CONTINUE	DOSE	eine weitere Gabe nehmen	IMAGE_H5_WHOLE_MULTIHEAD_COILED_PLANT	die abgebildete mehrköpfige Pflanze	CARD_PLUS_VISIBLE_OWNER
E079	H5-S001	f56r.7	kchol	PROC054	K+OL	zuführen · fortsetzen	MOVE_PASS	ST03_SECOND_DOSE_CONTINUE	FEED_CONTINUE	zuführen und fortsetzen	IMAGE_H5_WHOLE_MULTIHEAD_COILED_PLANT	die abgebildete mehrköpfige Pflanze	CARD_PLUS_VISIBLE_OWNER
E080	H5-S001	f56r.7	otchor	PROC020	OT+CH+OR	danach · abziehen · Ansatz	ACTIVATE_CHARGE	ST04_NEXT_DRAW_SET_TARGET	NEXT_DRAW_PREPARATION	danach aus dem Ansatz abziehen	IMAGE_H5_WHOLE_MULTIHEAD_COILED_PLANT	die abgebildete mehrköpfige Pflanze	CARD_PLUS_VISIBLE_OWNER
E081	H5-S001	f56r.7	choky	PROC008	OK+Y	ansetzen · dies	CONTINUE_USE	ST04_NEXT_DRAW_SET_TARGET	SET_ITEM	diesen Posten ansetzen	IMAGE_H5_WHOLE_MULTIHEAD_COILED_PLANT	die abgebildete mehrköpfige Pflanze	CARD_PLUS_VISIBLE_OWNER
E082	H5-S001	f56r.7	dal	PROC055	AL	Zielstelle	TARGET_HANDOFF	ST04_NEXT_DRAW_SET_TARGET	TARGET	die Zielstelle nehmen	IMAGE_H5_WHOLE_MULTIHEAD_COILED_PLANT	die abgebildete mehrköpfige Pflanze	CARD_PLUS_VISIBLE_OWNER
E083	H5-S002	f56r.8	schol	PROC034	OL	fortsetzen	CONTINUE_USE	ST05_CONTINUE_PASSAGE_CLOSE	CONTINUE	fortsetzen	IMAGE_H5_WHOLE_MULTIHEAD_COILED_PLANT	die abgebildete mehrköpfige Pflanze	CARD_PLUS_VISIBLE_OWNER
E084	H5-S002	f56r.8	choy	PROC056	HO+Y	Gabe · dies	ACTIVATE_CHARGE	ST05_CONTINUE_PASSAGE_CLOSE	CURRENT_DOSE	diese Gabe nehmen	IMAGE_H5_WHOLE_MULTIHEAD_COILED_PLANT	die abgebildete mehrköpfige Pflanze	CARD_PLUS_VISIBLE_OWNER
E085	H5-S002	f56r.8	choky	PROC008	OK+Y	ansetzen · dies	ACTIVATE_CHARGE	ST05_CONTINUE_PASSAGE_CLOSE	SET_ITEM	diesen Posten ansetzen	IMAGE_H5_WHOLE_MULTIHEAD_COILED_PLANT	die abgebildete mehrköpfige Pflanze	CARD_PLUS_VISIBLE_OWNER
E086	H5-S002	f56r.8	cheeckhody	PROC057	CH+EE+CKH+O+DY	abziehen · länger · Durchlass · Arbeitsgang · Schluss	HOLD_STATE>CLOSE	ST05_CONTINUE_PASSAGE_CLOSE	LONG_PASS_CLOSE	länger durch den Durchlass führen und schließen	IMAGE_H5_WHOLE_MULTIHEAD_COILED_PLANT	die abgebildete mehrköpfige Pflanze	CARD_PLUS_VISIBLE_OWNER
E087	H5-S003	f56r.12	sh	PROC058	SH	halten	HOLD_STATE	ST06_HOLD_FEED_REPEAT	HOLD	halten	IMAGE_H5_WHOLE_MULTIHEAD_COILED_PLANT	die abgebildete mehrköpfige Pflanze	CARD_PLUS_VISIBLE_OWNER
E088	H5-S003	f56r.12	cho	PROC052	HO	Gabe	ACTIVATE_CHARGE	ST06_HOLD_FEED_REPEAT	DOSE	eine Gabe nehmen	IMAGE_H5_WHOLE_MULTIHEAD_COILED_PLANT	die abgebildete mehrköpfige Pflanze	CARD_PLUS_VISIBLE_OWNER
