formulary_role	h3_count	h4_count	h5_count	present_all_three	working_formulary_value
SOURCE_DRAW	2	1	0	NO	Quelle/Abziehen
ACTIVATE_CHARGE	3	7	15	YES	Arbeitsgang/Gabe ansetzen
TARGET_HANDOFF	1	1	3	YES	Zielstelle
METER_CHECK	2	5	2	YES	Maß
MOVE_PASS	1	0	1	NO	Weiter-/Hineinführen
HOLD_STATE	4	0	4	NO	Halten/Zustand
CONTINUE_USE	4	4	2	YES	Fortsetzen
CLOSE	1	2	1	YES	Schritt schließen
EXACT_CARD_PROC009_AIIN	1	3	2	YES	vorgeschriebenes Maß
ARTICLE_SPECIFIC_CHAIN	17	18	27	YES	H3 Extraktion/Empfang; H4 Dosierung/Hitze/Lager; H5 wiederholte Gabe/Ziel/Durchlass
VISIBLE_OWNER	1	1	1	YES	jeweils ganze abgebildete Pflanze; keine Artbezeichnung
