teaching_order	symbol	layer	atomic_value_de	owner_expansion_de
1	AIIN	COMMON	SOLLWERT	Sollmaß oder Tabellenwert
2	AIN	COMMON	PORTION	Teilmenge oder Unterabschnitt
3	IIN	COMMON	STUFE	Arbeits- oder Bedingungsstufe
4	AL	COMMON	ZIEL	Zielstelle oder Zielsektor
5	AR	COMMON	QUELLE	Ausgang oder Bezugswert
6	AIR	COMMON	LAUF_BAHN	Wasserlauf oder Himmelsbahn
7	OK	COMMON	ANSETZEN	Posten in Arbeit setzen
8	OL	COMMON	FORTSETZEN	denselben Gang weiterführen
9	OT	COMMON	FOLGEND	nächster Posten oder nächste Stufe
10	OR	COMMON	ANSATZ_SATZ	Arbeitsansatz oder Tabellensatz
11	Y	BOUND	DIESER_POSTEN	aktuell gemeinter Posten
12	E	BOUND	KURZ	kurze oder erste Stufe
13	EE	BOUND	LAENGER	längere oder zweite Stufe
14	EEE	BOUND	VOLL	volle oder dritte Stufe
15	CLOSE	BOUND	SCHLUSS	lokalen Arbeitsschritt schließen
16	CHD	PROCESS	UMSETZEN	von einem Posten in den nächsten führen
17	CTH	PROCESS	BEREIT	Arbeitszustand ist bereit
18	CKH	PROCESS	DURCHLAUF	durch einen Gang führen
19	CKHE	PROCESS	TRENNEN	seihen oder Stoffe trennen
20	CHK	PROCESS	WAERMEN	wärmen oder warm halten
21	SHED	PROCESS	ABSETZEN	stehen und absetzen lassen
22	SOLK	PROCESS	SAMMELN	an einer Sammelstelle auffangen
23	HO	PROCESS	EINGANGSPOSTEN	Zutat oder Tafeleingang
24	CHEO	PROCESS	AUSGABE_AUSZUG	gewonnener Auszug oder Tabellenwert
25	KCH	PROCESS	BEARBEITEN	lokalen Arbeitsgang ausführen
26	TY	PROCESS	TEIL	Teil oder abgetrennter Posten
27	SH	PROCESS	HALTEN	Posten oder Tabellenwert halten
28	CHEEY	PROCESS	SICHTBARES_ERGEBNIS	Klarauszug oder Ablesewert
29	YK	TABLE_LOCAL	KLASSE_HAUS	bezeichnete Tabellenklasse
30	YT	TABLE_LOCAL	PLATZ_PHASE	bezeichneter Platz oder Phase
31	OD	TABLE_LOCAL	MARKIERT	Wert eintragen oder markieren
32	YD	TABLE_LOCAL	AKTIVE_ZEILE	aktive oder notierte Tabellenzeile
33	AM	TABLE_LOCAL	ASPEKT	Aspekt des sichtbaren Platzes
34	G	TABLE_LOCAL	GRAD	Grad des sichtbaren Platzes
35	OS	TABLE_LOCAL	FELD	sichtbares Feld oder Rahmen
36	A	TABLE_LOCAL	HAUPTWERT	Hauptwert der lokalen Tafel
37	S	TABLE_LOCAL	NEBENWERT	Nebenwert der lokalen Tafel
38	O	TABLE_LOCAL	GRUNDWERT	Grundwert der lokalen Tafel
39	D	TABLE_LOCAL	FESTWERT	festgesetzter Tabellenwert
40	R	TABLE_LOCAL	BEZUGSWERT	lokaler Bezugswert
41	CH	TABLE_LOCAL	ZUSTAND	lokaler Tabellenzustand
42	T	TABLE_LOCAL	PHASENFOLGE	Phase oder Platzfolge
43	IIR	TABLE_LOCAL	INDEX	lokaler Index
44	OP	TABLE_LOCAL	PAARFELD	Paar- oder Gegenfeld
45	K	TABLE_LOCAL	KLASSE	lokale Klasse
46	SEL	TABLE_LOCAL	AUSGEWAEHLT	gebundener Auswahlhaken
47	CFH	LEARNED_BODY	AUSWRINGEN	gelerntes Werkstattzeichen
48	CPH	LEARNED_BODY	NACHSEIHEN	gelerntes Werkstattzeichen
49	PARTITION	LEARNED_BODY	ABTRENNEN	gelerntes Werkstattzeichen
50	WASH	LEARNED_BODY	WASCHEN	gelerntes Werkstattzeichen
51	LDDY	LEARNED_BODY	FESTMACHEN_SCHLUSS	gelerntes Werkstattzeichen
52	DCHE	LEARNED_BODY	WURZEL	gelerntes Bildregisterzeichen
53	DAN	LEARNED_BODY	ANWENDEN	gelerntes Werkstattzeichen
54	SK	LEARNED_BODY	AUSGIESSEN	gelerntes Werkstattzeichen
55	DL	WHOLE_CARD	ZUSATZ	unzerlegte Fachkarte
56	TALAM	WHOLE_CARD	AM_ZIEL_VERWAHREN	unzerlegter Werkstattbefehl
