lesson	name	master_rule_de
1	BESITZER	Zeige zuerst Pflanze, Becken, Station, Stern, Ring oder Feld; der Besitzer liefert das konkrete Substantiv.
2	ARBEITSSTUECK	Sprich einen ganzen Arbeitsschritt; die physische Zeile beendet ihn nicht automatisch.
3	LAENGSTER_KERN	Suche die längste gelernte Karte oder den längsten Fachkörper, bevor du kurze Kerne liest.
4	ORDNUNG	Setze OT für den nächsten und OL für denselben fortgesetzten Posten.
5	HANDLUNG	Wähle OK, CHD, CKH, CKHE, CHK, SHED, SOLK oder eine gelernte Fachkarte.
6	MENGE	Füge AIN für Portion, AIIN für Sollwert oder IIN für Stufe hinzu.
7	RICHTUNG	Füge AR für Quelle, AL für Ziel oder AIR für Lauf/Bahn hinzu.
8	GRAD	Setze E, EE oder EEE nur an eine dafür gelernte Handlungsfamilie.
9	POSTEN	Y hält den gerade gemeinten Posten aktiv; es ist weder Satzzeichen noch Stoffname.
10	ABSCHLUSS	Nutze nur die registrierte Schlusskarte der Familie; sichtbares dy ist nicht überall Schluss.
11	TAFEL	Auf den Kreisblättern lies zuerst den sichtbaren Platz, dann YK, YT, OD, AM, G, OS oder die lokalen Primitiva.
12	GANZKARTE	DL, TALAM und seltene lokale Werte werden aus dem Meisterexemplar kopiert, nicht erfunden zerlegt.
13	SCHREIBERFORM	Wähle erst die Karte und danach ihre registrierte q-, s-, ch-, d- oder t-Schreiberform.
14	RUECKLESEN	Lies Oberfläche zu Karte, Karte zu Kernen und Kerne mit Besitzer zurück; erst danach sprich flüssig.
