surface_ordinal	current_folio	old_folio	image_file	official_url	remote_sha256	provenance	review_status	confidence	primary_topology	primary_compartment_count	count_confidence	central_circle	curved_primary_compartments	text_in_primary_compartments	repeated_crescent_or_ring_marks	broad_eight_curved_family	narrow_spiral_band_family	interpretation	neutral_description
1	192r	193r	0088_0388_web.jpg	https://openn.library.upenn.edu/Data/0001/ljs443/data/web/0088_0388_web.jpg	2b2cc7271160549530540e2aa55033d4c1a6869077f0fe4a9e188612d088e818	AI_DIRECT_EXTERNAL_VISUAL_OBSERVATION	COMPLETE	HIGH	ANNULAR_GRID_TABLE	UNKNOWN	UNKNOWN	YES	NO	YES	NO	NO	NO	NONE_GEOMETRY_ONLY	Multiple concentric rings crossed by many radial divisions and filled with text.
2	192v	193v	0088_0389_web.jpg	https://openn.library.upenn.edu/Data/0001/ljs443/data/web/0088_0389_web.jpg	8dc9f2bd00c077e41d84d7176f47b507e340e82a4de6b69fccfe791241cf160e	AI_DIRECT_EXTERNAL_VISUAL_OBSERVATION	COMPLETE	HIGH	ANNULAR_GRID_TABLE	UNKNOWN	UNKNOWN	YES	NO	YES	NO	NO	NO	NONE_GEOMETRY_ONLY	Open central circle surrounded by a multi-ring radial text grid.
3	193r	194r	0088_0390_web.jpg	https://openn.library.upenn.edu/Data/0001/ljs443/data/web/0088_0390_web.jpg	e6478526b64d0006316d543f87efade4b36edde1dde400179b2e55897fc14237	AI_DIRECT_EXTERNAL_VISUAL_OBSERVATION	COMPLETE	HIGH	ANNULAR_GRID_TABLE	UNKNOWN	UNKNOWN	YES	NO	YES	NO	NO	NO	NONE_GEOMETRY_ONLY	Open central circle surrounded by concentric text rings and radial divisions.
4	193v	194v	0088_0391_web.jpg	https://openn.library.upenn.edu/Data/0001/ljs443/data/web/0088_0391_web.jpg	8d0cb583ddb2a3ebcfc449e1d6206c9baea4db5d0bd696ddf8a2f11354bb5d5a	AI_DIRECT_EXTERNAL_VISUAL_OBSERVATION	COMPLETE	HIGH	ANNULAR_GRID_TABLE	UNKNOWN	UNKNOWN	YES	NO	YES	NO	NO	NO	NONE_GEOMETRY_ONLY	Open central circle surrounded by a multi-ring radial text grid.
5	194r	195r	0088_0392_web.jpg	https://openn.library.upenn.edu/Data/0001/ljs443/data/web/0088_0392_web.jpg	6b0e164434dd59d0852346876df97e5c9c373f0b9c523913a5f4efc76ba1c623	AI_DIRECT_EXTERNAL_VISUAL_OBSERVATION	COMPLETE	HIGH	CONCENTRIC_PARTITIONED_RINGS	UNKNOWN	UNKNOWN	YES	NO	YES	NO	NO	NO	NONE_GEOMETRY_ONLY	Separated inner and outer partitioned text rings around a central circle.
6	194v	195v	0088_0393_web.jpg	https://openn.library.upenn.edu/Data/0001/ljs443/data/web/0088_0393_web.jpg	892fd80a7e48cee9866564bcc40cafec4d174140c4a0373791418f519a517cca	AI_DIRECT_EXTERNAL_VISUAL_OBSERVATION	COMPLETE	HIGH	EIGHT_SECTOR_ANNULAR_GRID	8	HIGH	YES	NO	YES	NO	NO	NO	NONE_GEOMETRY_ONLY	Eight clear major radial sectors subdivided by concentric rings.
7	195r	196r	0088_0394_web.jpg	https://openn.library.upenn.edu/Data/0001/ljs443/data/web/0088_0394_web.jpg	331908d9796a004c68d47616d2910e8593d09eb0e78f91945ea15814557de641	AI_DIRECT_EXTERNAL_VISUAL_OBSERVATION	COMPLETE	HIGH	ANNULAR_GRID_TABLE	UNKNOWN	UNKNOWN	YES	NO	YES	NO	NO	NO	NONE_GEOMETRY_ONLY	Dense annular text grid with many radial divisions.
8	195v	196v	0088_0395_web.jpg	https://openn.library.upenn.edu/Data/0001/ljs443/data/web/0088_0395_web.jpg	00ab60fcec1f02abb007ee9aaeb20416d3462650d35137b7ab6fdd3c2896294e	AI_DIRECT_EXTERNAL_VISUAL_OBSERVATION	COMPLETE	HIGH	RING_WITH_CENTRAL_TEXT	UNKNOWN	UNKNOWN	NO	NO	YES	NO	NO	NO	NONE_GEOMETRY_ONLY	One partitioned outer text ring enclosing a prose-filled center.
9	196r	197r	0088_0396_web.jpg	https://openn.library.upenn.edu/Data/0001/ljs443/data/web/0088_0396_web.jpg	de581d4c773861b500446c9e73106ecc41d1990a5d314db703831b052ff11396	AI_DIRECT_EXTERNAL_VISUAL_OBSERVATION	COMPLETE	HIGH	CONCENTRIC_ARC_SERIES	UNKNOWN	UNKNOWN	YES	NO	YES	YES	NO	NO	NONE_GEOMETRY_ONLY	Nested circular arcs with text and repeated hollow circular marks.
10	196v	197v	0088_0397_web.jpg	https://openn.library.upenn.edu/Data/0001/ljs443/data/web/0088_0397_web.jpg	99c59fe22354dc11eb074d960f914386b4c50e0eb177a034be2636808d66fb71	AI_DIRECT_EXTERNAL_VISUAL_OBSERVATION	COMPLETE	HIGH	ANNULAR_GRID_TABLE	UNKNOWN	UNKNOWN	YES	NO	YES	NO	NO	NO	NONE_GEOMETRY_ONLY	Open central circle surrounded by a dense radial text grid.
11	197r	198r	0088_0398_web.jpg	https://openn.library.upenn.edu/Data/0001/ljs443/data/web/0088_0398_web.jpg	0fab117fb224ab7b6c5d35c21e2b4431711ab80de108b17cc72f3b81ded0d544	AI_DIRECT_EXTERNAL_VISUAL_OBSERVATION	COMPLETE	HIGH	ANNULAR_GRID_TABLE	UNKNOWN	UNKNOWN	YES	NO	YES	NO	NO	NO	NONE_GEOMETRY_ONLY	Open central circle surrounded by a dense radial text grid.
12	197v	198v	0088_0399_web.jpg	https://openn.library.upenn.edu/Data/0001/ljs443/data/web/0088_0399_web.jpg	d86f3131c5cdfec1ea7b54bb1debcb0529b572818fbd1be4ea7a541d64448b93	AI_DIRECT_EXTERNAL_VISUAL_OBSERVATION	COMPLETE	HIGH	ANNULAR_GRID_TABLE	UNKNOWN	UNKNOWN	YES	NO	YES	NO	NO	NO	NONE_GEOMETRY_ONLY	Open central circle surrounded by a dense radial text grid.
13	198r	199r	0088_0400_web.jpg	https://openn.library.upenn.edu/Data/0001/ljs443/data/web/0088_0400_web.jpg	8fedf8f382dee2512e21a7f7422101883b57becfec712d037c83b9eeca13148d	AI_DIRECT_EXTERNAL_VISUAL_OBSERVATION	COMPLETE	HIGH	ANNULAR_GRID_TABLE	UNKNOWN	UNKNOWN	YES	NO	YES	NO	NO	NO	NONE_GEOMETRY_ONLY	Open central circle surrounded by a dense radial text grid.
14	198v	199v	0088_0401_web.jpg	https://openn.library.upenn.edu/Data/0001/ljs443/data/web/0088_0401_web.jpg	e5bc618f73e916a1dc8c3c526496301167e58a2ff671e600dec3ef93917309c7	AI_DIRECT_EXTERNAL_VISUAL_OBSERVATION	COMPLETE	HIGH	ANNULAR_GRID_TABLE	UNKNOWN	UNKNOWN	YES	NO	YES	NO	NO	NO	NONE_GEOMETRY_ONLY	Open central circle surrounded by a dense radial text grid.
15	199r	200r	0088_0402_web.jpg	https://openn.library.upenn.edu/Data/0001/ljs443/data/web/0088_0402_web.jpg	d13d9a30a208106c5771cf123b2dc93c371dba52f3583be4a9bc673a2d95b68d	AI_DIRECT_EXTERNAL_VISUAL_OBSERVATION	COMPLETE	HIGH	ANNULAR_GRID_TABLE	UNKNOWN	UNKNOWN	YES	NO	YES	NO	NO	NO	NONE_GEOMETRY_ONLY	Open central circle surrounded by a dense radial text grid.
16	199v	200v	0088_0403_web.jpg	https://openn.library.upenn.edu/Data/0001/ljs443/data/web/0088_0403_web.jpg	0c034888f22df6f45ec0b445225a9d3e7ac39761d35096f2f3bf86d264f68854	AI_DIRECT_EXTERNAL_VISUAL_OBSERVATION	COMPLETE	HIGH	ANNULAR_GRID_TABLE	UNKNOWN	UNKNOWN	YES	NO	YES	NO	NO	NO	NONE_GEOMETRY_ONLY	Open central circle surrounded by a dense radial text grid.
17	200r	201r	0088_0404_web.jpg	https://openn.library.upenn.edu/Data/0001/ljs443/data/web/0088_0404_web.jpg	61def253be82386f18c5d30d0b306e6e61b3023b392db5862198d7e0ae6f0e75	AI_DIRECT_EXTERNAL_VISUAL_OBSERVATION	COMPLETE	HIGH	ANNULAR_GRID_TABLE	UNKNOWN	UNKNOWN	YES	NO	YES	NO	NO	NO	NONE_GEOMETRY_ONLY	Open central circle surrounded by a dense radial text grid.
18	200v	201v	0088_0405_web.jpg	https://openn.library.upenn.edu/Data/0001/ljs443/data/web/0088_0405_web.jpg	ccaf064135112e8b70ae05030d0a801cc7d33f3ce70dfcfb247957c68f80ef29	AI_DIRECT_EXTERNAL_VISUAL_OBSERVATION	COMPLETE	HIGH	BLANK_ANNULAR_GRID	UNKNOWN	UNKNOWN	YES	NO	NO	NO	NO	NO	NONE_GEOMETRY_ONLY	Unfilled concentric-ring and radial-line grid.
19	201r	202r	0088_0406_web.jpg	https://openn.library.upenn.edu/Data/0001/ljs443/data/web/0088_0406_web.jpg	4c2c5c4378f557c1bbb4ba9d96f4aa2816ab65abb6b85af545f0422b9061c87a	AI_DIRECT_EXTERNAL_VISUAL_OBSERVATION	COMPLETE	HIGH	ANNULAR_GRID_TABLE	UNKNOWN	UNKNOWN	YES	NO	YES	NO	NO	NO	NONE_GEOMETRY_ONLY	Central text circle surrounded by a dense radial text grid.
20	201v	202v	0088_0407_web.jpg	https://openn.library.upenn.edu/Data/0001/ljs443/data/web/0088_0407_web.jpg	f7f0694038ee24c3e23b13d49927d757a64fb2b9e73da3561d3cc8d33ae5358c	AI_DIRECT_EXTERNAL_VISUAL_OBSERVATION	COMPLETE	HIGH	INTERLACED_CIRCLE_ROSETTE	UNKNOWN	UNKNOWN	YES	NO	NO	NO	NO	NO	NONE_GEOMETRY_ONLY	Many interlaced circular loops form a rosette around a small center.
21	202r	203r	0088_0408_web.jpg	https://openn.library.upenn.edu/Data/0001/ljs443/data/web/0088_0408_web.jpg	9471c96d543edcd9f257e4afb14717309c67809d63ec71ac12dd91f1cbf4e812	AI_DIRECT_EXTERNAL_VISUAL_OBSERVATION	COMPLETE	HIGH	EIGHT_INTERLACED_TEXT_ROSETTE	8	HIGH	YES	NO	YES	NO	NO	NO	NONE_GEOMETRY_ONLY	Eight interlaced circular zones around a small central rosette, with text in the zones.
22	202v	203v	0088_0409_web.jpg	https://openn.library.upenn.edu/Data/0001/ljs443/data/web/0088_0409_web.jpg	03828bef16b6dda95c004879e243a2bfd92f0df529b2f006557134a8f0582301	AI_DIRECT_EXTERNAL_VISUAL_OBSERVATION	COMPLETE	HIGH	THREE_TRIPLE_CIRCLE_DIAGRAMS	3_EACH	HIGH	NO	NO	YES	NO	NO	NO	NONE_GEOMETRY_ONLY	Three separate diagrams, each containing three overlapping circles.
23	203r	204r	0088_0410_web.jpg	https://openn.library.upenn.edu/Data/0001/ljs443/data/web/0088_0410_web.jpg	2fab30f439336d9d574cd678ddfb9237d921f16df0853cee0f684f322f621480	AI_DIRECT_EXTERNAL_VISUAL_OBSERVATION	COMPLETE	HIGH	INTERLACED_ANNULAR_GRID	UNKNOWN	UNKNOWN	YES	NO	YES	NO	NO	NO	NONE_GEOMETRY_ONLY	Two crossing families of curved grid lines form a dense annular lattice.
24	204r	205r	0088_0412_web.jpg	https://openn.library.upenn.edu/Data/0001/ljs443/data/web/0088_0412_web.jpg	c8a626ca95f35ed1386f8326f01bd838526e0a55e32bbd8bec1d65ecee88cb6f	AI_DIRECT_EXTERNAL_VISUAL_OBSERVATION	COMPLETE	HIGH	EIGHT_RADIAL_SECTOR_WHEEL	8	HIGH	YES	NO	YES	NO	NO	NO	NONE_GEOMETRY_ONLY	Eight straight radial wedges around a small central circle, with text in each wedge.
25	204v	205v	0088_0413_web.jpg	https://openn.library.upenn.edu/Data/0001/ljs443/data/web/0088_0413_web.jpg	00e714f36789104a80f092a120b7441c5864195749174afb722da6965a81bf0b	AI_DIRECT_EXTERNAL_VISUAL_OBSERVATION	COMPLETE	HIGH	GRIDDED_CIRCLE_WITH_CROSS	UNKNOWN	UNKNOWN	YES	NO	YES	NO	NO	NO	NONE_GEOMETRY_ONLY	Concentric circular zones crossed by a prominent rectilinear frame and diagonals.
26	205r	206r	0088_0414_web.jpg	https://openn.library.upenn.edu/Data/0001/ljs443/data/web/0088_0414_web.jpg	c78103a4ae85ae7caae3629acd5a963a8aeae06fc1a2bda6cb108b1aea014eec	AI_DIRECT_EXTERNAL_VISUAL_OBSERVATION	COMPLETE	HIGH	EIGHT_ANNULAR_SECTOR_WHEEL	8	HIGH	NO	NO	YES	NO	NO	NO	NONE_GEOMETRY_ONLY	Eight straight annular sectors around a prose-filled center.
27	205v	206v	0088_0415_web.jpg	https://openn.library.upenn.edu/Data/0001/ljs443/data/web/0088_0415_web.jpg	85f3ab3b7be0ed37a2bf5ba87d3ffdf10163282edd8d712d6810a592479f6c66	AI_DIRECT_EXTERNAL_VISUAL_OBSERVATION	COMPLETE	HIGH	ANNULAR_SECTOR_WHEEL	UNKNOWN	UNKNOWN	NO	NO	YES	NO	NO	NO	NONE_GEOMETRY_ONLY	Multiple straight annular sectors around a prose-filled center; exact primary count retained unknown.
28	206r	207r	0088_0416_web.jpg	https://openn.library.upenn.edu/Data/0001/ljs443/data/web/0088_0416_web.jpg	df8c404a3c6b36f9305267099e96f4b31b044e42f94b2fbb09e1a749fc0e51ed	AI_DIRECT_EXTERNAL_VISUAL_OBSERVATION	COMPLETE	HIGH	TWELVE_RADIAL_SECTOR_WHEEL	12	HIGH	YES	NO	YES	NO	NO	NO	NONE_GEOMETRY_ONLY	Twelve straight radial wedges around a central circle, with text in the wedges.
29	206v	207v	0088_0417_web.jpg	https://openn.library.upenn.edu/Data/0001/ljs443/data/web/0088_0417_web.jpg	4bbb6c0b44d13270451885fd52759913c007ef4eff64e6a096e6b7a8d89b23ed	AI_DIRECT_EXTERNAL_VISUAL_OBSERVATION	COMPLETE	HIGH	TWELVE_CURVED_LOBE_WHEEL	12	HIGH	YES	YES	YES	NO	NO	NO	NONE_GEOMETRY_ONLY	Twelve curved text-bearing lobes radiate around a central circle.
30	207r	208r	0088_0418_web.jpg	https://openn.library.upenn.edu/Data/0001/ljs443/data/web/0088_0418_web.jpg	03466142ceef08dabf3f4aee2f1326600988a089d33a5a2ff10f8862d2468141	AI_DIRECT_EXTERNAL_VISUAL_OBSERVATION	COMPLETE	HIGH	EIGHT_DECORATED_CURVED_COMPARTMENT_WHEEL	8	HIGH	YES	YES	YES	NO	YES	NO	NONE_GEOMETRY_ONLY	Eight decorated petal-like curved text compartments surround a central text circle.
31	207v	208v	0088_0419_web.jpg	https://openn.library.upenn.edu/Data/0001/ljs443/data/web/0088_0419_web.jpg	8e6e280e7837d185155cc00b001d81ddeb77c3ba94645e7e28960f587e2a77da	AI_DIRECT_EXTERNAL_VISUAL_OBSERVATION	COMPLETE	HIGH	EIGHT_DECORATED_CURVED_COMPARTMENT_WHEEL	8	HIGH	YES	YES	YES	NO	YES	NO	NONE_GEOMETRY_ONLY	Eight decorated petal-like curved text compartments surround a blank central circle.
32	208r	209r	0088_0420_web.jpg	https://openn.library.upenn.edu/Data/0001/ljs443/data/web/0088_0420_web.jpg	07665890586424a0384db862c3f5713ed9a8afd5aab6980650baf1b7a0241274	AI_DIRECT_EXTERNAL_VISUAL_OBSERVATION	COMPLETE	HIGH	TWELVE_RADIAL_SECTOR_WHEEL	12	HIGH	YES	NO	YES	NO	NO	NO	NONE_GEOMETRY_ONLY	Twelve straight radial sectors around concentric central rings.
33	208v	209v	0088_0421_web.jpg	https://openn.library.upenn.edu/Data/0001/ljs443/data/web/0088_0421_web.jpg	83a0b642be6ebe4e1ba732cf3e46eb6994b36d7ce79a34c4a124a2b30eb692ba	AI_DIRECT_EXTERNAL_VISUAL_OBSERVATION	COMPLETE	HIGH	TWELVE_RADIAL_SECTOR_WHEEL	12	HIGH	YES	NO	YES	NO	NO	NO	NONE_GEOMETRY_ONLY	Twelve straight radial text sectors around a central circle.
34	209r	210r	0088_0422_web.jpg	https://openn.library.upenn.edu/Data/0001/ljs443/data/web/0088_0422_web.jpg	a218414d67f5044281c8cf6e6a3606447d01b023782a8756d1a3a3207a660530	AI_DIRECT_EXTERNAL_VISUAL_OBSERVATION	COMPLETE	HIGH	EIGHT_SPIRAL_CURVED_BAND_WHEEL	8	HIGH	YES	YES	YES	YES	YES	YES	NONE_GEOMETRY_ONLY	Eight inward-curving text bands surround a blank central circle; repeated ringed and crescent-like marks occur around the cycle.
35	209v	210v	0088_0423_web.jpg	https://openn.library.upenn.edu/Data/0001/ljs443/data/web/0088_0423_web.jpg	8254c56b22c5990cd560f7cfcc2efa6105803ee87954b2ea11a191b5bad768bf	AI_DIRECT_EXTERNAL_VISUAL_OBSERVATION	COMPLETE	HIGH	EIGHT_SPIRAL_CURVED_BAND_WHEEL	8	HIGH	YES	YES	YES	YES	YES	YES	NONE_GEOMETRY_ONLY	Eight inward-curving text bands surround a blank central circle; repeated crescent-like and circular marks occur around the cycle.
36	210r	211r	0088_0424_web.jpg	https://openn.library.upenn.edu/Data/0001/ljs443/data/web/0088_0424_web.jpg	6c5227d8f040c16c9d9eed8d2d5563c3c0d5a711f32038af35e47d5a9d28f875	AI_DIRECT_EXTERNAL_VISUAL_OBSERVATION	COMPLETE	HIGH	EIGHT_SPIRAL_CURVED_BAND_WHEEL	8	HIGH	YES	YES	YES	YES	YES	YES	NONE_GEOMETRY_ONLY	Eight inward-curving text bands surround a blank central circle; repeated ringed and crescent-like marks occur around the cycle.
37	211r	212r	0088_0426_web.jpg	https://openn.library.upenn.edu/Data/0001/ljs443/data/web/0088_0426_web.jpg	c525891f0d16035d4feb4dc4eff02f828195afc4915719f15b1837df04cdafcd	AI_DIRECT_EXTERNAL_VISUAL_OBSERVATION	COMPLETE	HIGH	ANNULAR_GRID_TABLE	UNKNOWN	UNKNOWN	YES	NO	YES	NO	NO	NO	NONE_GEOMETRY_ONLY	Dense annular table with a narrow radial opening and many concentric rows.
38	211v	212v	0088_0427_web.jpg	https://openn.library.upenn.edu/Data/0001/ljs443/data/web/0088_0427_web.jpg	b593006e1a6c3cbe6dff6c643171d5cd70f4829d4fe7d7cabea09cf47f848177	AI_DIRECT_EXTERNAL_VISUAL_OBSERVATION	COMPLETE	HIGH	ANNULAR_GRID_TABLE	UNKNOWN	UNKNOWN	YES	NO	YES	NO	NO	NO	NONE_GEOMETRY_ONLY	Dense annular grid with many radial columns and concentric rows.
