locus	ordinal	surface	value_roman	axis	bind_direction	head_surface	head_de	new_literal_gloss_de	new_aligned_chunk_de	confidence	practical_translation_de	live_rival_de	rationale
f10r.2	9	daiin	III	GRADE	LEFT	oky	erhitzter Ansatz	Qualitätsgrad III des erhitzten Ansatzes	Qualitätsgrad III des erhitzten Ansatzes	AMBER	Eine Portion Blatt- oder Krautansatz bis zur Mittelstufe trocknen und abschließen. Erste und zweite Trockenfraktion kalt-trocken ansetzen und mit einer Ansatzcharge sowie nachgekühltem Trockenstoff verbinden. Den Ansatz leicht erhitzen: Qualitätsgrad III; anschließend bis zur Mittelstufe kühlen und abschließen.	drei Portionen des erhitzten Ansatzes	Der linke heiße Anfangszustand und der rechte Kühlabschluss bilden den engsten Qualitätsrahmen; das alte Abnehmen-Verb hatte keine Tokenlizenz.
f112v.10	1	dain	II	GRADE	RIGHT	sheey	Feuchtzelle auf Endstufe	Feuchtgrad II	Feuchtgrad II	AMBER	Feuchtgrad II bis zur Endstufe; heiß-trockener Ansatz bis zur Mittelstufe, abgeschlossen; zwei Portionen.	zwei Portionen der folgenden Zubereitung	Der gleiche exakte START-Wert-sheey-Rahmen tritt mit II und III auf; V59 bindet ihn explorativ als Feuchtgrad nach rechts.
f116r.12	5	dain	II	AMOUNT	LEFT	cholches	nachgetrocknetes Drogenmaterial	zwei Portionen des erhitzten nachgetrockneten Drogenmaterials	zwei Portionen des erhitzten nachgetrockneten Drogenmaterials	AMBER	Den zweiten Ansatz nehmen: erste Drogenfraktion und nachgetrocknetes Drogenmaterial der Mittelstufe. Auf Heizgrad II bringen; davon zwei Portionen. Bis zur Trocken-Endstufe, danach zur heißen Endstufe und anschließend auf Kühlgrad II führen. Den Drogenstoff trocknen und fertigstellen; von der Rohdroge I im kalten Anfangsansatz zwei Portionen; anschließend ein Maß Drogenmaterial.	zweiter Qualitäts- oder Klassenwert	Das unmittelbar linke okain trägt Heizgrad II bereits selbst; die zweite II-Zelle wird als lokale Menge des laufenden Stoffpostens gelesen.
f116r.12	11	dain	II	AMOUNT	LEFT	otal	Rohdroge I im kalten Anfangsansatz	zwei Portionen der Rohdroge I im kalten Anfangsansatz	zwei Portionen der Rohdroge I im kalten Anfangsansatz	AMBER	Den zweiten Ansatz nehmen: erste Drogenfraktion und nachgetrocknetes Drogenmaterial der Mittelstufe. Auf Heizgrad II bringen; davon zwei Portionen. Bis zur Trocken-Endstufe, danach zur heißen Endstufe und anschließend auf Kühlgrad II führen. Den Drogenstoff trocknen und fertigstellen; von der Rohdroge I im kalten Anfangsansatz zwei Portionen; anschließend ein Maß Drogenmaterial.	Rohstoffklasse II	Der Wert liegt zwischen dem Rohstoffposten und einem neuen Ein-Maß-Posten; die lokale Mengenbindung ist kürzer als ein zweiter Klassenwechsel.
f56r.6	5	daiin	III	GRADE	LEFT	keey	heißer Endzustand	Qualitätsgrad III des heißen Endzustands	Qualitätsgrad III des heißen Endzustands	AMBER	Hieraus einen heiß-trockenen Ansatz bereiten. Die abgemessene Trockendroge ist auf Mittelstufe abgeschlossen; heißer Endzustand, Qualitätsgrad III. Eintrag abgeschlossen.	drei Portionen des fertigen Ansatzes	Der Wert steht zwischen einer heißen Endzelle und dem Eintragsschluss; V59 bindet die Stufe an den sichtbaren Zustand und erzeugt keine Aktion.
f76v.10	9	daiin	III	AMOUNT	LEFT	shecphy	eingeweichtes Arzneikompositum	drei Portionen des eingeweichten Arzneikompositums	drei Portionen des eingeweichten Arzneikompositums	AMBER	Eine Portion Arzneikompositum abmessen; dazu feuchte abgemessene Rohstoffmenge I auf Mittelstufe. Fertig getrocknetes Pulver nehmen und eine Dosis Droge bis zur Mittelstufe einweichen und abschließen. Mit dem fertigen Feuchtgut und dem kalt-trockenen Mittelstufenprodukt die Rohholzdroge I vollständig einweichen und kaltstellen; bis zur Mittelstufe eingeweichtes Arzneikompositum, drei Portionen; Wertfeld geschlossen.	Qualitätsgrad III des Arzneikompositums	Der vollständige Stoffkopf steht unmittelbar links und dy schließt danach das Wertfeld; die Portion ist lokal, die absolute Einheit bleibt unbenannt.
f83v.12	1	daiin	III	AMOUNT	RIGHT	shckhy	feuchtes Arzneikompositum auf Anfangsstufe	drei Portionen feuchten Arzneikompositums	drei Portionen feuchten Arzneikompositums	AMBER	Drei Portionen feuchten Arzneikompositums auf Anfangsstufe; zweiter Mazerationsansatz. Daraus die erste Holzdrogenfraktion abmessen und bis zur Trocken-Endstufe führen; Rohdroge I; heiße Endstufe abgeschlossen; erste erhitzte Drogenfraktion im Ansatz; Feucht-Endstufe abgeschlossen; Heizgrad II; schließlich Holzrohstoffansatz in Form I.	Feuchtgrad III des Arzneikompositums	Der zeileninitiale D-Wert bindet explorativ nach rechts an den ersten Warenposten; die GDT627-Teilkontakte priorisieren hier Menge vor Grad.
f86v3.13	5	qodaiin	III	AMOUNT	RIGHT	olkar	erste erhitzte Drogenfraktion im Ansatz	drei Portionen der ersten erhitzten Drogenfraktion im Ansatz	drei Portionen der ersten erhitzten Drogenfraktion im Ansatz	AMBER	Vollständig eingeweichter Ansatz; eine Portion vollständig eingeweichte Droge. Abkühlen, bis zur Mittelstufe trocknen, ansetzen und fertigstellen. Heizstufe II; drei Portionen der ersten erhitzten Ansatzfraktion; drei Dosen Trockendroge. Hierzu bis zur Mittelstufe trocknen und abschließen; einen gleichen Teil erhitzen und abschließen; Trockengut auf Heizstufe II.	Qualitätsstufe III der folgenden Fraktion	qod bleibt global offen; dieser keyed Locusoverride bindet den Wert an den unmittelbar folgenden Fraktionskopf und stimmt damit Literal- und Praxislayer ab.
f86v6.5	5	daiin	III	AMOUNT	LEFT	olkar	erste erhitzte Drogenfraktion im Ansatz	drei Portionen der ersten erhitzten Drogenfraktion im Ansatz	drei Portionen der ersten erhitzten Drogenfraktion im Ansatz	AMBER	Kalte Drogenfraktion I · Holzstoff: trocken · erste erhitzte Drogenfraktion im Ansatz: drei Portionen · trockene Fraktion I · Drogenportion · kalt-feuchter Ansatz, Mittelstufe · heiße Drogenfraktion I · Trockenpulver-Ansatz, Form I · kalt angesetzte Charge, leicht angewärmt · kalte Drogenfraktion I.	Fraktionsklasse III	Das Nominalregister setzt nach dem Wert mit chear einen neuen Posten; die lokale Menge bindet deshalb an die linke Fraktion.
f88r.19	3	daiin	III	GRADE	LEFT	chokol	heißer Trockenabsud	Qualitätsgrad III des heißen Trockenabsuds	Qualitätsgrad III des heißen Trockenabsuds	GREEN	Eine Dosis heißen Trockenabsuds bis zur Mittelstufe trocknen und abschließen; der heiße Trockenabsud hat Qualitätsgrad III. Zweimal heißen Drogenstoff der Mittelstufe zugeben. Danach Drogenstoff aus Arzneikompositum zugeben und mit heißem Ansatzstoff sowie trockenem Drogenstoff verbinden.	drei Portionen heißen Trockenabsuds	Der unmittelbar linke kernhaltige OL-Qualitätskopf hat Vorrang vor einer ungeschriebenen Mengeneinheit.
f8r.15	7	daiin	III	AMOUNT	RIGHT	dol	Materialmaß	drei Materialmaße	drei Materialmaße	AMBER	Eine Dosis Arzneikompositum bis zur Mittelstufe trocknen und abschließen. Arzneikompositumstoff: trocken, bis zur Mittelstufe; eine Charge unter Wärme getrockneter Droge leicht nachtrocknen; trocken auf Anfangsstufe. Drei Materialmaße; die vierte abgemessene, leicht getrocknete Fraktion mit Arzneikompositum auf Anfangsstufe ansetzen.	Trockenheitsgrad III	Das folgende dol liefert die sichtbare Mengeneinheit; daiin selbst lizenziert weder Abnehmen noch ein anderes Verb.
