field_no	card_no	surface	exact_tuple_id	selected_default_English	desired_position	observed_position_support	position_attested	both_hands_attested
1	1	chol	dcda95c81a5460feb191	with the foregoing preparation	FIRST	3	TRUE	TRUE
1	2	daiin	2f1c5e56e8f0ff459065	in the stated or usual measure	LAST	5	TRUE	TRUE
2	1	otchey	faf321940aed922846a9	take the final indicated share	FIRST	2	TRUE	TRUE
2	2	chor	7a4bb8136330ee4e6e56	the prepared decoction or working liquid	MIDDLE	5	TRUE	TRUE
2	3	chty	80ebbbbf238eee9f0aef	work it until evenly homogeneous	MIDDLE	2	TRUE	TRUE
2	4	char	4d4559019a961b834aa1	from the same prepared batch	MIDDLE	3	TRUE	TRUE
2	5	shey	b5df9126607030b95175	until the liquid runs clear	LAST	1	TRUE	TRUE
3	1	cholor	dec401773c1f0347793d	from the foregoing batch	FIRST	1	TRUE	TRUE
3	2	dy	b921a237be883a820352	this present portion	MIDDLE	13	TRUE	TRUE
3	3	cthy	e0b630cb1b5df5e7105b	when the preparation is ready	MIDDLE	6	TRUE	TRUE
3	4	oky	276a7c2d74d1143446f4	apply or use this portion	MIDDLE	6	TRUE	TRUE
3	5	dal	dd0ecaf5e27d81befffc	apply it at the place indicated by the drawing	LAST	2	TRUE	TRUE
