statement_id	page	record	statement_slots	phase_signature	modifier_channels	input_object	output_object	committed
H1-S001	f10r	H1	HS1|HS2|HS3|HS5	MATERIAL_PREP>ROUTE>MATERIAL_PREP>SPECIALIST>MATERIAL_PREP	FLOW_LIQUID|GRADE|MEASURE|PREPARATION|READY|SOURCE	PICTURED_PLANT_MATTER	PREPARATION_BATCH	NO
H1-S002	f10r	H1	HS1|HS2	SPECIALIST>MATERIAL_PREP	READY	PREPARATION_BATCH	PREPARATION_BATCH	NO
H2-S001	f10r	H2	HS1|HS2|HS3	MATERIAL_PREP	GRADE|MEASURE|PREPARATION|READY	PICTURED_PLANT_MATTER	PREPARATION_BATCH	NO
H2-S002	f10r	H2	HS1|HS2|HS3	MATERIAL_PREP	MEASURE|PREPARATION|SOURCE	PREPARATION_BATCH	PREPARATION_BATCH	NO
H2-S003	f10r	H2	HS1|HS2|HS3	MEASURE_CHARGE>MATERIAL_PREP	MEASURE|PREPARATION|STAGE	PREPARATION_BATCH	PREPARATION_BATCH	NO
H3-S001	f11r	H3	HS1|HS2|HS3|HS4	MATERIAL_PREP>HOLD>MATERIAL_PREP>HOLD>MEASURE_CHARGE>HOLD>MATERIAL_PREP>CLOSE	GRADE|MEASURE|TARGET	PICTURED_PLANT_MATTER	PREPARATION_BATCH	YES
H3-S002	f11r	H3	HS1|HS2|HS4	HOLD>MATERIAL_PREP	NONE	PICTURED_PLANT_MATTER	PREPARATION_BATCH	NO
H3-S003	f11r	H3	HS1|HS2|HS3	MEASURE_CHARGE	MEASURE	PREPARATION_BATCH	PREPARATION_BATCH	NO
H3-S004	f11r	H3	HS1|HS2	MEASURE_CHARGE	READY	PREPARATION_BATCH	PREPARATION_BATCH	NO
H4-S001	f55v	H4	HS1|HS2|HS3	MEASURE_CHARGE>CLOSE	MEASURE|PORTION	PICTURED_PLANT_MATTER	PREPARATION_BATCH	YES
H4-S002	f55v	H4	HS1|HS2|HS3|HS4	MEASURE_CHARGE>SETTLE	MEASURE	PICTURED_PLANT_MATTER	PREPARATION_BATCH	NO
H4-S003	f55v	H4	HS1|HS2|HS3|HS4	MEASURE_CHARGE>MATERIAL_PREP>THERMAL>CLOSE	GRADE|HEAT|MEASURE|SOURCE	PREPARATION_BATCH	PREPARATION_BATCH	YES
H4-S004	f55v	H4	HS1|HS2|HS3|HS5	APPLY>MATERIAL_PREP	MEASURE|PORTION|PREPARATION|TARGET	PICTURED_PLANT_MATTER	PREPARATION_BATCH	NO
H5-S001	f56r	H5	HS1|HS2|HS3|HS5	MATERIAL_PREP>ROUTE>MATERIAL_PREP>SPECIALIST	MEASURE|PREPARATION|TARGET	PICTURED_PLANT_MATTER	PREPARATION_BATCH	NO
H5-S002	f56r	H5	HS1|HS2|HS5	APPLY>ROUTE>CLOSE	GRADE|PASSAGE	PREPARATION_BATCH	TARGETED_TRANSFER_PORTION	YES
H5-S003	f56r	H5	HS1|HS2|HS4	HOLD>MEASURE_CHARGE	GRADE	PICTURED_PLANT_MATTER	PREPARATION_BATCH	NO
H5-S004	f56r	H5	HS1|HS2|HS5	SPECIALIST>MATERIAL_PREP>ROUTE	GRADE|TARGET	PREPARATION_BATCH	TARGETED_TRANSFER_PORTION	NO
H5-S005	f56r	H5	HS1|HS2|HS3	SPECIALIST>MEASURE_CHARGE	PORTION|SOURCE	TARGETED_TRANSFER_PORTION	PREPARATION_BATCH	NO
H5-S006	f56r	H5	HS1|HS2|HS3	MEASURE_CHARGE	GRADE|MEASURE	PREPARATION_BATCH	PREPARATION_BATCH	NO
