group_serial	diagram_id	page	locus	event_index	opaque_local_id	surface_display_only	exact_visible_identity_layer	v69_local_formal_role	v71_owner_status	v71_visible_owner	local_namespace	local_owner_kind	silent_argument_default	concrete_copied_label_or_instruction	source_status	confidence	historical_celestial_rival	technical_formal_rival	contradiction	authorial_start	authorial_direction	rotation_status	f68_f69_mapping	cross_wheel_join	prose_card_import	global_7x12	semantic_ceiling
1	A1	f67r2	f67r2.1	1	A1:G001	ykshy	A1:G001@f67r2.1#1=«ykshy»	COLUMN_KEY	DIRECT_VISIBLE	A1_RIGHT_SECTOR_SLOT_01	A67_RIGHT_CELESTIAL_WHEEL	RIGHT_WHEEL_SECTOR_LABEL	dieser lokale Sektorplatz 01 des rechten f67r2-Rades	Kopiere Segment 1/3 «ykshy» in Quellordnung für den Bildbesitzer «dieser lokale Sektorplatz 01 des rechten f67r2-Rades»; das Segment erhält keinen Einzelwert. Zeige den Sektor im rechten Rad, kopiere sein örtliches Etikett und schlage nur den rechtsradlokalen Exemplareintrag nach.	VISIBLE_GROUP_AND_DIRECT_OWNER; FUNCTION_FROM_MASTER_EXEMPLAR	MEDIUM	zodiakal-, kalender- oder iatromathematisch gegliedertes Sektor-/Scheibenrad	zwei unabhängige formale Merk- und Lookup-Räder; Etiketten sind nur Bildadressen	Kein Etikett ist identifiziert; das zweite Rad ist unverbunden, und eine seitenweite 7×12-Komposition ist nicht sichtbar.	UNKNOWN_OR_NOT_APPLICABLE	UNKNOWN_OR_NOT_APPLICABLE	UNLICENSED	NONE	NONE	NONE	NONE	LOCAL_VISIBLE_IDENTITY_AND_EXEMPLAR_INSTRUCTION_NOT_WORD_CARD_STEM_SOUND_LANGUAGE_OR_MEANING
2	A1	f67r2	f67r2.1	2	A1:G002	s	A1:G002@f67r2.1#2=«s»	COLUMN_DESCRIPTOR_FRAGMENT	DIRECT_VISIBLE	A1_RIGHT_SECTOR_SLOT_01	A67_RIGHT_CELESTIAL_WHEEL	RIGHT_WHEEL_SECTOR_LABEL	dieser lokale Sektorplatz 01 des rechten f67r2-Rades	Kopiere Segment 2/3 «s» in Quellordnung für den Bildbesitzer «dieser lokale Sektorplatz 01 des rechten f67r2-Rades»; das Segment erhält keinen Einzelwert. Zeige den Sektor im rechten Rad, kopiere sein örtliches Etikett und schlage nur den rechtsradlokalen Exemplareintrag nach.	VISIBLE_GROUP_AND_DIRECT_OWNER; FUNCTION_FROM_MASTER_EXEMPLAR	MEDIUM	zodiakal-, kalender- oder iatromathematisch gegliedertes Sektor-/Scheibenrad	zwei unabhängige formale Merk- und Lookup-Räder; Etiketten sind nur Bildadressen	Kein Etikett ist identifiziert; das zweite Rad ist unverbunden, und eine seitenweite 7×12-Komposition ist nicht sichtbar.	UNKNOWN_OR_NOT_APPLICABLE	UNKNOWN_OR_NOT_APPLICABLE	UNLICENSED	NONE	NONE	NONE	NONE	LOCAL_VISIBLE_IDENTITY_AND_EXEMPLAR_INSTRUCTION_NOT_WORD_CARD_STEM_SOUND_LANGUAGE_OR_MEANING
3	A1	f67r2	f67r2.1	3	A1:G003	aram	A1:G003@f67r2.1#3=«aram»	COLUMN_DESCRIPTOR_FRAGMENT	DIRECT_VISIBLE	A1_RIGHT_SECTOR_SLOT_01	A67_RIGHT_CELESTIAL_WHEEL	RIGHT_WHEEL_SECTOR_LABEL	dieser lokale Sektorplatz 01 des rechten f67r2-Rades	Kopiere Segment 3/3 «aram» in Quellordnung für den Bildbesitzer «dieser lokale Sektorplatz 01 des rechten f67r2-Rades»; das Segment erhält keinen Einzelwert. Zeige den Sektor im rechten Rad, kopiere sein örtliches Etikett und schlage nur den rechtsradlokalen Exemplareintrag nach.	VISIBLE_GROUP_AND_DIRECT_OWNER; FUNCTION_FROM_MASTER_EXEMPLAR	MEDIUM	zodiakal-, kalender- oder iatromathematisch gegliedertes Sektor-/Scheibenrad	zwei unabhängige formale Merk- und Lookup-Räder; Etiketten sind nur Bildadressen	Kein Etikett ist identifiziert; das zweite Rad ist unverbunden, und eine seitenweite 7×12-Komposition ist nicht sichtbar.	UNKNOWN_OR_NOT_APPLICABLE	UNKNOWN_OR_NOT_APPLICABLE	UNLICENSED	NONE	NONE	NONE	NONE	LOCAL_VISIBLE_IDENTITY_AND_EXEMPLAR_INSTRUCTION_NOT_WORD_CARD_STEM_SOUND_LANGUAGE_OR_MEANING
4	A1	f67r2	f67r2.2	1	A1:G004	ykecho	A1:G004@f67r2.2#1=«ykecho»	COLUMN_KEY	DIRECT_VISIBLE	A1_RIGHT_SECTOR_SLOT_02	A67_RIGHT_CELESTIAL_WHEEL	RIGHT_WHEEL_SECTOR_LABEL	dieser lokale Sektorplatz 02 des rechten f67r2-Rades	Kopiere Segment 1/3 «ykecho» in Quellordnung für den Bildbesitzer «dieser lokale Sektorplatz 02 des rechten f67r2-Rades»; das Segment erhält keinen Einzelwert. Zeige den Sektor im rechten Rad, kopiere sein örtliches Etikett und schlage nur den rechtsradlokalen Exemplareintrag nach.	VISIBLE_GROUP_AND_DIRECT_OWNER; FUNCTION_FROM_MASTER_EXEMPLAR	MEDIUM	zodiakal-, kalender- oder iatromathematisch gegliedertes Sektor-/Scheibenrad	zwei unabhängige formale Merk- und Lookup-Räder; Etiketten sind nur Bildadressen	Kein Etikett ist identifiziert; das zweite Rad ist unverbunden, und eine seitenweite 7×12-Komposition ist nicht sichtbar.	UNKNOWN_OR_NOT_APPLICABLE	UNKNOWN_OR_NOT_APPLICABLE	UNLICENSED	NONE	NONE	NONE	NONE	LOCAL_VISIBLE_IDENTITY_AND_EXEMPLAR_INSTRUCTION_NOT_WORD_CARD_STEM_SOUND_LANGUAGE_OR_MEANING
5	A1	f67r2	f67r2.2	2	A1:G005	ols	A1:G005@f67r2.2#2=«ols»	COLUMN_DESCRIPTOR_FRAGMENT	DIRECT_VISIBLE	A1_RIGHT_SECTOR_SLOT_02	A67_RIGHT_CELESTIAL_WHEEL	RIGHT_WHEEL_SECTOR_LABEL	dieser lokale Sektorplatz 02 des rechten f67r2-Rades	Kopiere Segment 2/3 «ols» in Quellordnung für den Bildbesitzer «dieser lokale Sektorplatz 02 des rechten f67r2-Rades»; das Segment erhält keinen Einzelwert. Zeige den Sektor im rechten Rad, kopiere sein örtliches Etikett und schlage nur den rechtsradlokalen Exemplareintrag nach.	VISIBLE_GROUP_AND_DIRECT_OWNER; FUNCTION_FROM_MASTER_EXEMPLAR	MEDIUM	zodiakal-, kalender- oder iatromathematisch gegliedertes Sektor-/Scheibenrad	zwei unabhängige formale Merk- und Lookup-Räder; Etiketten sind nur Bildadressen	Kein Etikett ist identifiziert; das zweite Rad ist unverbunden, und eine seitenweite 7×12-Komposition ist nicht sichtbar.	UNKNOWN_OR_NOT_APPLICABLE	UNKNOWN_OR_NOT_APPLICABLE	UNLICENSED	NONE	NONE	NONE	NONE	LOCAL_VISIBLE_IDENTITY_AND_EXEMPLAR_INSTRUCTION_NOT_WORD_CARD_STEM_SOUND_LANGUAGE_OR_MEANING
6	A1	f67r2	f67r2.2	3	A1:G006	eesydy	A1:G006@f67r2.2#3=«eesydy»	COLUMN_DESCRIPTOR_FRAGMENT	DIRECT_VISIBLE	A1_RIGHT_SECTOR_SLOT_02	A67_RIGHT_CELESTIAL_WHEEL	RIGHT_WHEEL_SECTOR_LABEL	dieser lokale Sektorplatz 02 des rechten f67r2-Rades	Kopiere Segment 3/3 «eesydy» in Quellordnung für den Bildbesitzer «dieser lokale Sektorplatz 02 des rechten f67r2-Rades»; das Segment erhält keinen Einzelwert. Zeige den Sektor im rechten Rad, kopiere sein örtliches Etikett und schlage nur den rechtsradlokalen Exemplareintrag nach.	VISIBLE_GROUP_AND_DIRECT_OWNER; FUNCTION_FROM_MASTER_EXEMPLAR	MEDIUM	zodiakal-, kalender- oder iatromathematisch gegliedertes Sektor-/Scheibenrad	zwei unabhängige formale Merk- und Lookup-Räder; Etiketten sind nur Bildadressen	Kein Etikett ist identifiziert; das zweite Rad ist unverbunden, und eine seitenweite 7×12-Komposition ist nicht sichtbar.	UNKNOWN_OR_NOT_APPLICABLE	UNKNOWN_OR_NOT_APPLICABLE	UNLICENSED	NONE	NONE	NONE	NONE	LOCAL_VISIBLE_IDENTITY_AND_EXEMPLAR_INSTRUCTION_NOT_WORD_CARD_STEM_SOUND_LANGUAGE_OR_MEANING
7	A1	f67r2	f67r2.3	1	A1:G007	ey	A1:G007@f67r2.3#1=«ey»	COLUMN_KEY	DIRECT_VISIBLE	A1_RIGHT_SECTOR_SLOT_03	A67_RIGHT_CELESTIAL_WHEEL	RIGHT_WHEEL_SECTOR_LABEL	dieser lokale Sektorplatz 03 des rechten f67r2-Rades	Kopiere Segment 1/3 «ey» in Quellordnung für den Bildbesitzer «dieser lokale Sektorplatz 03 des rechten f67r2-Rades»; das Segment erhält keinen Einzelwert. Zeige den Sektor im rechten Rad, kopiere sein örtliches Etikett und schlage nur den rechtsradlokalen Exemplareintrag nach.	VISIBLE_GROUP_AND_DIRECT_OWNER; FUNCTION_FROM_MASTER_EXEMPLAR	MEDIUM	zodiakal-, kalender- oder iatromathematisch gegliedertes Sektor-/Scheibenrad	zwei unabhängige formale Merk- und Lookup-Räder; Etiketten sind nur Bildadressen	Kein Etikett ist identifiziert; das zweite Rad ist unverbunden, und eine seitenweite 7×12-Komposition ist nicht sichtbar.	UNKNOWN_OR_NOT_APPLICABLE	UNKNOWN_OR_NOT_APPLICABLE	UNLICENSED	NONE	NONE	NONE	NONE	LOCAL_VISIBLE_IDENTITY_AND_EXEMPLAR_INSTRUCTION_NOT_WORD_CARD_STEM_SOUND_LANGUAGE_OR_MEANING
8	A1	f67r2	f67r2.3	2	A1:G008	shs	A1:G008@f67r2.3#2=«shs»	COLUMN_DESCRIPTOR_FRAGMENT	DIRECT_VISIBLE	A1_RIGHT_SECTOR_SLOT_03	A67_RIGHT_CELESTIAL_WHEEL	RIGHT_WHEEL_SECTOR_LABEL	dieser lokale Sektorplatz 03 des rechten f67r2-Rades	Kopiere Segment 2/3 «shs» in Quellordnung für den Bildbesitzer «dieser lokale Sektorplatz 03 des rechten f67r2-Rades»; das Segment erhält keinen Einzelwert. Zeige den Sektor im rechten Rad, kopiere sein örtliches Etikett und schlage nur den rechtsradlokalen Exemplareintrag nach.	VISIBLE_GROUP_AND_DIRECT_OWNER; FUNCTION_FROM_MASTER_EXEMPLAR	MEDIUM	zodiakal-, kalender- oder iatromathematisch gegliedertes Sektor-/Scheibenrad	zwei unabhängige formale Merk- und Lookup-Räder; Etiketten sind nur Bildadressen	Kein Etikett ist identifiziert; das zweite Rad ist unverbunden, und eine seitenweite 7×12-Komposition ist nicht sichtbar.	UNKNOWN_OR_NOT_APPLICABLE	UNKNOWN_OR_NOT_APPLICABLE	UNLICENSED	NONE	NONE	NONE	NONE	LOCAL_VISIBLE_IDENTITY_AND_EXEMPLAR_INSTRUCTION_NOT_WORD_CARD_STEM_SOUND_LANGUAGE_OR_MEANING
9	A1	f67r2	f67r2.3	3	A1:G009	okar	A1:G009@f67r2.3#3=«okar»	COLUMN_DESCRIPTOR_FRAGMENT	DIRECT_VISIBLE	A1_RIGHT_SECTOR_SLOT_03	A67_RIGHT_CELESTIAL_WHEEL	RIGHT_WHEEL_SECTOR_LABEL	dieser lokale Sektorplatz 03 des rechten f67r2-Rades	Kopiere Segment 3/3 «okar» in Quellordnung für den Bildbesitzer «dieser lokale Sektorplatz 03 des rechten f67r2-Rades»; das Segment erhält keinen Einzelwert. Zeige den Sektor im rechten Rad, kopiere sein örtliches Etikett und schlage nur den rechtsradlokalen Exemplareintrag nach.	VISIBLE_GROUP_AND_DIRECT_OWNER; FUNCTION_FROM_MASTER_EXEMPLAR	MEDIUM	zodiakal-, kalender- oder iatromathematisch gegliedertes Sektor-/Scheibenrad	zwei unabhängige formale Merk- und Lookup-Räder; Etiketten sind nur Bildadressen	Kein Etikett ist identifiziert; das zweite Rad ist unverbunden, und eine seitenweite 7×12-Komposition ist nicht sichtbar.	UNKNOWN_OR_NOT_APPLICABLE	UNKNOWN_OR_NOT_APPLICABLE	UNLICENSED	NONE	NONE	NONE	NONE	LOCAL_VISIBLE_IDENTITY_AND_EXEMPLAR_INSTRUCTION_NOT_WORD_CARD_STEM_SOUND_LANGUAGE_OR_MEANING
10	A1	f67r2	f67r2.4	1	A1:G010	shekchy	A1:G010@f67r2.4#1=«shekchy»	COLUMN_KEY	DIRECT_VISIBLE	A1_RIGHT_SECTOR_SLOT_04	A67_RIGHT_CELESTIAL_WHEEL	RIGHT_WHEEL_SECTOR_LABEL	dieser lokale Sektorplatz 04 des rechten f67r2-Rades	Kopiere Segment 1/2 «shekchy» in Quellordnung für den Bildbesitzer «dieser lokale Sektorplatz 04 des rechten f67r2-Rades»; das Segment erhält keinen Einzelwert. Zeige den Sektor im rechten Rad, kopiere sein örtliches Etikett und schlage nur den rechtsradlokalen Exemplareintrag nach.	VISIBLE_GROUP_AND_DIRECT_OWNER; FUNCTION_FROM_MASTER_EXEMPLAR	MEDIUM	zodiakal-, kalender- oder iatromathematisch gegliedertes Sektor-/Scheibenrad	zwei unabhängige formale Merk- und Lookup-Räder; Etiketten sind nur Bildadressen	Kein Etikett ist identifiziert; das zweite Rad ist unverbunden, und eine seitenweite 7×12-Komposition ist nicht sichtbar.	UNKNOWN_OR_NOT_APPLICABLE	UNKNOWN_OR_NOT_APPLICABLE	UNLICENSED	NONE	NONE	NONE	NONE	LOCAL_VISIBLE_IDENTITY_AND_EXEMPLAR_INSTRUCTION_NOT_WORD_CARD_STEM_SOUND_LANGUAGE_OR_MEANING
