locus	page	diagram_id	group_count	group_serials	owner_status	local_namespace_owner	visible_basis	concrete_locus_reading	historical_rival	orientation_status	cross_namespace_mapping	strongest_contradiction	semantic_ceiling
f67r2.1	f67r2	A1	3	1|2|3	DIRECT_VISIBLE	A1_RIGHT_SECTOR_SLOT_01	zwölfteilige lokale Sektor-/Scheibenordnung im rechten Rad; keine Kante zum linken Rad	Am lokalen Himmelsfeld „A1_RIGHT_SECTOR_SLOT_01“ das Beschriftungsfragment 1 der zugehörigen Sektorbeziehung eintragen und nur innerhalb dieses Rades nachschlagen. Am lokalen Himmelsfeld „A1_RIGHT_SECTOR_SLOT_01“ das Beschriftungsfragment 2 der zugehörigen Sektorbeziehung eintragen und nur innerhalb dieses Rades nachschlagen. Am lokalen Himmelsfeld „A1_RIGHT_SECTOR_SLOT_01“ das Beschriftungsfragment 3 der zugehörigen Sektorbeziehung eintragen und nur innerhalb dieses Rades nachschlagen.	bloße farbige Himmelsposition ohne Auswahlfunktion	UNSELECTED	NONE	Die vollständige Lesung ist ein occurrence-gebundenes Exemplar, nicht aus den sichtbaren Fragmenten übersetzt.	LOCAL_CELESTIAL_LOCUS_NOT_WORD_OR_EXTERNAL_NAME
f67r2.2	f67r2	A1	3	4|5|6	DIRECT_VISIBLE	A1_RIGHT_SECTOR_SLOT_02	zwölfteilige lokale Sektor-/Scheibenordnung im rechten Rad; keine Kante zum linken Rad	Am lokalen Himmelsfeld „A1_RIGHT_SECTOR_SLOT_02“ das Beschriftungsfragment 1 der zugehörigen Sektorbeziehung eintragen und nur innerhalb dieses Rades nachschlagen. Am lokalen Himmelsfeld „A1_RIGHT_SECTOR_SLOT_02“ das Beschriftungsfragment 2 der zugehörigen Sektorbeziehung eintragen und nur innerhalb dieses Rades nachschlagen. Am lokalen Himmelsfeld „A1_RIGHT_SECTOR_SLOT_02“ das Beschriftungsfragment 3 der zugehörigen Sektorbeziehung eintragen und nur innerhalb dieses Rades nachschlagen.	bloße farbige Himmelsposition ohne Auswahlfunktion	UNSELECTED	NONE	Die vollständige Lesung ist ein occurrence-gebundenes Exemplar, nicht aus den sichtbaren Fragmenten übersetzt.	LOCAL_CELESTIAL_LOCUS_NOT_WORD_OR_EXTERNAL_NAME
f67r2.3	f67r2	A1	3	7|8|9	DIRECT_VISIBLE	A1_RIGHT_SECTOR_SLOT_03	zwölfteilige lokale Sektor-/Scheibenordnung im rechten Rad; keine Kante zum linken Rad	Am lokalen Himmelsfeld „A1_RIGHT_SECTOR_SLOT_03“ das Beschriftungsfragment 1 der zugehörigen Sektorbeziehung eintragen und nur innerhalb dieses Rades nachschlagen. Am lokalen Himmelsfeld „A1_RIGHT_SECTOR_SLOT_03“ das Beschriftungsfragment 2 der zugehörigen Sektorbeziehung eintragen und nur innerhalb dieses Rades nachschlagen. Am lokalen Himmelsfeld „A1_RIGHT_SECTOR_SLOT_03“ das Beschriftungsfragment 3 der zugehörigen Sektorbeziehung eintragen und nur innerhalb dieses Rades nachschlagen.	bloße farbige Himmelsposition ohne Auswahlfunktion	UNSELECTED	NONE	Die vollständige Lesung ist ein occurrence-gebundenes Exemplar, nicht aus den sichtbaren Fragmenten übersetzt.	LOCAL_CELESTIAL_LOCUS_NOT_WORD_OR_EXTERNAL_NAME
f67r2.4	f67r2	A1	2	10|11	DIRECT_VISIBLE	A1_RIGHT_SECTOR_SLOT_04	zwölfteilige lokale Sektor-/Scheibenordnung im rechten Rad; keine Kante zum linken Rad	Am lokalen Himmelsfeld „A1_RIGHT_SECTOR_SLOT_04“ das Beschriftungsfragment 1 der zugehörigen Sektorbeziehung eintragen und nur innerhalb dieses Rades nachschlagen. Am lokalen Himmelsfeld „A1_RIGHT_SECTOR_SLOT_04“ das Beschriftungsfragment 2 der zugehörigen Sektorbeziehung eintragen und nur innerhalb dieses Rades nachschlagen.	bloße farbige Himmelsposition ohne Auswahlfunktion	UNSELECTED	NONE	Die vollständige Lesung ist ein occurrence-gebundenes Exemplar, nicht aus den sichtbaren Fragmenten übersetzt.	LOCAL_CELESTIAL_LOCUS_NOT_WORD_OR_EXTERNAL_NAME
f67r2.5	f67r2	A1	2	12|13	DIRECT_VISIBLE	A1_RIGHT_SECTOR_SLOT_05	zwölfteilige lokale Sektor-/Scheibenordnung im rechten Rad; keine Kante zum linken Rad	Am lokalen Himmelsfeld „A1_RIGHT_SECTOR_SLOT_05“ das Beschriftungsfragment 1 der zugehörigen Sektorbeziehung eintragen und nur innerhalb dieses Rades nachschlagen. Am lokalen Himmelsfeld „A1_RIGHT_SECTOR_SLOT_05“ das Beschriftungsfragment 2 der zugehörigen Sektorbeziehung eintragen und nur innerhalb dieses Rades nachschlagen.	bloße farbige Himmelsposition ohne Auswahlfunktion	UNSELECTED	NONE	Die vollständige Lesung ist ein occurrence-gebundenes Exemplar, nicht aus den sichtbaren Fragmenten übersetzt.	LOCAL_CELESTIAL_LOCUS_NOT_WORD_OR_EXTERNAL_NAME
f67r2.6	f67r2	A1	1	14	DIRECT_VISIBLE	A1_RIGHT_SECTOR_SLOT_06	zwölfteilige lokale Sektor-/Scheibenordnung im rechten Rad; keine Kante zum linken Rad	Am lokalen Himmelsfeld „A1_RIGHT_SECTOR_SLOT_06“ das Beschriftungsfragment 1 der zugehörigen Sektorbeziehung eintragen und nur innerhalb dieses Rades nachschlagen.	bloße farbige Himmelsposition ohne Auswahlfunktion	UNSELECTED	NONE	Die vollständige Lesung ist ein occurrence-gebundenes Exemplar, nicht aus den sichtbaren Fragmenten übersetzt.	LOCAL_CELESTIAL_LOCUS_NOT_WORD_OR_EXTERNAL_NAME
f67r2.7	f67r2	A1	3	15|16|17	DIRECT_VISIBLE	A1_RIGHT_SECTOR_SLOT_07	zwölfteilige lokale Sektor-/Scheibenordnung im rechten Rad; keine Kante zum linken Rad	Am lokalen Himmelsfeld „A1_RIGHT_SECTOR_SLOT_07“ das Beschriftungsfragment 1 der zugehörigen Sektorbeziehung eintragen und nur innerhalb dieses Rades nachschlagen. Am lokalen Himmelsfeld „A1_RIGHT_SECTOR_SLOT_07“ das Beschriftungsfragment 2 der zugehörigen Sektorbeziehung eintragen und nur innerhalb dieses Rades nachschlagen. Am lokalen Himmelsfeld „A1_RIGHT_SECTOR_SLOT_07“ das Beschriftungsfragment 3 der zugehörigen Sektorbeziehung eintragen und nur innerhalb dieses Rades nachschlagen.	bloße farbige Himmelsposition ohne Auswahlfunktion	UNSELECTED	NONE	Die vollständige Lesung ist ein occurrence-gebundenes Exemplar, nicht aus den sichtbaren Fragmenten übersetzt.	LOCAL_CELESTIAL_LOCUS_NOT_WORD_OR_EXTERNAL_NAME
f67r2.8	f67r2	A1	1	18	DIRECT_VISIBLE	A1_RIGHT_SECTOR_SLOT_08	zwölfteilige lokale Sektor-/Scheibenordnung im rechten Rad; keine Kante zum linken Rad	Am lokalen Himmelsfeld „A1_RIGHT_SECTOR_SLOT_08“ das Beschriftungsfragment 1 der zugehörigen Sektorbeziehung eintragen und nur innerhalb dieses Rades nachschlagen.	bloße farbige Himmelsposition ohne Auswahlfunktion	UNSELECTED	NONE	Die vollständige Lesung ist ein occurrence-gebundenes Exemplar, nicht aus den sichtbaren Fragmenten übersetzt.	LOCAL_CELESTIAL_LOCUS_NOT_WORD_OR_EXTERNAL_NAME
f67r2.9	f67r2	A1	2	19|20	DIRECT_VISIBLE	A1_RIGHT_SECTOR_SLOT_09	zwölfteilige lokale Sektor-/Scheibenordnung im rechten Rad; keine Kante zum linken Rad	Am lokalen Himmelsfeld „A1_RIGHT_SECTOR_SLOT_09“ das Beschriftungsfragment 1 der zugehörigen Sektorbeziehung eintragen und nur innerhalb dieses Rades nachschlagen. Am lokalen Himmelsfeld „A1_RIGHT_SECTOR_SLOT_09“ das Beschriftungsfragment 2 der zugehörigen Sektorbeziehung eintragen und nur innerhalb dieses Rades nachschlagen.	bloße farbige Himmelsposition ohne Auswahlfunktion	UNSELECTED	NONE	Die vollständige Lesung ist ein occurrence-gebundenes Exemplar, nicht aus den sichtbaren Fragmenten übersetzt.	LOCAL_CELESTIAL_LOCUS_NOT_WORD_OR_EXTERNAL_NAME
f67r2.10	f67r2	A1	3	21|22|23	DIRECT_VISIBLE	A1_RIGHT_SECTOR_SLOT_10	zwölfteilige lokale Sektor-/Scheibenordnung im rechten Rad; keine Kante zum linken Rad	Am lokalen Himmelsfeld „A1_RIGHT_SECTOR_SLOT_10“ das Beschriftungsfragment 1 der zugehörigen Sektorbeziehung eintragen und nur innerhalb dieses Rades nachschlagen. Am lokalen Himmelsfeld „A1_RIGHT_SECTOR_SLOT_10“ das Beschriftungsfragment 2 der zugehörigen Sektorbeziehung eintragen und nur innerhalb dieses Rades nachschlagen. Am lokalen Himmelsfeld „A1_RIGHT_SECTOR_SLOT_10“ das Beschriftungsfragment 3 der zugehörigen Sektorbeziehung eintragen und nur innerhalb dieses Rades nachschlagen.	bloße farbige Himmelsposition ohne Auswahlfunktion	UNSELECTED	NONE	Die vollständige Lesung ist ein occurrence-gebundenes Exemplar, nicht aus den sichtbaren Fragmenten übersetzt.	LOCAL_CELESTIAL_LOCUS_NOT_WORD_OR_EXTERNAL_NAME
