orientation_alternative_id	instrument_id	page	alternative	start_rule	traversal_rule	admissibility	selected_orientation	required_external_information	cross_instrument_effect
F67_LEFT_WHEEL:O1	F67_LEFT_WHEEL	f67r2	DIRECT_UNORDERED	NO_AUTHORIAL_START	DIRECT_LOCAL_ADDRESS_WITHOUT_TRAVERSAL	ADMISSIBLE_UNSELECTED	NONE	MASTER_EXEMPLAR_OR_EXTERNAL_ANCHOR	NONE;NEVER_ALIGNS_F68_WITH_F69
F67_LEFT_WHEEL:O2	F67_LEFT_WHEEL	f67r2	CW_ARBITRARY_START	ANY_VISIBLE_SLOT	CLOCKWISE	ADMISSIBLE_UNSELECTED	NONE	MASTER_EXEMPLAR_OR_EXTERNAL_ANCHOR	NONE;NEVER_ALIGNS_F68_WITH_F69
F67_LEFT_WHEEL:O3	F67_LEFT_WHEEL	f67r2	CCW_ARBITRARY_START	ANY_VISIBLE_SLOT	COUNTERCLOCKWISE	ADMISSIBLE_UNSELECTED	NONE	MASTER_EXEMPLAR_OR_EXTERNAL_ANCHOR	NONE;NEVER_ALIGNS_F68_WITH_F69
F67_LEFT_WHEEL:O4	F67_LEFT_WHEEL	f67r2	REFLECTED_OR_OPPOSED	ANY_VISIBLE_SLOT_OR_PAIR	REFLECTED_OR_OPPOSED_PAIRING	POSSIBLE_UNSELECTED	NONE	MASTER_EXEMPLAR_OR_EXTERNAL_ANCHOR	NONE;NEVER_ALIGNS_F68_WITH_F69
F67_RIGHT_WHEEL:O1	F67_RIGHT_WHEEL	f67r2	DIRECT_UNORDERED	NO_AUTHORIAL_START	DIRECT_LOCAL_ADDRESS_WITHOUT_TRAVERSAL	ADMISSIBLE_UNSELECTED	NONE	MASTER_EXEMPLAR_OR_EXTERNAL_ANCHOR	NONE;NEVER_ALIGNS_F68_WITH_F69
F67_RIGHT_WHEEL:O2	F67_RIGHT_WHEEL	f67r2	CW_ARBITRARY_START	ANY_VISIBLE_SLOT	CLOCKWISE	ADMISSIBLE_UNSELECTED	NONE	MASTER_EXEMPLAR_OR_EXTERNAL_ANCHOR	NONE;NEVER_ALIGNS_F68_WITH_F69
F67_RIGHT_WHEEL:O3	F67_RIGHT_WHEEL	f67r2	CCW_ARBITRARY_START	ANY_VISIBLE_SLOT	COUNTERCLOCKWISE	ADMISSIBLE_UNSELECTED	NONE	MASTER_EXEMPLAR_OR_EXTERNAL_ANCHOR	NONE;NEVER_ALIGNS_F68_WITH_F69
F67_RIGHT_WHEEL:O4	F67_RIGHT_WHEEL	f67r2	REFLECTED_OR_OPPOSED	ANY_VISIBLE_SLOT_OR_PAIR	REFLECTED_OR_OPPOSED_PAIRING	POSSIBLE_UNSELECTED	NONE	MASTER_EXEMPLAR_OR_EXTERNAL_ANCHOR	NONE;NEVER_ALIGNS_F68_WITH_F69
F68_LEFT_OPEN_STAR_FIELD:O1	F68_LEFT_OPEN_STAR_FIELD	f68r1	DIRECT_DRAWN_LOCUS	NO_AUTHORIAL_START	NO_TRAVERSAL	ADMISSIBLE_UNSELECTED	NONE	MASTER_EXEMPLAR_OR_EXTERNAL_ANCHOR	NONE;NEVER_ALIGNS_F68_WITH_F69
F68_LEFT_OPEN_STAR_FIELD:O2	F68_LEFT_OPEN_STAR_FIELD	f68r1	CENTRE_OUTWARD	EXEMPLAR_CHOSEN_LOCAL_CENTRE	RADIAL_OUTWARD	POSSIBLE_UNSELECTED	NONE	MASTER_EXEMPLAR_OR_EXTERNAL_ANCHOR	NONE;NEVER_ALIGNS_F68_WITH_F69
