audit_id	page_scope	instrument_scope	frozen_address_convention	authorial_start	authorial_direction	rotation_status	allowed_operation	forbidden_inference	cross_namespace_join	contradiction
O01	f67r2	beide Räder	zwei getrennte sichtbare Räder	UNKNOWN	UNKNOWN	UNLICENSED	jedes Rad separat zeigen und kopieren	keine Rad-zu-Rad-Konkordanz	NONE	kein gezeichneter Verbinder
O02	f67r2	rechtes Sektorinventar	zwölf editoriale lokale Sektoradressen	UNKNOWN	UNKNOWN	UNLICENSED	Sektor nach Bildlage wählen	keine Zeichen-, Monats- oder Körperreihenfolge	NONE	zwölf Plätze identifizieren keinen Start
O03	f67r2	rechtes Scheibeninventar	acht editoriale lokale Scheibenadressen	UNKNOWN	UNKNOWN	UNLICENSED	Scheibenplatz nach Bildlage wählen	keine Phasenfolge	NONE	acht Plätze identifizieren keine Funktion
O04	f67r2	linke lokale Felder	editoriale Quellorte 15–51	UNKNOWN	UNKNOWN	UNLICENSED	Feld nach Bildlage wählen	keine lineare oder zyklische Feldfolge	NONE	Feldzahl ist keine sichtbare Skala
O05	f67r2	linke äußere Sterne	zwölf editoriale Sternadressen	UNKNOWN	UNKNOWN	UNLICENSED	Stern nach Bildlage wählen	keine gemeinsame Ordnung mit rechten Sektoren	NONE	gleiche Kardinalität ist kein Schlüssel
O06	f67r2	globale 7×12-Annahme	NONE	NONE	NONE	FORBIDDEN	zwei lokale Räder getrennt halten	keine 84 Zellen oder produktive 7×12-Komposition	NONE	keine rechteckige Matrix sichtbar
O07	f68r1	gesamter Sternatlas	mehrere Paneele/Felder und mindestens fünf Zentren	NOT_APPLICABLE	NOT_APPLICABLE	UNLICENSED	Paneel und Stern räumlich zeigen	kein ganzseitiges Zentrum-plus-28-System	NONE	Mehrzentren-Geometrie
O08	f68r1	28 Sternetiketten	28 editoriale Atlasadressen, nicht ein Kreis	NOT_APPLICABLE	NOT_APPLICABLE	UNLICENSED	Sternplatz nach Bildlage wählen	keine Mondhausfolge oder Kreisrotation	NONE	Paneelzuordnung bleibt teilweise offen
O09	f68r1	Gesichtsmedaillons/Zentren	mehrere sichtbare Zentren	NOT_APPLICABLE	NOT_APPLICABLE	UNLICENSED	Zentrum nur laut Exemplar zuweisen	kein einziges Seitenzentrum	NONE	genauer Besitzer von Zentrumsschlüsseln ungelöst
O10	f69v	gesamte Dreiradseite	drei unverbundene heterogene Räder	UNKNOWN	UNKNOWN	UNLICENSED	jedes Rad separat zeigen und kopieren	keine gemeinsame Startlage oder Drehung	NONE	keine gezeichneten Verbinder
O11	f69v	linkes 28-Platz-Rad	ungeordnetes lokales Inventar von 28 editorischen Adressen	UNKNOWN	UNKNOWN	UNLICENSED	Platz nach Bildlage wählen	keine geordnete 28-Regelfolge	NONE	ungefähre Kardinalität beweist weder Reihenfolge noch Inhalt
O12	f69v	mittleres Wolken-/Wellenrad	ein eigener Ringtext ohne 28-Teilung	UNKNOWN	UNKNOWN	UNLICENSED	Ringtext im mittleren Rad halten	keine 28 Plätze aus dem linken Rad erben	NONE	keine sichtbare lokale 28-Teilung
O13	f69v	rechtes Gesicht-Strahlenrad	ein eigener Ringtext ohne 28-Teilung	UNKNOWN	UNKNOWN	UNLICENSED	Ringtext im rechten Rad halten	keine 28 Plätze aus dem linken Rad erben	NONE	keine sichtbare lokale 28-Teilung
O14	f68r1↔f69v	seitenübergreifender Schlüssel	NONE	NONE	NONE	FORBIDDEN	beide Seiten unabhängig rücklesen	kein Sxx↔Rxx oder Stern↔Radialplatz	NONE	kein sichtbarer Join
O15	alle Astro-Seiten	Prosa-/Kartenimport	NONE	NONE	NONE	FORBIDDEN	nur lokale sichtbare Gruppen kopieren	keine Prosa-Karte, kein Stamm, kein Klangwert	NONE	keine externe Stringverankerung
