component	orientation_or_mapping_alternative	status	visible_reason	used_to_assign_content	semantic_ceiling
A1_RIGHT_WHEEL	EDITORIAL_LOCUS_ORDER	ADMITTED_NOT_SELECTED	Ablageordnung der Transkription; kein Autorenanfang.	NO	ORIENTATION_ALTERNATIVE_NOT_VALUE_MAPPING
A1_RIGHT_WHEEL	CLOCKWISE_ANY_ROTATIONAL_OFFSET	ADMITTED_NOT_SELECTED	Sichtbares Rad erlaubt diese Leseform, fixiert aber keinen Offset.	NO	ORIENTATION_ALTERNATIVE_NOT_VALUE_MAPPING
A1_RIGHT_WHEEL	COUNTERCLOCKWISE_ANY_ROTATIONAL_OFFSET	ADMITTED_NOT_SELECTED	Ebenso bildverträglich; nicht zur Etikettvergabe benutzt.	NO	ORIENTATION_ALTERNATIVE_NOT_VALUE_MAPPING
A1_LEFT_WHEEL	CLOCKWISE_OR_COUNTERCLOCKWISE_ANY_OFFSET	ADMITTED_NOT_SELECTED	Stern-/Strahlenrad ohne sichtbaren Startmarker.	NO	ORIENTATION_ALTERNATIVE_NOT_VALUE_MAPPING
A1_PAIRED_WHEELS	INDEPENDENT_LOCAL_NAMESPACES	SELECTED_VISUAL_GUARD	Zwischen beiden Rädern fehlt eine Kante.	NO	ORIENTATION_ALTERNATIVE_NOT_VALUE_MAPPING
A2_MULTIPANEL	LEFT_TO_RIGHT_COPY_ORDER	ADMITTED_LAYOUT_ONLY	Kann Schreiberreihenfolge sein, aber keine Himmelsfolge.	NO	ORIENTATION_ALTERNATIVE_NOT_VALUE_MAPPING
A2_MULTIPANEL	INDEPENDENT_PANELS_NO_COMMON_ORDER	SELECTED_VISUAL_GUARD	Mehrere offene Felder, sektoriertes Teilbild und mehrere Zentren.	NO	ORIENTATION_ALTERNATIVE_NOT_VALUE_MAPPING
A2_STAR_STATIONS	EDITORIAL_01_TO_28	ADDRESS_ONLY_NOT_SEQUENCE	Zählung dient ausschließlich der Edition.	NO	ORIENTATION_ALTERNATIVE_NOT_VALUE_MAPPING
A3_LEFT_28_WHEEL	EDITORIAL_LOCUS_4_TO_31	ADDRESS_ONLY_NOT_SEQUENCE	28 Adressen, aber kein Autorenanfang.	NO	ORIENTATION_ALTERNATIVE_NOT_VALUE_MAPPING
A3_LEFT_28_WHEEL	CLOCKWISE_ANY_ROTATIONAL_OFFSET	ADMITTED_NOT_SELECTED	Keine sichtbare Nullposition.	NO	ORIENTATION_ALTERNATIVE_NOT_VALUE_MAPPING
A3_LEFT_28_WHEEL	COUNTERCLOCKWISE_ANY_ROTATIONAL_OFFSET	ADMITTED_NOT_SELECTED	Keine sichtbare Laufrichtung.	NO	ORIENTATION_ALTERNATIVE_NOT_VALUE_MAPPING
A3_MIDDLE_WHEEL	EITHER_RING_DIRECTION_ANY_OFFSET	UNRESOLVED_NOT_USED	Ringtext ohne gerichtete Kante.	NO	ORIENTATION_ALTERNATIVE_NOT_VALUE_MAPPING
A3_RIGHT_WHEEL	EITHER_RING_DIRECTION_ANY_OFFSET	UNRESOLVED_NOT_USED	Strahlen und Gesicht liefern keine Leserichtung.	NO	ORIENTATION_ALTERNATIVE_NOT_VALUE_MAPPING
A3_THREE_WHEELS	INDEPENDENT_LOCAL_NAMESPACES	SELECTED_VISUAL_GUARD	Heterogene Räder ohne Verbindung.	NO	ORIENTATION_ALTERNATIVE_NOT_VALUE_MAPPING
A2_TO_A3	NO_DIRECT_INDEX_OR_LOOKUP_KEY	SELECTED_HARD_GUARD	Gleiche oder ähnliche Anzahlen ersetzen keinen sichtbaren Schlüssel.	NO	ORIENTATION_ALTERNATIVE_NOT_VALUE_MAPPING
