locus_row	diagram_id	page	locus	group_count	group_serials	opaque_local_ids	surface_sequence	complete_visible_label	v71_owner_status	selected_visible_owner	local_namespace	local_owner_kind	silent_argument_default	visible_basis	continuous_local_reading	source_status	confidence	historical_celestial_rival	technical_formal_rival	contradiction	orientation_status	cross_namespace_join	prose_card_import	global_7x12	semantic_ceiling
1	A1	f67r2	f67r2.1	3	1|2|3	A1:G001|A1:G002|A1:G003	ykshy|s|aram	ykshy s aram	DIRECT_VISIBLE	A1_RIGHT_SECTOR_SLOT_01	A67_RIGHT_CELESTIAL_WHEEL	RIGHT_WHEEL_SECTOR_LABEL	dieser lokale Sektorplatz 01 des rechten f67r2-Rades	zwölfteilige lokale Sektor-/Scheibenordnung im rechten Rad; keine Kante zum linken Rad	Am Besitzer [A1_RIGHT_SECTOR_SLOT_01] setze das vollständige opake Lokaletikett «ykshy s aram». Zeige den Sektor im rechten Rad, kopiere sein örtliches Etikett und schlage nur den rechtsradlokalen Exemplareintrag nach. Das Etikett bleibt eine abschreibbare lokale Identität, keine Wort- oder Kartenbedeutung.	VISIBLE_GROUP_AND_DIRECT_OWNER; FUNCTION_FROM_MASTER_EXEMPLAR	MEDIUM	zodiakal-, kalender- oder iatromathematisch gegliedertes Sektor-/Scheibenrad	zwei unabhängige formale Merk- und Lookup-Räder; Etiketten sind nur Bildadressen	Kein Etikett ist identifiziert; das zweite Rad ist unverbunden, und eine seitenweite 7×12-Komposition ist nicht sichtbar.	SOURCE_LOCUS_ADDRESS_ONLY; AUTHORIAL_START_DIRECTION_ROTATION_UNPROVEN	NONE	NONE	NONE	LOCAL_CELESTIAL_OR_FORMAL_OWNER_WITH_EXEMPLAR_VALUE; NO_LEXEME_OR_TRANSLATION
2	A1	f67r2	f67r2.2	3	4|5|6	A1:G004|A1:G005|A1:G006	ykecho|ols|eesydy	ykecho ols eesydy	DIRECT_VISIBLE	A1_RIGHT_SECTOR_SLOT_02	A67_RIGHT_CELESTIAL_WHEEL	RIGHT_WHEEL_SECTOR_LABEL	dieser lokale Sektorplatz 02 des rechten f67r2-Rades	zwölfteilige lokale Sektor-/Scheibenordnung im rechten Rad; keine Kante zum linken Rad	Am Besitzer [A1_RIGHT_SECTOR_SLOT_02] setze das vollständige opake Lokaletikett «ykecho ols eesydy». Zeige den Sektor im rechten Rad, kopiere sein örtliches Etikett und schlage nur den rechtsradlokalen Exemplareintrag nach. Das Etikett bleibt eine abschreibbare lokale Identität, keine Wort- oder Kartenbedeutung.	VISIBLE_GROUP_AND_DIRECT_OWNER; FUNCTION_FROM_MASTER_EXEMPLAR	MEDIUM	zodiakal-, kalender- oder iatromathematisch gegliedertes Sektor-/Scheibenrad	zwei unabhängige formale Merk- und Lookup-Räder; Etiketten sind nur Bildadressen	Kein Etikett ist identifiziert; das zweite Rad ist unverbunden, und eine seitenweite 7×12-Komposition ist nicht sichtbar.	SOURCE_LOCUS_ADDRESS_ONLY; AUTHORIAL_START_DIRECTION_ROTATION_UNPROVEN	NONE	NONE	NONE	LOCAL_CELESTIAL_OR_FORMAL_OWNER_WITH_EXEMPLAR_VALUE; NO_LEXEME_OR_TRANSLATION
3	A1	f67r2	f67r2.3	3	7|8|9	A1:G007|A1:G008|A1:G009	ey|shs|okar	ey shs okar	DIRECT_VISIBLE	A1_RIGHT_SECTOR_SLOT_03	A67_RIGHT_CELESTIAL_WHEEL	RIGHT_WHEEL_SECTOR_LABEL	dieser lokale Sektorplatz 03 des rechten f67r2-Rades	zwölfteilige lokale Sektor-/Scheibenordnung im rechten Rad; keine Kante zum linken Rad	Am Besitzer [A1_RIGHT_SECTOR_SLOT_03] setze das vollständige opake Lokaletikett «ey shs okar». Zeige den Sektor im rechten Rad, kopiere sein örtliches Etikett und schlage nur den rechtsradlokalen Exemplareintrag nach. Das Etikett bleibt eine abschreibbare lokale Identität, keine Wort- oder Kartenbedeutung.	VISIBLE_GROUP_AND_DIRECT_OWNER; FUNCTION_FROM_MASTER_EXEMPLAR	MEDIUM	zodiakal-, kalender- oder iatromathematisch gegliedertes Sektor-/Scheibenrad	zwei unabhängige formale Merk- und Lookup-Räder; Etiketten sind nur Bildadressen	Kein Etikett ist identifiziert; das zweite Rad ist unverbunden, und eine seitenweite 7×12-Komposition ist nicht sichtbar.	SOURCE_LOCUS_ADDRESS_ONLY; AUTHORIAL_START_DIRECTION_ROTATION_UNPROVEN	NONE	NONE	NONE	LOCAL_CELESTIAL_OR_FORMAL_OWNER_WITH_EXEMPLAR_VALUE; NO_LEXEME_OR_TRANSLATION
4	A1	f67r2	f67r2.4	2	10|11	A1:G010|A1:G011	shekchy|sykos	shekchy sykos	DIRECT_VISIBLE	A1_RIGHT_SECTOR_SLOT_04	A67_RIGHT_CELESTIAL_WHEEL	RIGHT_WHEEL_SECTOR_LABEL	dieser lokale Sektorplatz 04 des rechten f67r2-Rades	zwölfteilige lokale Sektor-/Scheibenordnung im rechten Rad; keine Kante zum linken Rad	Am Besitzer [A1_RIGHT_SECTOR_SLOT_04] setze das vollständige opake Lokaletikett «shekchy sykos». Zeige den Sektor im rechten Rad, kopiere sein örtliches Etikett und schlage nur den rechtsradlokalen Exemplareintrag nach. Das Etikett bleibt eine abschreibbare lokale Identität, keine Wort- oder Kartenbedeutung.	VISIBLE_GROUP_AND_DIRECT_OWNER; FUNCTION_FROM_MASTER_EXEMPLAR	MEDIUM	zodiakal-, kalender- oder iatromathematisch gegliedertes Sektor-/Scheibenrad	zwei unabhängige formale Merk- und Lookup-Räder; Etiketten sind nur Bildadressen	Kein Etikett ist identifiziert; das zweite Rad ist unverbunden, und eine seitenweite 7×12-Komposition ist nicht sichtbar.	SOURCE_LOCUS_ADDRESS_ONLY; AUTHORIAL_START_DIRECTION_ROTATION_UNPROVEN	NONE	NONE	NONE	LOCAL_CELESTIAL_OR_FORMAL_OWNER_WITH_EXEMPLAR_VALUE; NO_LEXEME_OR_TRANSLATION
5	A1	f67r2	f67r2.5	2	12|13	A1:G012|A1:G013	ykeody|okchy	ykeody okchy	DIRECT_VISIBLE	A1_RIGHT_SECTOR_SLOT_05	A67_RIGHT_CELESTIAL_WHEEL	RIGHT_WHEEL_SECTOR_LABEL	dieser lokale Sektorplatz 05 des rechten f67r2-Rades	zwölfteilige lokale Sektor-/Scheibenordnung im rechten Rad; keine Kante zum linken Rad	Am Besitzer [A1_RIGHT_SECTOR_SLOT_05] setze das vollständige opake Lokaletikett «ykeody okchy». Zeige den Sektor im rechten Rad, kopiere sein örtliches Etikett und schlage nur den rechtsradlokalen Exemplareintrag nach. Das Etikett bleibt eine abschreibbare lokale Identität, keine Wort- oder Kartenbedeutung.	VISIBLE_GROUP_AND_DIRECT_OWNER; FUNCTION_FROM_MASTER_EXEMPLAR	MEDIUM	zodiakal-, kalender- oder iatromathematisch gegliedertes Sektor-/Scheibenrad	zwei unabhängige formale Merk- und Lookup-Räder; Etiketten sind nur Bildadressen	Kein Etikett ist identifiziert; das zweite Rad ist unverbunden, und eine seitenweite 7×12-Komposition ist nicht sichtbar.	SOURCE_LOCUS_ADDRESS_ONLY; AUTHORIAL_START_DIRECTION_ROTATION_UNPROVEN	NONE	NONE	NONE	LOCAL_CELESTIAL_OR_FORMAL_OWNER_WITH_EXEMPLAR_VALUE; NO_LEXEME_OR_TRANSLATION
6	A1	f67r2	f67r2.6	1	14	A1:G014	dchetay	dchetay	DIRECT_VISIBLE	A1_RIGHT_SECTOR_SLOT_06	A67_RIGHT_CELESTIAL_WHEEL	RIGHT_WHEEL_SECTOR_LABEL	dieser lokale Sektorplatz 06 des rechten f67r2-Rades	zwölfteilige lokale Sektor-/Scheibenordnung im rechten Rad; keine Kante zum linken Rad	Am Besitzer [A1_RIGHT_SECTOR_SLOT_06] setze das vollständige opake Lokaletikett «dchetay». Zeige den Sektor im rechten Rad, kopiere sein örtliches Etikett und schlage nur den rechtsradlokalen Exemplareintrag nach. Das Etikett bleibt eine abschreibbare lokale Identität, keine Wort- oder Kartenbedeutung.	VISIBLE_GROUP_AND_DIRECT_OWNER; FUNCTION_FROM_MASTER_EXEMPLAR	MEDIUM	zodiakal-, kalender- oder iatromathematisch gegliedertes Sektor-/Scheibenrad	zwei unabhängige formale Merk- und Lookup-Räder; Etiketten sind nur Bildadressen	Kein Etikett ist identifiziert; das zweite Rad ist unverbunden, und eine seitenweite 7×12-Komposition ist nicht sichtbar.	SOURCE_LOCUS_ADDRESS_ONLY; AUTHORIAL_START_DIRECTION_ROTATION_UNPROVEN	NONE	NONE	NONE	LOCAL_CELESTIAL_OR_FORMAL_OWNER_WITH_EXEMPLAR_VALUE; NO_LEXEME_OR_TRANSLATION
7	A1	f67r2	f67r2.7	3	15|16|17	A1:G015|A1:G016|A1:G017	ykchy|kchey|ykchys	ykchy kchey ykchys	DIRECT_VISIBLE	A1_RIGHT_SECTOR_SLOT_07	A67_RIGHT_CELESTIAL_WHEEL	RIGHT_WHEEL_SECTOR_LABEL	dieser lokale Sektorplatz 07 des rechten f67r2-Rades	zwölfteilige lokale Sektor-/Scheibenordnung im rechten Rad; keine Kante zum linken Rad	Am Besitzer [A1_RIGHT_SECTOR_SLOT_07] setze das vollständige opake Lokaletikett «ykchy kchey ykchys». Zeige den Sektor im rechten Rad, kopiere sein örtliches Etikett und schlage nur den rechtsradlokalen Exemplareintrag nach. Das Etikett bleibt eine abschreibbare lokale Identität, keine Wort- oder Kartenbedeutung.	VISIBLE_GROUP_AND_DIRECT_OWNER; FUNCTION_FROM_MASTER_EXEMPLAR	MEDIUM	zodiakal-, kalender- oder iatromathematisch gegliedertes Sektor-/Scheibenrad	zwei unabhängige formale Merk- und Lookup-Räder; Etiketten sind nur Bildadressen	Kein Etikett ist identifiziert; das zweite Rad ist unverbunden, und eine seitenweite 7×12-Komposition ist nicht sichtbar.	SOURCE_LOCUS_ADDRESS_ONLY; AUTHORIAL_START_DIRECTION_ROTATION_UNPROVEN	NONE	NONE	NONE	LOCAL_CELESTIAL_OR_FORMAL_OWNER_WITH_EXEMPLAR_VALUE; NO_LEXEME_OR_TRANSLATION
8	A1	f67r2	f67r2.8	1	18	A1:G018	chkchdar	chkchdar	DIRECT_VISIBLE	A1_RIGHT_SECTOR_SLOT_08	A67_RIGHT_CELESTIAL_WHEEL	RIGHT_WHEEL_SECTOR_LABEL	dieser lokale Sektorplatz 08 des rechten f67r2-Rades	zwölfteilige lokale Sektor-/Scheibenordnung im rechten Rad; keine Kante zum linken Rad	Am Besitzer [A1_RIGHT_SECTOR_SLOT_08] setze das vollständige opake Lokaletikett «chkchdar». Zeige den Sektor im rechten Rad, kopiere sein örtliches Etikett und schlage nur den rechtsradlokalen Exemplareintrag nach. Das Etikett bleibt eine abschreibbare lokale Identität, keine Wort- oder Kartenbedeutung.	VISIBLE_GROUP_AND_DIRECT_OWNER; FUNCTION_FROM_MASTER_EXEMPLAR	MEDIUM	zodiakal-, kalender- oder iatromathematisch gegliedertes Sektor-/Scheibenrad	zwei unabhängige formale Merk- und Lookup-Räder; Etiketten sind nur Bildadressen	Kein Etikett ist identifiziert; das zweite Rad ist unverbunden, und eine seitenweite 7×12-Komposition ist nicht sichtbar.	SOURCE_LOCUS_ADDRESS_ONLY; AUTHORIAL_START_DIRECTION_ROTATION_UNPROVEN	NONE	NONE	NONE	LOCAL_CELESTIAL_OR_FORMAL_OWNER_WITH_EXEMPLAR_VALUE; NO_LEXEME_OR_TRANSLATION
9	A1	f67r2	f67r2.9	2	19|20	A1:G019|A1:G020	ykar|ykaly	ykar ykaly	DIRECT_VISIBLE	A1_RIGHT_SECTOR_SLOT_09	A67_RIGHT_CELESTIAL_WHEEL	RIGHT_WHEEL_SECTOR_LABEL	dieser lokale Sektorplatz 09 des rechten f67r2-Rades	zwölfteilige lokale Sektor-/Scheibenordnung im rechten Rad; keine Kante zum linken Rad	Am Besitzer [A1_RIGHT_SECTOR_SLOT_09] setze das vollständige opake Lokaletikett «ykar ykaly». Zeige den Sektor im rechten Rad, kopiere sein örtliches Etikett und schlage nur den rechtsradlokalen Exemplareintrag nach. Das Etikett bleibt eine abschreibbare lokale Identität, keine Wort- oder Kartenbedeutung.	VISIBLE_GROUP_AND_DIRECT_OWNER; FUNCTION_FROM_MASTER_EXEMPLAR	MEDIUM	zodiakal-, kalender- oder iatromathematisch gegliedertes Sektor-/Scheibenrad	zwei unabhängige formale Merk- und Lookup-Räder; Etiketten sind nur Bildadressen	Kein Etikett ist identifiziert; das zweite Rad ist unverbunden, und eine seitenweite 7×12-Komposition ist nicht sichtbar.	SOURCE_LOCUS_ADDRESS_ONLY; AUTHORIAL_START_DIRECTION_ROTATION_UNPROVEN	NONE	NONE	NONE	LOCAL_CELESTIAL_OR_FORMAL_OWNER_WITH_EXEMPLAR_VALUE; NO_LEXEME_OR_TRANSLATION
10	A1	f67r2	f67r2.10	3	21|22|23	A1:G021|A1:G022|A1:G023	lkshy|kchy|okar	lkshy kchy okar	DIRECT_VISIBLE	A1_RIGHT_SECTOR_SLOT_10	A67_RIGHT_CELESTIAL_WHEEL	RIGHT_WHEEL_SECTOR_LABEL	dieser lokale Sektorplatz 10 des rechten f67r2-Rades	zwölfteilige lokale Sektor-/Scheibenordnung im rechten Rad; keine Kante zum linken Rad	Am Besitzer [A1_RIGHT_SECTOR_SLOT_10] setze das vollständige opake Lokaletikett «lkshy kchy okar». Zeige den Sektor im rechten Rad, kopiere sein örtliches Etikett und schlage nur den rechtsradlokalen Exemplareintrag nach. Das Etikett bleibt eine abschreibbare lokale Identität, keine Wort- oder Kartenbedeutung.	VISIBLE_GROUP_AND_DIRECT_OWNER; FUNCTION_FROM_MASTER_EXEMPLAR	MEDIUM	zodiakal-, kalender- oder iatromathematisch gegliedertes Sektor-/Scheibenrad	zwei unabhängige formale Merk- und Lookup-Räder; Etiketten sind nur Bildadressen	Kein Etikett ist identifiziert; das zweite Rad ist unverbunden, und eine seitenweite 7×12-Komposition ist nicht sichtbar.	SOURCE_LOCUS_ADDRESS_ONLY; AUTHORIAL_START_DIRECTION_ROTATION_UNPROVEN	NONE	NONE	NONE	LOCAL_CELESTIAL_OR_FORMAL_OWNER_WITH_EXEMPLAR_VALUE; NO_LEXEME_OR_TRANSLATION
