group_serial	diagram_id	page	locus	event_index	opaque_local_id	surface_display_only	owner_status	local_namespace_owner	exact_literal_layer	concrete_local_default	source_class	confidence	historical_celestial_rival	technical_or_formal_rival	strongest_contradiction	orientation_status	cross_namespace_mapping	semantic_ceiling
1	A1	f67r2	f67r2.1	1	A1:G001	ykshy	DIRECT_VISIBLE	A1_RIGHT_SECTOR_SLOT_01	[SURFACE:ykshy] > [OPAQUE_LOCAL:A1:G001] > [OWNER:A1_RIGHT_SECTOR_SLOT_01] > [EXEMPLAR:LOCAL_CELESTIAL_LABEL_OR_RULE_FRAGMENT]	Am lokalen Himmelsfeld „A1_RIGHT_SECTOR_SLOT_01“ das Beschriftungsfragment 1 der zugehörigen Sektorbeziehung eintragen und nur innerhalb dieses Rades nachschlagen.	PAIRED_CELESTIAL_RELATION_WHEEL_LOCAL_LOOKUP	0.34	Iatromathematischer Rivale: örtliche Zeichen-, Körper- oder Wahlrelation; konkrete Namen bleiben im Exemplar.	Das Fragment ist nur eine opake kopierte Beschriftung des sichtbaren Diagrammpostens, ohne rekonstruierbaren Sachwert.	Weder Oberfläche noch Position identifiziert den externen Namen, die Tätigkeit, den Startpunkt oder die Leserichtung.	EDITORIAL_LOCUS_ORDER_ONLY; AUTHORIAL_START_DIRECTION_ROTATION_UNPROVEN	NONE	CONCRETE_LOCAL_EXEMPLAR_NOT_TRANSLATED_WORD_OR_CROSS_PAGE_KEY
2	A1	f67r2	f67r2.1	2	A1:G002	s	DIRECT_VISIBLE	A1_RIGHT_SECTOR_SLOT_01	[SURFACE:s] > [OPAQUE_LOCAL:A1:G002] > [OWNER:A1_RIGHT_SECTOR_SLOT_01] > [EXEMPLAR:LOCAL_CELESTIAL_LABEL_OR_RULE_FRAGMENT]	Am lokalen Himmelsfeld „A1_RIGHT_SECTOR_SLOT_01“ das Beschriftungsfragment 2 der zugehörigen Sektorbeziehung eintragen und nur innerhalb dieses Rades nachschlagen.	PAIRED_CELESTIAL_RELATION_WHEEL_LOCAL_LOOKUP	0.34	Iatromathematischer Rivale: örtliche Zeichen-, Körper- oder Wahlrelation; konkrete Namen bleiben im Exemplar.	Das Fragment ist nur eine opake kopierte Beschriftung des sichtbaren Diagrammpostens, ohne rekonstruierbaren Sachwert.	Weder Oberfläche noch Position identifiziert den externen Namen, die Tätigkeit, den Startpunkt oder die Leserichtung.	EDITORIAL_LOCUS_ORDER_ONLY; AUTHORIAL_START_DIRECTION_ROTATION_UNPROVEN	NONE	CONCRETE_LOCAL_EXEMPLAR_NOT_TRANSLATED_WORD_OR_CROSS_PAGE_KEY
3	A1	f67r2	f67r2.1	3	A1:G003	aram	DIRECT_VISIBLE	A1_RIGHT_SECTOR_SLOT_01	[SURFACE:aram] > [OPAQUE_LOCAL:A1:G003] > [OWNER:A1_RIGHT_SECTOR_SLOT_01] > [EXEMPLAR:LOCAL_CELESTIAL_LABEL_OR_RULE_FRAGMENT]	Am lokalen Himmelsfeld „A1_RIGHT_SECTOR_SLOT_01“ das Beschriftungsfragment 3 der zugehörigen Sektorbeziehung eintragen und nur innerhalb dieses Rades nachschlagen.	PAIRED_CELESTIAL_RELATION_WHEEL_LOCAL_LOOKUP	0.34	Iatromathematischer Rivale: örtliche Zeichen-, Körper- oder Wahlrelation; konkrete Namen bleiben im Exemplar.	Das Fragment ist nur eine opake kopierte Beschriftung des sichtbaren Diagrammpostens, ohne rekonstruierbaren Sachwert.	Weder Oberfläche noch Position identifiziert den externen Namen, die Tätigkeit, den Startpunkt oder die Leserichtung.	EDITORIAL_LOCUS_ORDER_ONLY; AUTHORIAL_START_DIRECTION_ROTATION_UNPROVEN	NONE	CONCRETE_LOCAL_EXEMPLAR_NOT_TRANSLATED_WORD_OR_CROSS_PAGE_KEY
4	A1	f67r2	f67r2.2	1	A1:G004	ykecho	DIRECT_VISIBLE	A1_RIGHT_SECTOR_SLOT_02	[SURFACE:ykecho] > [OPAQUE_LOCAL:A1:G004] > [OWNER:A1_RIGHT_SECTOR_SLOT_02] > [EXEMPLAR:LOCAL_CELESTIAL_LABEL_OR_RULE_FRAGMENT]	Am lokalen Himmelsfeld „A1_RIGHT_SECTOR_SLOT_02“ das Beschriftungsfragment 1 der zugehörigen Sektorbeziehung eintragen und nur innerhalb dieses Rades nachschlagen.	PAIRED_CELESTIAL_RELATION_WHEEL_LOCAL_LOOKUP	0.34	Iatromathematischer Rivale: örtliche Zeichen-, Körper- oder Wahlrelation; konkrete Namen bleiben im Exemplar.	Das Fragment ist nur eine opake kopierte Beschriftung des sichtbaren Diagrammpostens, ohne rekonstruierbaren Sachwert.	Weder Oberfläche noch Position identifiziert den externen Namen, die Tätigkeit, den Startpunkt oder die Leserichtung.	EDITORIAL_LOCUS_ORDER_ONLY; AUTHORIAL_START_DIRECTION_ROTATION_UNPROVEN	NONE	CONCRETE_LOCAL_EXEMPLAR_NOT_TRANSLATED_WORD_OR_CROSS_PAGE_KEY
5	A1	f67r2	f67r2.2	2	A1:G005	ols	DIRECT_VISIBLE	A1_RIGHT_SECTOR_SLOT_02	[SURFACE:ols] > [OPAQUE_LOCAL:A1:G005] > [OWNER:A1_RIGHT_SECTOR_SLOT_02] > [EXEMPLAR:LOCAL_CELESTIAL_LABEL_OR_RULE_FRAGMENT]	Am lokalen Himmelsfeld „A1_RIGHT_SECTOR_SLOT_02“ das Beschriftungsfragment 2 der zugehörigen Sektorbeziehung eintragen und nur innerhalb dieses Rades nachschlagen.	PAIRED_CELESTIAL_RELATION_WHEEL_LOCAL_LOOKUP	0.34	Iatromathematischer Rivale: örtliche Zeichen-, Körper- oder Wahlrelation; konkrete Namen bleiben im Exemplar.	Das Fragment ist nur eine opake kopierte Beschriftung des sichtbaren Diagrammpostens, ohne rekonstruierbaren Sachwert.	Weder Oberfläche noch Position identifiziert den externen Namen, die Tätigkeit, den Startpunkt oder die Leserichtung.	EDITORIAL_LOCUS_ORDER_ONLY; AUTHORIAL_START_DIRECTION_ROTATION_UNPROVEN	NONE	CONCRETE_LOCAL_EXEMPLAR_NOT_TRANSLATED_WORD_OR_CROSS_PAGE_KEY
6	A1	f67r2	f67r2.2	3	A1:G006	eesydy	DIRECT_VISIBLE	A1_RIGHT_SECTOR_SLOT_02	[SURFACE:eesydy] > [OPAQUE_LOCAL:A1:G006] > [OWNER:A1_RIGHT_SECTOR_SLOT_02] > [EXEMPLAR:LOCAL_CELESTIAL_LABEL_OR_RULE_FRAGMENT]	Am lokalen Himmelsfeld „A1_RIGHT_SECTOR_SLOT_02“ das Beschriftungsfragment 3 der zugehörigen Sektorbeziehung eintragen und nur innerhalb dieses Rades nachschlagen.	PAIRED_CELESTIAL_RELATION_WHEEL_LOCAL_LOOKUP	0.34	Iatromathematischer Rivale: örtliche Zeichen-, Körper- oder Wahlrelation; konkrete Namen bleiben im Exemplar.	Das Fragment ist nur eine opake kopierte Beschriftung des sichtbaren Diagrammpostens, ohne rekonstruierbaren Sachwert.	Weder Oberfläche noch Position identifiziert den externen Namen, die Tätigkeit, den Startpunkt oder die Leserichtung.	EDITORIAL_LOCUS_ORDER_ONLY; AUTHORIAL_START_DIRECTION_ROTATION_UNPROVEN	NONE	CONCRETE_LOCAL_EXEMPLAR_NOT_TRANSLATED_WORD_OR_CROSS_PAGE_KEY
7	A1	f67r2	f67r2.3	1	A1:G007	ey	DIRECT_VISIBLE	A1_RIGHT_SECTOR_SLOT_03	[SURFACE:ey] > [OPAQUE_LOCAL:A1:G007] > [OWNER:A1_RIGHT_SECTOR_SLOT_03] > [EXEMPLAR:LOCAL_CELESTIAL_LABEL_OR_RULE_FRAGMENT]	Am lokalen Himmelsfeld „A1_RIGHT_SECTOR_SLOT_03“ das Beschriftungsfragment 1 der zugehörigen Sektorbeziehung eintragen und nur innerhalb dieses Rades nachschlagen.	PAIRED_CELESTIAL_RELATION_WHEEL_LOCAL_LOOKUP	0.34	Iatromathematischer Rivale: örtliche Zeichen-, Körper- oder Wahlrelation; konkrete Namen bleiben im Exemplar.	Das Fragment ist nur eine opake kopierte Beschriftung des sichtbaren Diagrammpostens, ohne rekonstruierbaren Sachwert.	Weder Oberfläche noch Position identifiziert den externen Namen, die Tätigkeit, den Startpunkt oder die Leserichtung.	EDITORIAL_LOCUS_ORDER_ONLY; AUTHORIAL_START_DIRECTION_ROTATION_UNPROVEN	NONE	CONCRETE_LOCAL_EXEMPLAR_NOT_TRANSLATED_WORD_OR_CROSS_PAGE_KEY
8	A1	f67r2	f67r2.3	2	A1:G008	shs	DIRECT_VISIBLE	A1_RIGHT_SECTOR_SLOT_03	[SURFACE:shs] > [OPAQUE_LOCAL:A1:G008] > [OWNER:A1_RIGHT_SECTOR_SLOT_03] > [EXEMPLAR:LOCAL_CELESTIAL_LABEL_OR_RULE_FRAGMENT]	Am lokalen Himmelsfeld „A1_RIGHT_SECTOR_SLOT_03“ das Beschriftungsfragment 2 der zugehörigen Sektorbeziehung eintragen und nur innerhalb dieses Rades nachschlagen.	PAIRED_CELESTIAL_RELATION_WHEEL_LOCAL_LOOKUP	0.34	Iatromathematischer Rivale: örtliche Zeichen-, Körper- oder Wahlrelation; konkrete Namen bleiben im Exemplar.	Das Fragment ist nur eine opake kopierte Beschriftung des sichtbaren Diagrammpostens, ohne rekonstruierbaren Sachwert.	Weder Oberfläche noch Position identifiziert den externen Namen, die Tätigkeit, den Startpunkt oder die Leserichtung.	EDITORIAL_LOCUS_ORDER_ONLY; AUTHORIAL_START_DIRECTION_ROTATION_UNPROVEN	NONE	CONCRETE_LOCAL_EXEMPLAR_NOT_TRANSLATED_WORD_OR_CROSS_PAGE_KEY
9	A1	f67r2	f67r2.3	3	A1:G009	okar	DIRECT_VISIBLE	A1_RIGHT_SECTOR_SLOT_03	[SURFACE:okar] > [OPAQUE_LOCAL:A1:G009] > [OWNER:A1_RIGHT_SECTOR_SLOT_03] > [EXEMPLAR:LOCAL_CELESTIAL_LABEL_OR_RULE_FRAGMENT]	Am lokalen Himmelsfeld „A1_RIGHT_SECTOR_SLOT_03“ das Beschriftungsfragment 3 der zugehörigen Sektorbeziehung eintragen und nur innerhalb dieses Rades nachschlagen.	PAIRED_CELESTIAL_RELATION_WHEEL_LOCAL_LOOKUP	0.34	Iatromathematischer Rivale: örtliche Zeichen-, Körper- oder Wahlrelation; konkrete Namen bleiben im Exemplar.	Das Fragment ist nur eine opake kopierte Beschriftung des sichtbaren Diagrammpostens, ohne rekonstruierbaren Sachwert.	Weder Oberfläche noch Position identifiziert den externen Namen, die Tätigkeit, den Startpunkt oder die Leserichtung.	EDITORIAL_LOCUS_ORDER_ONLY; AUTHORIAL_START_DIRECTION_ROTATION_UNPROVEN	NONE	CONCRETE_LOCAL_EXEMPLAR_NOT_TRANSLATED_WORD_OR_CROSS_PAGE_KEY
10	A1	f67r2	f67r2.4	1	A1:G010	shekchy	DIRECT_VISIBLE	A1_RIGHT_SECTOR_SLOT_04	[SURFACE:shekchy] > [OPAQUE_LOCAL:A1:G010] > [OWNER:A1_RIGHT_SECTOR_SLOT_04] > [EXEMPLAR:LOCAL_CELESTIAL_LABEL_OR_RULE_FRAGMENT]	Am lokalen Himmelsfeld „A1_RIGHT_SECTOR_SLOT_04“ das Beschriftungsfragment 1 der zugehörigen Sektorbeziehung eintragen und nur innerhalb dieses Rades nachschlagen.	PAIRED_CELESTIAL_RELATION_WHEEL_LOCAL_LOOKUP	0.34	Iatromathematischer Rivale: örtliche Zeichen-, Körper- oder Wahlrelation; konkrete Namen bleiben im Exemplar.	Das Fragment ist nur eine opake kopierte Beschriftung des sichtbaren Diagrammpostens, ohne rekonstruierbaren Sachwert.	Weder Oberfläche noch Position identifiziert den externen Namen, die Tätigkeit, den Startpunkt oder die Leserichtung.	EDITORIAL_LOCUS_ORDER_ONLY; AUTHORIAL_START_DIRECTION_ROTATION_UNPROVEN	NONE	CONCRETE_LOCAL_EXEMPLAR_NOT_TRANSLATED_WORD_OR_CROSS_PAGE_KEY
