local_locus_id	diagram_id	page	source_locus	locus_ordinal_editorial	group_count	local_group_ids	surface_sequence_display_only_exact	v75_local_namespace	v75_instrument_id	smallest_visible_owner	owner_status	local_lookup_address	source_class	formal_role_sequence_address_only	complete_concrete_technical_locus_reading	orientation_and_start_alternatives	crosspage_contract	confidence	iatromedical_rival	formal_iconographic_rival	visible_basis	contradiction	semantic_ceiling
A1:L001	A1	f67r2	f67r2.1	1	3	A1:G001|A1:G002|A1:G003	ykshy s aram	F67_RIGHT_WHEEL_NS	F67_RIGHT_WHEEL	A1_RIGHT_SECTOR_SLOT_01	DIRECT_VISIBLE	F67_RIGHT_WHEEL_NS/A1_RIGHT_SECTOR_SLOT_01	OPAQUE_GROUP_AT_DIRECT_VISIBLE_LOCAL_SLOT	COLUMN_KEY > COLUMN_DESCRIPTOR_FRAGMENT > COLUMN_DESCRIPTOR_FRAGMENT	Öffne am rechten f67r2-Rad ausschließlich den Besitzer „A1_RIGHT_SECTOR_SLOT_01“. Kopiere die sichtbare Gruppe „ykshy“ als Fragment 1/3 in den örtlichen Ergebnisposten. Wähle weder Anfang noch Drehsinn und rufe kein linkes Radfeld auf. Öffne am rechten f67r2-Rad ausschließlich den Besitzer „A1_RIGHT_SECTOR_SLOT_01“. Kopiere die sichtbare Gruppe „s“ als Fragment 2/3 in den örtlichen Ergebnisposten. Wähle weder Anfang noch Drehsinn und rufe kein linkes Radfeld auf. Öffne am rechten f67r2-Rad ausschließlich den Besitzer „A1_RIGHT_SECTOR_SLOT_01“. Kopiere die sichtbare Gruppe „aram“ als Fragment 3/3 in den örtlichen Ergebnisposten. Wähle weder Anfang noch Drehsinn und rufe kein linkes Radfeld auf.	DIRECT_LOCAL_ADDRESS|ARBITRARY_START_CLOCKWISE|ARBITRARY_START_COUNTERCLOCKWISE|REFLECTED_LAYOUT;SELECTED=NONE	PAGE_LOCAL_ONLY;NO_F68_F69_JOIN;NO_COMMON_DIRECTION;NO_PROSE_CARD_VALUE	0.43	IATROMEDICAL_RIVAL: right-hand astrological or iatromathematical election wheel.	FORMAL_RIVAL: celestial diagram labels or decorative radial text without executable content.	zwölfteilige lokale Sektor-/Scheibenordnung im rechten Rad; keine Kante zum linken Rad	zwölfteilige lokale Sektor-/Scheibenordnung im rechten Rad; keine Kante zum linken Rad. Die Seite zeigt zwei verschieden organisierte Räder ohne Verbindung und keine sichtbare 7×12-Matrix. Start, Richtung und der konkrete Exemplarwert bleiben unbestimmt; F67_RIGHT_WHEEL_NS ist nur eine lokale Werkstattadresse.	LOCAL_LOOKUP_LOCUS_NOT_WORD_CARD_MEANING_OR_TRANSLATION
A1:L002	A1	f67r2	f67r2.2	2	3	A1:G004|A1:G005|A1:G006	ykecho ols eesydy	F67_RIGHT_WHEEL_NS	F67_RIGHT_WHEEL	A1_RIGHT_SECTOR_SLOT_02	DIRECT_VISIBLE	F67_RIGHT_WHEEL_NS/A1_RIGHT_SECTOR_SLOT_02	OPAQUE_GROUP_AT_DIRECT_VISIBLE_LOCAL_SLOT	COLUMN_KEY > COLUMN_DESCRIPTOR_FRAGMENT > COLUMN_DESCRIPTOR_FRAGMENT	Öffne am rechten f67r2-Rad ausschließlich den Besitzer „A1_RIGHT_SECTOR_SLOT_02“. Kopiere die sichtbare Gruppe „ykecho“ als Fragment 1/3 in den örtlichen Ergebnisposten. Wähle weder Anfang noch Drehsinn und rufe kein linkes Radfeld auf. Öffne am rechten f67r2-Rad ausschließlich den Besitzer „A1_RIGHT_SECTOR_SLOT_02“. Kopiere die sichtbare Gruppe „ols“ als Fragment 2/3 in den örtlichen Ergebnisposten. Wähle weder Anfang noch Drehsinn und rufe kein linkes Radfeld auf. Öffne am rechten f67r2-Rad ausschließlich den Besitzer „A1_RIGHT_SECTOR_SLOT_02“. Kopiere die sichtbare Gruppe „eesydy“ als Fragment 3/3 in den örtlichen Ergebnisposten. Wähle weder Anfang noch Drehsinn und rufe kein linkes Radfeld auf.	DIRECT_LOCAL_ADDRESS|ARBITRARY_START_CLOCKWISE|ARBITRARY_START_COUNTERCLOCKWISE|REFLECTED_LAYOUT;SELECTED=NONE	PAGE_LOCAL_ONLY;NO_F68_F69_JOIN;NO_COMMON_DIRECTION;NO_PROSE_CARD_VALUE	0.43	IATROMEDICAL_RIVAL: right-hand astrological or iatromathematical election wheel.	FORMAL_RIVAL: celestial diagram labels or decorative radial text without executable content.	zwölfteilige lokale Sektor-/Scheibenordnung im rechten Rad; keine Kante zum linken Rad	zwölfteilige lokale Sektor-/Scheibenordnung im rechten Rad; keine Kante zum linken Rad. Die Seite zeigt zwei verschieden organisierte Räder ohne Verbindung und keine sichtbare 7×12-Matrix. Start, Richtung und der konkrete Exemplarwert bleiben unbestimmt; F67_RIGHT_WHEEL_NS ist nur eine lokale Werkstattadresse.	LOCAL_LOOKUP_LOCUS_NOT_WORD_CARD_MEANING_OR_TRANSLATION
A1:L003	A1	f67r2	f67r2.3	3	3	A1:G007|A1:G008|A1:G009	ey shs okar	F67_RIGHT_WHEEL_NS	F67_RIGHT_WHEEL	A1_RIGHT_SECTOR_SLOT_03	DIRECT_VISIBLE	F67_RIGHT_WHEEL_NS/A1_RIGHT_SECTOR_SLOT_03	OPAQUE_GROUP_AT_DIRECT_VISIBLE_LOCAL_SLOT	COLUMN_KEY > COLUMN_DESCRIPTOR_FRAGMENT > COLUMN_DESCRIPTOR_FRAGMENT	Öffne am rechten f67r2-Rad ausschließlich den Besitzer „A1_RIGHT_SECTOR_SLOT_03“. Kopiere die sichtbare Gruppe „ey“ als Fragment 1/3 in den örtlichen Ergebnisposten. Wähle weder Anfang noch Drehsinn und rufe kein linkes Radfeld auf. Öffne am rechten f67r2-Rad ausschließlich den Besitzer „A1_RIGHT_SECTOR_SLOT_03“. Kopiere die sichtbare Gruppe „shs“ als Fragment 2/3 in den örtlichen Ergebnisposten. Wähle weder Anfang noch Drehsinn und rufe kein linkes Radfeld auf. Öffne am rechten f67r2-Rad ausschließlich den Besitzer „A1_RIGHT_SECTOR_SLOT_03“. Kopiere die sichtbare Gruppe „okar“ als Fragment 3/3 in den örtlichen Ergebnisposten. Wähle weder Anfang noch Drehsinn und rufe kein linkes Radfeld auf.	DIRECT_LOCAL_ADDRESS|ARBITRARY_START_CLOCKWISE|ARBITRARY_START_COUNTERCLOCKWISE|REFLECTED_LAYOUT;SELECTED=NONE	PAGE_LOCAL_ONLY;NO_F68_F69_JOIN;NO_COMMON_DIRECTION;NO_PROSE_CARD_VALUE	0.43	IATROMEDICAL_RIVAL: right-hand astrological or iatromathematical election wheel.	FORMAL_RIVAL: celestial diagram labels or decorative radial text without executable content.	zwölfteilige lokale Sektor-/Scheibenordnung im rechten Rad; keine Kante zum linken Rad	zwölfteilige lokale Sektor-/Scheibenordnung im rechten Rad; keine Kante zum linken Rad. Die Seite zeigt zwei verschieden organisierte Räder ohne Verbindung und keine sichtbare 7×12-Matrix. Start, Richtung und der konkrete Exemplarwert bleiben unbestimmt; F67_RIGHT_WHEEL_NS ist nur eine lokale Werkstattadresse.	LOCAL_LOOKUP_LOCUS_NOT_WORD_CARD_MEANING_OR_TRANSLATION
A1:L004	A1	f67r2	f67r2.4	4	2	A1:G010|A1:G011	shekchy sykos	F67_RIGHT_WHEEL_NS	F67_RIGHT_WHEEL	A1_RIGHT_SECTOR_SLOT_04	DIRECT_VISIBLE	F67_RIGHT_WHEEL_NS/A1_RIGHT_SECTOR_SLOT_04	OPAQUE_GROUP_AT_DIRECT_VISIBLE_LOCAL_SLOT	COLUMN_KEY > COLUMN_DESCRIPTOR_FRAGMENT	Öffne am rechten f67r2-Rad ausschließlich den Besitzer „A1_RIGHT_SECTOR_SLOT_04“. Kopiere die sichtbare Gruppe „shekchy“ als Fragment 1/2 in den örtlichen Ergebnisposten. Wähle weder Anfang noch Drehsinn und rufe kein linkes Radfeld auf. Öffne am rechten f67r2-Rad ausschließlich den Besitzer „A1_RIGHT_SECTOR_SLOT_04“. Kopiere die sichtbare Gruppe „sykos“ als Fragment 2/2 in den örtlichen Ergebnisposten. Wähle weder Anfang noch Drehsinn und rufe kein linkes Radfeld auf.	DIRECT_LOCAL_ADDRESS|ARBITRARY_START_CLOCKWISE|ARBITRARY_START_COUNTERCLOCKWISE|REFLECTED_LAYOUT;SELECTED=NONE	PAGE_LOCAL_ONLY;NO_F68_F69_JOIN;NO_COMMON_DIRECTION;NO_PROSE_CARD_VALUE	0.43	IATROMEDICAL_RIVAL: right-hand astrological or iatromathematical election wheel.	FORMAL_RIVAL: celestial diagram labels or decorative radial text without executable content.	zwölfteilige lokale Sektor-/Scheibenordnung im rechten Rad; keine Kante zum linken Rad	zwölfteilige lokale Sektor-/Scheibenordnung im rechten Rad; keine Kante zum linken Rad. Die Seite zeigt zwei verschieden organisierte Räder ohne Verbindung und keine sichtbare 7×12-Matrix. Start, Richtung und der konkrete Exemplarwert bleiben unbestimmt; F67_RIGHT_WHEEL_NS ist nur eine lokale Werkstattadresse.	LOCAL_LOOKUP_LOCUS_NOT_WORD_CARD_MEANING_OR_TRANSLATION
A1:L005	A1	f67r2	f67r2.5	5	2	A1:G012|A1:G013	ykeody okchy	F67_RIGHT_WHEEL_NS	F67_RIGHT_WHEEL	A1_RIGHT_SECTOR_SLOT_05	DIRECT_VISIBLE	F67_RIGHT_WHEEL_NS/A1_RIGHT_SECTOR_SLOT_05	OPAQUE_GROUP_AT_DIRECT_VISIBLE_LOCAL_SLOT	COLUMN_KEY > COLUMN_DESCRIPTOR_FRAGMENT	Öffne am rechten f67r2-Rad ausschließlich den Besitzer „A1_RIGHT_SECTOR_SLOT_05“. Kopiere die sichtbare Gruppe „ykeody“ als Fragment 1/2 in den örtlichen Ergebnisposten. Wähle weder Anfang noch Drehsinn und rufe kein linkes Radfeld auf. Öffne am rechten f67r2-Rad ausschließlich den Besitzer „A1_RIGHT_SECTOR_SLOT_05“. Kopiere die sichtbare Gruppe „okchy“ als Fragment 2/2 in den örtlichen Ergebnisposten. Wähle weder Anfang noch Drehsinn und rufe kein linkes Radfeld auf.	DIRECT_LOCAL_ADDRESS|ARBITRARY_START_CLOCKWISE|ARBITRARY_START_COUNTERCLOCKWISE|REFLECTED_LAYOUT;SELECTED=NONE	PAGE_LOCAL_ONLY;NO_F68_F69_JOIN;NO_COMMON_DIRECTION;NO_PROSE_CARD_VALUE	0.43	IATROMEDICAL_RIVAL: right-hand astrological or iatromathematical election wheel.	FORMAL_RIVAL: celestial diagram labels or decorative radial text without executable content.	zwölfteilige lokale Sektor-/Scheibenordnung im rechten Rad; keine Kante zum linken Rad	zwölfteilige lokale Sektor-/Scheibenordnung im rechten Rad; keine Kante zum linken Rad. Die Seite zeigt zwei verschieden organisierte Räder ohne Verbindung und keine sichtbare 7×12-Matrix. Start, Richtung und der konkrete Exemplarwert bleiben unbestimmt; F67_RIGHT_WHEEL_NS ist nur eine lokale Werkstattadresse.	LOCAL_LOOKUP_LOCUS_NOT_WORD_CARD_MEANING_OR_TRANSLATION
A1:L006	A1	f67r2	f67r2.6	6	1	A1:G014	dchetay	F67_RIGHT_WHEEL_NS	F67_RIGHT_WHEEL	A1_RIGHT_SECTOR_SLOT_06	DIRECT_VISIBLE	F67_RIGHT_WHEEL_NS/A1_RIGHT_SECTOR_SLOT_06	OPAQUE_GROUP_AT_DIRECT_VISIBLE_LOCAL_SLOT	COLUMN_KEY	Öffne am rechten f67r2-Rad ausschließlich den Besitzer „A1_RIGHT_SECTOR_SLOT_06“. Kopiere die sichtbare Gruppe „dchetay“ als Fragment 1/1 in den örtlichen Ergebnisposten. Wähle weder Anfang noch Drehsinn und rufe kein linkes Radfeld auf.	DIRECT_LOCAL_ADDRESS|ARBITRARY_START_CLOCKWISE|ARBITRARY_START_COUNTERCLOCKWISE|REFLECTED_LAYOUT;SELECTED=NONE	PAGE_LOCAL_ONLY;NO_F68_F69_JOIN;NO_COMMON_DIRECTION;NO_PROSE_CARD_VALUE	0.43	IATROMEDICAL_RIVAL: right-hand astrological or iatromathematical election wheel.	FORMAL_RIVAL: celestial diagram labels or decorative radial text without executable content.	zwölfteilige lokale Sektor-/Scheibenordnung im rechten Rad; keine Kante zum linken Rad	zwölfteilige lokale Sektor-/Scheibenordnung im rechten Rad; keine Kante zum linken Rad. Die Seite zeigt zwei verschieden organisierte Räder ohne Verbindung und keine sichtbare 7×12-Matrix. Start, Richtung und der konkrete Exemplarwert bleiben unbestimmt; F67_RIGHT_WHEEL_NS ist nur eine lokale Werkstattadresse.	LOCAL_LOOKUP_LOCUS_NOT_WORD_CARD_MEANING_OR_TRANSLATION
A1:L007	A1	f67r2	f67r2.7	7	3	A1:G015|A1:G016|A1:G017	ykchy kchey ykchys	F67_RIGHT_WHEEL_NS	F67_RIGHT_WHEEL	A1_RIGHT_SECTOR_SLOT_07	DIRECT_VISIBLE	F67_RIGHT_WHEEL_NS/A1_RIGHT_SECTOR_SLOT_07	OPAQUE_GROUP_AT_DIRECT_VISIBLE_LOCAL_SLOT	COLUMN_KEY > COLUMN_DESCRIPTOR_FRAGMENT > COLUMN_DESCRIPTOR_FRAGMENT	Öffne am rechten f67r2-Rad ausschließlich den Besitzer „A1_RIGHT_SECTOR_SLOT_07“. Kopiere die sichtbare Gruppe „ykchy“ als Fragment 1/3 in den örtlichen Ergebnisposten. Wähle weder Anfang noch Drehsinn und rufe kein linkes Radfeld auf. Öffne am rechten f67r2-Rad ausschließlich den Besitzer „A1_RIGHT_SECTOR_SLOT_07“. Kopiere die sichtbare Gruppe „kchey“ als Fragment 2/3 in den örtlichen Ergebnisposten. Wähle weder Anfang noch Drehsinn und rufe kein linkes Radfeld auf. Öffne am rechten f67r2-Rad ausschließlich den Besitzer „A1_RIGHT_SECTOR_SLOT_07“. Kopiere die sichtbare Gruppe „ykchys“ als Fragment 3/3 in den örtlichen Ergebnisposten. Wähle weder Anfang noch Drehsinn und rufe kein linkes Radfeld auf.	DIRECT_LOCAL_ADDRESS|ARBITRARY_START_CLOCKWISE|ARBITRARY_START_COUNTERCLOCKWISE|REFLECTED_LAYOUT;SELECTED=NONE	PAGE_LOCAL_ONLY;NO_F68_F69_JOIN;NO_COMMON_DIRECTION;NO_PROSE_CARD_VALUE	0.43	IATROMEDICAL_RIVAL: right-hand astrological or iatromathematical election wheel.	FORMAL_RIVAL: celestial diagram labels or decorative radial text without executable content.	zwölfteilige lokale Sektor-/Scheibenordnung im rechten Rad; keine Kante zum linken Rad	zwölfteilige lokale Sektor-/Scheibenordnung im rechten Rad; keine Kante zum linken Rad. Die Seite zeigt zwei verschieden organisierte Räder ohne Verbindung und keine sichtbare 7×12-Matrix. Start, Richtung und der konkrete Exemplarwert bleiben unbestimmt; F67_RIGHT_WHEEL_NS ist nur eine lokale Werkstattadresse.	LOCAL_LOOKUP_LOCUS_NOT_WORD_CARD_MEANING_OR_TRANSLATION
A1:L008	A1	f67r2	f67r2.8	8	1	A1:G018	chkchdar	F67_RIGHT_WHEEL_NS	F67_RIGHT_WHEEL	A1_RIGHT_SECTOR_SLOT_08	DIRECT_VISIBLE	F67_RIGHT_WHEEL_NS/A1_RIGHT_SECTOR_SLOT_08	OPAQUE_GROUP_AT_DIRECT_VISIBLE_LOCAL_SLOT	COLUMN_KEY	Öffne am rechten f67r2-Rad ausschließlich den Besitzer „A1_RIGHT_SECTOR_SLOT_08“. Kopiere die sichtbare Gruppe „chkchdar“ als Fragment 1/1 in den örtlichen Ergebnisposten. Wähle weder Anfang noch Drehsinn und rufe kein linkes Radfeld auf.	DIRECT_LOCAL_ADDRESS|ARBITRARY_START_CLOCKWISE|ARBITRARY_START_COUNTERCLOCKWISE|REFLECTED_LAYOUT;SELECTED=NONE	PAGE_LOCAL_ONLY;NO_F68_F69_JOIN;NO_COMMON_DIRECTION;NO_PROSE_CARD_VALUE	0.43	IATROMEDICAL_RIVAL: right-hand astrological or iatromathematical election wheel.	FORMAL_RIVAL: celestial diagram labels or decorative radial text without executable content.	zwölfteilige lokale Sektor-/Scheibenordnung im rechten Rad; keine Kante zum linken Rad	zwölfteilige lokale Sektor-/Scheibenordnung im rechten Rad; keine Kante zum linken Rad. Die Seite zeigt zwei verschieden organisierte Räder ohne Verbindung und keine sichtbare 7×12-Matrix. Start, Richtung und der konkrete Exemplarwert bleiben unbestimmt; F67_RIGHT_WHEEL_NS ist nur eine lokale Werkstattadresse.	LOCAL_LOOKUP_LOCUS_NOT_WORD_CARD_MEANING_OR_TRANSLATION
A1:L009	A1	f67r2	f67r2.9	9	2	A1:G019|A1:G020	ykar ykaly	F67_RIGHT_WHEEL_NS	F67_RIGHT_WHEEL	A1_RIGHT_SECTOR_SLOT_09	DIRECT_VISIBLE	F67_RIGHT_WHEEL_NS/A1_RIGHT_SECTOR_SLOT_09	OPAQUE_GROUP_AT_DIRECT_VISIBLE_LOCAL_SLOT	COLUMN_KEY > COLUMN_DESCRIPTOR_FRAGMENT	Öffne am rechten f67r2-Rad ausschließlich den Besitzer „A1_RIGHT_SECTOR_SLOT_09“. Kopiere die sichtbare Gruppe „ykar“ als Fragment 1/2 in den örtlichen Ergebnisposten. Wähle weder Anfang noch Drehsinn und rufe kein linkes Radfeld auf. Öffne am rechten f67r2-Rad ausschließlich den Besitzer „A1_RIGHT_SECTOR_SLOT_09“. Kopiere die sichtbare Gruppe „ykaly“ als Fragment 2/2 in den örtlichen Ergebnisposten. Wähle weder Anfang noch Drehsinn und rufe kein linkes Radfeld auf.	DIRECT_LOCAL_ADDRESS|ARBITRARY_START_CLOCKWISE|ARBITRARY_START_COUNTERCLOCKWISE|REFLECTED_LAYOUT;SELECTED=NONE	PAGE_LOCAL_ONLY;NO_F68_F69_JOIN;NO_COMMON_DIRECTION;NO_PROSE_CARD_VALUE	0.43	IATROMEDICAL_RIVAL: right-hand astrological or iatromathematical election wheel.	FORMAL_RIVAL: celestial diagram labels or decorative radial text without executable content.	zwölfteilige lokale Sektor-/Scheibenordnung im rechten Rad; keine Kante zum linken Rad	zwölfteilige lokale Sektor-/Scheibenordnung im rechten Rad; keine Kante zum linken Rad. Die Seite zeigt zwei verschieden organisierte Räder ohne Verbindung und keine sichtbare 7×12-Matrix. Start, Richtung und der konkrete Exemplarwert bleiben unbestimmt; F67_RIGHT_WHEEL_NS ist nur eine lokale Werkstattadresse.	LOCAL_LOOKUP_LOCUS_NOT_WORD_CARD_MEANING_OR_TRANSLATION
A1:L010	A1	f67r2	f67r2.10	10	3	A1:G021|A1:G022|A1:G023	lkshy kchy okar	F67_RIGHT_WHEEL_NS	F67_RIGHT_WHEEL	A1_RIGHT_SECTOR_SLOT_10	DIRECT_VISIBLE	F67_RIGHT_WHEEL_NS/A1_RIGHT_SECTOR_SLOT_10	OPAQUE_GROUP_AT_DIRECT_VISIBLE_LOCAL_SLOT	COLUMN_KEY > COLUMN_DESCRIPTOR_FRAGMENT > COLUMN_DESCRIPTOR_FRAGMENT	Öffne am rechten f67r2-Rad ausschließlich den Besitzer „A1_RIGHT_SECTOR_SLOT_10“. Kopiere die sichtbare Gruppe „lkshy“ als Fragment 1/3 in den örtlichen Ergebnisposten. Wähle weder Anfang noch Drehsinn und rufe kein linkes Radfeld auf. Öffne am rechten f67r2-Rad ausschließlich den Besitzer „A1_RIGHT_SECTOR_SLOT_10“. Kopiere die sichtbare Gruppe „kchy“ als Fragment 2/3 in den örtlichen Ergebnisposten. Wähle weder Anfang noch Drehsinn und rufe kein linkes Radfeld auf. Öffne am rechten f67r2-Rad ausschließlich den Besitzer „A1_RIGHT_SECTOR_SLOT_10“. Kopiere die sichtbare Gruppe „okar“ als Fragment 3/3 in den örtlichen Ergebnisposten. Wähle weder Anfang noch Drehsinn und rufe kein linkes Radfeld auf.	DIRECT_LOCAL_ADDRESS|ARBITRARY_START_CLOCKWISE|ARBITRARY_START_COUNTERCLOCKWISE|REFLECTED_LAYOUT;SELECTED=NONE	PAGE_LOCAL_ONLY;NO_F68_F69_JOIN;NO_COMMON_DIRECTION;NO_PROSE_CARD_VALUE	0.43	IATROMEDICAL_RIVAL: right-hand astrological or iatromathematical election wheel.	FORMAL_RIVAL: celestial diagram labels or decorative radial text without executable content.	zwölfteilige lokale Sektor-/Scheibenordnung im rechten Rad; keine Kante zum linken Rad	zwölfteilige lokale Sektor-/Scheibenordnung im rechten Rad; keine Kante zum linken Rad. Die Seite zeigt zwei verschieden organisierte Räder ohne Verbindung und keine sichtbare 7×12-Matrix. Start, Richtung und der konkrete Exemplarwert bleiben unbestimmt; F67_RIGHT_WHEEL_NS ist nur eine lokale Werkstattadresse.	LOCAL_LOOKUP_LOCUS_NOT_WORD_CARD_MEANING_OR_TRANSLATION
